"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"AD Russell","Javed Ahmadi",0,2,0,2,0,0,0,0,NA
"AD Russell","Rashid Khan",0,2,1,2,0,0,0,0,0
"ADS Fletcher","Aftab Alam",9,11,0,8,2,0,4.90909090909091,81.8181818181818,Inf
"ADS Fletcher","Gulbadin Naib",0,1,1,1,0,0,0,0,0
"ADS Fletcher","Mirwais Ashraf",13,5,0,2,0,2,15.6,260,Inf
"ADS Fletcher","Mohammad Nabi",39,18,1,8,3,4,13,216.666666666667,39
"AP Devcich","Aftab Alam",12,17,0,10,0,1,4.23529411764706,70.5882352941177,Inf
"AP Devcich","Amir Hamza",1,2,0,1,0,0,3,50,Inf
"AP Devcich","Fareed Ahmad",18,17,0,7,1,1,6.35294117647059,105.882352941176,Inf
"AP Devcich","Gulbadin Naib",3,3,0,0,0,0,6,100,Inf
"AP Devcich","I Udana",1,3,1,2,0,0,2,33.3333333333333,1
"AP Devcich","Javed Ahmadi",27,11,0,2,1,3,14.7272727272727,245.454545454545,Inf
"AP Devcich","Karim Janat",4,5,0,1,0,0,4.8,80,Inf
"AP Devcich","Karim Sadiq",1,2,1,1,0,0,3,50,1
"AP Devcich","Mirwais Ashraf",14,14,2,7,2,0,6,100,7
"AP Devcich","Mohammad Nabi",20,21,0,9,0,1,5.71428571428571,95.2380952380952,Inf
"AP Devcich","Mohammad Naveed",0,3,1,3,0,0,0,0,0
"AP Devcich","Muslim Musa",5,5,1,3,1,0,6,100,5
"AP Devcich","Nijat Masood",12,6,0,0,2,0,12,200,Inf
"AP Devcich","Qais Ahmad",6,3,1,1,1,0,12,200,6
"AP Devcich","RS Bopara",10,11,0,5,1,0,5.45454545454545,90.9090909090909,Inf
"AP Devcich","Rashid Khan",35,22,0,8,2,3,9.54545454545454,159.090909090909,Inf
"AP Devcich","Shahid Afridi",3,5,1,2,0,0,3.6,60,3
"AP Devcich","Shahidullah",18,11,0,4,2,1,9.81818181818182,163.636363636364,Inf
"AP Devcich","WD Parnell",36,23,0,8,5,1,9.39130434782609,156.521739130435,Inf
"AP Devcich","Waqar Salamkheil",6,4,0,1,1,0,9,150,Inf
"AP Devcich","Yousuf Zazai",18,12,0,6,2,1,9,150,Inf
