"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Hazratullah",2018-10-09,"Kabul Zwanan","Nangarhar Leopards",2,124,55,12,9,225.454545454545,FALSE,"Afghanistan Premier League","2018/19",1160574,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","Kabul Zwanan","Kabul Zwanan","field","Hazratullah","Kabul Zwanan","7",NA
"AP Devcich",2018-10-09,"Nangarhar Leopards","Kabul Zwanan",1,94,58,7,6,162.068965517241,TRUE,"Afghanistan Premier League","2018/19",1160574,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","Kabul Zwanan","Kabul Zwanan","field","Hazratullah","Kabul Zwanan","7",NA
"CA Ingram",2018-10-18,"Kabul Zwanan","Paktia Panthers",1,83,51,9,4,162.745098039216,TRUE,"Afghanistan Premier League","2018/19",1160588,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","Paktia Panthers","Kabul Zwanan","bat","Mohammad Shahzad","Paktia Panthers","6",NA
"CH Gayle",2018-10-14,"Balkh Legends","Kabul Zwanan",1,80,48,2,10,166.666666666667,FALSE,"Afghanistan Premier League","2018/19",1160582,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Kabul Zwanan","Balkh Legends","bat","CH Gayle","Balkh Legends",NA,"21"
"LJ Evans",2018-10-05,"Kabul Zwanan","Paktia Panthers",2,79,39,5,6,202.564102564103,TRUE,"Afghanistan Premier League","2018/19",1160569,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Kabul Zwanan","Kabul Zwanan","field","LJ Evans","Kabul Zwanan","3",NA
"RN ten Doeschate",2018-10-06,"Balkh Legends","Kabul Zwanan",2,78,46,7,4,169.565217391304,TRUE,"Afghanistan Premier League","2018/19",1160571,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","Balkh Legends","Balkh Legends","field","RN ten Doeschate","Balkh Legends","8",NA
"Darwish Rasooli",2018-10-19,"Balkh Legends","Nangarhar Leopards",1,78,45,7,4,173.333333333333,FALSE,"Afghanistan Premier League","2018/19",1160589,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Nangarhar Leopards","Balkh Legends","bat","Mohammad Nabi","Balkh Legends",NA,"171"
"Mohammad Shahzad",2018-10-14,"Paktia Panthers","Nangarhar Leopards",2,78,43,4,8,181.395348837209,TRUE,"Afghanistan Premier League","2018/19",1160583,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","Paktia Panthers","Nangarhar Leopards","bat","Mohammad Shahzad","Paktia Panthers","7",NA
"Sikandar Raza",2018-10-05,"Paktia Panthers","Kabul Zwanan",1,78,40,5,7,195,TRUE,"Afghanistan Premier League","2018/19",1160569,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Kabul Zwanan","Kabul Zwanan","field","LJ Evans","Kabul Zwanan","3",NA
"AP Devcich",2018-10-12,"Nangarhar Leopards","Kabul Zwanan",1,77,46,8,5,167.391304347826,FALSE,"Afghanistan Premier League","2018/19",1160579,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","Kabul Zwanan","Kabul Zwanan","field","Rahmat Shah","Nangarhar Leopards",NA,"15"
"Asghar Stanikzai",2018-10-17,"Kandahar Knights","Paktia Panthers",2,74,42,5,6,176.190476190476,FALSE,"Afghanistan Premier League","2018/19",1160586,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","Kandahar Knights","Paktia Panthers","bat","Asghar Stanikzai","Kandahar Knights","4",NA
"RN ten Doeschate",2018-10-13,"Balkh Legends","Paktia Panthers",1,74,41,4,5,180.487804878049,TRUE,"Afghanistan Premier League","2018/19",1160580,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","Paktia Panthers","Balkh Legends","bat","RN ten Doeschate","Balkh Legends",NA,"89"
