"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"AD Russell","2018/19","Afghanistan Premier League","Nangarhar Leopards",1,0,4,0,0,0,0,0,0,0,0
"ADS Fletcher","2018/19","Afghanistan Premier League","Nangarhar Leopards",2,61,35,174.285714285714,30.5,5,6,0,0,0,48
"AP Devcich","2018/19","Afghanistan Premier League","Nangarhar Leopards",9,270,210,128.571428571429,33.75,22,14,1,0,2,94
"Afsar Zazai","2018/19","Afghanistan Premier League","Kabul Zwanan",1,6,13,46.1538461538462,6,0,0,0,0,0,6
"Aftab Alam","2018/19","Afghanistan Premier League","Balkh Legends",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"Amir Hamza","2018/19","Afghanistan Premier League","Kandahar Knights",2,19,16,118.75,19,1,1,1,0,0,18
"Asghar Stanikzai","2018/19","Afghanistan Premier League","Kandahar Knights",8,264,180,146.666666666667,33,16,21,0,0,3,74
"Azmatullah Omarzai","2018/19","Afghanistan Premier League","Paktia Panthers",3,22,22,100,11,2,1,1,0,0,11
"BB McCullum","2018/19","Afghanistan Premier League","Kandahar Knights",8,158,150,105.333333333333,19.75,13,7,0,0,1,50
"BCJ Cutting","2018/19","Afghanistan Premier League","Nangarhar Leopards",7,140,100,140,20,6,12,0,0,1,71
"C Munro","2018/19","Afghanistan Premier League","Balkh Legends",9,188,148,127.027027027027,20.8888888888889,20,9,0,0,0,46
"CA Ingram","2018/19","Afghanistan Premier League","Kabul Zwanan",9,206,148,139.189189189189,25.75,23,9,1,0,1,83
"CH Gayle","2018/19","Afghanistan Premier League","Balkh Legends",7,315,183,172.131147540984,45,25,27,0,0,4,80
"CS Delport","2018/19","Afghanistan Premier League","Paktia Panthers",8,173,128,135.15625,24.7142857142857,8,12,1,0,1,70
"CS MacLeod","2018/19","Afghanistan Premier League","Paktia Panthers",5,92,89,103.370786516854,23,9,3,1,0,0,40
"Darwish Rasooli","2018/19","Afghanistan Premier League","Balkh Legends",7,213,140,152.142857142857,35.5,19,11,1,0,2,78
"EMDY Munaweera","2018/19","Afghanistan Premier League","Balkh Legends",2,47,30,156.666666666667,23.5,5,3,0,0,0,46
"Fareed Ahmad","2018/19","Afghanistan Premier League","Kabul Zwanan",4,18,16,112.5,6,2,0,1,0,0,14
