"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"I Udana","Paktia Panthers","2018/19","Afghanistan Premier League",8,"32.0",0,245,17,14.4117647058824,7.65625,11.2941176470588,86,1,0,"4/38"
"Sayed Shirzad","Kandahar Knights","2018/19","Afghanistan Premier League",8,"31.1",1,244,16,15.25,7.82887700534759,11.6875,77,1,0,"4/19"
"Qais Ahmad","Balkh Legends","2018/19","Afghanistan Premier League",9,"30.0",0,188,15,12.5333333333333,6.26666666666667,12,86,0,1,"5/18"
"Mirwais Ashraf","Balkh Legends","2018/19","Afghanistan Premier League",9,"26.5",0,214,14,15.2857142857143,7.97515527950311,11.5,68,1,0,"4/19"
"WD Parnell","Kabul Zwanan","2018/19","Afghanistan Premier League",10,"37.3",0,336,13,25.8461538461538,8.96,17.3076923076923,82,0,0,"3/35"
"Karim Janat","Kandahar Knights","2018/19","Afghanistan Premier League",8,"29.0",0,173,12,14.4166666666667,5.96551724137931,14.5,74,0,0,"3/14"
"Gulbadin Naib","Balkh Legends","2018/19","Afghanistan Premier League",9,"26.3",0,215,12,17.9166666666667,8.11320754716981,13.25,57,1,0,"4/12"
"BCJ Cutting","Nangarhar Leopards","2018/19","Afghanistan Premier League",8,"28.0",0,236,12,19.6666666666667,8.42857142857143,14,62,0,1,"5/28"
"Mujeeb Ur Rahman","Nangarhar Leopards","2018/19","Afghanistan Premier League",9,"33.0",0,271,12,22.5833333333333,8.21212121212121,16.5,85,1,0,"4/16"
"Ziaur Rahman","Paktia Panthers","2018/19","Afghanistan Premier League",6,"22.0",1,178,11,16.1818181818182,8.09090909090909,12,62,0,0,"3/27"
"Waqar Salamkheil","Kandahar Knights","2018/19","Afghanistan Premier League",7,"27.0",0,180,10,18,6.66666666666667,16.2,68,0,0,"3/20"
"Zahir Khan","Nangarhar Leopards","2018/19","Afghanistan Premier League",9,"32.0",0,224,10,22.4,7,19.2,88,0,0,"2/22"
"Aftab Alam","Balkh Legends","2018/19","Afghanistan Premier League",9,"31.0",0,228,10,22.8,7.35483870967742,18.6,81,0,0,"2/14"
"Rashid Khan","Kabul Zwanan","2018/19","Afghanistan Premier League",9,"35.5",0,234,10,23.4,6.53023255813953,21.5,91,1,0,"4/20"
"Mohammad Nabi","Balkh Legends","2018/19","Afghanistan Premier League",10,"33.1",0,254,9,28.2222222222222,7.65829145728643,22.1111111111111,94,1,0,"4/12"
"Muslim Musa","Kabul Zwanan","2018/19","Afghanistan Premier League",8,"20.0",0,219,8,27.375,10.95,15,34,0,0,"2/17"
"Sharafuddin Ashraf","Paktia Panthers","2018/19","Afghanistan Premier League",8,"27.0",0,232,7,33.1428571428571,8.59259259259259,23.1428571428571,52,0,0,"3/31"
"Fareed Ahmad","Kabul Zwanan","2018/19","Afghanistan Premier League",9,"28.1",1,266,7,38,9.44378698224852,24.1428571428571,70,0,0,"2/40"
"Rahmat Shah","Nangarhar Leopards","2018/19","Afghanistan Premier League",8,"15.4",0,127,6,21.1666666666667,8.1063829787234,15.6666666666667,33,0,0,"3/25"
"Mohammad Naveed","Kandahar Knights","2018/19","Afghanistan Premier League",5,"18.1",0,143,6,23.8333333333333,7.87155963302752,18.1666666666667,45,0,0,"2/10"
"RS Bopara","Balkh Legends","2018/19","Afghanistan Premier League",8,"22.1",0,162,6,27,7.30827067669173,22.1666666666667,53,0,0,"3/17"
"Shahid Afridi","Paktia Panthers","2018/19","Afghanistan Premier League",7,"28.0",0,215,6,35.8333333333333,7.67857142857143,28,56,0,0,"2/25"
"Shahidullah","Kabul Zwanan","2018/19","Afghanistan Premier League",8,"22.0",0,156,5,31.2,7.09090909090909,26.4,58,0,0,"2/18"
"MJ McClenaghan","Nangarhar Leopards","2018/19","Afghanistan Premier League",5,"17.0",0,166,5,33.2,9.76470588235294,20.4,41,0,0,"2/24"
"Naveen-ul-Haq","Nangarhar Leopards","2018/19","Afghanistan Premier League",9,"29.0",0,230,5,46,7.93103448275862,34.8,73,0,0,"2/21"
"Tahir Khan","Paktia Panthers","2018/19","Afghanistan Premier League",3,"6.0",0,59,4,14.75,9.83333333333333,9,12,0,0,"2/20"
"B Laughlin","Balkh Legends","2018/19","Afghanistan Premier League",3,"11.0",0,115,4,28.75,10.4545454545455,16.5,22,0,0,"3/37"
"Yamin Ahmadzai","Paktia Panthers","2018/19","Afghanistan Premier League",4,"14.4",1,146,4,36.5,9.95454545454546,22,35,0,0,"2/20"
"Fazal Niazai","Nangarhar Leopards","2018/19","Afghanistan Premier League",2,"7.0",0,72,3,24,10.2857142857143,14,16,0,0,"2/32"
"Fitratullah Khawari","Kabul Zwanan","2018/19","Afghanistan Premier League",3,"8.0",0,73,3,24.3333333333333,9.125,16,16,0,0,"1/19"
"Zahir Shehzad","Kabul Zwanan","2018/19","Afghanistan Premier League",4,"12.0",0,120,3,40,10,24,23,0,0,"2/36"
"Yousuf Zazai","Paktia Panthers","2018/19","Afghanistan Premier League",4,"15.1",0,148,3,49.3333333333333,9.75824175824176,30.3333333333333,36,0,0,"1/27"
"S Lamichhane","Nangarhar Leopards","2018/19","Afghanistan Premier League",1,"4.0",0,23,2,11.5,5.75,12,13,0,0,"2/23"
"Samiullah","Balkh Legends","2018/19","Afghanistan Premier League",1,"3.0",0,27,2,13.5,9,9,7,0,0,"2/27"
"NJ Rimmington","Nangarhar Leopards","2018/19","Afghanistan Premier League",1,"4.0",0,33,2,16.5,8.25,12,9,0,0,"2/33"
"S Prasanna","Paktia Panthers","2018/19","Afghanistan Premier League",2,"5.0",0,38,2,19,7.6,15,14,0,0,"1/7"
"Zia-ur-Rehman","Paktia Panthers","2018/19","Afghanistan Premier League",2,"8.0",0,70,2,35,8.75,24,16,0,0,"1/29"
"Azmatullah Omarzai","Paktia Panthers","2018/19","Afghanistan Premier League",2,"8.0",0,73,2,36.5,9.125,24,15,0,0,"1/34"
"Amir Hamza","Kandahar Knights","2018/19","Afghanistan Premier League",3,"12.0",1,86,2,43,7.16666666666667,36,32,0,0,"1/23"
"Javed Ahmadi","Kabul Zwanan","2018/19","Afghanistan Premier League",5,"9.0",0,86,2,43,9.55555555555556,27,19,0,0,"1/13"
"Karim Sadiq","Kandahar Knights","2018/19","Afghanistan Premier League",8,"24.0",0,206,2,103,8.58333333333333,72,53,0,0,"1/5"
"Asghar Stanikzai","Kandahar Knights","2018/19","Afghanistan Premier League",1,"0.3",0,8,1,8,16,3,1,0,0,"1/8"
"Zamir Khan","Kabul Zwanan","2018/19","Afghanistan Premier League",1,"2.0",0,20,1,20,10,12,4,0,0,"1/20"
"Samiullah Shenwari","Paktia Panthers","2018/19","Afghanistan Premier League",2,"6.0",0,43,1,43,7.16666666666667,36,9,0,0,"1/22"
"Sikandar Raza","Paktia Panthers","2018/19","Afghanistan Premier League",3,"6.0",0,53,1,53,8.83333333333333,36,14,0,0,"1/12"
"AP Devcich","Nangarhar Leopards","2018/19","Afghanistan Premier League",1,"0.5",0,3,0,Inf,3.6,Inf,2,0,0,"0/3"
"EMDY Munaweera","Balkh Legends","2018/19","Afghanistan Premier League",1,"1.0",0,3,0,Inf,3,Inf,3,0,0,"0/3"
"Nijat Masood","Kabul Zwanan","2018/19","Afghanistan Premier League",1,"2.0",0,26,0,Inf,13,Inf,3,0,0,"0/26"
