"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",5,101,97,104.123711340206,20.2,9,3,0,0,0,38
"A Dananjaya",1,7,11,63.6363636363636,7,0,0,0,0,0,7
"A Lyth",3,7,11,63.6363636363636,2.33333333333333,1,0,0,0,0,4
"AB de Villiers",6,247,147,168.027210884354,61.75,18,17,2,1,0,100
"AC Thomas",6,36,35,102.857142857143,9,4,0,2,0,0,12
"ACR Birch",1,7,8,87.5,Inf,0,0,1,0,0,7
"AD Hales",10,386,232,166.379310344828,42.8888888888889,41,18,1,1,3,100
"AD Mascarenhas",1,19,11,172.727272727273,19,0,2,0,0,0,19
"AD Russell",47,909,547,166.17915904936,34.9615384615385,55,79,21,0,1,54
"ADS Fletcher",41,1162,901,128.967813540511,33.2,113,51,6,2,6,103
"AG Cremer",2,1,3,33.3333333333333,1,0,0,1,0,0,1
"AI Ross",11,352,261,134.865900383142,39.1111111111111,30,17,2,0,4,89
"AJ Blake",5,53,61,86.8852459016394,10.6,5,2,0,0,0,18
"AK Perera",1,17,19,89.4736842105263,17,2,0,0,0,0,17
"AM McCarthy",1,0,1,0,0,0,0,0,0,0,0
"AM Rossington",3,23,20,115,7.66666666666667,3,1,0,0,0,18
"AN Kervezee",1,8,8,100,8,2,0,0,0,0,8
"AR Adams",1,4,5,80,4,1,0,0,0,0,4
"AS Joseph",1,4,7,57.1428571428571,4,0,0,0,0,0,4
"AU Rashid",1,3,6,50,3,0,0,0,0,0,3
"Aamer Jamal",2,0,2,0,0,0,0,0,0,0,0
"Aamer Yamin",1,0,1,0,0,0,0,0,0,0,0
"Abbas Afridi",3,18,16,112.5,9,2,0,1,0,0,11
"Abdul Mazid",11,148,178,83.1460674157303,13.4545454545455,10,3,0,0,0,45
"Abdul Razzaq",4,97,80,121.25,24.25,5,3,0,0,0,30
"Abdullah Al Mamun",4,71,79,89.873417721519,17.75,3,4,0,0,0,26
"Abdur Razzak",13,65,89,73.0337078651685,6.5,5,1,3,0,0,15
"Abu Hider",29,193,178,108.426966292135,13.7857142857143,13,10,15,0,0,28
"Abu Jayed",13,34,29,117.241379310345,11.3333333333333,4,1,10,0,0,10
"Abul Hasan",24,155,169,91.7159763313609,10.3333333333333,12,4,9,0,0,30
"Afif Hossain",70,1597,1292,123.606811145511,24.953125,153,60,6,0,5,76
"Aftab Ahmed",3,16,21,76.1904761904762,8,1,0,1,0,0,9
"Ahmed Shehzad",31,833,661,126.021180030257,28.7241379310345,85,28,2,0,6,76
"Akbar Ali",11,84,65,129.230769230769,12,6,4,4,0,0,33
"Aks Swadhin",1,1,1,100,Inf,0,0,1,0,0,1
"Al Islam",3,1,3,33.3333333333333,1,0,0,2,0,0,1
"Al-Amin",23,232,213,108.920187793427,12.2105263157895,22,7,4,0,0,35
"Al-Amin Hossain",21,51,86,59.3023255813954,5.1,5,0,11,0,0,14
"Alauddin Babu",20,126,122,103.27868852459,9.69230769230769,4,7,7,0,0,33
"Alok Kapali",43,451,474,95.1476793248945,14.5483870967742,32,12,12,0,0,39
"Amad Butt",2,11,15,73.3333333333333,5.5,0,1,0,0,0,7
"Aminul Islam",1,4,6,66.6666666666667,4,0,0,0,0,0,4
"Amir Hamza",5,17,24,70.8333333333333,5.66666666666667,1,1,2,0,0,15
"Amit Kumar",1,2,2,100,2,0,0,0,0,0,2
"Anamul Haque",103,2212,1875,117.973333333333,23.2842105263158,195,81,8,0,12,83
"Anwar Ali",4,33,25,132,11,3,1,1,0,0,20
"Arafat Sunny",35,156,190,82.1052631578947,9.75,10,3,19,0,0,18
"Arif Ahmed",2,10,16,62.5,10,1,0,1,0,0,6
"Ariful Haque",65,984,829,118.697225572979,21.3913043478261,64,33,19,0,1,57
"Ashar Zaidi",10,236,183,128.96174863388,39.3333333333333,19,10,4,0,1,53
"Ashiqur Zaman",1,0,2,0,0,0,0,0,0,0,0
"Asif Ahmed",7,73,67,108.955223880597,10.4285714285714,10,0,0,0,0,29
"Asif Ali",7,124,73,169.86301369863,24.8,7,10,2,0,1,55
"Asif Hasan",3,10,16,62.5,Inf,1,0,3,0,0,6
"Azam Khan",8,226,142,159.154929577465,45.2,23,12,3,1,0,109
"Azhar Mahmood",17,400,304,131.578947368421,30.7692307692308,36,16,4,0,4,77
"Azmatullah Omarzai",16,213,161,132.298136645963,19.3636363636364,13,12,5,0,0,42
"BA King",8,87,71,122.535211267606,10.875,8,6,0,0,0,45
"BAC Howell",30,556,384,144.791666666667,27.8,37,30,10,0,3,62
"BAW Mendis",1,3,5,60,3,0,0,0,0,0,3
"BB McCullum",12,281,245,114.69387755102,25.5454545454545,19,21,1,0,2,78
"BCJ Cutting",1,1,8,12.5,1,0,0,0,0,0,1
"BD Guest",2,44,46,95.6521739130435,22,5,1,0,0,0,34
"BJ Hodge",18,621,474,131.012658227848,44.3571428571429,62,27,4,0,6,70
"BM Edmondson",2,0,2,0,0,0,0,1,0,0,0
"BMAJ Mendis",13,177,163,108.588957055215,13.6153846153846,14,8,0,0,1,57
"BRM Taylor",18,398,300,132.666666666667,22.1111111111111,43,14,0,0,2,51
"Babar Azam",9,312,263,118.631178707224,34.6666666666667,27,5,0,0,2,62
"Bilal Khan",4,2,5,40,0.666666666666667,0,0,1,0,0,1
"Bilawal Bhatti",2,20,24,83.3333333333333,20,1,0,1,0,0,11
"C Campher",9,128,98,130.612244897959,18.2857142857143,10,5,2,0,0,45
"C Jonker",8,123,93,132.258064516129,24.6,8,6,3,0,0,37
"CA Ingram",9,333,242,137.603305785124,41.625,36,12,1,0,3,90
"CAK Walton",24,522,358,145.810055865922,29,39,31,6,0,3,89
"CH Gayle",49,1597,1093,146.111619396157,36.2954545454545,111,131,5,4,6,146
"CJ Borgas",10,200,173,115.606936416185,28.5714285714286,17,5,3,0,0,48
