"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Shakib Al Hasan",104,"384.5",10,2476,138,17.9420289855072,6.43395409268081,16.731884057971,1077,3,1,"5/16"
"Rubel Hossain",83,"283.0",1,2258,106,21.3018867924528,7.97879858657244,16.0188679245283,693,4,0,"4/23"
"Taskin Ahmed",73,"256.1",1,2088,96,21.75,8.15094339622642,16.0104166666667,639,4,1,"5/31"
"Mustafizur Rahman",69,"247.4",3,1771,92,19.25,7.1507402422611,16.1521739130435,680,0,1,"5/27"
"Mashrafe Mortaza",94,"324.2",3,2298,88,26.1136363636364,7.08530318602261,22.1136363636364,825,1,0,"4/11"
"Arafat Sunny",79,"247.0",5,1684,79,21.3164556962025,6.81781376518219,18.7594936708861,673,2,0,"4/14"
"Mohammad Saifuddin",54,"188.3",2,1446,71,20.3661971830986,7.6710875331565,15.9295774647887,462,2,0,"4/20"
"Al-Amin Hossain",71,"241.0",2,2146,71,30.2253521126761,8.9045643153527,20.3661971830986,560,1,1,"5/36"
"Shafiul Islam",66,"218.4",2,1845,70,26.3571428571429,8.4375,18.7428571428571,495,2,1,"5/26"
"NLTC Perera",68,"195.3",2,1619,69,23.463768115942,8.28132992327366,17,407,0,2,"5/26"
"Mohammad Nabi",55,"177.1",0,1197,66,18.1363636363636,6.75634995296331,16.1060606060606,456,1,0,"4/24"
"Mehedi Hasan Miraz",82,"244.0",1,1847,65,28.4153846153846,7.56967213114754,22.5230769230769,607,1,0,"4/16"
"Farhad Reza",74,"223.2",0,1939,65,29.8307692307692,8.68208955223881,20.6153846153846,461,1,0,"4/32"
"AD Russell",54,"174.5",2,1421,61,23.2950819672131,8.12774070543375,17.1967213114754,464,1,0,"4/37"
"Mahedi Hasan",72,"224.1",3,1620,61,26.5573770491803,7.22676579925651,22.0491803278689,644,2,0,"4/22"
"Abu Jayed",52,"156.1",2,1298,60,21.6333333333333,8.31163287086446,15.6166666666667,367,1,0,"4/35"
"Abu Hider",61,"187.4",2,1498,60,24.9666666666667,7.98223801065719,18.7666666666667,453,2,1,"5/12"
"Taijul Islam",74,"221.5",1,1591,59,26.9661016949153,7.17205108940646,22.5593220338983,565,0,0,"3/10"
"DJ Bravo",37,"137.5",0,1084,58,18.6896551724138,7.8645707376058,14.2586206896552,300,0,0,"3/10"
"KK Cooper",30,"115.3",2,726,57,12.7368421052632,6.28571428571429,12.1578947368421,308,2,1,"5/15"
"Shahid Afridi",44,"153.0",6,986,56,17.6071428571429,6.44444444444444,16.3928571428571,434,3,0,"4/12"
"Nazmul Islam",65,"192.3",5,1443,56,25.7678571428571,7.4961038961039,20.625,461,1,0,"4/18"
"Kamrul Islam Rabbi",52,"154.1",0,1406,54,26.037037037037,9.12,17.1296296296296,335,1,0,"4/10"
"Sohag Gazi",61,"192.4",3,1421,51,27.8627450980392,7.37543252595156,22.6666666666667,504,0,0,"3/19"
"Shohidul Islam",37,"131.2",1,1091,49,22.265306122449,8.30710659898477,16.0816326530612,304,1,0,"4/23"
"Tanvir Islam",42,"141.4",2,1008,48,21,7.11529411764706,17.7083333333333,366,2,0,"4/13"
"Khaled Ahmed",41,"137.3",1,1184,48,24.6666666666667,8.61090909090909,17.1875,322,1,0,"4/31"
"Nasir Hossain",61,"162.2",4,1208,48,25.1666666666667,7.44147843942505,20.2916666666667,404,1,1,"5/31"
"Mohammad Amir",33,"126.1",2,808,46,17.5652173913043,6.40422721268164,16.4565217391304,356,0,1,"6/17"
"Mosharraf Hossain",39,"124.1",1,810,45,18,6.52348993288591,16.5555555555556,290,2,0,"4/9"
"SP Narine",48,"183.5",4,1032,44,23.4545454545455,5.61378059836809,25.0681818181818,519,1,0,"4/15"
"Shoriful Islam",34,"117.4",1,1051,44,23.8863636363636,8.93201133144476,16.0454545454545,309,2,0,"4/24"
"RS Bopara",49,"128.4",0,870,42,20.7142857142857,6.76165803108808,18.3809523809524,278,1,0,"4/18"
"Abul Hasan",38,"116.4",0,1031,41,25.1463414634146,8.83714285714286,17.0731707317073,241,0,1,"5/28"
"Mahmudullah",64,"148.1",1,1068,41,26.0487804878049,7.20809898762655,21.6829268292683,344,0,0,"3/6"
"Wahab Riaz",24,"87.5",2,614,40,15.35,6.99051233396585,13.175,243,2,1,"5/8"
"Hasan Mahmud",40,"134.0",0,1146,40,28.65,8.55223880597015,20.1,290,1,0,"4/32"
"Mohammad Sami",36,"136.1",4,841,39,21.5641025641026,6.17625458996328,20.9487179487179,432,1,1,"5/6"
"Junaid Khan",25,"92.5",0,642,38,16.8947368421053,6.91561938958707,14.6578947368421,278,4,0,"4/23"
"Mehedi Hasan Rana",30,"99.2",2,873,38,22.9736842105263,8.78859060402685,15.6842105263158,226,3,0,"4/17"
"Sunzamul Islam",58,"164.2",2,1280,37,34.5945945945946,7.78904665314402,26.6486486486486,366,0,0,"2/4"
"Nahidul Islam",48,"140.4",5,924,35,26.4,6.56872037914692,24.1142857142857,410,2,0,"4/6"
"Nasum Ahmed",49,"173.0",2,1214,35,34.6857142857143,7.01734104046243,29.6571428571429,404,0,0,"3/9"
"Alok Kapali",41,"95.4",0,778,33,23.5757575757576,8.13240418118467,17.3939393939394,165,1,0,"4/22"
"Mohammad Shahid",26,"80.4",1,560,32,17.5,6.94214876033058,15.125,217,1,0,"4/12"
"R Frylinck",23,"80.0",4,599,32,18.71875,7.4875,15,220,1,1,"5/16"
"Sohail Tanvir",28,"97.0",3,629,32,19.65625,6.48453608247423,18.1875,280,2,0,"4/13"
"Nabil Samad",41,"138.0",3,923,32,28.84375,6.68840579710145,25.875,361,0,0,"3/7"
"Ebadat Hossain",28,"96.0",1,773,30,25.7666666666667,8.05208333333333,19.2,249,1,0,"4/17"
"Shuvagata Hom",58,"111.2",2,902,30,30.0666666666667,8.10179640718563,22.2666666666667,282,0,0,"3/8"
"Abdur Razzak",25,"83.5",3,599,28,21.3928571428571,7.14512922465209,17.9642857142857,220,1,0,"4/33"
"BAC Howell",34,"122.4",0,839,26,32.2692307692308,6.83967391304348,28.3076923076923,250,0,0,"3/15"
"Mujeeb Ur Rahman",23,"87.0",4,467,25,18.68,5.36781609195402,20.88,285,1,0,"4/12"
"Soumya Sarkar",37,"87.1",1,802,25,32.08,9.20076481835564,20.92,148,0,0,"2/12"
"Mosaddek Hossain",53,"122.5",0,971,25,38.84,7.90502035278155,29.48,256,0,0,"2/9"
"SR Patel",28,"83.0",2,479,24,19.9583333333333,5.7710843373494,20.75,203,0,0,"3/16"
"Mohammad Irfan",24,"90.3",4,613,24,25.5416666666667,6.77348066298343,22.625,268,0,0,"2/13"
"Mukidul Islam",25,"79.1",0,710,24,29.5833333333333,8.96842105263158,19.7916666666667,163,0,1,"5/23"
"Nayeem Hasan",30,"99.0",1,738,24,30.75,7.45454545454545,24.75,256,0,0,"3/21"
"Azhar Mahmood",17,"58.0",1,414,23,18,7.13793103448276,15.1304347826087,149,0,0,"3/7"
"Mrittunjoy Chowdhury",19,"66.3",0,564,23,24.5217391304348,8.4812030075188,17.3478260869565,167,1,0,"4/12"
"Azmatullah Omarzai",19,"62.2",5,463,22,21.0454545454545,7.42780748663102,17,206,0,0,"3/17"
"MM Ali",20,"57.1",1,467,22,21.2272727272727,8.16909620991254,15.5909090909091,115,1,0,"4/23"
"KOK Williams",19,"69.3",0,590,22,26.8181818181818,8.48920863309353,18.9545454545455,150,1,0,"4/11"
"Saqlain Sajib",29,"91.5",0,652,22,29.6363636363636,7.09981851179673,25.0454545454545,219,0,0,"3/22"
"Hasan Ali",14,"54.5",0,420,21,20,7.65957446808511,15.6666666666667,140,0,1,"5/20"
"Rejaur Rahman",19,"65.4",1,591,21,28.1428571428571,9,18.7619047619048,147,1,0,"4/14"
"Afif Hossain",36,"67.1",1,594,21,28.2857142857143,8.84367245657568,19.1904761904762,149,0,1,"5/21"
"RR Emrit",23,"81.0",0,617,21,29.3809523809524,7.61728395061728,23.1428571428571,176,0,0,"3/23"
"Ziaur Rahman",30,"66.5",0,566,20,28.3,8.46882793017456,20.05,111,0,0,"3/18"
"Nihaduzzaman",25,"78.0",1,547,19,28.7894736842105,7.01282051282051,24.6315789473684,166,1,0,"4/17"
"AC Thomas",11,"39.5",1,286,18,15.8888888888889,7.17991631799163,13.2777777777778,109,0,0,"3/19"
"Rashid Khan",14,"56.0",1,286,18,15.8888888888889,5.10714285714286,18.6666666666667,167,0,0,"3/13"
"Mohammad Nawaz",19,"60.0",1,414,18,23,6.9,20,141,0,0,"3/15"
"Tanzim Hasan Sakib",15,"49.0",0,474,18,26.3333333333333,9.6734693877551,16.3333333333333,104,0,0,"3/22"
"Shoaib Malik",33,"79.3",2,528,18,29.3333333333333,6.64150943396226,26.5,221,0,0,"3/14"
"Monir Hossain",25,"82.2",2,579,17,34.0588235294118,7.03238866396761,29.0588235294118,204,0,0,"2/22"
"Ashar Zaidi",12,"36.0",1,187,16,11.6875,5.19444444444444,13.5,110,1,0,"4/11"
"Al Islam",14,"50.0",2,355,16,22.1875,7.1,18.75,127,2,0,"4/17"
"Karim Janat",16,"45.2",0,378,16,23.625,8.33823529411765,17,83,1,0,"4/29"
"Alauddin Babu",19,"46.1",0,452,16,28.25,9.79061371841155,17.3125,107,0,0,"3/24"
"K Santokie",17,"57.5",0,456,16,28.5,7.88472622478386,21.6875,143,0,0,"3/13"
"Muktar Ali",34,"82.3",0,756,16,47.25,9.16363636363636,30.9375,136,0,0,"3/25"
"L Gregory",10,"39.0",0,298,15,19.8666666666667,7.64102564102564,15.6,82,0,0,"2/25"
"Enamul Haque jnr",17,"50.0",0,314,15,20.9333333333333,6.28,20,118,0,0,"3/14"
"Elias Sunny",17,"52.4",0,365,15,24.3333333333333,6.93037974683544,21.0666666666667,109,0,0,"3/23"
"Shafiqul Islam",14,"49.0",1,381,15,25.4,7.77551020408163,19.6,126,0,0,"2/16"
"Bilal Khan",13,"49.2",0,391,15,26.0666666666667,7.92567567567568,19.7333333333333,130,0,0,"3/24"
"Imad Wasim",13,"50.0",1,275,14,19.6428571428571,5.5,21.4285714285714,152,0,0,"3/20"
"Mohammad Wasim",11,"42.1",0,342,14,24.4285714285714,8.11067193675889,18.0714285714286,113,0,0,"3/34"
"MD Shanaka",14,"36.2",0,359,14,25.6428571428571,9.88073394495413,15.5714285714286,57,1,0,"4/16"
"I Udana",15,"51.3",2,382,14,27.2857142857143,7.41747572815534,22.0714285714286,132,0,0,"3/15"
"E Chigumbura",10,"31.0",0,309,13,23.7692307692308,9.96774193548387,14.3076923076923,70,0,0,"3/21"
"LA Dawson",17,"47.4",1,323,13,24.8461538461538,6.77622377622378,22,106,0,0,"2/4"
"Naeem Islam",17,"43.5",0,335,13,25.7692307692308,7.6425855513308,20.2307692307692,109,0,0,"3/7"
"S Prasanna",26,"72.3",0,502,13,38.6153846153846,6.92413793103448,33.4615384615385,171,0,0,"2/15"
"Subashis Roy",20,"64.2",0,550,13,42.3076923076923,8.54922279792746,29.6923076923077,150,0,0,"2/16"
"Yasir Shah",11,"40.3",1,254,12,21.1666666666667,6.27160493827161,20.25,113,0,0,"2/24"
"OC McCoy",8,"32.0",0,261,12,21.75,8.15625,16,94,0,0,"3/34"
"Khushdil Shah",14,"41.0",0,280,12,23.3333333333333,6.82926829268293,20.5,93,0,0,"2/20"
"Qais Ahmad",11,"40.0",0,283,12,23.5833333333333,7.075,20,104,0,0,"2/27"
"Suhrawadi Shuvo",19,"58.0",1,443,12,36.9166666666667,7.63793103448276,29,123,0,0,"3/20"
"Imran Khan",9,"34.4",0,227,11,20.6363636363636,6.54807692307692,18.9090909090909,78,0,0,"2/16"
"Shadab Khan",10,"34.4",0,240,11,21.8181818181818,6.92307692307692,18.9090909090909,84,0,0,"2/14"
"Mohammad Imran",9,"29.3",0,268,11,24.3636363636364,9.08474576271187,16.0909090909091,75,1,0,"4/29"
"JEC Franklin",14,"34.0",0,301,11,27.3636363636364,8.85294117647059,18.5454545454545,56,0,0,"3/50"
"Rakibul Hasan",13,"43.0",1,301,11,27.3636363636364,7,23.4545454545455,106,0,0,"2/22"
"D Wiese",14,"47.5",0,407,11,37,8.50871080139373,26.0909090909091,89,0,0,"2/24"
"KMDN Kulasekara",7,"23.0",2,128,10,12.8,5.56521739130435,13.8,68,1,0,"4/12"
"Shapoor Zadran",8,"30.3",1,192,10,19.2,6.29508196721311,18.3,86,0,0,"3/21"
"KJ O'Brien",9,"30.0",1,198,10,19.8,6.6,18,62,0,0,"3/17"
"MW Forde",8,"28.0",0,218,10,21.8,7.78571428571429,16.8,80,0,0,"3/35"
"Qazi Onik",9,"24.4",0,228,10,22.8,9.24324324324324,14.8,38,1,0,"4/17"
"JC Archer",9,"34.0",0,237,10,23.7,6.97058823529412,20.4,95,0,0,"2/25"
"Faheem Ashraf",8,"29.0",0,238,10,23.8,8.20689655172414,17.4,66,0,0,"3/18"
"FH Edwards",10,"35.1",1,278,10,27.8,7.90521327014218,21.1,105,1,0,"4/11"
"LE Plunkett",9,"34.0",0,311,10,31.1,9.14705882352941,20.4,73,0,0,"3/29"
"Kabir Ali",11,"33.0",0,321,10,32.1,9.72727272727273,19.8,63,0,0,"2/27"
"Sikandar Raza",17,"42.0",0,323,10,32.3,7.69047619047619,25.2,95,1,0,"4/16"
"DJG Sammy",19,"44.0",0,367,10,36.7,8.34090909090909,26.4,80,0,0,"2/34"
"CR Brathwaite",15,"49.3",0,440,10,44,8.88888888888889,29.7,95,0,0,"2/30"
"KR Mayers",6,"23.0",1,136,9,15.1111111111111,5.91304347826087,15.3333333333333,66,0,0,"3/12"
"R Ngarava",5,"19.0",0,162,9,18,8.52631578947368,12.6666666666667,48,1,0,"4/30"
"Haris Rauf",8,"31.3",0,214,9,23.7777777777778,6.79365079365079,21,100,0,0,"3/17"
"C Campher",10,"27.0",0,250,9,27.7777777777778,9.25925925925926,18,51,1,0,"4/20"
"SL Malinga",10,"39.0",0,333,9,37,8.53846153846154,26,78,0,0,"2/27"
"PC de Silva",16,"48.0",1,337,9,37.4444444444444,7.02083333333333,32,113,0,0,"2/30"
"EMDY Munaweera",20,"55.0",0,348,9,38.6666666666667,6.32727272727273,36.6666666666667,130,0,0,"2/17"
"Robiul Haque",11,"37.3",0,373,9,41.4444444444444,9.94666666666667,25,77,1,0,"4/22"
"WD Parnell",5,"17.3",1,122,8,15.25,6.97142857142857,13.125,51,0,0,"3/19"
"LM Reece",10,"25.0",0,169,8,21.125,6.76,18.75,45,0,0,"3/33"
"Hasan Murad",8,"26.3",0,183,8,22.875,6.90566037735849,19.875,69,0,0,"2/17"
"RN ten Doeschate",9,"21.0",0,228,8,28.5,10.8571428571429,15.75,34,0,0,"2/15"
"DR Smith",12,"30.3",1,273,8,34.125,8.95081967213115,22.875,72,0,0,"3/23"
"SM Ervine",12,"31.4",0,288,8,36,9.09473684210526,23.75,67,0,0,"3/19"
"CS Delport",14,"34.3",0,292,8,36.5,8.46376811594203,25.875,46,0,0,"3/25"
"Naseem Shah",3,"12.0",0,75,7,10.7142857142857,6.25,10.2857142857143,38,1,0,"4/12"
"Hamid Hassan",4,"16.0",0,95,7,13.5714285714286,5.9375,13.7142857142857,52,0,0,"3/22"
"DP Nannes",6,"22.0",0,126,7,18,5.72727272727273,18.8571428571429,71,0,0,"2/18"
"Salauddin Sakil",6,"16.5",0,142,7,20.2857142857143,8.43564356435644,14.4285714285714,44,0,0,"2/15"
"Musfik Hasan",5,"16.4",0,160,7,22.8571428571429,9.6,14.2857142857143,44,0,0,"3/18"
"Salman Irshad",7,"23.0",0,183,7,26.1428571428571,7.95652173913043,19.7142857142857,60,0,0,"2/17"
"Amir Hamza",8,"29.5",0,194,7,27.7142857142857,6.50279329608939,25.5714285714286,77,0,0,"2/22"
"Naveen-ul-Haq",11,"35.5",0,329,7,47,9.18139534883721,30.7142857142857,69,0,0,"2/13"
"Aamer Jamal",3,"9.3",0,62,6,10.3333333333333,6.52631578947368,9.5,33,0,1,"5/23"
"Imran Tahir",3,"12.0",0,74,6,12.3333333333333,6.16666666666667,12,33,0,1,"5/26"
"JDP Oram",5,"19.0",0,81,6,13.5,4.26315789473684,19,72,0,0,"2/7"
"JK Fuller",3,"12.0",0,94,6,15.6666666666667,7.83333333333333,12,33,0,0,"3/25"
"Rishad Hossain",4,"11.0",0,104,6,17.3333333333333,9.45454545454546,11,25,1,0,"4/22"
