"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Balbirnie","D Pretorius",3,5,0,2,0,0,3.6,60,Inf
"A Balbirnie","Ebadat Hossain",7,11,0,8,1,0,3.81818181818182,63.6363636363636,Inf
"A Balbirnie","Gulbadin Naib",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Balbirnie","Imad Wasim",3,4,0,1,0,0,4.5,75,Inf
"A Balbirnie","Karim Janat",8,3,0,0,0,1,16,266.666666666667,Inf
"A Balbirnie","Khaled Ahmed",3,7,2,5,0,0,2.57142857142857,42.8571428571429,1.5
"A Balbirnie","Khushdil Shah",6,4,0,1,1,0,9,150,Inf
"A Balbirnie","Mashrafe Mortaza",5,4,0,2,1,0,7.5,125,Inf
"A Balbirnie","Mohammad Amir",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Balbirnie","Mohammad Wasim",5,3,0,1,1,0,10,166.666666666667,Inf
"A Balbirnie","Mukidul Islam",16,6,0,2,2,1,16,266.666666666667,Inf
"A Balbirnie","Mustafizur Rahman",1,8,1,7,0,0,0.75,12.5,1
"A Balbirnie","Naseem Shah",5,5,0,3,1,0,6,100,Inf
"A Balbirnie","PC de Silva",2,2,0,0,0,0,6,100,Inf
"A Balbirnie","Rubel Hossain",3,6,2,4,0,0,3,50,1.5
"A Balbirnie","Shakib Al Hasan",21,15,0,5,1,1,8.4,140,Inf
"A Balbirnie","Tanvir Islam",10,8,0,2,1,0,7.5,125,Inf
"A Dananjaya","Khaled Ahmed",5,7,1,3,0,0,4.28571428571429,71.4285714285714,5
"A Dananjaya","Mohammad Shahid",2,4,0,2,0,0,3,50,Inf
"A Lyth","Farhad Reza",0,1,1,1,0,0,0,0,0
"A Lyth","Mehedi Hasan Miraz",4,4,1,3,1,0,6,100,4
"A Lyth","Mohammad Sami",0,1,0,1,0,0,0,0,NA
"A Lyth","Mosaddek Hossain",2,2,1,1,0,0,6,100,2
"A Lyth","Shakib Al Hasan",1,3,0,2,0,0,2,33.3333333333333,Inf
"AB de Villiers","AD Russell",25,9,0,3,3,2,16.6666666666667,277.777777777778,Inf
"AB de Villiers","Abu Hider",2,2,0,0,0,0,6,100,Inf
"AB de Villiers","Abu Jayed",0,1,1,1,0,0,0,0,0
"AB de Villiers","Alok Kapali",17,9,0,2,1,1,11.3333333333333,188.888888888889,Inf
"AB de Villiers","Arafat Sunny",8,7,1,4,0,1,6.85714285714286,114.285714285714,8
"AB de Villiers","D Wiese",7,5,0,3,0,1,8.4,140,Inf
"AB de Villiers","Kamrul Islam Rabbi",6,5,0,0,0,0,7.2,120,Inf
"AB de Villiers","Khaled Ahmed",1,1,0,0,0,0,6,100,Inf
"AB de Villiers","Mahmudullah",0,1,1,1,0,0,0,0,0
"AB de Villiers","Mehedi Hasan Miraz",10,5,0,3,1,1,12,200,Inf
"AB de Villiers","Mehedi Hasan Rana",7,4,0,2,0,1,10.5,175,Inf
"AB de Villiers","Mohammad Irfan",1,1,0,0,0,0,6,100,Inf
"AB de Villiers","Mustafizur Rahman",3,4,0,1,0,0,4.5,75,Inf
"AB de Villiers","Qais Ahmad",10,6,0,2,0,1,10,166.666666666667,Inf
"AB de Villiers","Qazi Onik",8,3,0,0,0,1,16,266.666666666667,Inf
"AB de Villiers","Rubel Hossain",20,12,0,3,2,1,10,166.666666666667,Inf
"AB de Villiers","S Lamichhane",3,4,0,1,0,0,4.5,75,Inf
"AB de Villiers","SP Narine",18,11,0,1,2,0,9.81818181818182,163.636363636364,Inf
"AB de Villiers","Sanjit Saha",19,12,0,7,3,1,9.5,158.333333333333,Inf
"AB de Villiers","Shahadat Hossain",10,4,0,0,0,1,15,250,Inf
"AB de Villiers","Shakib Al Hasan",19,11,0,2,1,1,10.3636363636364,172.727272727273,Inf
"AB de Villiers","Subashis Roy",7,5,0,3,0,1,8.4,140,Inf
"AB de Villiers","Taskin Ahmed",6,3,1,1,1,0,12,200,6
"AB de Villiers","Waqar Salamkheil",13,8,0,3,1,1,9.75,162.5,Inf
"AB de Villiers","Yasir Shah",27,14,0,7,3,2,11.5714285714286,192.857142857143,Inf
"AC Thomas","Alauddin Babu",1,1,0,0,0,0,6,100,Inf
"AC Thomas","Azhar Mahmood",1,4,0,3,0,0,1.5,25,Inf
"AC Thomas","BM Edmondson",5,2,0,0,1,0,15,250,Inf
"AC Thomas","DP Nannes",4,3,0,0,0,0,8,133.333333333333,Inf
"AC Thomas","E Chigumbura",2,2,1,1,0,0,6,100,2
"AC Thomas","Enamul Haque jnr",3,4,1,2,0,0,4.5,75,3
