"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CH Gayle",2017-12-12,"Rangpur Riders","Dhaka Dynamites",1,146,69,5,18,211.594202898551,TRUE,"Bangladesh Premier League","2017/18",1121290,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Dhaka Dynamites","Dhaka Dynamites","field","CH Gayle","Rangpur Riders",NA,"57"
"Tamim Iqbal",2019-02-08,"Comilla Victorians","Dhaka Dynamites",1,141,61,10,11,231.147540983607,TRUE,"Bangladesh Premier League","2018/19",1169424,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Dhaka Dynamites","Dhaka Dynamites","field","Tamim Iqbal","Comilla Victorians",NA,"17"
"CH Gayle",2017-12-08,"Rangpur Riders","Khulna Titans",2,126,51,6,14,247.058823529412,TRUE,"Bangladesh Premier League","2017/18",1121287,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Titans","Rangpur Riders","Rangpur Riders","field","CH Gayle","Rangpur Riders","8",NA
"Sabbir Rahman",2016-11-13,"Rajshahi Kings","Barisal Bulls",2,122,61,9,9,200,FALSE,"Bangladesh Premier League","2016/17",1063061,"Shere Bangla National Stadium, Mirpur","Dhaka","Barisal Bulls","Rajshahi Kings","Rajshahi Kings","field","Sabbir Rahman","Barisal Bulls",NA,"4"
"CH Gayle",2012-02-14,"Barisal Burners","Dhaka Gladiators",2,116,61,6,11,190.16393442623,FALSE,"Bangladesh Premier League","2011/12",551054,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Gladiators","Barisal Burners","Barisal Burners","field","Azhar Mahmood","Dhaka Gladiators",NA,"21"
"LMP Simmons",2022-01-28,"Sylhet Sunrisers","Minister Group Dhaka",1,116,65,14,5,178.461538461538,FALSE,"Bangladesh Premier League","2021/22",1296694,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Sylhet Sunrisers","Minister Group Dhaka","Minister Group Dhaka","field","Tamim Iqbal","Minister Group Dhaka","9",NA
"Tanzid Hasan",2024-02-20,"Chattogram Challengers","Khulna Tigers",1,116,65,8,8,178.461538461538,FALSE,"Bangladesh Premier League","2023/24",1412312,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Chattogram Challengers","Khulna Tigers","Chattogram Challengers","bat","Tanzid Hasan","Chattogram Challengers",NA,"65"
"Nazmul Hossain Shanto",2020-01-11,"Khulna Tigers","Dhaka Platoon",2,115,57,8,7,201.754385964912,TRUE,"Bangladesh Premier League","2019/20",1208108,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Platoon","Khulna Tigers","Khulna Tigers","field","Nazmul Hossain Shanto","Khulna Tigers","8",NA
"CH Gayle",2013-02-15,"Dhaka Gladiators","Sylhet Royals",1,114,51,5,12,223.529411764706,FALSE,"Bangladesh Premier League","2012/13",599907,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Gladiators","Sylhet Royals","Sylhet Royals","field","CH Gayle","Dhaka Gladiators",NA,"4"
"Tamim Iqbal",2022-01-28,"Minister Group Dhaka","Sylhet Sunrisers",2,111,64,17,4,173.4375,TRUE,"Bangladesh Premier League","2021/22",1296694,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Sylhet Sunrisers","Minister Group Dhaka","Minister Group Dhaka","field","Tamim Iqbal","Minister Group Dhaka","9",NA
"E Lewis",2019-01-28,"Comilla Victorians","Khulna Titans",1,109,49,5,10,222.448979591837,TRUE,"Bangladesh Premier League","2018/19",1169411,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Comilla Victorians","Khulna Titans","Khulna Titans","field","E Lewis","Comilla Victorians",NA,"80"
"Azam Khan",2023-01-09,"Khulna Tigers","Chattogram Challengers",1,109,58,9,8,187.931034482759,TRUE,"Bangladesh Premier League","2022/23",1351057,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Tigers","Chattogram Challengers","Chattogram Challengers","field","Usman Khan","Chattogram Challengers","9",NA
"WG Jacks",2024-02-13,"Comilla Victorians","Chattogram Challengers",1,108,53,5,10,203.77358490566,TRUE,"Bangladesh Premier League","2023/24",1412302,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Comilla Victorians","Chattogram Challengers","Chattogram Challengers","field","WG Jacks","Comilla Victorians",NA,"73"
"Towhid Hridoy",2024-02-09,"Comilla Victorians","Durdanto Dhaka",2,108,57,8,7,189.473684210526,TRUE,"Bangladesh Premier League","2023/24",1412299,"Shere Bangla National Stadium, Mirpur","Dhaka","Durdanto Dhaka","Comilla Victorians","Durdanto Dhaka","bat","Towhid Hridoy","Comilla Victorians","4",NA
"J Charles",2023-01-31,"Comilla Victorians","Khulna Tigers",2,107,56,5,11,191.071428571429,TRUE,"Bangladesh Premier League","2022/23",1351083,"Sylhet International Cricket Stadium","Sylhet","Khulna Tigers","Comilla Victorians","Comilla Victorians","field","J Charles","Comilla Victorians","7",NA
