"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Mohammad Amir",2020-01-13,"Rajshahi Royals","Khulna Tigers",2,"4.0",0,17,6,4.25,17,"Bangladesh Premier League","2019/20",1208110,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Tigers","Rajshahi Royals","Rajshahi Royals","field","Mohammad Amir","Khulna Tigers",NA,"27"
"Mohammad Sami",2012-02-27,"Dhaka Gladiators","Duronto Rajshahi",1,"3.2",0,6,5,1.8,16,"Bangladesh Premier League","2011/12",551073,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Gladiators","Duronto Rajshahi","Dhaka Gladiators","bat","Mohammad Sami","Duronto Rajshahi","3",NA
"Wahab Riaz",2019-12-30,"Rajshahi Royals","Dhaka Platoon",2,"3.4",1,8,5,2.18181818181818,16,"Bangladesh Premier League","2019/20",1208092,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Platoon","Rajshahi Royals","Rajshahi Royals","field","Wahab Riaz","Dhaka Platoon",NA,"74"
"Abu Hider",2024-02-19,"Fortune Barishal","Rangpur Riders",1,"4.0",0,12,5,3,16,"Bangladesh Premier League","2023/24",1412311,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Fortune Barishal","Rangpur Riders","Fortune Barishal","bat","Abu Hider","Rangpur Riders","1",NA
"KK Cooper",2015-11-23,"Rangpur Riders","Barisal Bulls",2,"4.0",1,15,5,3.75,15,"Bangladesh Premier League","2015/16",935289,"Shere Bangla National Stadium, Mirpur","Dhaka","Barisal Bulls","Rangpur Riders","Rangpur Riders","field","KK Cooper","Barisal Bulls",NA,"13"
"R Frylinck",2020-01-08,"Cumilla Warriors","Khulna Tigers",2,"4.0",1,16,5,4,18,"Bangladesh Premier League","2019/20",1208103,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Tigers","Cumilla Warriors","Cumilla Warriors","field","R Frylinck","Khulna Tigers",NA,"34"
"Shakib Al Hasan",2017-11-21,"Rangpur Riders","Dhaka Dynamites",1,"3.5",0,16,5,4.17391304347826,10,"Bangladesh Premier League","2017/18",1121268,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Dhaka Dynamites","Dhaka Dynamites","field","CH Gayle","Rangpur Riders",NA,"3"
"Hasan Ali",2017-11-20,"Dhaka Dynamites","Comilla Victorians",1,"3.3",0,20,5,5.71428571428571,13,"Bangladesh Premier League","2017/18",1121265,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Comilla Victorians","Dhaka Dynamites","bat","Hasan Ali","Comilla Victorians","4",NA
"Afif Hossain",2016-12-03,"Chittagong Vikings","Rajshahi Kings",1,"4.0",1,21,5,5.25,15,"Bangladesh Premier League","2016/17",1063086,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Rajshahi Kings","Rajshahi Kings","field","Afif Hossain","Rajshahi Kings","6",NA
"Aamer Jamal",2024-02-07,"Khulna Tigers","Comilla Victorians",2,"4.0",0,23,5,5.75,17,"Bangladesh Premier League","2023/24",1412296,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Khulna Tigers","Comilla Victorians","bat","Aamer Jamal","Comilla Victorians",NA,"34"
"Mukidul Islam",2023-02-07,"Fortune Barishal","Comilla Victorians",1,"3.1",0,23,5,7.26315789473684,10,"Bangladesh Premier League","2022/23",1351089,"Shere Bangla National Stadium, Mirpur","Dhaka","Fortune Barishal","Comilla Victorians","Comilla Victorians","field","Mukidul Islam","Comilla Victorians","5",NA
"Imran Tahir",2024-02-13,"Khulna Tigers","Rangpur Riders",2,"4.0",0,26,5,6.5,13,"Bangladesh Premier League","2023/24",1412303,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Rangpur Riders","Khulna Tigers","Rangpur Riders","bat","Imran Tahir","Rangpur Riders",NA,"78"
"NLTC Perera",2015-12-12,"Comilla Victorians","Rangpur Riders",1,"4.0",0,26,5,6.5,12,"Bangladesh Premier League","2015/16",935343,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Rangpur Riders","Rangpur Riders","field","Ashar Zaidi","Comilla Victorians",NA,"72"
"Shafiul Islam",2017-11-27,"Rajshahi Kings","Khulna Titans",2,"4.0",0,26,5,6.5,12,"Bangladesh Premier League","2017/18",1121274,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Khulna Titans","Rajshahi Kings","Rajshahi Kings","field","N Pooran","Khulna Titans",NA,"68"
"Mustafizur Rahman",2022-02-03,"Chattogram Challengers","Comilla Victorians",1,"4.0",0,27,5,6.75,10,"Bangladesh Premier League","2021/22",1296702,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Comilla Victorians","Comilla Victorians","field","Mustafizur Rahman","Comilla Victorians","9",NA
"Abul Hasan",2016-11-09,"Khulna Titans","Rajshahi Kings",1,"4.0",0,28,5,7,11,"Bangladesh Premier League","2016/17",1063055,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Titans","Rajshahi Kings","Khulna Titans","bat","Mahmudullah","Khulna Titans",NA,"3"
"NLTC Perera",2019-12-13,"Cumilla Warriors","Dhaka Platoon",2,"4.0",0,30,5,7.5,8,"Bangladesh Premier League","2019/20",1208072,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Platoon","Cumilla Warriors","Cumilla Warriors","field","NLTC Perera","Dhaka Platoon",NA,"20"
"Nasir Hossain",2017-12-03,"Chittagong Vikings","Sylhet Sixers",1,"4.0",0,31,5,7.75,13,"Bangladesh Premier League","2017/18",1121281,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Sylhet Sixers","Sylhet Sixers","field","Nasir Hossain","Sylhet Sixers","10",NA
"Taskin Ahmed",2016-11-18,"Rajshahi Kings","Chittagong Vikings",2,"4.0",0,31,5,7.75,9,"Bangladesh Premier League","2016/17",1063065,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Chittagong Vikings","Rajshahi Kings","Rajshahi Kings","field","Mohammad Nabi","Chittagong Vikings",NA,"19"
"Al-Amin Hossain",2015-11-24,"Sylhet Super Stars","Barisal Bulls",2,"4.0",0,36,5,9,10,"Bangladesh Premier League","2015/16",935293,"Shere Bangla National Stadium, Mirpur","Dhaka","Barisal Bulls","Sylhet Super Stars","Barisal Bulls","bat","Al-Amin Hossain","Barisal Bulls",NA,"1"
"Nahidul Islam",2023-01-24,"Dhaka Dominators","Khulna Tigers",1,"4.0",2,6,4,1.5,18,"Bangladesh Premier League","2022/23",1351075,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dominators","Khulna Tigers","Khulna Tigers","field","Taskin Ahmed","Dhaka Dominators",NA,"24"
"Shakib Al Hasan",2017-12-02,"Rajshahi Kings","Dhaka Dynamites",2,"4.0",1,8,4,2,17,"Bangladesh Premier League","2017/18",1121280,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Rajshahi Kings","Dhaka Dynamites","bat","SP Narine","Dhaka Dynamites",NA,"99"
"Mohammad Sami",2017-11-25,"Comilla Victorians","Rajshahi Kings",2,"4.0",0,9,4,2.25,17,"Bangladesh Premier League","2017/18",1121271,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Rajshahi Kings","Comilla Victorians","Rajshahi Kings","bat","DJG Sammy","Rajshahi Kings",NA,"30"
"Mosharraf Hossain",2013-01-18,"Khulna Royal Bengals","Dhaka Gladiators",2,"4.0",1,9,4,2.25,16,"Bangladesh Premier League","2012/13",599865,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Gladiators","Khulna Royal Bengals","Dhaka Gladiators","bat","OA Shah","Dhaka Gladiators",NA,"62"
"Taskin Ahmed",2023-01-24,"Khulna Tigers","Dhaka Dominators",2,"3.3",0,9,4,2.57142857142857,15,"Bangladesh Premier League","2022/23",1351075,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dominators","Khulna Tigers","Khulna Tigers","field","Taskin Ahmed","Dhaka Dominators",NA,"24"
"Kamrul Islam Rabbi",2019-01-21,"Comilla Victorians","Rajshahi Kings",2,"3.0",0,10,4,3.33333333333333,13,"Bangladesh Premier League","2018/19",1169401,"Shere Bangla National Stadium, Mirpur","Dhaka","Rajshahi Kings","Comilla Victorians","Comilla Victorians","field","LJ Evans","Rajshahi Kings",NA,"38"
"KK Cooper",2013-02-07,"Khulna Royal Bengals","Chittagong Kings",2,"3.2",0,10,4,3,14,"Bangladesh Premier League","2012/13",599893,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Kings","Khulna Royal Bengals","Khulna Royal Bengals","field","RN ten Doeschate","Chittagong Kings",NA,"89"
"Ashar Zaidi",2015-12-12,"Rangpur Riders","Comilla Victorians",2,"4.0",1,11,4,2.75,17,"Bangladesh Premier League","2015/16",935343,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Rangpur Riders","Rangpur Riders","field","Ashar Zaidi","Comilla Victorians",NA,"72"
"FH Edwards",2013-01-29,"Khulna Royal Bengals","Rangpur Riders",2,"3.4",0,11,4,3,17,"Bangladesh Premier League","2012/13",599882,"MA Aziz Stadium, Chittagong","Chattogram","Rangpur Riders","Khulna Royal Bengals","Rangpur Riders","bat","FH Edwards","Rangpur Riders",NA,"33"
"KOK Williams",2016-12-06,"Chittagong Vikings","Rajshahi Kings",1,"4.0",0,11,4,2.75,17,"Bangladesh Premier League","2016/17",1063089,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Rajshahi Kings","Rajshahi Kings","field","DJG Sammy","Rajshahi Kings","3",NA
"Mashrafe Mortaza",2019-01-08,"Comilla Victorians","Rangpur Riders",1,"4.0",1,11,4,2.75,18,"Bangladesh Premier League","2018/19",1169384,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Rangpur Riders","Rangpur Riders","field","Mashrafe Mortaza","Rangpur Riders","9",NA
"KMDN Kulasekara",2015-11-27,"Rangpur Riders","Comilla Victorians",1,"4.0",1,12,4,3,15,"Bangladesh Premier League","2015/16",935303,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Comilla Victorians","Comilla Victorians","field","MN Samuels","Comilla Victorians","9",NA
"Mohammad Shahid",2015-11-26,"Rangpur Riders","Sylhet Super Stars",1,"4.0",1,12,4,3,17,"Bangladesh Premier League","2015/16",935299,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Sylhet Super Stars","Rangpur Riders","bat","Shakib Al Hasan","Rangpur Riders",NA,"6"
"Mrittunjoy Chowdhury",2022-02-01,"Fortune Barishal","Chattogram Challengers",1,"2.0",0,12,4,6,4,"Bangladesh Premier League","2021/22",1296700,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Fortune Barishal","Chattogram Challengers","Fortune Barishal","bat","Shakib Al Hasan","Fortune Barishal",NA,"14"
"Mujeeb Ur Rahman",2020-01-02,"Sylhet Thunder","Cumilla Warriors",2,"4.0",0,12,4,3,18,"Bangladesh Premier League","2019/20",1208096,"Sylhet International Cricket Stadium","Sylhet","Cumilla Warriors","Sylhet Thunder","Sylhet Thunder","field","Mujeeb Ur Rahman",NA,NA,NA
"Nahidul Islam",2024-01-20,"Chattogram Challengers","Khulna Tigers",1,"4.0",0,12,4,3,17,"Bangladesh Premier League","2023/24",1412277,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Khulna Tigers","Khulna Tigers","field","Nahidul Islam","Khulna Tigers","4",NA
"Naseem Shah",2023-01-23,"Dhaka Dominators","Comilla Victorians",2,"4.0",0,12,4,3,16,"Bangladesh Premier League","2022/23",1351073,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Dhaka Dominators","Dhaka Dominators","field","Khushdil Shah","Comilla Victorians",NA,"60"
"Shahid Afridi",2016-11-10,"Khulna Titans","Rangpur Riders",1,"3.0",0,12,4,4,13,"Bangladesh Premier League","2016/17",1063048,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Titans","Rangpur Riders","Rangpur Riders","field","Shahid Afridi","Rangpur Riders","9",NA
"Shahid Afridi",2017-11-11,"Sylhet Sixers","Dhaka Dynamites",1,"4.0",0,12,4,3,18,"Bangladesh Premier League","2017/18",1121254,"Shere Bangla National Stadium, Mirpur","Dhaka","Sylhet Sixers","Dhaka Dynamites","Dhaka Dynamites","field","Shahid Afridi","Dhaka Dynamites","8",NA
"Sohail Tanvir",2012-02-24,"Duronto Rajshahi","Sylhet Royals",1,"4.0",0,13,4,3.25,15,"Bangladesh Premier League","2011/12",551068,"Shere Bangla National Stadium, Mirpur","Dhaka","Duronto Rajshahi","Sylhet Royals","Sylhet Royals","field","Sohail Tanvir","Sylhet Royals","9",NA
"Tanvir Islam",2024-02-02,"Chattogram Challengers","Comilla Victorians",1,"4.0",1,13,4,3.25,18,"Bangladesh Premier League","2023/24",1412291,"Sylhet International Cricket Stadium","Sylhet","Chattogram Challengers","Comilla Victorians","Comilla Victorians","field","Tanvir Islam","Comilla Victorians","7",NA
"Arafat Sunny",2015-12-07,"Sylhet Super Stars","Rangpur Riders",1,"4.0",0,14,4,3.5,17,"Bangladesh Premier League","2015/16",935329,"Shere Bangla National Stadium, Mirpur","Dhaka","Sylhet Super Stars","Rangpur Riders","Rangpur Riders","field","Arafat Sunny","Rangpur Riders","8",NA
"R Frylinck",2019-01-05,"Rangpur Riders","Chittagong Vikings",1,"4.0",0,14,4,3.5,15,"Bangladesh Premier League","2018/19",1169379,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Chittagong Vikings","Chittagong Vikings","field","R Frylinck","Chittagong Vikings","3",NA
"Rejaur Rahman",2023-01-06,"Chattogram Challengers","Sylhet Strikers",1,"4.0",0,14,4,3.5,12,"Bangladesh Premier League","2022/23",1351052,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Sylhet Strikers","Sylhet Strikers","field","Rejaur Rahman","Sylhet Strikers","8",NA
"Wahab Riaz",2023-01-17,"Rangpur Riders","Khulna Tigers",1,"4.0",0,14,4,3.5,14,"Bangladesh Premier League","2022/23",1351066,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Rangpur Riders","Khulna Tigers","Khulna Tigers","field","Wahab Riaz","Khulna Tigers","9",NA
"SP Narine",2019-02-04,"Chittagong Vikings","Dhaka Dynamites",1,"4.0",0,15,4,3.75,11,"Bangladesh Premier League","2018/19",1169421,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Dhaka Dynamites","Chittagong Vikings","bat","SP Narine","Dhaka Dynamites","6",NA
"MD Shanaka",2024-01-26,"Rangpur Riders","Khulna Tigers",2,"3.0",0,16,4,5.33333333333333,8,"Bangladesh Premier League","2023/24",1412282,"Sylhet International Cricket Stadium","Sylhet","Khulna Tigers","Rangpur Riders","Rangpur Riders","field","MD Shanaka","Khulna Tigers",NA,"28"
