"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
551048,6,"Barisal Burners","Duronto Rajshahi","male","2011/12",2012-02-11,"Bangladesh Premier League",4,"Shere Bangla National Stadium, Mirpur","Dhaka","Barisal Burners","bat","Ahmed Shehzad","DL Orchard","Gazi Sohel","Tanvir Ahmed","Sharfuddoula","MJ Procter","Barisal Burners",NA,22,NA,NA,NA
551049,6,"Khulna Royal Bengals","Chittagong Kings","male","2011/12",2012-02-12,"Bangladesh Premier League",5,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Royal Bengals","bat","Nasir Jamshed","DL Orchard","Enamul Haque","Masudur Rahman","Sharfuddoula","Raqibul Hasan (2)","Chittagong Kings",6,NA,NA,NA,NA
551053,6,"Duronto Rajshahi","Sylhet Royals","male","2011/12",2012-02-14,"Bangladesh Premier League",9,"Shere Bangla National Stadium, Mirpur","Dhaka","Duronto Rajshahi","bat","MN Samuels","DL Orchard","Enamul Haque","Mahfuzur Rahman","Sharfuddoula","Raqibul Hasan (2)","Duronto Rajshahi",NA,16,NA,NA,NA
551054,6,"Dhaka Gladiators","Barisal Burners","male","2011/12",2012-02-14,"Bangladesh Premier League",10,"Shere Bangla National Stadium, Mirpur","Dhaka","Barisal Burners","field","Azhar Mahmood","JW Lloyds","Sharfuddoula","Mahfuzur Rahman","Enamul Haque","Raqibul Hasan (2)","Dhaka Gladiators",NA,21,NA,NA,NA
551057,6,"Barisal Burners","Chittagong Kings","male","2011/12",2012-02-16,"Bangladesh Premier League",13,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Kings","field","Nasir Jamshed","DL Orchard","Enamul Haque","Mahfuzur Rahman","Sharfuddoula","Raqibul Hasan (2)","Chittagong Kings",8,NA,NA,NA,NA
551059,6,"Khulna Royal Bengals","Sylhet Royals","male","2011/12",2012-02-18,"Bangladesh Premier League",15,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Sylhet Royals","field","AD Russell","Enamul Haque","JW Lloyds","Anisur Rahman","Sharfuddoula","MJ Procter","Khulna Royal Bengals",NA,2,NA,NA,NA
551060,6,"Duronto Rajshahi","Chittagong Kings","male","2011/12",2012-02-18,"Bangladesh Premier League",16,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Duronto Rajshahi","bat","Saqlain Sajib","DL Orchard","Sharfuddoula","Anisur Rahman","Enamul Haque","MJ Procter","Duronto Rajshahi",NA,9,NA,NA,NA
551061,6,"Dhaka Gladiators","Khulna Royal Bengals","male","2011/12",2012-02-19,"Bangladesh Premier League",17,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Dhaka Gladiators","bat","S Chanderpaul","DL Orchard","Sharfuddoula","Gazi Sohel","Enamul Haque","Raqibul Hasan (2)","Khulna Royal Bengals",7,NA,NA,NA,NA
551062,6,"Sylhet Royals","Barisal Burners","male","2011/12",2012-02-19,"Bangladesh Premier League",18,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Sylhet Royals","bat","BJ Hodge","Enamul Haque","JW Lloyds","Gazi Sohel","Sharfuddoula","Raqibul Hasan","Barisal Burners",9,NA,NA,NA,NA
551063,6,"Barisal Burners","Duronto Rajshahi","male","2011/12",2012-02-20,"Bangladesh Premier League",19,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Barisal Burners","bat","Junaid Siddique","Enamul Haque","JW Lloyds","Anisur Rahman","Sharfuddoula","MJ Procter","Duronto Rajshahi",9,NA,NA,NA,NA
551066,6,"Khulna Royal Bengals","Barisal Burners","male","2011/12",2012-02-22,"Bangladesh Premier League",22,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Khulna Royal Bengals","bat","Mominul Haque","Enamul Haque","JW Lloyds","Gazi Sohel","Sharfuddoula","MJ Procter","Barisal Burners",4,NA,NA,NA,NA
551067,6,"Chittagong Kings","Dhaka Gladiators","male","2011/12",2012-02-24,"Bangladesh Premier League",23,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Gladiators","field","DJ Bravo","DL Orchard","Nadir Shah","Mahfuzur Rahman","Anisur Rahman","Raqibul Hasan (2)","Chittagong Kings",NA,13,NA,NA,NA
551068,6,"Duronto Rajshahi","Sylhet Royals","male","2011/12",2012-02-24,"Bangladesh Premier League",24,"Shere Bangla National Stadium, Mirpur","Dhaka","Sylhet Royals","field","Sohail Tanvir","Anisur Rahman","JW Lloyds","Mahfuzur Rahman","Nadir Shah","Raqibul Hasan (2)","Sylhet Royals",9,NA,NA,NA,NA
551070,6,"Sylhet Royals","Chittagong Kings","male","2011/12",2012-02-25,"Bangladesh Premier League",26,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Kings","field","PD Trego","DL Orchard","Masudur Rahman","Tanvir Ahmed","Nadir Shah","MJ Procter","Sylhet Royals",NA,35,NA,NA,NA
551071,6,"Khulna Royal Bengals","Duronto Rajshahi","male","2011/12",2012-02-26,"Bangladesh Premier League",27,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Royal Bengals","bat","SM Ervine","DL Orchard","Nadir Shah","Mahfuzur Rahman","Gazi Sohel","Raqibul Hasan (2)","Duronto Rajshahi",8,NA,NA,NA,NA
551073,6,"Dhaka Gladiators","Duronto Rajshahi","male","2011/12",2012-02-27,"Bangladesh Premier League",29,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Gladiators","bat","Mohammad Sami","Mahfuzur Rahman","Nadir Shah","Masudur Rahman","Anisur Rahman","MJ Procter","Duronto Rajshahi",3,NA,NA,NA,NA
