"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie","2022/23","Bangladesh Premier League","Khulna Tigers",5,101,97,104.123711340206,20.2,9,3,0,0,0,38
"A Dananjaya","2017/18","Bangladesh Premier League","Khulna Titans",1,7,11,63.6363636363636,7,0,0,0,0,0,7
"A Lyth","2017/18","Bangladesh Premier League","Rangpur Riders",3,7,11,63.6363636363636,2.33333333333333,1,0,0,0,0,4
"AB de Villiers","2018/19","Bangladesh Premier League","Rangpur Riders",6,247,147,168.027210884354,61.75,18,17,2,1,0,100
"AC Thomas","2012/13","Bangladesh Premier League","Dhaka Gladiators",6,36,35,102.857142857143,9,4,0,2,0,0,12
"ACR Birch","2018/19","Bangladesh Premier League","Dhaka Dynamites",1,7,8,87.5,Inf,0,0,1,0,0,7
"AD Hales","2018/19","Bangladesh Premier League","Rangpur Riders",8,304,182,167.032967032967,43.4285714285714,31,14,1,1,2,100
"AD Hales","2023/24","Bangladesh Premier League","Khulna Tigers",2,82,50,164,41,10,4,0,0,1,60
"AD Mascarenhas","2012/13","Bangladesh Premier League","Rangpur Riders",1,19,11,172.727272727273,19,0,2,0,0,0,19
"AD Russell","2011/12","Bangladesh Premier League","Khulna Royal Bengals",3,64,36,177.777777777778,32,7,3,1,0,0,35
"AD Russell","2015/16","Bangladesh Premier League","Comilla Victorians",3,13,15,86.6666666666667,6.5,0,1,1,0,0,9
"AD Russell","2016/17","Bangladesh Premier League","Dhaka Dynamites",4,93,61,152.459016393443,31,5,6,1,0,0,46
"AD Russell","2018/19","Bangladesh Premier League","Dhaka Dynamites",13,299,191,156.544502617801,33.2222222222222,16,28,4,0,0,46
"AD Russell","2019/20","Bangladesh Premier League","Rajshahi Royals",11,225,125,180,56.25,12,21,7,0,1,54
"AD Russell","2021/22","Bangladesh Premier League","Minister Group Dhaka",5,61,39,156.410256410256,15.25,5,5,1,0,0,31
"AD Russell","2022/23","Bangladesh Premier League","Comilla Victorians",3,45,27,166.666666666667,Inf,2,5,3,0,0,30
"AD Russell","2023/24","Bangladesh Premier League","Comilla Victorians",5,109,53,205.660377358491,54.5,8,10,3,0,0,43
"ADS Fletcher","2016/17","Bangladesh Premier League","Khulna Titans",6,92,81,113.58024691358,15.3333333333333,11,3,0,0,0,28
