"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Shakib Al Hasan","Dhaka Dynamites","2018/19","Bangladesh Premier League",15,"56.0",2,406,23,17.6521739130435,7.25,14.6086956521739,149,1,0,"4/16"
"KK Cooper","Barisal Bulls","2015/16","Bangladesh Premier League",9,"35.0",1,205,22,9.31818181818182,5.85714285714286,9.54545454545454,97,1,1,"5/15"
"Shakib Al Hasan","Dhaka Dynamites","2017/18","Bangladesh Premier League",13,"44.5",3,291,22,13.2272727272727,6.4907063197026,12.2272727272727,121,1,1,"5/16"
"Taskin Ahmed","Sylhet Sixers","2018/19","Bangladesh Premier League",12,"37.1",0,318,22,14.4545454545455,8.55605381165919,10.1363636363636,85,2,0,"4/28"
"Shoriful Islam","Durdanto Dhaka","2023/24","Bangladesh Premier League",12,"44.4",0,349,22,15.8636363636364,7.8134328358209,12.1818181818182,140,1,0,"4/24"
"Rubel Hossain","Dhaka Dynamites","2018/19","Bangladesh Premier League",15,"52.4",1,407,22,18.5,7.72784810126582,14.3636363636364,123,2,0,"4/23"
"DJ Bravo","Dhaka Dynamites","2016/17","Bangladesh Premier League",13,"44.2",0,335,21,15.952380952381,7.55639097744361,12.6666666666667,101,0,0,"3/10"
"Abu Hider","Comilla Victorians","2015/16","Bangladesh Premier League",11,"41.4",1,282,20,14.1,6.768,12.5,109,2,0,"4/19"
"Mustafizur Rahman","Rangpur Rangers","2019/20","Bangladesh Premier League",12,"44.3",2,312,20,15.6,7.01123595505618,13.35,139,0,0,"3/10"
"Mohammad Amir","Khulna Tigers","2019/20","Bangladesh Premier League",13,"50.2",0,355,20,17.75,7.05298013245033,15.1,131,0,1,"6/17"
"Mohammad Saifuddin","Comilla Victorians","2018/19","Bangladesh Premier League",13,"46.0",2,356,20,17.8,7.73913043478261,13.8,127,1,0,"4/22"
"Rubel Hossain","Chattogram Challengers","2019/20","Bangladesh Premier League",13,"48.5",0,357,20,17.85,7.31058020477816,14.65,121,0,0,"3/17"
"Mashrafe Mortaza","Rangpur Riders","2018/19","Bangladesh Premier League",13,"51.0",1,365,20,18.25,7.15686274509804,15.3,133,1,0,"4/11"
"R Frylinck","Khulna Tigers","2019/20","Bangladesh Premier League",14,"53.0",3,392,20,19.6,7.39622641509434,15.9,146,0,1,"5/16"
"Mustafizur Rahman","Comilla Victorians","2021/22","Bangladesh Premier League",11,"38.4",0,256,19,13.4736842105263,6.62068965517241,12.2105263157895,107,0,1,"5/27"
"Azhar Mahmood","Barisal Burners","2012/13","Bangladesh Premier League",12,"42.0",1,282,19,14.8421052631579,6.71428571428571,13.2631578947368,109,0,0,"3/7"
"Mohammad Nabi","Chittagong Vikings","2016/17","Bangladesh Premier League",13,"44.0",0,285,19,15,6.47727272727273,13.8947368421053,127,1,0,"4/24"
"Junaid Khan","Khulna Titans","2016/17","Bangladesh Premier League",13,"49.0",0,297,19,15.6315789473684,6.06122448979592,15.4736842105263,156,2,0,"4/23"
"Shohidul Islam","Khulna Tigers","2019/20","Bangladesh Premier League",13,"49.0",0,396,19,20.8421052631579,8.08163265306122,15.4736842105263,120,1,0,"4/23"
"NLTC Perera","Rangpur Riders","2015/16","Bangladesh Premier League",11,"33.2",2,207,18,11.5,6.21,11.1111111111111,99,0,1,"5/26"
"Shakib Al Hasan","Rangpur Riders","2015/16","Bangladesh Premier League",10,"39.0",2,240,18,13.3333333333333,6.15384615384615,13,124,1,0,"4/16"
"Mehedi Hasan Rana","Chattogram Challengers","2019/20","Bangladesh Premier League",10,"38.0",2,285,18,15.8333333333333,7.5,12.6666666666667,108,2,0,"4/23"
"AC Thomas","Dhaka Gladiators","2012/13","Bangladesh Premier League",11,"39.5",1,286,18,15.8888888888889,7.17991631799163,13.2777777777778,109,0,0,"3/19"
"DJ Bravo","Fortune Barishal","2021/22","Bangladesh Premier League",10,"38.4",0,301,18,16.7222222222222,7.78448275862069,12.8888888888889,89,0,0,"3/30"
"SP Narine","Dhaka Dynamites","2018/19","Bangladesh Premier League",15,"56.0",0,356,18,19.7777777777778,6.35714285714286,18.6666666666667,140,1,0,"4/15"
"Abu Jayed","Khulna Titans","2017/18","Bangladesh Premier League",12,"41.0",0,367,18,20.3888888888889,8.95121951219512,13.6666666666667,90,1,0,"4/35"
"Abu Jayed","Chittagong Vikings","2018/19","Bangladesh Premier League",13,"49.0",1,415,18,23.0555555555556,8.46938775510204,16.3333333333333,116,0,0,"3/25"
"Mosharraf Hossain","Dhaka Gladiators","2012/13","Bangladesh Premier League",11,"38.3",1,241,17,14.1764705882353,6.25974025974026,13.5882352941176,87,1,0,"4/9"
"Shahid Afridi","Rangpur Riders","2016/17","Bangladesh Premier League",11,"40.0",1,254,17,14.9411764705882,6.35,14.1176470588235,119,1,0,"4/12"
"Shafiul Islam","Khulna Titans","2016/17","Bangladesh Premier League",11,"38.3",0,285,17,16.7647058823529,7.4025974025974,13.5882352941176,94,2,0,"4/17"
"Tanvir Islam","Comilla Victorians","2022/23","Bangladesh Premier League",12,"47.0",0,299,17,17.5882352941176,6.36170212765957,16.5882352941176,127,1,0,"4/33"
"Shakib Al Hasan","Rangpur Riders","2023/24","Bangladesh Premier League",13,"47.5",1,302,17,17.7647058823529,6.31358885017422,16.8823529411765,129,0,0,"3/16"
"Khaled Ahmed","Chittagong Vikings","2018/19","Bangladesh Premier League",13,"48.4",1,378,17,22.2352941176471,7.76712328767123,17.1764705882353,126,0,0,"3/20"
"Al-Amin Hossain","Barisal Bulls","2015/16","Bangladesh Premier League",13,"49.0",0,389,17,22.8823529411765,7.93877551020408,17.2941176470588,120,0,1,"5/36"
"Hasan Mahmud","Rangpur Riders","2022/23","Bangladesh Premier League",14,"52.5",0,422,17,24.8235294117647,7.98738170347003,18.6470588235294,112,0,0,"3/12"
"Ashar Zaidi","Comilla Victorians","2015/16","Bangladesh Premier League",10,"33.0",1,159,16,9.9375,4.81818181818182,12.375,105,1,0,"4/11"
"Mosharraf Hossain","Dhaka Dynamites","2015/16","Bangladesh Premier League",10,"27.0",0,165,16,10.3125,6.11111111111111,10.125,77,1,0,"4/16"
"Arafat Sunny","Rangpur Riders","2015/16","Bangladesh Premier League",10,"33.0",0,198,16,12.375,6,12.375,102,1,0,"4/14"
"Nasir Hossain","Dhaka Dominators","2022/23","Bangladesh Premier League",11,"33.0",0,225,16,14.0625,6.81818181818182,12.375,86,1,0,"4/20"
"Shakib Al Hasan","Fortune Barishal","2021/22","Bangladesh Premier League",11,"43.3",0,233,16,14.5625,5.35632183908046,16.3125,131,0,0,"3/23"
