"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ayre",1,0,1,0,0,0,0,0,0,0,0
"A Flintoff",7,74,60,123.333333333333,14.8,6,2,2,0,0,46
"A Lyth",7,73,76,96.0526315789474,10.4285714285714,8,0,0,0,0,35
"A Zampa",40,161,177,90.9604519774011,7.66666666666667,13,3,19,0,0,23
"AB McDonald",11,219,194,112.886597938144,21.9,10,10,1,0,2,60
"AB de Villiers",6,146,104,140.384615384615,24.3333333333333,8,6,0,0,1,71
"AC Agar",59,700,600,116.666666666667,17.5,39,28,19,0,1,68
"AC Blizzard",25,572,451,126.829268292683,28.6,51,15,5,0,2,80
"AC McDermott",2,0,5,0,0,0,0,1,0,0,0
"AC Thomas",7,23,35,65.7142857142857,5.75,1,0,3,0,0,7
"AC Voges",48,963,764,126.047120418848,26.027027027027,77,13,11,0,4,58
"AD Hales",77,2251,1514,148.678996036988,31.7042253521127,234,99,6,1,15,110
"AD Mascarenhas",4,25,29,86.2068965517241,8.33333333333333,0,1,1,0,0,16
"AD Russell",24,454,291,156.013745704467,23.8947368421053,25,35,5,0,1,57
"ADS Fletcher",12,206,158,130.379746835443,20.6,22,9,2,0,1,89
"AF Milne",5,8,8,100,4,0,0,3,0,0,3
"AI Ross",89,1920,1499,128.085390260173,27.4285714285714,135,68,19,0,9,77
"AJ Crosthwaite",6,60,60,100,10,5,2,0,0,0,18
"AJ Doolan",22,388,353,109.915014164306,19.4,41,4,2,0,1,70
"AJ Finch",104,3310,2522,131.245043616178,34.8421052631579,292,118,9,2,26,111
"AJ Hose",21,402,310,129.677419354839,23.6470588235294,31,14,4,0,1,56
"AJ Hosein",8,90,70,128.571428571429,15,4,5,2,0,0,30
"AJ Nair",23,238,201,118.407960199005,19.8333333333333,14,7,11,0,0,45
"AJ Turner",100,2002,1385,144.548736462094,27.0540540540541,134,87,26,0,12,84
"AJ Tye",36,266,228,116.666666666667,11.5652173913043,23,11,13,0,0,44
"AK Heal",2,1,3,33.3333333333333,0.5,0,0,0,0,0,1
"AL Fekete",4,3,12,25,1.5,0,0,2,0,0,1
"AM Hardie",44,1040,778,133.676092544987,30.5882352941176,74,42,10,0,6,90
"AP Devcich",7,91,87,104.597701149425,13,10,1,0,0,0,26
"AR Beadle",1,7,7,100,7,0,0,0,0,0,7
"AR Keath",2,10,11,90.9090909090909,5,0,0,0,0,0,6
"AT Carey",56,1837,1425,128.912280701754,34.6603773584906,183,47,3,2,11,101
"AU Rashid",4,43,24,179.166666666667,43,5,1,3,0,0,25
"AW O'Brien",12,68,68,100,13.6,3,2,7,0,0,14
"AW Robinson",5,71,57,124.561403508772,14.2,8,3,0,0,0,25
"Abdul Razzaq",4,42,35,120,14,1,3,1,0,0,27
"Ahmed Daniyal",1,1,2,50,Inf,0,0,1,0,0,1
"Asif Ali",8,79,59,133.898305084746,9.875,5,6,0,0,0,41
"Azhar Mahmood",2,2,10,20,1,0,0,0,0,0,1
"B Doggett",14,38,42,90.4761904761905,5.42857142857143,4,0,7,0,0,10
"B Laughlin",31,134,148,90.5405405405405,6.7,9,4,11,0,0,22
"B Lee",14,82,69,118.840579710145,10.25,6,3,6,0,0,22
"B Nikitaras",1,8,12,66.6666666666667,8,1,0,0,0,0,8
"B Stanlake",12,16,32,50,8,0,0,10,0,0,4
"BA Stokes",4,128,82,156.09756097561,32,11,8,0,0,1,77
"BAC Howell",1,0,2,0,0,0,0,0,0,0,0
"BAD Manenti",13,88,97,90.7216494845361,9.77777777777778,3,2,4,0,0,23
"BAW Mendis",2,13,11,118.181818181818,6.5,3,0,0,0,0,8
"BB McCullum",35,933,679,137.40795287187,28.2727272727273,88,39,2,0,9,72
"BCJ Cutting",100,1709,1199,142.535446205171,22.7866666666667,126,94,25,0,2,81
"BE McGain",1,0,0,NA,NA,0,0,1,0,0,0
"BE Young",2,12,15,80,12,0,0,1,0,0,9
"BG Drew",2,15,23,65.2173913043478,7.5,1,0,0,0,0,10
"BJ Dwarshuis",54,456,331,137.764350453172,15.7241379310345,31,20,25,0,1,66
"BJ Haddin",23,550,414,132.850241545894,26.1904761904762,48,22,2,0,4,76
"BJ Hodge",42,1330,989,134.479271991911,44.3333333333333,109,52,12,0,10,88
"BJ Holt",7,84,88,95.4545454545455,14,5,3,1,0,0,37
"BJ Rohrer",52,912,685,133.138686131387,26.0571428571429,68,28,17,0,1,52
"BJ Webster",63,1393,1167,119.36589545844,28.4285714285714,94,44,14,0,11,78
"BL Couch",6,12,20,60,4,1,0,3,0,0,8
"BM Duckett",12,302,235,128.510638297872,25.1666666666667,31,6,0,0,3,78
"BM Edmondson",2,0,1,0,0,0,0,1,0,0,0
"BMAJ Mendis",2,7,11,63.6363636363636,3.5,1,0,0,0,0,5
"BR Dunk",77,1692,1328,127.409638554217,22.8648648648649,141,54,3,0,10,96
"BR McDermott",91,2596,1881,138.011695906433,34.1578947368421,181,123,15,3,15,127
"BS Dean",1,3,6,50,3,0,0,0,0,0,3
"BW Hilfenhaus",21,142,126,112.698412698413,12.9090909090909,8,6,10,0,0,38
"C Connolly",12,226,155,145.806451612903,28.25,16,9,4,0,0,37
"C Green",9,106,98,108.163265306122,15.1428571428571,7,0,2,0,0,36
"C Kellaway",8,83,67,123.880597014925,13.8333333333333,6,2,2,0,0,25
"C Kieswetter",8,192,165,116.363636363636,24,18,8,0,0,2,51
"C Munro",47,1362,1021,133.398628795299,34.05,94,61,7,1,9,114
"C Valente",9,84,71,118.30985915493,16.8,8,1,4,0,0,21
"C de Grandhomme",13,232,165,140.606060606061,19.3333333333333,18,10,1,0,0,37
"CA Ingram",35,868,642,135.202492211838,28.9333333333333,67,40,5,0,6,75
"CA Lynn",116,3680,2464,149.350649350649,36.4356435643564,302,206,15,1,30,101
"CA Philipson",2,4,15,26.6666666666667,2,0,0,0,0,0,2
"CA Rose",24,183,132,138.636363636364,15.25,15,7,12,0,0,32
"CA Wakim",3,39,41,95.1219512195122,13,3,1,0,0,0,20
"CD Hartley",12,80,79,101.26582278481,20,6,0,8,0,0,23
"CD Hinchliffe",17,98,121,80.9917355371901,8.90909090909091,5,1,6,0,0,25
"CH Gayle",20,616,447,137.807606263982,32.4210526315789,34,49,1,1,4,100
"CH Morris",13,112,76,147.368421052632,12.4444444444444,9,4,4,0,0,21
"CJ Anderson",9,110,119,92.436974789916,22,8,4,4,0,0,41
"CJ Borgas",11,145,135,107.407407407407,14.5,10,2,1,0,0,31
"CJ Boyce",45,297,261,113.793103448276,9.58064516129032,19,16,14,0,1,51
"CJ Ferguson",80,1882,1516,124.142480211082,26.8857142857143,157,41,10,1,8,113
"CJ Gannon",10,71,71,100,14.2,7,1,5,0,0,23
"CJ Green",64,655,496,132.056451612903,16.375,44,19,24,0,1,50
"CJ Jordan",25,225,179,125.698324022346,10.7142857142857,13,13,4,0,1,59
"CJ McKay",15,85,70,121.428571428571,14.1666666666667,5,3,9,0,0,14
"CJ Rocchiccioli",1,1,2,50,1,0,0,0,0,0,1
"CJ Simmons",20,501,351,142.735042735043,25.05,43,30,0,2,0,112
"CJL Rogers",5,63,68,92.6470588235294,12.6,6,1,0,0,0,23
"CJM Sabburg",4,45,57,78.9473684210526,22.5,1,0,2,0,0,19
"CL White",70,1568,1357,115.549005158438,26.5762711864407,111,55,11,0,11,88
"CP Jewell",49,996,775,128.516129032258,21.1914893617021,110,25,2,0,5,70
"CP Simpson",1,8,5,160,Inf,1,0,1,0,0,8
"CP Tremain",16,80,68,117.647058823529,13.3333333333333,6,3,10,0,0,37
"CR Brathwaite",14,71,64,110.9375,6.45454545454545,7,2,3,0,0,21
"CR Woakes",2,8,10,80,Inf,1,0,2,0,0,8
"CS Delport",1,30,29,103.448275862069,30,2,1,0,0,0,30
"CS Sandri",2,22,15,146.666666666667,22,1,1,1,0,0,13
"CT Bancroft",70,1824,1482,123.076923076923,33.1636363636364,135,44,15,0,13,95
"CT Tremlett",1,8,6,133.333333333333,Inf,1,0,1,0,0,8
"DA Miller",12,198,151,131.12582781457,22,10,9,3,0,1,90
"DA Payne",4,40,21,190.47619047619,40,0,4,3,0,0,14
"DA Warner",11,301,224,134.375,33.4444444444444,24,10,2,1,1,102
"DE Bollinger",9,12,12,100,2.4,0,0,4,0,0,6
"DJ Bravo",38,677,504,134.325396825397,23.3448275862069,36,36,9,0,2,59
"DJ Harris",13,237,232,102.155172413793,18.2307692307692,23,5,0,0,0,49
"DJ Hussey",36,744,566,131.448763250883,26.5714285714286,61,19,8,0,2,52
"DJ Malan",10,265,233,113.733905579399,26.5,23,6,0,0,1,75
"DJ Pattinson",2,8,7,114.285714285714,4,1,0,0,0,0,5
"DJ Thornely",9,90,66,136.363636363636,15,3,5,3,0,0,29
"DJ Willey",18,227,207,109.661835748792,15.1333333333333,14,9,3,0,1,55
"DJ Worrall",20,131,108,121.296296296296,13.1,11,4,10,0,1,62
"DJG Sammy",10,123,82,150,24.6,8,6,5,0,0,38
"DJM Moody",2,8,15,53.3333333333333,8,0,0,1,0,0,8
"DJM Short",93,2950,2248,131.227758007117,35.1190476190476,285,99,9,2,22,122
"DL Vettori",9,73,62,117.741935483871,14.6,5,2,4,0,0,40
"DLR Smith",14,72,100,72,5.53846153846154,7,0,1,0,0,21
"DMK Grant",1,1,1,100,Inf,0,0,1,0,0,1
"DP Hughes",98,2333,1910,122.146596858639,28.1084337349398,212,54,15,0,15,96
"DP Michael",2,0,2,0,0,0,0,0,0,0,0
"DP Nannes",8,4,6,66.6666666666667,4,0,0,7,0,0,2
"DPMD Jayawardene",7,191,157,121.656050955414,27.2857142857143,18,6,0,0,2,57
"DR Briggs",7,55,37,148.648648648649,13.75,6,2,3,0,0,35
"DR Drew",3,45,38,118.421052631579,22.5,4,0,1,0,0,23
"DR Salpietro",2,13,27,48.1481481481481,6.5,0,0,0,0,0,12
"DR Sams",71,823,592,139.02027027027,13.9491525423729,49,49,12,0,3,98
"DT Christian",121,2042,1510,135.23178807947,22.4395604395604,138,98,30,0,9,75
"DW Lawrence",9,157,127,123.622047244094,17.4444444444444,16,5,0,0,1,50
"Dilbar Hussain",1,7,8,87.5,Inf,0,0,1,0,0,7
"EJG Morgan",13,318,265,120,31.8,23,13,3,0,2,71
"EJM Cowan",6,67,65,103.076923076923,13.4,7,1,1,0,0,43
"EP Gulbis",28,386,301,128.239202657807,18.3809523809524,35,11,7,0,1,61
"F du Plessis",8,177,123,143.90243902439,22.125,17,9,0,0,1,68
"FH Edwards",1,0,1,0,NA,0,0,1,0,0,0
"Faheem Ashraf",7,61,57,107.017543859649,15.25,3,4,3,0,0,26
"Fakhar Zaman",1,3,8,37.5,3,0,0,0,0,0,3
"Fawad Ahmed",20,47,53,88.6792452830189,5.22222222222222,3,3,11,0,0,19
"Fazalhaq Farooqi",2,1,3,33.3333333333333,1,0,0,1,0,0,1
