"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"SA Abbott",115,"392.0",3,3289,164,20.0548780487805,8.39030612244898,14.3414634146341,881,4,1,"5/16"
"AJ Tye",108,"389.0",3,3058,154,19.8571428571429,7.86118251928021,15.1558441558442,924,6,1,"5/23"
"BJ Dwarshuis",104,"371.0",4,2972,134,22.1791044776119,8.01078167115903,16.6119402985075,938,2,2,"5/21"
"KW Richardson",104,"384.5",5,3028,131,23.1145038167939,7.86834127327848,17.6259541984733,936,5,0,"4/22"
"JP Behrendorff",94,"343.0",3,2374,123,19.3008130081301,6.92128279883382,16.7317073170732,968,2,0,"4/22"
"DR Sams",82,"275.5",2,2354,112,21.0178571428571,8.53413897280967,14.7767857142857,598,5,1,"5/30"
"A Zampa",102,"379.1",1,2782,112,24.8392857142857,7.33714285714286,20.3125,730,0,1,"5/17"
"MG Neser",93,"306.3",2,2552,106,24.0754716981132,8.32626427406199,17.3490566037736,722,3,0,"4/25"
"CJ Boyce",95,"340.0",0,2543,105,24.2190476190476,7.47941176470588,19.4285714285714,588,1,1,"5/21"
"B Laughlin",90,"314.1",1,2562,105,24.4,8.15490716180371,17.952380952381,661,2,0,"4/26"
"PM Siddle",82,"279.4",2,2117,99,21.3838383838384,7.56972586412396,16.9494949494949,661,2,2,"5/16"
"SNJ O'Keefe",95,"333.5",1,2201,99,22.2323232323232,6.59311033449825,20.2323232323232,728,3,0,"4/10"
"Rashid Khan",68,"266.2",1,1716,98,17.5102040816327,6.44305381727159,16.3061224489796,636,1,1,"6/17"
"JA Richardson",68,"251.5",5,1944,94,20.6808510638298,7.71939113170086,16.0744680851064,683,5,0,"4/9"
"DT Christian",109,"292.2",0,2408,91,26.4615384615385,8.23717217787913,19.2747252747253,577,2,2,"5/14"
"NM Coulter-Nile",74,"266.3",2,1989,90,22.1,7.46341463414634,17.7666666666667,640,1,0,"4/10"
"Fawad Ahmed",93,"347.3",4,2479,90,27.5444444444444,7.13381294964029,23.1666666666667,691,1,0,"4/14"
"MT Steketee",71,"248.3",1,2256,89,25.3483146067416,9.0784708249497,16.752808988764,587,2,0,"4/33"
"RP Meredith",68,"246.2",0,1996,87,22.9425287356322,8.10284167794317,16.9885057471264,617,1,0,"4/21"
"JP Faulkner",66,"210.1",3,1624,80,20.3,7.72720063441713,15.7625,528,1,0,"4/46"
"JM Bird",81,"276.3",4,2050,77,26.6233766233766,7.41410488245931,21.5454545454545,719,1,0,"4/31"
"NT Ellis",61,"225.2",0,1859,73,25.4657534246575,8.25,18.5205479452055,456,3,0,"4/27"
"SM Boland",59,"217.3",1,1843,72,25.5972222222222,8.4735632183908,18.125,485,2,0,"4/30"
"GS Sandhu",70,"224.1",2,1792,71,25.2394366197183,7.99405204460967,18.943661971831,516,1,0,"4/22"
"BCJ Cutting",104,"263.3",1,2304,71,32.4507042253521,8.7438330170778,22.2676056338028,433,0,0,"3/24"
"CJ Green",96,"301.2",1,2171,70,31.0142857142857,7.20464601769912,25.8285714285714,624,1,0,"4/34"
"WA Agar",56,"185.1",1,1663,69,24.1014492753623,8.98109810981098,16.1014492753623,429,3,0,"4/6"
"MJ Swepson",74,"260.3",0,1955,68,28.75,7.50479846449136,22.9852941176471,488,0,0,"3/14"
