"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Ayre","A Zampa",0,1,1,1,0,0,0,0,0
"A Flintoff","AB McDonald",0,2,1,2,0,0,0,0,0
"A Flintoff","AC Agar",2,2,0,0,0,0,6,100,Inf
"A Flintoff","B Lee",8,4,0,0,1,0,12,200,Inf
"A Flintoff","DE Bollinger",4,4,0,1,0,0,6,100,Inf
"A Flintoff","GB Hogg",3,4,0,2,0,0,4.5,75,Inf
"A Flintoff","GS Sandhu",0,1,0,1,0,0,0,0,NA
"A Flintoff","JP Behrendorff",2,3,1,2,0,0,4,66.6666666666667,2
"A Flintoff","JP Faulkner",1,1,0,0,0,0,6,100,Inf
"A Flintoff","JW Hastings",0,3,1,3,0,0,0,0,0
"A Flintoff","MC Henriques",14,9,1,3,2,0,9.33333333333333,155.555555555556,14
"A Flintoff","SA Abbott",3,7,0,4,0,0,2.57142857142857,42.8571428571429,Inf
"A Flintoff","SJC Keen",6,3,0,0,1,0,12,200,Inf
"A Flintoff","SM Boland",14,6,0,3,2,1,14,233.333333333333,Inf
"A Flintoff","SNJ O'Keefe",11,5,0,0,0,1,13.2,220,Inf
"A Flintoff","Shakib Al Hasan",3,4,0,1,0,0,4.5,75,Inf
"A Flintoff","Shoaib Malik",3,2,0,0,0,0,9,150,Inf
"A Lyth","A Zampa",6,5,0,1,0,0,7.2,120,Inf
"A Lyth","AJ Hosein",1,2,0,1,0,0,3,50,Inf
"A Lyth","B Doggett",2,5,0,3,0,0,2.4,40,Inf
"A Lyth","CJ Green",4,3,0,0,0,0,8,133.333333333333,Inf
"A Lyth","HTRY Thornton",4,4,1,3,1,0,6,100,4
"A Lyth","JM Bird",4,2,1,1,1,0,12,200,4
"A Lyth","JS Paris",5,5,0,3,0,0,6,100,Inf
"A Lyth","KW Richardson",0,3,1,3,0,0,0,0,0
"A Lyth","L Wood",12,7,0,2,2,0,10.2857142857143,171.428571428571,Inf
"A Lyth","MP Stoinis",2,4,2,2,0,0,3,50,1
"A Lyth","N McAndrew",4,6,0,5,1,0,4,66.6666666666667,Inf
"A Lyth","NM Coulter-Nile",7,6,0,2,1,0,7,116.666666666667,Inf
"A Lyth","PG Dooley",1,2,0,1,0,0,3,50,Inf
"A Lyth","RP Meredith",4,2,1,1,1,0,12,200,4
"A Lyth","TA Boult",15,16,0,8,1,0,5.625,93.75,Inf
"A Lyth","TS Rogers",1,2,0,1,0,0,3,50,Inf
"A Lyth","Usman Qadir",1,2,0,1,0,0,3,50,Inf
"A Zampa","AD Mascarenhas",2,2,0,1,0,0,6,100,Inf
"A Zampa","AD Russell",3,3,0,0,0,0,6,100,Inf
"A Zampa","AF Milne",11,9,0,6,1,1,7.33333333333333,122.222222222222,Inf
"A Zampa","AJ Tye",7,12,1,8,1,0,3.5,58.3333333333333,7
"A Zampa","AM Hardie",1,1,0,0,0,0,6,100,Inf
"A Zampa","B Laughlin",0,5,0,5,0,0,0,0,NA
"A Zampa","BCJ Cutting",5,5,0,1,0,0,6,100,Inf
"A Zampa","CJ Gannon",2,1,0,0,0,0,12,200,Inf
"A Zampa","CJ Green",5,8,0,4,0,0,3.75,62.5,Inf
"A Zampa","CJ McKay",14,9,0,1,1,0,9.33333333333333,155.555555555556,Inf
"A Zampa","CP Tremain",6,5,1,2,1,0,7.2,120,6
"A Zampa","DE Bollinger",1,1,0,0,0,0,6,100,Inf
"A Zampa","DJ Worrall",1,2,1,1,0,0,3,50,1
"A Zampa","DR Sams",5,9,1,5,0,0,3.33333333333333,55.5555555555556,5
"A Zampa","DT Christian",15,8,0,1,1,1,11.25,187.5,Inf
"A Zampa","GB Hogg",0,1,1,1,0,0,0,0,0
"A Zampa","GS Sandhu",3,5,0,3,0,0,3.6,60,Inf
"A Zampa","HF Gurney",4,4,0,1,0,0,6,100,Inf
"A Zampa","JJ Bazley",4,2,0,1,1,0,12,200,Inf
"A Zampa","JK Lalor",1,1,0,0,0,0,6,100,Inf
"A Zampa","JP Behrendorff",2,5,1,3,0,0,2.4,40,2
"A Zampa","JR Hazlewood",0,1,0,1,0,0,0,0,NA
"A Zampa","JW Hastings",4,2,1,1,1,0,12,200,4
"A Zampa","KAJ Roach",4,5,0,4,1,0,4.8,80,Inf
"A Zampa","KW Richardson",3,12,2,10,0,0,1.5,25,1.5
"A Zampa","M Kelly",1,2,0,1,0,0,3,50,Inf
"A Zampa","MG Neser",1,2,0,1,0,0,3,50,Inf
"A Zampa","MJ Swepson",13,9,1,3,2,0,8.66666666666667,144.444444444444,13
"A Zampa","Mujeeb Ur Rahman",0,4,1,4,0,0,0,0,0
"A Zampa","N McAndrew",1,1,0,0,0,0,6,100,Inf
"A Zampa","NM Lyon",8,6,1,2,1,0,8,133.333333333333,8
"A Zampa","PM Siddle",6,5,1,2,1,0,7.2,120,6
"A Zampa","SA Abbott",1,3,1,2,0,0,2,33.3333333333333,1
"A Zampa","SH Johnson",5,1,0,0,0,0,30,500,Inf
"A Zampa","SNJ O'Keefe",3,4,1,1,0,0,4.5,75,3
"A Zampa","SR Watson",1,5,1,4,0,0,1.2,20,1
"A Zampa","SW Tait",1,1,0,0,0,0,6,100,Inf
"A Zampa","T Sangha",2,2,0,0,0,0,6,100,Inf
"A Zampa","TL Lawford",7,5,0,3,1,0,8.4,140,Inf
"A Zampa","W Sutherland",2,4,0,2,0,0,3,50,Inf
"A Zampa","Yasir Arafat",6,5,1,3,0,1,7.2,120,6
"AB McDonald","AC McDermott",1,6,1,5,0,0,1,16.6666666666667,1
"AB McDonald","AC Thomas",2,3,0,1,0,0,4,66.6666666666667,Inf
