"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"GJ Maxwell",2022-01-19,"Melbourne Stars","Hobart Hurricanes",1,154,64,22,4,240.625,TRUE,"Big Bash League","2021/22",1269693,"Melbourne Cricket Ground","Melbourne","Melbourne Stars","Hobart Hurricanes","Hobart Hurricanes","field","GJ Maxwell","Melbourne Stars",NA,"106"
"MP Stoinis",2020-01-12,"Melbourne Stars","Sydney Sixers",1,147,79,13,8,186.075949367089,TRUE,"Big Bash League","2019/20",1195606,"Melbourne Cricket Ground","Melbourne","Melbourne Stars","Sydney Sixers","Sydney Sixers","field","MP Stoinis","Melbourne Stars",NA,"44"
"J Brown",2024-01-22,"Brisbane Heat","Adelaide Strikers",1,140,57,10,12,245.614035087719,FALSE,"Big Bash League","2023/24",1386136,"Carrara Oval","Carrara","Brisbane Heat","Adelaide Strikers","Brisbane Heat","bat","J Brown","Brisbane Heat",NA,"54"
"MS Wade",2020-01-26,"Hobart Hurricanes","Adelaide Strikers",1,130,61,11,7,213.114754098361,TRUE,"Big Bash League","2019/20",1195627,"Adelaide Oval","Adelaide","Adelaide Strikers","Hobart Hurricanes","Hobart Hurricanes","bat","MS Wade","Hobart Hurricanes",NA,"10"
"BR McDermott",2021-12-29,"Hobart Hurricanes","Melbourne Renegades",1,127,65,9,9,195.384615384615,FALSE,"Big Bash League","2021/22",1269663,"Docklands Stadium, Melbourne","Melbourne","Hobart Hurricanes","Melbourne Renegades","Melbourne Renegades","field","BR McDermott","Hobart Hurricanes",NA,"85"
"SPD Smith",2023-01-21,"Sydney Sixers","Sydney Thunder",1,125,66,5,9,189.393939393939,TRUE,"Big Bash League","2022/23",1324673,"Sydney Cricket Ground","Sydney","Sydney Sixers","Sydney Thunder","Sydney Sixers","bat","SPD Smith","Sydney Sixers",NA,"125"
"DJM Short",2018-01-10,"Hobart Hurricanes","Brisbane Heat",1,122,69,8,8,176.811594202899,TRUE,"Big Bash League","2017/18",1114879,"Brisbane Cricket Ground, Woolloongabba","Brisbane","Brisbane Heat","Hobart Hurricanes","Hobart Hurricanes","bat","DJM Short","Hobart Hurricanes",NA,"3"
"LJ Wright",2012-01-09,"Melbourne Stars","Hobart Hurricanes",1,117,60,8,9,195,FALSE,"Big Bash League","2011/12",524935,"Bellerive Oval","Hobart","Hobart Hurricanes","Melbourne Stars","Melbourne Stars","bat","LJ Wright","Melbourne Stars",NA,"19"
"J Weatherald",2018-02-04,"Adelaide Strikers","Hobart Hurricanes",1,115,70,9,8,164.285714285714,FALSE,"Big Bash League","2017/18",1114898,"Adelaide Oval","Adelaide","Adelaide Strikers","Hobart Hurricanes","Adelaide Strikers","bat","J Weatherald","Adelaide Strikers",NA,"25"
"C Munro",2021-12-11,"Perth Scorchers","Adelaide Strikers",1,114,73,8,6,156.164383561644,TRUE,"Big Bash League","2021/22",1269646,"Sydney Showground Stadium","Sydney","Perth Scorchers","Adelaide Strikers","Perth Scorchers","bat","C Munro","Perth Scorchers",NA,"49"
