"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SL Malinga",2012-12-12,"Perth Scorchers","Melbourne Stars",1,"4.0",1,7,6,1.75,20,"Big Bash League","2012/13",571236,"Western Australia Cricket Association Ground","Perth","Perth Scorchers","Melbourne Stars","Melbourne Stars","field","SL Malinga","Melbourne Stars",NA,"24"
"IS Sodhi",2017-01-18,"Sydney Thunder","Adelaide Strikers",2,"3.3",0,11,6,3.14285714285714,12,"Big Bash League","2016/17",1023637,"Sydney Showground Stadium",NA,"Sydney Thunder","Adelaide Strikers","Sydney Thunder","field","IS Sodhi","Adelaide Strikers",NA,"77"
"Rashid Khan",2022-01-12,"Brisbane Heat","Adelaide Strikers",2,"4.0",0,17,6,4.25,14,"Big Bash League","2021/22",1269683,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Adelaide Strikers","Brisbane Heat","Adelaide Strikers","bat","Rashid Khan","Adelaide Strikers",NA,"71"
"HTRY Thornton",2022-12-16,"Sydney Thunder","Adelaide Strikers",2,"2.5",1,3,5,1.05882352941176,15,"Big Bash League","2022/23",1324628,"Sydney Showground Stadium","Sydney","Adelaide Strikers","Sydney Thunder","Adelaide Strikers","bat","HTRY Thornton","Adelaide Strikers",NA,"124"
"DT Christian",2017-01-02,"Adelaide Strikers","Hobart Hurricanes",1,"4.0",0,14,5,3.5,16,"Big Bash League","2016/17",1023607,"Bellerive Oval","Hobart","Hobart Hurricanes","Adelaide Strikers","Hobart Hurricanes","field","DT Christian","Hobart Hurricanes","8",NA
"Mujeeb Ur Rahman",2020-12-30,"Hobart Hurricanes","Brisbane Heat",1,"4.0",0,15,5,3.75,14,"Big Bash League","2020/21",1226875,"Brisbane Cricket Ground","Brisbane","Hobart Hurricanes","Brisbane Heat","Brisbane Heat","field","Mujeeb Ur Rahman","Hobart Hurricanes",NA,"1"
"PM Siddle",2020-12-15,"Hobart Hurricanes","Adelaide Strikers",1,"3.3",0,16,5,4.57142857142857,12,"Big Bash League","2020/21",1226863,"Aurora Stadium","Launceston","Hobart Hurricanes","Adelaide Strikers","Adelaide Strikers","field","PM Siddle","Adelaide Strikers","5",NA
"SA Abbott",2016-12-31,"Adelaide Strikers","Sydney Sixers",1,"4.0",0,16,5,4,12,"Big Bash League","2016/17",1023601,"Adelaide Oval",NA,"Adelaide Strikers","Sydney Sixers","Sydney Sixers","field","SA Abbott","Adelaide Strikers",NA,"48"
"TS Rogers",2023-01-03,"Melbourne Stars","Melbourne Renegades",2,"4.0",0,16,5,4,15,"Big Bash League","2022/23",1324650,"Melbourne Cricket Ground","Melbourne","Melbourne Renegades","Melbourne Stars","Melbourne Stars","field","TS Rogers","Melbourne Renegades",NA,"33"
"A Zampa",2021-01-15,"Adelaide Strikers","Melbourne Stars",2,"3.2",0,17,5,5.1,9,"Big Bash League","2020/21",1226839,"Melbourne Cricket Ground","Melbourne","Melbourne Stars","Adelaide Strikers","Adelaide Strikers","field","ADS Fletcher","Melbourne Stars",NA,"111"
