"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","outcome","eliminator","match_number","winner_runs","method"
524915,6,"Sydney Sixers","Brisbane Heat","male","2011/12",2011-12-16,"Big Bash League","Sydney Cricket Ground",NA,"Brisbane Heat","bat","BJ Haddin","BNJ Oxenford","PR Reiffel",NA,"IH Lock","PL Marshall","Sydney Sixers",7,NA,NA,NA,NA,NA
524916,6,"Melbourne Stars","Sydney Thunder","male","2011/12",2011-12-17,"Big Bash League","Melbourne Cricket Ground",NA,"Sydney Thunder","field","DA Warner","SD Fry","P Wilson",NA,"GC Joshua","D Levens","Sydney Thunder",6,NA,NA,NA,NA,NA
524917,6,"Adelaide Strikers","Melbourne Renegades","male","2011/12",2011-12-18,"Big Bash League","Adelaide Oval",NA,"Melbourne Renegades","field","M Klinger","AJ Barrow","BNJ Oxenford",NA,"PR Reiffel","RW Stratford","Adelaide Strikers",NA,NA,NA,NA,67,NA
524918,6,"Perth Scorchers","Hobart Hurricanes","male","2011/12",2011-12-18,"Big Bash League","Western Australia Cricket Association Ground","Perth","Hobart Hurricanes","bat","BW Hilfenhaus","GA Abood","AP Ward",NA,"RL Parry","RJ Evans (2)","Hobart Hurricanes",NA,NA,NA,NA,31,NA
524919,6,"Brisbane Heat","Melbourne Stars","male","2011/12",2011-12-20,"Big Bash League","Brisbane Cricket Ground, Woolloongabba","Brisbane","Melbourne Stars","bat","RJ Quiney","IH Lock","PR Reiffel",NA,"BNJ Oxenford","DJ Burns","Melbourne Stars",NA,NA,NA,NA,8,NA
524920,6,"Hobart Hurricanes","Sydney Sixers","male","2011/12",2011-12-21,"Big Bash League","Bellerive Oval","Hobart","Hobart Hurricanes","bat","TR Birt","SD Fry","GC Joshua",NA,"P Wilson","RW Stratford","Hobart Hurricanes",NA,NA,NA,NA,42,NA
524921,6,"Melbourne Renegades","Perth Scorchers","male","2011/12",2011-12-22,"Big Bash League","Docklands Stadium","Melbourne","Melbourne Renegades","bat","SE Marsh","GA Abood","RL Parry",NA,"AP Ward","D Levens","Perth Scorchers",8,NA,NA,NA,NA,NA
524922,6,"Sydney Thunder","Adelaide Strikers","male","2011/12",2011-12-23,"Big Bash League","Stadium Australia","Sydney","Adelaide Strikers","bat","CH Gayle","MD Martell","P Wilson",NA,"AJ Barrow","PL Marshall","Sydney Thunder",6,NA,NA,NA,NA,NA
524923,6,"Sydney Sixers","Melbourne Stars","male","2011/12",2011-12-27,"Big Bash League","Sydney Cricket Ground",NA,"Sydney Sixers","bat","DJ Bravo","GA Abood","BNJ Oxenford",NA,"AP Ward","PL Marshall","Sydney Sixers",NA,NA,NA,NA,2,NA
524924,6,"Adelaide Strikers","Hobart Hurricanes","male","2011/12",2011-12-28,"Big Bash League","Adelaide Oval",NA,"Hobart Hurricanes","bat","XJ Doherty","GC Joshua","JD Ward",NA,"SD Fry","DJ Harper","Hobart Hurricanes",NA,NA,NA,NA,14,NA
524925,6,"Perth Scorchers","Brisbane Heat","male","2011/12",2011-12-29,"Big Bash League","Western Australia Cricket Association Ground","Perth","Perth Scorchers","bat","MJ North","MD Martell","P Wilson",NA,"NR Johnstone","RJ Evans (2)","Perth Scorchers",NA,NA,NA,NA,10,NA
524926,6,"Sydney Thunder","Melbourne Renegades","male","2011/12",2011-12-30,"Big Bash League","Stadium Australia","Sydney","Melbourne Renegades","bat","Shahid Afridi","IH Lock","AP Ward",NA,"RL Parry","PL Marshall","Melbourne Renegades",NA,NA,NA,NA,6,NA
524927,6,"Hobart Hurricanes","Sydney Thunder","male","2011/12",2012-01-01,"Big Bash League","Bellerive Oval","Hobart","Sydney Thunder","bat","Naved-ul-Hasan","IH Lock","RL Parry",NA,"SJ Nogajski","D Levens","Hobart Hurricanes",5,NA,NA,NA,NA,NA
524928,6,"Melbourne Renegades","Sydney Sixers","male","2011/12",2012-01-02,"Big Bash League","Docklands Stadium","Melbourne","Sydney Sixers","bat","AB McDonald","MD Martell","PR Reiffel",NA,"RL Parry","PL Marshall","Melbourne Renegades",8,NA,NA,NA,NA,NA
524930,6,"Melbourne Stars","Perth Scorchers","male","2011/12",2012-01-04,"Big Bash League","Melbourne Cricket Ground",NA,"Perth Scorchers","bat","HH Gibbs","MD Martell","P Wilson",NA,"AJ Barrow","DJ Burns","Perth Scorchers",NA,NA,NA,NA,8,NA
524933,6,"Sydney Thunder","Sydney Sixers","male","2011/12",2012-01-08,"Big Bash League","Stadium Australia","Sydney","Sydney Sixers","bat","MA Starc","BNJ Oxenford","PR Reiffel",NA,"GA Abood","RW Stratford","Sydney Sixers",NA,NA,NA,NA,17,"D/L"
524934,6,"Perth Scorchers","Adelaide Strikers","male","2011/12",2012-01-08,"Big Bash League","Western Australia Cricket Association Ground","Perth","Perth Scorchers","bat","GB Hogg","RL Parry","AP Ward",NA,"IH Lock","RJ Evans (2)","Perth Scorchers",NA,NA,NA,NA,42,NA
524935,6,"Hobart Hurricanes","Melbourne Stars","male","2011/12",2012-01-09,"Big Bash League","Bellerive Oval","Hobart","Melbourne Stars","bat","LJ Wright","GC Joshua","JD Ward",NA,"SD Fry","DJ Burns","Melbourne Stars",NA,NA,NA,NA,19,NA
524936,6,"Adelaide Strikers","Sydney Sixers","male","2011/12",2012-01-10,"Big Bash League","Adelaide Oval",NA,"Sydney Sixers","bat","SNJ O'Keefe","AJ Barrow","MD Martell",NA,"P Wilson","DJ Harper","Sydney Sixers",NA,NA,NA,NA,64,NA
524938,6,"Melbourne Renegades","Brisbane Heat","male","2011/12",2012-01-12,"Big Bash League","Docklands Stadium","Melbourne","Brisbane Heat","bat","DL Vettori","IH Lock","AP Ward",NA,"RL Parry","D Levens","Brisbane Heat",NA,NA,NA,NA,12,NA
524939,6,"Brisbane Heat","Sydney Thunder","male","2011/12",2012-01-17,"Big Bash League","Brisbane Cricket Ground, Woolloongabba","Brisbane","Sydney Thunder","field","DT Christian","SD Fry","JD Ward",NA,"GC Joshua","DJ Burns","Brisbane Heat",NA,NA,NA,NA,91,NA
524940,6,"Hobart Hurricanes","Melbourne Renegades","male","2011/12",2012-01-18,"Big Bash League","Bellerive Oval","Hobart","Melbourne Renegades","bat","OA Shah","GA Abood","AJ Barrow",NA,NA,"D Levens","Hobart Hurricanes",7,NA,NA,NA,NA,NA
524941,6,"Sydney Sixers","Perth Scorchers","male","2011/12",2012-01-18,"Big Bash League","Sydney Cricket Ground",NA,"Sydney Sixers","bat","MA Starc","SD Fry","P Wilson",NA,"JD Ward","PL Marshall","Sydney Sixers",NA,NA,NA,NA,1,NA
524942,6,"Melbourne Stars","Adelaide Strikers","male","2011/12",2012-01-19,"Big Bash League","Melbourne Cricket Ground",NA,"Adelaide Strikers","bat","CJ McKay","IH Lock","RL Parry",NA,"AP Ward","RW Stratford","Melbourne Stars",6,NA,NA,NA,NA,NA
524943,6,"Perth Scorchers","Melbourne Stars","male","2011/12",2012-01-21,"Big Bash League","Western Australia Cricket Association Ground","Perth","Perth Scorchers","bat","MR Marsh","SD Fry","JD Ward",NA,"P Wilson","RJ Evans (2)","Perth Scorchers",NA,NA,NA,NA,11,NA
524944,6,"Hobart Hurricanes","Sydney Sixers","male","2011/12",2012-01-22,"Big Bash League","Bellerive Oval","Hobart","Sydney Sixers","bat","NJ Maddinson","MD Martell","PR Reiffel",NA,"GA Abood","D Levens","Sydney Sixers",NA,NA,NA,NA,7,NA
524945,6,"Perth Scorchers","Sydney Sixers","male","2011/12",2012-01-28,"Big Bash League","Western Australia Cricket Association Ground","Perth","Perth Scorchers","bat","MC Henriques","PR Reiffel","JD Ward",NA,"MD Martell","RJ Evans (2)","Sydney Sixers",7,NA,NA,NA,NA,NA
571232,6,"Melbourne Renegades","Melbourne Stars","male","2012/13",2012-12-07,"Big Bash League","Docklands Stadium","Melbourne","Melbourne Stars","bat","AJ Finch","SD Fry","PR Reiffel",NA,"JD Ward","RW Stratford","Melbourne Renegades",8,NA,NA,NA,NA,NA
571233,6,"Sydney Sixers","Sydney Thunder","male","2012/13",2012-12-08,"Big Bash League","Sydney Cricket Ground",NA,"Sydney Sixers","field","BJ Haddin","AJ Barrow","AP Ward",NA,"SD Fry","PL Marshall","Sydney Sixers",7,NA,NA,NA,NA,NA
571234,6,"Brisbane Heat","Hobart Hurricanes","male","2012/13",2012-12-09,"Big Bash League","Brisbane Cricket Ground, Woolloongabba","Brisbane","Brisbane Heat","bat","TR Birt","SJ Davis","DB Mealey",NA,"PR Reiffel","RW Stratford","Hobart Hurricanes",8,NA,NA,NA,NA,NA
571235,6,"Perth Scorchers","Adelaide Strikers","male","2012/13",2012-12-09,"Big Bash League","Western Australia Cricket Association Ground","Perth","Perth Scorchers","bat","PJ Hughes","IH Lock","P Wilson",NA,"JD Ward","RJ Evans (2)","Adelaide Strikers",6,NA,NA,NA,NA,NA
571236,6,"Perth Scorchers","Melbourne Stars","male","2012/13",2012-12-12,"Big Bash League","Western Australia Cricket Association Ground","Perth","Melbourne Stars","field","SL Malinga","IH Lock","JD Ward",NA,"GC Joshua","RJ Evans (2)","Melbourne Stars",NA,NA,NA,NA,24,"D/L"
