"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ayre","2015/16","Big Bash League","Melbourne Renegades",1,0,1,0,0,0,0,0,0,0,0
"A Flintoff","2014/15","Big Bash League","Brisbane Heat",7,74,60,123.333333333333,14.8,6,2,2,0,0,46
"A Lyth","2022/23","Big Bash League","Perth Scorchers",7,73,76,96.0526315789474,10.4285714285714,8,0,0,0,0,35
"A Zampa","2012/13","Big Bash League","Sydney Thunder",4,17,21,80.9523809523809,4.25,2,0,0,0,0,8
"A Zampa","2014/15","Big Bash League","Adelaide Strikers",3,15,16,93.75,7.5,1,1,1,0,0,10
"A Zampa","2015/16","Big Bash League","Melbourne Stars",3,26,19,136.842105263158,8.66666666666667,3,0,0,0,0,15
"A Zampa","2016/17","Big Bash League","Melbourne Stars",4,9,13,69.2307692307692,4.5,1,0,2,0,0,7
"A Zampa","2017/18","Big Bash League","Melbourne Stars",2,4,4,100,4,0,0,1,0,0,4
"A Zampa","2018/19","Big Bash League","Melbourne Stars",4,19,15,126.666666666667,Inf,1,1,4,0,0,17
"A Zampa","2019/20","Big Bash League","Melbourne Stars",6,22,30,73.3333333333333,7.33333333333333,2,0,3,0,0,9
"A Zampa","2020/21","Big Bash League","Melbourne Stars",4,27,28,96.4285714285714,9,2,1,1,0,0,23
"A Zampa","2021/22","Big Bash League","Melbourne Stars",4,9,11,81.8181818181818,4.5,1,0,2,0,0,4
"A Zampa","2022/23","Big Bash League","Melbourne Stars",3,7,16,43.75,7,0,0,2,0,0,4
"A Zampa","2023/24","Big Bash League","Melbourne Renegades",3,6,4,150,Inf,0,0,3,0,0,5
"AB McDonald","2011/12","Big Bash League","Melbourne Renegades",6,153,118,129.661016949153,30.6,4,10,1,0,2,60
"AB McDonald","2014/15","Big Bash League","Sydney Thunder",4,59,70,84.2857142857143,14.75,5,0,0,0,0,23
"AB McDonald","2015/16","Big Bash League","Sydney Thunder",1,7,6,116.666666666667,7,1,0,0,0,0,7
"AB de Villiers","2019/20","Big Bash League","Brisbane Heat",6,146,104,140.384615384615,24.3333333333333,8,6,0,0,1,71
"AC Agar","2013/14","Big Bash League","Perth Scorchers",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"AC Agar","2014/15","Big Bash League","Perth Scorchers",6,56,51,109.803921568627,14,3,2,2,0,0,31
"AC Agar","2015/16","Big Bash League","Perth Scorchers",5,124,95,130.526315789474,31,10,5,1,0,1,68
"AC Agar","2016/17","Big Bash League","Perth Scorchers",6,79,50,158,39.5,6,3,4,0,0,29
"AC Agar","2017/18","Big Bash League","Perth Scorchers",7,149,116,128.448275862069,49.6666666666667,5,8,4,0,0,33
"AC Agar","2018/19","Big Bash League","Perth Scorchers",6,58,73,79.4520547945205,9.66666666666667,3,0,0,0,0,32
"AC Agar","2019/20","Big Bash League","Perth Scorchers",8,49,60,81.6666666666667,8.16666666666667,1,1,2,0,0,14
"AC Agar","2021/22","Big Bash League","Perth Scorchers",10,133,89,149.438202247191,22.1666666666667,10,8,4,0,0,30
"AC Agar","2022/23","Big Bash League","Perth Scorchers",5,34,38,89.4736842105263,8.5,1,1,1,0,0,24
