"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"DR Sams","Sydney Thunder","2019/20","Big Bash League",17,"58.5",2,461,30,15.3666666666667,7.8356940509915,11.7666666666667,129,1,0,"4/34"
"PM Siddle","Adelaide Strikers","2021/22","Big Bash League",17,"63.5",0,532,30,17.7333333333333,8.33420365535248,12.7666666666667,133,1,1,"5/23"
"SA Abbott","Sydney Sixers","2022/23","Big Bash League",15,"54.4",2,407,29,14.0344827586207,7.44512195121951,11.3103448275862,141,0,0,"3/9"
"JA Richardson","Perth Scorchers","2020/21","Big Bash League",17,"61.3",1,473,29,16.3103448275862,7.69105691056911,12.7241379310345,169,2,0,"4/24"
"MG Neser","Brisbane Heat","2022/23","Big Bash League",16,"58.1",0,495,26,19.0384615384615,8.51002865329513,13.4230769230769,149,3,0,"4/25"
"AJ Tye","Perth Scorchers","2022/23","Big Bash League",16,"62.0",1,524,26,20.1538461538462,8.45161290322581,14.3076923076923,147,0,0,"3/27"
"H Kerr","Sydney Sixers","2021/22","Big Bash League",16,"50.0",0,375,25,15,7.5,12,101,1,0,"4/32"
"AJ Tye","Perth Scorchers","2021/22","Big Bash League",16,"52.3",0,424,25,16.96,8.07619047619048,12.6,137,0,0,"3/15"
"BJ Dwarshuis","Sydney Sixers","2020/21","Big Bash League",13,"45.3",1,403,24,16.7916666666667,8.85714285714286,11.375,110,1,0,"4/13"
"KW Richardson","Melbourne Renegades","2018/19","Big Bash League",14,"54.5",0,425,24,17.7083333333333,7.75075987841945,13.7083333333333,137,0,0,"3/22"
"MT Steketee","Brisbane Heat","2020/21","Big Bash League",16,"56.2",0,522,24,21.75,9.26627218934911,14.0833333333333,129,1,0,"4/33"
"CH Morris","Sydney Thunder","2019/20","Big Bash League",16,"54.1",0,442,23,19.2173913043478,8.16,14.1304347826087,126,0,0,"3/27"
"TS Rogers","Melbourne Renegades","2022/23","Big Bash League",15,"55.5",1,461,23,20.0434782608696,8.25671641791045,14.5652173913043,134,1,1,"5/16"
"TK Curran","Sydney Sixers","2019/20","Big Bash League",14,"48.1",0,442,22,20.0909090909091,9.1764705882353,13.1363636363636,96,1,0,"4/22"
"SA Abbott","Sydney Sixers","2018/19","Big Bash League",15,"54.1",1,443,22,20.1363636363636,8.17846153846154,14.7727272727273,109,0,0,"3/18"
"WA Agar","Adelaide Strikers","2020/21","Big Bash League",15,"54.4",1,457,22,20.7727272727273,8.35975609756098,14.9090909090909,140,1,0,"4/27"
"JP Behrendorff","Perth Scorchers","2022/23","Big Bash League",14,"55.0",0,368,21,17.5238095238095,6.69090909090909,15.7142857142857,159,0,0,"3/21"
"SNJ O'Keefe","Sydney Sixers","2018/19","Big Bash League",15,"56.0",1,368,21,17.5238095238095,6.57142857142857,16,137,0,0,"3/19"
"T Sangha","Sydney Thunder","2020/21","Big Bash League",15,"47.3",0,384,21,18.2857142857143,8.08421052631579,13.5714285714286,98,1,0,"4/14"
"AJ Tye","Perth Scorchers","2020/21","Big Bash League",16,"54.1",0,433,21,20.6190476190476,7.99384615384615,15.4761904761905,127,1,0,"4/20"
"RP Meredith","Hobart Hurricanes","2022/23","Big Bash League",14,"55.0",0,446,21,21.2380952380952,8.10909090909091,15.7142857142857,133,0,0,"3/12"
"Haris Rauf","Melbourne Stars","2019/20","Big Bash League",10,"37.5",0,267,20,13.35,7.05726872246696,11.35,96,0,1,"5/27"
"Rashid Khan","Adelaide Strikers","2021/22","Big Bash League",11,"44.0",0,279,20,13.95,6.34090909090909,13.2,108,0,1,"6/17"
"XC Bartlett","Brisbane Heat","2023/24","Big Bash League",11,"38.3",0,294,20,14.7,7.63636363636364,11.55,104,0,0,"3/29"
