"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Gqamane",29,195,165,118.181818181818,9.28571428571429,14,7,8,0,0,37
"A Jacobs",1,0,1,0,0,0,0,0,0,0,0
"A Mgijima",24,273,214,127.570093457944,18.2,22,8,9,0,1,55
"A Mhletywa",2,6,8,75,6,0,0,1,0,0,4
"A Mnyaka",2,11,9,122.222222222222,Inf,0,1,2,0,0,7
"A Mokgakane",1,11,12,91.6666666666667,11,1,0,0,0,0,11
"A Myoli",4,5,7,71.4285714285714,Inf,0,0,4,0,0,3
"A Nortje",4,47,36,130.555555555556,15.6666666666667,2,2,1,0,0,25
"A Simelane",5,27,28,96.4285714285714,9,1,2,2,0,0,13
"AB de Villiers",7,244,150,162.666666666667,40.6666666666667,16,14,1,0,1,54
"AC Thomas",3,31,26,119.230769230769,15.5,5,0,1,0,0,18
"ACR Birch",24,186,157,118.471337579618,10.3333333333333,13,7,6,0,0,32
"AD Russell",13,351,179,196.08938547486,39,23,30,4,0,4,66
"AG Prince",24,515,480,107.291666666667,23.4090909090909,41,11,2,0,3,70
"AG Puttick",22,486,468,103.846153846154,24.3,39,10,2,0,3,65
"AGS Gous",11,146,125,116.8,13.2727272727273,13,6,0,0,0,37
"AJ Malan",4,38,50,76,9.5,3,0,0,0,0,25
"AJ Pienaar",24,326,273,119.413919413919,17.1578947368421,28,9,5,0,0,38
"AJA Gray",4,24,26,92.3076923076923,12,1,0,2,0,0,12
"AK Markram",17,435,349,124.641833810888,33.4615384615385,49,8,4,0,3,56
"AL Phehlukwayo",25,258,219,117.808219178082,13.5789473684211,15,14,6,0,0,31
"AM Phangiso",14,83,105,79.0476190476191,9.22222222222222,6,2,5,0,0,19
"AN Petersen",26,441,407,108.353808353808,19.1739130434783,37,10,3,0,1,55
"AP McLaren",10,95,109,87.1559633027523,9.5,7,2,0,0,0,22
"AR Swanepoel",22,221,207,106.763285024155,11.6315789473684,20,5,3,0,0,33
"AZM Dyili",4,40,36,111.111111111111,40,4,1,3,0,0,22
"Abdullah Bayoumy",7,30,41,73.1707317073171,4.28571428571429,1,0,0,0,0,11
"Azhar Mahmood",10,143,127,112.59842519685,17.875,14,0,2,0,0,27
"B Parsons",10,114,110,103.636363636364,11.4,10,3,0,0,0,39
"B Swanepoel",2,23,12,191.666666666667,23,2,1,1,0,0,22
"B Xenxe",4,17,14,121.428571428571,4.25,1,0,0,0,0,10
