"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"CH Morris",53,"191.0",6,1369,78,17.5512820512821,7.16753926701571,14.6923076923077,562,4,0,"4/9"
"MP Siboto",81,"250.2",3,1982,78,25.4102564102564,7.91744340878828,19.2564102564103,553,1,0,"4/19"
"AM Phangiso",77,"276.1",4,1722,77,22.3636363636364,6.23536511768256,21.5194805194805,617,1,0,"4/23"
"GC Viljoen",53,"191.2",5,1434,63,22.7619047619048,7.49477351916376,18.2222222222222,520,0,0,"3/12"
"CJ Dala",56,"171.0",1,1418,62,22.8709677419355,8.29239766081871,16.5483870967742,402,0,0,"3/20"
"R Frylinck",55,"194.3",2,1536,60,25.6,7.89717223650386,19.45,431,1,0,"4/28"
"JT Smuts",75,"237.4",3,1553,60,25.8833333333333,6.5343618513324,23.7666666666667,491,0,0,"3/12"
"P Subrayen",57,"194.0",1,1256,57,22.0350877192982,6.47422680412371,20.4210526315789,457,2,0,"4/22"
"ACR Birch",52,"175.2",4,1380,57,24.2105263157895,7.87072243346008,18.4561403508772,420,0,1,"5/16"
"BE Hendricks",41,"150.0",3,1125,53,21.2264150943396,7.5,16.9811320754717,408,2,0,"4/20"
"SSB Magala",51,"168.1",1,1421,53,26.811320754717,8.44995044598613,19.0377358490566,359,0,2,"5/20"
"T Shamsi",38,"137.0",1,1004,47,21.3617021276596,7.32846715328467,17.4893617021277,298,1,0,"4/32"
"D Paterson",41,"132.5",1,1069,47,22.7446808510638,8.04767879548306,16.9574468085106,325,2,0,"4/24"
"SC van Schalkwyk",42,"153.0",2,1175,47,25,7.6797385620915,19.531914893617,349,1,0,"4/19"
"KA Maharaj",48,"168.0",2,1086,46,23.6086956521739,6.46428571428571,21.9130434782609,407,1,0,"4/15"
"BC Fortuin",37,"133.5",2,846,45,18.8,6.32129514321295,17.8444444444444,327,2,0,"4/27"
"GF Linde",51,"173.4",1,1317,44,29.9318181818182,7.58349328214971,23.6818181818182,342,2,0,"4/21"
"JA Morkel",46,"121.1",2,792,39,20.3076923076923,6.53645116918845,18.6410256410256,320,0,0,"3/12"
"S von Berg",34,"120.0",0,845,39,21.6666666666667,7.04166666666667,18.4615384615385,204,0,0,"3/14"
"RK Kleinveldt",40,"135.3",2,1036,39,26.5641025641026,7.64575645756458,20.8461538461538,369,1,0,"4/33"
"M Shezi",46,"152.1",1,1213,39,31.1025641025641,7.97152245345016,23.4102564102564,347,1,1,"5/34"
"J Theron",31,"112.3",2,720,36,20,6.4,18.75,287,0,0,"3/25"
"D Wiese",44,"109.1",0,861,35,24.6,7.88702290076336,18.7142857142857,252,0,0,"3/23"
"E Leie",36,"120.1",0,873,35,24.9428571428571,7.26490984743412,20.6,242,0,1,"5/15"
"WD Parnell",43,"140.0",3,1022,34,30.0588235294118,7.3,24.7058823529412,368,1,0,"4/20"
"D Pretorius",57,"147.5",1,1281,34,37.6764705882353,8.6651634723788,26.0882352941176,281,0,0,"3/18"
"L Ngidi",26,"79.2",1,581,33,17.6060606060606,7.32352941176471,14.4242424242424,218,1,0,"4/14"
"FD Adams",34,"102.5",0,817,31,26.3548387096774,7.94489465153971,19.9032258064516,203,0,0,"2/14"
