"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Gqamane","A Simelane",3,4,0,2,0,0,4.5,75,Inf
"A Gqamane","AC Thomas",5,2,0,0,1,0,15,250,Inf
"A Gqamane","AD Russell",5,4,0,0,0,0,7.5,125,Inf
"A Gqamane","BE Hendricks",6,6,1,3,1,0,6,100,6
"A Gqamane","BS Makhanya",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Gqamane","CH Morris",20,13,1,3,1,1,9.23076923076923,153.846153846154,20
"A Gqamane","CJ Alexander",0,1,1,1,0,0,0,0,0
"A Gqamane","CS Delport",4,3,1,2,1,0,8,133.333333333333,4
"A Gqamane","D Pretorius",0,1,1,1,0,0,0,0,0
"A Gqamane","D Wiese",10,7,2,3,0,1,8.57142857142857,142.857142857143,5
"A Gqamane","DJ Bravo",8,2,0,0,0,1,24,400,Inf
"A Gqamane","DW Steyn",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Gqamane","FD Adams",6,7,1,5,1,0,5.14285714285714,85.7142857142857,6
"A Gqamane","G Coetzee",8,4,0,1,0,1,12,200,Inf
"A Gqamane","G Mahlokwana",2,2,0,0,0,0,6,100,Inf
"A Gqamane","GC Viljoen",1,2,1,1,0,0,3,50,1
"A Gqamane","GF Linde",2,2,1,1,0,0,6,100,2
"A Gqamane","GJ Snyman",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Gqamane","JT Smuts",1,4,0,3,0,0,1.5,25,Inf
"A Gqamane","K Rabada",2,4,0,1,0,0,3,50,Inf
"A Gqamane","L Ngidi",0,1,1,1,0,0,0,0,0
"A Gqamane","LB Williams",8,5,0,1,1,0,9.6,160,Inf
"A Gqamane","LL Tsotsobe",2,1,0,0,0,0,12,200,Inf
"A Gqamane","M Budaza",5,5,1,3,1,0,6,100,5
"A Gqamane","M Nabe",1,2,1,1,0,0,3,50,1
"A Gqamane","M Pretorius",10,12,2,7,1,0,5,83.3333333333333,5
"A Gqamane","M Shezi",3,5,0,3,0,0,3.6,60,Inf
"A Gqamane","M de Lange",5,3,0,1,1,0,10,166.666666666667,Inf
"A Gqamane","MP Siboto",9,4,0,1,0,1,13.5,225,Inf
"A Gqamane","N van Heerden",5,4,0,2,1,0,7.5,125,Inf
"A Gqamane","O Cele",20,6,0,0,3,1,20,333.333333333333,Inf
"A Gqamane","OEG Baartman",2,3,1,1,0,0,4,66.6666666666667,2
"A Gqamane","P Subrayen",3,2,0,0,0,0,9,150,Inf
"A Gqamane","R Frylinck",12,10,0,2,0,0,7.2,120,Inf
