"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"D Brevis",2022-10-31,"Titans","Knights",1,162,57,13,13,284.210526315789,FALSE,"CSA T20 Challenge","2022/23",1334915,"Senwes Park, Potchefstroom","Potchefstroom","Titans","Knights","Knights","field",NA,"Titans",NA,"41"
"Q de Kock",2013-02-17,"Lions","Cape Cobras",2,126,69,13,6,182.608695652174,TRUE,"Ram Slam T20 Challenge","2012/13",575158,"Senwes Park, Potchefstroom","Potchefstroom","Cape Cobras","Lions","Lions","field","AM Phangiso","Lions","9",NA
"JT Smuts",2019-05-05,"Warriors","Lions",2,121,60,11,7,201.666666666667,FALSE,"CSA T20 Challenge","2018/19",1157256,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","Warriors","Warriors","field","T Bavuma","Lions",NA,"11"
"DA Miller",2016-11-18,"Knights","Titans",1,120,61,8,9,196.72131147541,TRUE,"CSA T20 Challenge","2016/17",1003855,"Willowmoore Park, Benoni","Benoni","Knights","Titans","Knights","bat","JA Morkel","Titans","3",NA
"RE Levi",2014-01-17,"Cape Cobras","Knights",1,113,61,9,8,185.245901639344,FALSE,"Ram Slam T20 Challenge","2013/14",652273,"Chevrolet Park, Bloemfontein","Bloemfontein","Cape Cobras","Knights","Cape Cobras","bat","RE Levi","Cape Cobras",NA,"80"
"VB van Jaarsveld",2019-04-26,"Dolphins","Warriors",2,112,69,12,5,162.31884057971,TRUE,"CSA T20 Challenge","2018/19",1157249,"St George's Park, Port Elizabeth","Port Elizabeth","Warriors","Dolphins","Dolphins","field","VB van Jaarsveld","Dolphins","7",NA
"CH Gayle",2014-11-07,"Lions","Warriors",2,108,55,10,7,196.363636363636,TRUE,"Ram Slam T20 Challenge","2014/15",736265,"Buffalo Park, East London","East London","Warriors","Lions","Warriors","bat","CH Gayle","Lions","10",NA
"JT Smuts",2016-12-07,"Warriors","Dolphins",2,107,58,5,9,184.48275862069,TRUE,"CSA T20 Challenge","2016/17",1003889,"Buffalo Park, East London","East London","Dolphins","Warriors","Dolphins","bat","JT Smuts","Warriors","7",NA
"T Bavuma",2019-05-05,"Lions","Warriors",1,104,63,11,2,165.079365079365,FALSE,"CSA T20 Challenge","2018/19",1157256,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","Warriors","Warriors","field","T Bavuma","Lions",NA,"11"
"CS Delport",2013-03-08,"Dolphins","Knights",1,103,58,9,5,177.586206896552,TRUE,"Ram Slam T20 Challenge","2012/13",575172,"Kingsmead, Durban","Durban","Dolphins","Knights","Dolphins","bat","YA Abdulla","Dolphins",NA,"14"
"SJ Erwee",2017-11-12,"Dolphins","Cape Cobras",1,103,58,10,5,177.586206896552,TRUE,"Ram Slam T20 Challenge","2017/18",1124659,"SuperSport Park, Centurion","Centurion","Dolphins","Cape Cobras","Cape Cobras","field","KA Maharaj","Dolphins",NA,"15"
"JN Malan",2019-04-12,"Cape Cobras","Warriors",2,103,57,12,1,180.701754385965,TRUE,"CSA T20 Challenge","2018/19",1157230,"Boland Park, Paarl","Paarl","Warriors","Cape Cobras","Cape Cobras","field","A Mgijima","Cape Cobras","7",NA
"RR Hendricks",2017-11-19,"Lions","Dolphins",2,102,72,12,0,141.666666666667,TRUE,"Ram Slam T20 Challenge","2017/18",1124665,"Senwes Park, Potchefstroom","Potchefstroom","Dolphins","Lions","Dolphins","bat","RR Hendricks","Lions","6",NA
"HE van der Dussen",2014-11-28,"Lions","Titans",1,101,61,2,8,165.573770491803,TRUE,"Ram Slam T20 Challenge","2014/15",736303,"Senwes Park, Potchefstroom","Potchefstroom","Lions","Titans","Lions","bat","E Leie","Lions",NA,"1"
"K Zondo",2012-02-22,"Impi","Cape Cobras",2,100,63,9,2,158.730158730159,TRUE,"MiWAY T20 Challenge","2011/12",530327,"Boland Park, Paarl","Paarl","Cape Cobras","Impi","Impi","field","J Louw","Cape Cobras",NA,"40"
