"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"E Leie",2015-11-15,"Knights","Lions",2,"4.0",0,15,5,3.75,17,"Ram Slam T20 Challenge","2015/16",851957,"Mangaung Oval, Bloemfontein","Bloemfontein","Lions","Knights","Lions","bat","E Leie","Lions",NA,"20"
"ACR Birch",2016-12-02,"Titans","Warriors",1,"3.2",0,16,5,4.8,13,"CSA T20 Challenge","2016/17",1003881,"SuperSport Park, Centurion","Centurion","Titans","Warriors","Warriors","field","ACR Birch","Warriors","6",NA
"SSB Magala",2021-02-23,"Knights","Lions",1,"4.0",0,20,5,5,17,"CSA T20 Challenge","2020/21",1235378,"Kingsmead, Durban","Durban","Knights","Lions","Knights","bat","T Bavuma","Lions","7",NA
"AC Thomas",2013-04-03,"Warriors","Titans",1,"4.0",1,24,5,6,12,"Ram Slam T20 Challenge","2012/13",575186,"Buffalo Park, East London","East London","Warriors","Titans","Titans","field","AC Thomas","Titans","4",NA
"F du Plessis",2012-03-11,"Lions","Titans",1,"4.0",0,28,5,7,13,"MiWAY T20 Challenge","2011/12",530351,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","Titans","Titans","field","F du Plessis","Lions",NA,"16"
"SSB Magala",2015-11-13,"Lions","Warriors",2,"4.0",0,28,5,7,13,"Ram Slam T20 Challenge","2015/16",851949,"St George's Park, Port Elizabeth","Port Elizabeth","Warriors","Lions","Lions","field","CN Ackermann","Warriors",NA,"25"
"M Shezi",2015-12-02,"Warriors","Cape Cobras",1,"4.0",0,34,5,8.5,11,"Ram Slam T20 Challenge","2015/16",851977,"Buffalo Park, East London","East London","Warriors","Cape Cobras","Warriors","bat","M Shezi","Warriors",NA,"12"
"Z Abrahams",2022-02-22,"Knights","Boland",1,"4.0",0,34,5,8.5,6,"CSA T20 Challenge","2021/22",1299627,"St George's Park, Port Elizabeth","Port Elizabeth","Knights","Boland","Knights","bat","CP Klijnhans","Knights",NA,"3"
"CH Morris",2015-11-18,"Dolphins","Titans",2,"3.0",0,9,4,3,14,"Ram Slam T20 Challenge","2015/16",851959,"Kingsmead, Durban","Durban","Titans","Dolphins","Dolphins","field","Q de Kock","Titans",NA,"66"
"AD Russell",2015-12-06,"Titans","Knights",1,"4.0",0,11,4,2.75,19,"Ram Slam T20 Challenge","2015/16",851985,"Willowmoore Park, Benoni","Benoni","Titans","Knights","Knights","field","AD Russell","Knights","4",NA
"CH Morris",2017-12-16,"Dolphins","Titans",1,"3.3",0,13,4,3.71428571428571,14,"Ram Slam T20 Challenge","2017/18",1124690,"SuperSport Park, Centurion","Centurion","Dolphins","Titans","Titans","field","Q de Kock","Titans","7",NA
"L Ngidi",2017-11-17,"Warriors","Titans",2,"2.2",1,14,4,6,9,"Ram Slam T20 Challenge","2017/18",1124662,"Buffalo Park, East London","East London","Titans","Warriors","Warriors","field","F Behardien","Titans",NA,"61"
"KA Maharaj",2021-02-19,"Cape Cobras","Dolphins",2,"4.0",0,15,4,3.75,12,"CSA T20 Challenge","2020/21",1235379,"Kingsmead, Durban","Durban","Dolphins","Cape Cobras","Dolphins","bat","KA Maharaj","Dolphins",NA,"14"
"AD Russell",2014-11-16,"Dolphins","Knights",1,"3.5",1,18,4,4.69565217391304,17,"Ram Slam T20 Challenge","2014/15",736285,"Kingsmead, Durban","Durban","Dolphins","Knights","Dolphins","bat",NA,NA,NA,NA
"Siyabonga Mahima",2021-02-19,"Dolphins","Cape Cobras",1,"3.0",0,18,4,6,8,"CSA T20 Challenge","2020/21",1235379,"Kingsmead, Durban","Durban","Dolphins","Cape Cobras","Dolphins","bat","KA Maharaj","Dolphins",NA,"14"
"M Jansen",2024-03-08,"KwaZulu-Natal Inland","Warriors",2,"3.4",0,19,4,5.18181818181818,14,"CSA T20 Challenge","2023/24",1394571,"St George's Park, Gqeberha","Gqeberha","Warriors","KwaZulu-Natal Inland","KwaZulu-Natal Inland","field","M Jansen","Warriors",NA,"37"
"M Morkel",2013-03-26,"Knights","Titans",1,"4.0",0,19,4,4.75,14,"Ram Slam T20 Challenge","2012/13",575183,"Chevrolet Park, Bloemfontein","Bloemfontein","Knights","Titans","Titans","field","SB Styris","Titans","8",NA
"MP Siboto",2014-01-19,"Titans","Knights",1,"4.0",1,19,4,4.75,15,"Ram Slam T20 Challenge","2013/14",652283,"SuperSport Park, Centurion","Centurion","Titans","Knights","Knights","field","D Elgar","Knights","7",NA
"SC van Schalkwyk",2015-11-15,"Lions","Knights",1,"4.0",1,19,4,4.75,13,"Ram Slam T20 Challenge","2015/16",851957,"Mangaung Oval, Bloemfontein","Bloemfontein","Lions","Knights","Lions","bat","E Leie","Lions",NA,"20"
"BE Hendricks",2022-02-15,"North West","Western Province",2,"4.0",0,20,4,5,15,"CSA T20 Challenge","2021/22",1299617,"St George's Park, Port Elizabeth","Port Elizabeth","Western Province","North West","Western Province","bat","WD Parnell","Western Province",NA,"84"
"S Muthusamy",2022-02-15,"Western Province","North West",1,"4.0",0,20,4,5,12,"CSA T20 Challenge","2021/22",1299617,"St George's Park, Port Elizabeth","Port Elizabeth","Western Province","North West","Western Province","bat","WD Parnell","Western Province",NA,"84"
"WD Parnell",2015-11-15,"Dolphins","Cape Cobras",1,"4.0",0,20,4,5,14,"Ram Slam T20 Challenge","2015/16",851953,"SuperSport Park, Centurion","Centurion","Dolphins","Cape Cobras","Cape Cobras","field","RE Levi","Cape Cobras","5",NA
"GF Linde",2015-11-11,"Knights","Cape Cobras",1,"4.0",0,21,4,5.25,8,"Ram Slam T20 Challenge","2015/16",851947,"Diamond Oval, Kimberley","Kimberley","Knights","Cape Cobras","Cape Cobras","field","RR Hendricks","Cape Cobras","4",NA
"I Khan",2012-03-14,"Knights","Dolphins",1,"3.0",0,21,4,7,8,"MiWAY T20 Challenge","2011/12",530352,"Kingsmead, Durban","Durban","Knights","Dolphins","Knights","bat","MN van Wyk","Knights",NA,"8"
"M Nabe",2021-02-24,"Titans","Warriors",2,"4.0",0,21,4,5.25,8,"CSA T20 Challenge","2020/21",1235373,"Kingsmead, Durban","Durban","Warriors","Titans","Warriors","bat","A Gqamane","Warriors",NA,"43"
"CH Morris",2012-03-07,"Knights","Lions",1,"4.0",0,22,4,5.5,13,"MiWAY T20 Challenge","2011/12",530345,"Senwes Park, Potchefstroom","Potchefstroom","Knights","Lions","Lions","field","CH Morris","Lions","7",NA
"G Coetzee",2022-10-20,"Western Province","Knights",1,"3.5",0,22,4,5.73913043478261,15,"CSA T20 Challenge","2022/23",1334897,"Senwes Park, Potchefstroom","Potchefstroom","Western Province","Knights","Western Province","bat",NA,"Knights","9",NA
"P Subrayen",2015-11-01,"Titans","Dolphins",2,"4.0",0,22,4,5.5,10,"Ram Slam T20 Challenge","2015/16",851933,"SuperSport Park, Centurion","Centurion","Dolphins","Titans","Titans","field","DA Miller","Dolphins",NA,"6"
"SA Engelbrecht",2014-11-28,"Warriors","Cape Cobras",2,"3.1",0,22,4,6.94736842105263,10,"Ram Slam T20 Challenge","2014/15",736299,"St George's Park, Port Elizabeth","Port Elizabeth","Cape Cobras","Warriors","Warriors","field","RE Levi","Cape Cobras",NA,"72"
"TL Moreki",2022-10-31,"Lions","Western Province",1,"4.0",0,22,4,5.5,13,"CSA T20 Challenge","2022/23",1334916,"Senwes Park, Potchefstroom","Potchefstroom","Lions","Western Province","Western Province","field",NA,"Lions",NA,"32"
"AM Phangiso",2022-10-28,"Warriors","Titans",1,"4.0",0,23,4,5.75,10,"CSA T20 Challenge","2022/23",1334910,"Senwes Park, Potchefstroom","Potchefstroom","Warriors","Titans","Warriors","bat",NA,"Titans","2",NA
"D Elgar",2013-03-14,"Warriors","Knights",2,"4.0",0,23,4,5.75,10,"Ram Slam T20 Challenge","2012/13",575176,"St George's Park, Port Elizabeth","Port Elizabeth","Knights","Warriors","Knights","bat",NA,"Knights",NA,"6"
"CH Morris",2012-03-11,"Titans","Lions",2,"4.0",0,24,4,6,15,"MiWAY T20 Challenge","2011/12",530351,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","Titans","Titans","field","F du Plessis","Lions",NA,"16"
"D Paterson",2017-12-06,"Knights","Cape Cobras",2,"4.0",0,24,4,6,11,"Ram Slam T20 Challenge","2017/18",1124681,"Diamond Oval, Kimberley","Kimberley","Cape Cobras","Knights","Knights","field","DA Miller","Cape Cobras",NA,"5"
"F du Plessis",2012-04-01,"Lions","Titans",2,"4.0",0,24,4,6,11,"MiWAY T20 Challenge","2011/12",530364,"New Wanderers Stadium, Johannesburg","Johannesburg","Titans","Lions","Lions","field","F du Plessis","Titans",NA,"45"
"D du Preez",2014-11-02,"Warriors","Knights",2,"4.0",0,25,4,6.25,14,"Ram Slam T20 Challenge","2014/15",736255,"New Wanderers Stadium, Johannesburg","Johannesburg","Knights","Warriors","Warriors","field","D du Preez","Knights",NA,"74"
"GF Linde",2021-02-23,"Warriors","Cape Cobras",2,"4.0",0,25,4,6.25,8,"CSA T20 Challenge","2020/21",1235376,"Kingsmead, Durban","Durban","Cape Cobras","Warriors","Warriors","field","GF Linde","Cape Cobras",NA,"24"
"JH Kallis",2014-02-09,"Dolphins","Cape Cobras",1,"3.0",0,26,4,8.66666666666667,10,"Ram Slam T20 Challenge","2013/14",652319,"Newlands, Cape Town","Cape Town","Dolphins","Cape Cobras","Dolphins","bat","MN van Wyk","Dolphins",NA,"2"
"BC Fortuin",2019-05-05,"Warriors","Lions",2,"4.0",0,27,4,6.75,12,"CSA T20 Challenge","2018/19",1157256,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","Warriors","Warriors","field","T Bavuma","Lions",NA,"11"
"CJ Alexander",2014-01-24,"Cape Cobras","Dolphins",2,"4.0",0,27,4,6.75,12,"Ram Slam T20 Challenge","2013/14",652291,"Boland Park, Paarl","Paarl","Dolphins","Cape Cobras","Dolphins","bat","JM Kemp","Dolphins",NA,"7"
