"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
530321,6,"Cape Cobras","Warriors","male","2011/12",2012-02-15,"MiWAY T20 Challenge",1,"St George's Park, Port Elizabeth","Port Elizabeth","Warriors","field","M Ntini","JD Cloete","M Erasmus","BN Harrison","BG Jerling","CJ Mitchley","Cape Cobras",NA,10,NA,NA,NA
530323,6,"Cape Cobras","Knights","male","2011/12",2012-02-17,"MiWAY T20 Challenge",3,"De Beers Diamond Oval, Kimberley","Kimberley","Knights","field","R McLaren","JD Cloete","KH Hurter","CJ Conradie",NA,"A Barnes",NA,NA,NA,"D/L","tie",NA
530324,6,"Lions","Impi","male","2011/12",2012-02-17,"MiWAY T20 Challenge",4,"Senwes Park, Potchefstroom","Potchefstroom","Impi","field","E O'Reilly","BM White","DJ Smith","R Ellis","GH Pienaar","CJ Mitchley","Lions",NA,61,NA,NA,NA
530325,6,"Dolphins","Impi","male","2011/12",2012-02-19,"MiWAY T20 Challenge",5,"City Oval, Pietermaritzburg","Pietermaritzburg","Dolphins","bat","R Frylinck","IL Howell","M Erasmus","EC Hendrikse",NA,"S Wadvalla","Dolphins",NA,3,NA,NA,NA
530326,6,"Titans","Knights","male","2011/12",2012-02-19,"MiWAY T20 Challenge",6,"SuperSport Park, Centurion","Centurion","Knights","field","MN van Wyk","KH Hurter","MW Brown","A Paleker","JD Cloete","SB Lambson","Knights",5,NA,NA,NA,NA
530327,6,"Cape Cobras","Impi","male","2011/12",2012-02-22,"MiWAY T20 Challenge",7,"Boland Park, Paarl","Paarl","Impi","field","J Louw","EC Hendrikse","MW Brown","CD Isaacs",NA,"CJ Mitchley","Cape Cobras",NA,40,NA,NA,NA
530328,6,"Warriors","Lions","male","2011/12",2012-02-22,"MiWAY T20 Challenge",8,"St George's Park, Port Elizabeth","Port Elizabeth","Warriors","bat","AM Phangiso","JD Cloete","M Erasmus","BN Harrison","BG Jerling","SB Lambson","Lions",8,NA,NA,NA,NA
530330,6,"Dolphins","Titans","male","2011/12",2012-02-24,"MiWAY T20 Challenge",10,"Kingsmead, Durban","Durban","Dolphins","bat","JA Rudolph","BG Jerling","IL Howell","AT Holdstock",NA,"CJ Mitchley","Titans",6,NA,NA,NA,NA
530332,6,"Cape Cobras","Lions","male","2011/12",2012-02-24,"MiWAY T20 Challenge",12,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","field","Q de Kock","JD Cloete","M Erasmus","DJ Smith",NA,"S Wadvalla","Lions",3,NA,NA,NA,NA
530334,6,"Lions","Knights","male","2011/12",2012-02-26,"MiWAY T20 Challenge",14,"Chevrolet Park, Bloemfontein","Bloemfontein","Lions","bat","MN van Wyk","DJ Smith","MW Brown","JAS Morton",NA,"A Barnes","Knights",8,NA,NA,NA,NA
530335,6,"Impi","Titans","male","2011/12",2012-02-26,"MiWAY T20 Challenge",15,"Willowmoore Park, Benoni","Benoni","Impi","bat","H Davids","IL Howell","JD Cloete","BM White",NA,"D Govindjee","Titans",9,NA,NA,NA,NA
530336,6,"Warriors","Impi","male","2011/12",2012-02-29,"MiWAY T20 Challenge",16,"Willowmoore Park, Benoni","Benoni","Warriors","bat","CA Thyssen","AT Holdstock","M Erasmus","JD Cloete","DJ Smith","A Barnes","Warriors",NA,36,NA,NA,NA
530339,6,"Dolphins","Warriors","male","2011/12",2012-03-02,"MiWAY T20 Challenge",19,"Kingsmead, Durban","Durban","Dolphins","bat","M Ntini","AT Holdstock","JD Cloete","LB Gcuma","BG Jerling","S Wadvalla","Warriors",10,NA,NA,NA,NA
530340,6,"Titans","Lions","male","2011/12",2012-03-02,"MiWAY T20 Challenge",20,"SuperSport Park, Centurion","Centurion","Lions","field","DP Nannes","EC Hendrikse","S George","KH Hurter",NA,"A Barnes","Lions",7,NA,NA,NA,NA
530341,6,"Cape Cobras","Titans","male","2011/12",2012-03-04,"MiWAY T20 Challenge",21,"Newlands, Cape Town","Cape Town","Titans","field","M van Jaarsveld","AT Holdstock","GH Pienaar","MW Brown","M Erasmus","D Govindjee","Titans",6,NA,NA,NA,NA
530345,6,"Knights","Lions","male","2011/12",2012-03-07,"MiWAY T20 Challenge",25,"Senwes Park, Potchefstroom","Potchefstroom","Lions","field","CH Morris","DJ Smith","GH Pienaar","R Ellis",NA,"CJ Mitchley","Lions",7,NA,"D/L",NA,NA
