"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Gqamane","2012/13","Ram Slam T20 Challenge","Warriors",4,12,12,100,6,1,0,2,0,0,5
"A Gqamane","2014/15","Ram Slam T20 Challenge","Warriors",5,46,38,121.052631578947,15.3333333333333,3,1,2,0,0,17
"A Gqamane","2015/16","Ram Slam T20 Challenge","Warriors",2,18,12,150,9,1,1,0,0,0,14
"A Gqamane","2016/17","CSA T20 Challenge","Warriors",1,1,2,50,1,0,0,0,0,0,1
"A Gqamane","2017/18","Ram Slam T20 Challenge","Warriors",2,8,9,88.8888888888889,8,1,0,1,0,0,7
"A Gqamane","2020/21","CSA T20 Challenge","Warriors",5,67,45,148.888888888889,13.4,6,3,0,0,0,37
"A Gqamane","2021/22","CSA T20 Challenge","Titans",3,17,21,80.9523809523809,5.66666666666667,2,0,0,0,0,15
"A Gqamane","2022/23","CSA T20 Challenge","Titans",6,24,19,126.315789473684,8,0,2,3,0,0,14
"A Gqamane","2023/24","CSA T20 Challenge","Titans",1,2,7,28.5714285714286,2,0,0,0,0,0,2
"A Jacobs","2011/12","MiWAY T20 Challenge","Warriors",1,0,1,0,0,0,0,0,0,0,0
"A Mgijima","2013/14","Ram Slam T20 Challenge","Cape Cobras",3,6,9,66.6666666666667,6,0,0,2,0,0,4
"A Mgijima","2016/17","CSA T20 Challenge","Cape Cobras",1,2,4,50,2,0,0,0,0,0,2
"A Mgijima","2017/18","Ram Slam T20 Challenge","Cape Cobras",6,69,49,140.816326530612,13.8,7,2,1,0,0,37
"A Mgijima","2018/19","CSA T20 Challenge","Cape Cobras",6,112,82,136.585365853659,28,8,4,2,0,1,55
"A Mgijima","2021/22","CSA T20 Challenge","Western Province",7,82,65,126.153846153846,27.3333333333333,7,2,4,0,0,26
"A Mgijima","2022/23","CSA T20 Challenge","Western Province",1,2,5,40,2,0,0,0,0,0,2
"A Mhletywa","2021/22","CSA T20 Challenge","Warriors",1,4,4,100,Inf,0,0,1,0,0,4
"A Mhletywa","2023/24","CSA T20 Challenge","KwaZulu-Natal Inland",1,2,4,50,2,0,0,0,0,0,2
"A Mnyaka","2021/22","CSA T20 Challenge","Warriors",1,4,3,133.333333333333,Inf,0,0,1,0,0,4
"A Mnyaka","2022/23","CSA T20 Challenge","Warriors",1,7,6,116.666666666667,Inf,0,1,1,0,0,7
"A Mokgakane","2023/24","CSA T20 Challenge","Warriors",1,11,12,91.6666666666667,11,1,0,0,0,0,11
"A Myoli","2015/16","Ram Slam T20 Challenge","Dolphins",3,5,7,71.4285714285714,Inf,0,0,3,0,0,3
"A Myoli","2021/22","CSA T20 Challenge","Lions",1,0,0,NA,NA,0,0,1,0,0,0
"A Nortje","2020/21","CSA T20 Challenge","Warriors",3,43,30,143.333333333333,21.5,2,2,1,0,0,25
"A Nortje","2023/24","CSA T20 Challenge","Warriors",1,4,6,66.6666666666667,4,0,0,0,0,0,4
"A Simelane","2022/23","CSA T20 Challenge","Dolphins",5,27,28,96.4285714285714,9,1,2,2,0,0,13
"AB de Villiers","2012/13","Ram Slam T20 Challenge","Titans",2,35,40,87.5,17.5,1,0,0,0,0,31
"AB de Villiers","2017/18","Ram Slam T20 Challenge","Titans",5,209,110,190,52.25,15,14,1,0,1,54
"AC Thomas","2011/12","MiWAY T20 Challenge","Titans",2,13,14,92.8571428571429,6.5,2,0,0,0,0,10
"AC Thomas","2012/13","Ram Slam T20 Challenge","Titans",1,18,12,150,Inf,3,0,1,0,0,18
"ACR Birch","2011/12","MiWAY T20 Challenge","Warriors",1,6,3,200,6,0,1,0,0,0,6
"ACR Birch","2012/13","Ram Slam T20 Challenge","Warriors",2,28,28,100,28,4,0,1,0,0,20
"ACR Birch","2013/14","Ram Slam T20 Challenge","Warriors",4,25,22,113.636363636364,8.33333333333333,2,1,1,0,0,22
"ACR Birch","2014/15","Ram Slam T20 Challenge","Warriors",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"ACR Birch","2015/16","Ram Slam T20 Challenge","Warriors",5,14,19,73.6842105263158,3.5,1,0,1,0,0,6
"ACR Birch","2016/17","CSA T20 Challenge","Warriors",1,30,19,157.894736842105,30,3,0,0,0,0,30
"ACR Birch","2017/18","Ram Slam T20 Challenge","Warriors",6,34,28,121.428571428571,6.8,1,2,1,0,0,24
"ACR Birch","2018/19","CSA T20 Challenge","Warriors",4,48,35,137.142857142857,24,2,3,2,0,0,32
"AD Russell","2014/15","Ram Slam T20 Challenge","Knights",8,182,90,202.222222222222,36.4,14,14,3,0,2,57
"AD Russell","2015/16","Ram Slam T20 Challenge","Knights",5,169,89,189.887640449438,42.25,9,16,1,0,2,66
"AG Prince","2011/12","MiWAY T20 Challenge","Warriors",8,213,189,112.698412698413,30.4285714285714,18,4,1,0,2,63
"AG Prince","2012/13","Ram Slam T20 Challenge","Warriors",7,182,170,107.058823529412,30.3333333333333,14,4,1,0,1,70
"AG Prince","2013/14","Ram Slam T20 Challenge","Warriors",9,120,121,99.1735537190083,13.3333333333333,9,3,0,0,0,40
"AG Puttick","2011/12","MiWAY T20 Challenge","Cape Cobras",5,138,115,120,34.5,12,4,1,0,2,55
"AG Puttick","2012/13","Ram Slam T20 Challenge","Cape Cobras",1,28,29,96.551724137931,28,3,0,0,0,0,28
"AG Puttick","2014/15","Ram Slam T20 Challenge","Cape Cobras",7,149,145,102.758620689655,24.8333333333333,13,2,1,0,1,65
"AG Puttick","2015/16","Ram Slam T20 Challenge","Cape Cobras",9,171,179,95.5307262569832,19,11,4,0,0,0,37
"AGS Gous","2016/17","CSA T20 Challenge","Knights",3,29,28,103.571428571429,9.66666666666667,4,0,0,0,0,28
"AGS Gous","2017/18","Ram Slam T20 Challenge","Knights",2,38,31,122.58064516129,19,3,1,0,0,0,37
"AGS Gous","2018/19","CSA T20 Challenge","Knights",4,44,45,97.7777777777778,11,5,1,0,0,0,24
"AGS Gous","2020/21","CSA T20 Challenge","Knights",2,35,21,166.666666666667,17.5,1,4,0,0,0,35
"AJ Malan","2015/16","Ram Slam T20 Challenge","Lions",4,38,50,76,9.5,3,0,0,0,0,25
"AJ Pienaar","2011/12","MiWAY T20 Challenge","Knights",5,60,47,127.659574468085,12,4,3,0,0,0,22
"AJ Pienaar","2012/13","Ram Slam T20 Challenge","Knights",7,164,130,126.153846153846,27.3333333333333,15,3,1,0,0,38
"AJ Pienaar","2013/14","Ram Slam T20 Challenge","Knights",6,53,62,85.4838709677419,10.6,6,0,1,0,0,18
"AJ Pienaar","2014/15","Ram Slam T20 Challenge","Knights",6,49,34,144.117647058824,16.3333333333333,3,3,3,0,0,35
"AJA Gray","2011/12","MiWAY T20 Challenge","Cape Cobras",3,17,19,89.4736842105263,17,1,0,2,0,0,12
"AJA Gray","2012/13","Ram Slam T20 Challenge","Cape Cobras",1,7,7,100,7,0,0,0,0,0,7
"AK Markram","2016/17","CSA T20 Challenge","Titans",5,110,86,127.906976744186,27.5,18,0,1,0,0,33
"AK Markram","2017/18","Ram Slam T20 Challenge","Titans",6,228,172,132.558139534884,76,19,8,3,0,3,56
"AK Markram","2020/21","CSA T20 Challenge","Titans",5,57,61,93.4426229508197,11.4,7,0,0,0,0,31
"AK Markram","2023/24","CSA T20 Challenge","Titans",1,40,30,133.333333333333,40,5,0,0,0,0,40
"AL Phehlukwayo","2014/15","Ram Slam T20 Challenge","Dolphins",3,9,8,112.5,3,2,0,0,0,0,8
"AL Phehlukwayo","2015/16","Ram Slam T20 Challenge","Dolphins",3,11,20,55,3.66666666666667,0,1,0,0,0,7
"AL Phehlukwayo","2016/17","CSA T20 Challenge","Dolphins",1,13,13,100,13,1,1,0,0,0,13
"AL Phehlukwayo","2017/18","Ram Slam T20 Challenge","Dolphins",5,40,36,111.111111111111,10,2,2,1,0,0,21
"AL Phehlukwayo","2018/19","CSA T20 Challenge","Dolphins",4,66,54,122.222222222222,22,3,3,1,0,0,31
"AL Phehlukwayo","2020/21","CSA T20 Challenge","Dolphins",1,13,14,92.8571428571429,13,1,0,0,0,0,13
"AL Phehlukwayo","2021/22","CSA T20 Challenge","Dolphins",7,95,67,141.791044776119,31.6666666666667,5,6,4,0,0,28
"AL Phehlukwayo","2023/24","CSA T20 Challenge","Dolphins",1,11,7,157.142857142857,11,1,1,0,0,0,11
