"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"BE Hendricks","Cape Cobras","2013/14","Ram Slam T20 Challenge",10,"36.4",1,259,22,11.7727272727273,7.06363636363636,10,118,1,0,"4/32"
"CH Morris","Lions","2011/12","MiWAY T20 Challenge",11,"39.0",0,266,21,12.6666666666667,6.82051282051282,11.1428571428571,115,2,0,"4/22"
"B Xenxe","Boland","2022/23","CSA T20 Challenge",7,"25.4",0,199,18,11.0555555555556,7.75324675324675,8.55555555555556,62,2,0,"4/30"
"BC Fortuin","Lions","2018/19","CSA T20 Challenge",10,"38.0",1,215,15,14.3333333333333,5.65789473684211,15.2,109,1,0,"4/27"
"GC Viljoen","Lions","2016/17","CSA T20 Challenge",9,"33.2",1,259,15,17.2666666666667,7.77,13.3333333333333,91,0,0,"3/16"
"AD Russell","Knights","2015/16","Ram Slam T20 Challenge",6,"24.0",1,143,14,10.2142857142857,5.95833333333333,10.2857142857143,79,1,0,"4/11"
"ACR Birch","Warriors","2016/17","CSA T20 Challenge",8,"25.3",2,180,14,12.8571428571429,7.05882352941176,10.9285714285714,71,0,1,"5/16"
"CH Morris","Titans","2015/16","Ram Slam T20 Challenge",8,"28.0",1,183,14,13.0714285714286,6.53571428571429,12,90,1,0,"4/9"
"T Shamsi","Titans","2017/18","Ram Slam T20 Challenge",8,"28.0",0,197,14,14.0714285714286,7.03571428571429,12,61,1,0,"4/32"
"RK Kleinveldt","Cape Cobras","2018/19","CSA T20 Challenge",9,"34.0",2,235,14,16.7857142857143,6.91176470588235,14.5714285714286,89,1,0,"4/33"
"KJ Abbott","Dolphins","2013/14","Ram Slam T20 Challenge",11,"41.4",4,256,14,18.2857142857143,6.144,17.8571428571429,120,0,0,"3/21"
"R Frylinck","Dolphins","2013/14","Ram Slam T20 Challenge",11,"42.0",0,295,14,21.0714285714286,7.02380952380952,18,93,0,0,"3/21"
"Sohail Tanvir","Lions","2012/13","Ram Slam T20 Challenge",7,"26.0",0,168,13,12.9230769230769,6.46153846153846,12,75,0,0,"2/15"
"G Coetzee","Knights","2022/23","CSA T20 Challenge",6,"23.2",0,179,13,13.7692307692308,7.67142857142857,10.7692307692308,71,2,0,"4/22"
"SSB Magala","Warriors","2015/16","Ram Slam T20 Challenge",8,"25.1",0,198,13,15.2307692307692,7.86754966887417,11.6153846153846,66,0,1,"5/28"
"GC Viljoen","Lions","2012/13","Ram Slam T20 Challenge",8,"31.0",1,202,13,15.5384615384615,6.51612903225806,14.3076923076923,93,0,0,"3/12"
"GF Linde","Cape Cobras","2014/15","Ram Slam T20 Challenge",9,"30.0",1,207,13,15.9230769230769,6.9,13.8461538461538,72,0,0,"3/15"
"AC Thomas","Titans","2011/12","MiWAY T20 Challenge",10,"35.1",0,222,13,17.0769230769231,6.31279620853081,16.2307692307692,100,0,0,"3/17"
"SC van Schalkwyk","Knights","2014/15","Ram Slam T20 Challenge",9,"35.0",0,240,13,18.4615384615385,6.85714285714286,16.1538461538462,79,0,0,"3/28"
"T Shamsi","Titans","2021/22","CSA T20 Challenge",9,"36.0",1,247,13,19,6.86111111111111,16.6153846153846,83,0,0,"3/15"
"LL Tsotsobe","Lions","2014/15","Ram Slam T20 Challenge",10,"38.0",0,302,13,23.2307692307692,7.94736842105263,17.5384615384615,94,0,0,"2/22"
