"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Athanaze",8,165,152,108.552631578947,23.5714285714286,14,5,1,0,1,76
"A Bramble",12,78,95,82.1052631578947,7.8,7,1,2,0,0,14
"A Dananjaya",3,12,18,66.6666666666667,4,1,0,0,0,0,10
"A Phillip",6,12,18,66.6666666666667,12,0,1,5,0,0,6
"A Zampa",3,5,6,83.3333333333333,2.5,0,0,1,0,0,3
"AA Jangoo",12,149,185,80.5405405405405,13.5454545454545,11,6,1,0,0,30
"AB Barath",6,135,148,91.2162162162162,22.5,12,1,0,0,0,38
"AB Fudadin",10,199,190,104.736842105263,28.4285714285714,12,8,3,0,1,54
"AB de Villiers",4,171,122,140.16393442623,42.75,18,5,0,0,1,82
"AC Voges",10,109,128,85.15625,13.625,5,2,2,0,0,48
"AD Hales",19,414,306,135.294117647059,23,47,20,1,1,0,119
"AD Russell",87,1755,1031,170.223084384093,28.3064516129032,126,141,25,2,6,121
"ADS Fletcher",101,2715,2246,120.881567230632,29.8351648351648,226,121,10,0,16,93
"AI Ross",2,46,43,106.976744186047,46,2,2,1,0,0,23
"AJ Hose",4,54,65,83.0769230769231,13.5,4,0,0,0,0,18
"AJ Hosein",32,267,263,101.520912547529,14.8333333333333,12,13,14,0,0,44
"AM McCarthy",21,344,291,118.213058419244,19.1111111111111,22,18,3,0,2,61
"AMA Dewar",1,3,3,100,Inf,0,0,1,0,0,3
"AP Devcich",11,175,137,127.737226277372,17.5,19,5,1,0,1,50
"AR Nedd",2,2,5,40,2,0,0,1,0,0,1
"AR Nurse",46,444,383,115.926892950392,17.76,27,23,21,0,0,40
"AS Joseph",30,202,176,114.772727272727,14.4285714285714,13,11,16,0,0,29
"AT Rayudu",3,47,40,117.5,15.6666666666667,3,3,0,0,0,32
"AWJ Auguste",2,15,21,71.4285714285714,7.5,0,1,0,0,0,11
"Ahmed Shehzad",9,115,119,96.6386554621849,12.7777777777778,14,2,0,0,0,28
"Ali Khan",7,23,24,95.8333333333333,4.6,2,1,2,0,0,8
"Asif Ali",13,150,139,107.913669064748,12.5,11,6,1,0,0,47
"Azam Khan",30,659,488,135.040983606557,23.5357142857143,47,46,2,0,5,64
"Azhar Mahmood",1,14,7,200,14,1,1,0,0,0,14
"B Laughlin",2,1,2,50,1,0,0,1,0,0,1
"B Muzarabani",1,1,6,16.6666666666667,1,0,0,0,0,0,1
