"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"DJ Bravo",93,"325.4",1,2847,128,22.2421875,8.74206755373593,15.265625,688,5,1,"5/23"
"SP Narine",104,"406.1",15,2188,111,19.7117117117117,5.38695116947066,21.954954954955,1286,0,0,"3/6"
"Imran Tahir",66,"252.4",5,1580,91,17.3626373626374,6.2532981530343,16.6593406593407,716,1,0,"4/22"
"RR Emrit",79,"270.4",4,2078,88,23.6136363636364,7.67733990147783,18.4545454545455,634,1,0,"4/35"
"JO Holder",88,"303.5",8,2325,87,26.7241379310345,7.65222161272628,20.9540229885057,827,2,0,"4/27"
"SS Cottrell",73,"253.5",5,1968,85,23.1529411764706,7.75311884438608,17.9176470588235,717,1,0,"4/20"
"K Santokie",55,"210.5",2,1619,84,19.2738095238095,7.67905138339921,15.0595238095238,513,2,0,"4/11"
"AD Russell",83,"244.0",1,2133,84,25.3928571428571,8.74180327868852,17.4285714285714,536,1,0,"4/23"
"KOK Williams",63,"213.2",1,1844,83,22.2168674698795,8.64375,15.421686746988,484,2,0,"4/24"
"R Rampaul",53,"184.4",1,1552,72,21.5555555555556,8.4043321299639,15.3888888888889,487,4,0,"4/18"
"R Shepherd",51,"152.4",4,1246,68,18.3235294117647,8.16157205240175,13.4705882352941,411,1,0,"4/13"
"CR Brathwaite",73,"222.1",2,1855,63,29.4444444444444,8.34958739684921,21.1587301587302,501,2,0,"4/15"
"Sohail Tanvir",55,"200.3",2,1409,62,22.7258064516129,7.02743142144638,19.4032258064516,564,1,1,"5/3"
"AS Joseph",51,"183.3",2,1494,60,24.9,8.141689373297,18.35,534,2,0,"4/17"
"CJ Green",67,"237.0",6,1515,60,25.25,6.39240506329114,23.7,654,2,0,"4/14"
"Imad Wasim",51,"181.4",5,1146,59,19.4237288135593,6.30825688073395,18.4745762711864,512,0,0,"3/14"
"KK Cooper",53,"172.4",1,1376,57,24.140350877193,7.96911196911197,18.1754385964912,365,0,0,"3/21"
"Fawad Ahmed",43,"153.0",2,979,56,17.4821428571429,6.39869281045752,16.3928571428571,418,1,0,"4/21"
"O Thomas",40,"135.3",2,1244,51,24.3921568627451,9.18081180811808,15.9411764705882,378,1,0,"4/53"
"Ali Khan",45,"146.2",1,1271,51,24.921568627451,8.68564920273348,17.2156862745098,361,1,0,"4/6"
"RA Reifer",48,"125.2",0,1112,50,22.24,8.87234042553191,15.04,271,1,1,"5/20"
"AJ Hosein",56,"190.2",4,1185,50,23.7,6.22591943957968,22.84,577,1,0,"4/13"
"KA Pollard",62,"159.3",0,1262,50,25.24,7.91222570532915,19.14,312,3,0,"4/16"
"K Pierre",48,"166.4",1,1147,49,23.4081632653061,6.882,20.4081632653061,451,1,0,"4/20"
"OC McCoy",41,"134.0",0,1171,46,25.4565217391304,8.73880597014925,17.4782608695652,334,1,0,"4/41"
"OF Smith",43,"124.4",1,1198,46,26.0434782608696,9.6096256684492,16.2608695652174,305,0,0,"3/20"
"Mohammad Amir",28,"95.1",3,619,43,14.3953488372093,6.50437828371278,13.2790697674419,294,1,0,"4/19"
"KMA Paul",53,"134.1",0,1189,43,27.6511627906977,8.86211180124224,18.7209302325581,295,1,0,"4/19"
"V Permaul",62,"210.3",4,1430,43,33.2558139534884,6.79334916864608,29.3720930232558,540,0,0,"3/32"
"S Badree",49,"156.0",3,1061,42,25.2619047619048,6.80128205128205,22.2857142857143,444,0,0,"3/13"
"JE Taylor",41,"148.1",2,1290,42,30.7142857142857,8.70641169853768,21.1666666666667,378,1,0,"4/18"
"T Shamsi",28,"100.3",1,679,39,17.4102564102564,6.75621890547264,15.4615384615385,265,3,0,"4/10"
"Shakib Al Hasan",32,"102.3",3,705,36,19.5833333333333,6.8780487804878,17.0833333333333,279,0,1,"6/6"
"RL Chase",42,"123.5",2,831,36,23.0833333333333,6.71063257065949,20.6388888888889,333,0,0,"3/12"
"HR Walsh",33,"95.2",1,772,35,22.0571428571429,8.0979020979021,16.3428571428571,246,1,1,"5/19"
"FH Edwards",33,"114.4",1,955,34,28.0882352941176,8.32848837209302,20.2352941176471,306,0,1,"5/22"
"D Wiese",25,"75.0",1,653,33,19.7878787878788,8.70666666666667,13.6363636363636,170,0,3,"5/25"
"RR Beaton",40,"133.5",1,1175,33,35.6060606060606,8.77957658779576,24.3333333333333,328,1,0,"4/9"
"Wahab Riaz",28,"99.2",1,783,30,26.1,7.88255033557047,19.8666666666667,272,0,0,"3/32"
"RRS Cornwall",46,"113.3",0,914,30,30.4666666666667,8.05286343612335,22.7,284,0,0,"2/10"
"Rashid Khan",27,"103.0",4,617,29,21.2758620689655,5.99029126213592,21.3103448275862,327,0,0,"3/15"
"G Motie",27,"93.0",3,666,29,22.9655172413793,7.16129032258065,19.2413793103448,234,1,0,"4/29"
"FA Allen",41,"106.1",0,853,29,29.4137931034483,8.03453689167975,21.9655172413793,252,1,0,"4/25"
"S Lamichhane",21,"76.5",3,446,27,16.5185185185185,5.80477223427332,17.0740740740741,240,0,0,"3/22"
"Mohammad Nabi",27,"85.0",2,499,27,18.4814814814815,5.87058823529412,18.8888888888889,239,0,1,"5/15"
"DC Drakes",26,"83.3",0,795,27,29.4444444444444,9.52095808383234,18.5555555555556,190,0,0,"3/26"
"Mujeeb Ur Rahman",18,"67.0",2,376,26,14.4615384615385,5.61194029850746,15.4615384615385,220,0,0,"3/11"
"D Pretorius",18,"64.3",0,511,26,19.6538461538462,7.92248062015504,14.8846153846154,166,1,0,"4/26"
"Mohammad Hafeez",39,"120.3",1,731,26,28.1153846153846,6.06639004149378,27.8076923076923,332,0,0,"3/18"
"KR Mayers",40,"95.2",1,750,26,28.8461538461538,7.86713286713287,22,263,1,0,"4/4"
"AR Nurse",44,"112.0",0,874,25,34.96,7.80357142857143,26.88,272,1,0,"4/28"
"I Khan (2)",24,"73.0",2,455,24,18.9583333333333,6.23287671232877,18.25,191,0,0,"3/19"
"SJ Benn",34,"109.1",1,777,24,32.375,7.1175572519084,27.2916666666667,275,0,0,"3/27"
"SC Kuggeleijn",15,"48.3",1,406,23,17.6521739130435,8.37113402061856,12.6521739130435,129,1,0,"4/33"
"S Shillingford",26,"91.0",1,659,23,28.6521739130435,7.24175824175824,23.7391304347826,225,1,0,"4/22"
"Qais Ahmad",19,"63.3",0,502,22,22.8181818181818,7.90551181102362,17.3181818181818,148,0,0,"3/15"
"M Pretorius",20,"71.0",1,666,22,30.2727272727273,9.38028169014085,19.3636363636364,146,2,0,"4/32"
"J Theron",19,"69.2",0,571,21,27.1904761904762,8.23557692307692,19.8095238095238,135,1,0,"4/35"
"DJG Sammy",32,"85.5",0,716,21,34.0952380952381,8.34174757281554,24.5238095238095,156,0,0,"3/35"
"RS Primus",27,"59.5",0,521,20,26.05,8.7075208913649,17.95,141,0,0,"2/11"
"Shadab Khan",11,"44.0",1,259,19,13.6315789473684,5.88636363636364,13.8947368421053,126,1,0,"4/28"
"J Royal",20,"55.2",0,427,19,22.4736842105263,7.71686746987952,17.4736842105263,152,0,0,"3/19"
"Naveen-ul-Haq",19,"62.5",1,472,19,24.8421052631579,7.51193633952255,19.8421052631579,173,1,0,"4/14"
"JDS Neesham",18,"48.4",0,495,19,26.0526315789474,10.1712328767123,15.3684210526316,108,0,0,"3/18"
"DE Johnson",11,"37.3",1,321,18,17.8333333333333,8.56,12.5,99,0,0,"3/22"
"A Zampa",18,"53.1",0,450,17,26.4705882352941,8.46394984326019,18.7647058823529,108,0,0,"3/27"
"JL Jaggesar",19,"65.0",0,500,17,29.4117647058824,7.69230769230769,22.9411764705882,154,0,0,"3/32"
"ST Gabriel",22,"63.1",1,511,17,30.0588235294118,8.08970976253298,22.2941176470588,168,0,0,"3/19"
"SA Jacobs",27,"80.0",2,605,17,35.5882352941176,7.5625,28.2352941176471,182,0,0,"2/15"
"NO Miller",34,"101.0",0,716,17,42.1176470588235,7.08910891089109,35.6470588235294,229,0,0,"3/17"
"R Powell",31,"71.0",0,750,17,44.1176470588235,10.5633802816901,25.0588235294118,114,0,0,"2/21"
"Zahir Khan",14,"47.4",0,348,16,21.75,7.3006993006993,17.875,130,0,0,"3/20"
"WD Parnell",15,"50.0",0,401,16,25.0625,8.02,18.75,139,0,0,"3/28"
"SK Springer",18,"47.1",0,418,16,26.125,8.86219081272085,17.6875,92,0,0,"3/32"
"JNT Seales",19,"52.0",0,479,16,29.9375,9.21153846153846,19.5,135,0,0,"2/12"
"MW Forde",13,"38.2",2,257,15,17.1333333333333,6.70434782608696,15.3333333333333,127,1,0,"4/23"
"RJ Peterson",13,"43.4",1,275,15,18.3333333333333,6.29770992366412,17.4666666666667,126,0,0,"3/13"
"B Laughlin",13,"40.3",1,306,15,20.4,7.55555555555556,16.2,97,0,0,"3/7"
"Shoaib Malik",32,"55.5",2,384,15,25.6,6.87761194029851,22.3333333333333,148,0,0,"1/2"
"D Bishoo",12,"40.5",1,293,14,20.9285714285714,7.17551020408163,17.5,96,1,0,"4/24"
"Sikandar Raza",16,"43.0",0,300,14,21.4285714285714,6.97674418604651,18.4285714285714,110,0,0,"3/15"
"JPR Scantlebury-Searles",19,"42.0",0,419,14,29.9285714285714,9.97619047619048,18,91,0,0,"3/27"
"HF Gurney",8,"31.0",0,191,13,14.6923076923077,6.16129032258065,14.3076923076923,94,0,0,"3/17"
"BCJ Cutting",11,"38.5",1,356,13,27.3846153846154,9.16738197424893,17.9230769230769,80,0,0,"2/18"
"GE Mathurin",16,"52.4",0,374,13,28.7692307692308,7.10126582278481,24.3076923076923,124,0,0,"2/24"
"NA Gordon",14,"41.0",0,376,13,28.9230769230769,9.17073170731707,18.9230769230769,71,0,0,"3/32"
"NRJ Young",17,"43.3",1,395,13,30.3846153846154,9.08045977011494,20.0769230769231,90,0,0,"3/5"
"MN Samuels",22,"63.0",1,418,13,32.1538461538462,6.63492063492064,29.0769230769231,147,0,0,"3/10"
"BMAJ Mendis",9,"26.0",1,143,12,11.9166666666667,5.5,13,70,0,0,"3/33"
"DW Steyn",6,"23.5",1,161,12,13.4166666666667,6.75524475524476,11.9166666666667,76,1,0,"4/27"
"DE Bernard",16,"43.0",0,281,12,23.4166666666667,6.53488372093023,21.5,132,0,0,"3/19"
"Mohammad Irfan",10,"39.4",4,283,12,23.5833333333333,7.13445378151261,19.8333333333333,116,0,0,"3/37"
"M de Lange",12,"39.0",1,304,12,25.3333333333333,7.79487179487179,19.5,102,1,0,"4/23"
"Mohammad Sami",12,"43.0",0,355,12,29.5833333333333,8.25581395348837,21.5,105,1,0,"4/12"
"MJ McClenaghan",15,"48.0",0,446,12,37.1666666666667,9.29166666666667,24,118,0,0,"2/21"
"KAJ Roach",15,"55.0",0,480,12,40,8.72727272727273,27.5,132,0,0,"2/17"
"Waqar Salamkheil",8,"29.1",0,195,11,17.7272727272727,6.68571428571429,15.9090909090909,81,1,0,"4/14"
"I Udana",7,"26.0",0,252,11,22.9090909090909,9.69230769230769,14.1818181818182,59,0,1,"5/21"
"C Hemraj",24,"38.1",1,269,11,24.4545454545455,7.04803493449782,20.8181818181818,121,0,0,"3/15"
"CH Gayle",18,"38.5",0,297,11,27,7.6480686695279,21.1818181818182,90,0,0,"2/22"
"J Bishop",14,"40.5",2,306,11,27.8181818181818,7.49387755102041,22.2727272727273,115,0,0,"3/20"
"SR Watson",11,"41.0",0,358,11,32.5454545454545,8.73170731707317,22.3636363636364,86,0,0,"3/26"
"DL Vettori",19,"70.0",1,401,11,36.4545454545455,5.72857142857143,38.1818181818182,194,0,0,"3/13"
"M Muralitharan",8,"31.0",0,180,10,18,5.80645161290323,18.6,104,0,0,"3/12"
"DM Dupavillon",7,"23.0",0,193,10,19.3,8.39130434782609,13.8,62,0,0,"3/38"
"DYA Davis",10,"27.0",0,206,10,20.6,7.62962962962963,16.2,52,0,0,"3/29"
"Salman Irshad",7,"26.0",0,227,10,22.7,8.73076923076923,15.6,63,1,0,"4/27"
"TL Best",12,"40.5",0,346,10,34.6,8.4734693877551,24.5,108,0,0,"2/36"
"A Phillip",18,"44.0",0,416,10,41.6,9.45454545454546,26.4,98,0,0,"3/38"
"KJ O'Brien",6,"12.0",0,95,9,10.5555555555556,7.91666666666667,8,31,1,0,"4/22"
"JH Kallis",11,"28.3",1,184,9,20.4444444444444,6.45614035087719,19,92,0,0,"3/15"
"VD Philander",8,"29.0",0,197,9,21.8888888888889,6.79310344827586,19.3333333333333,79,0,0,"3/16"
"Shahid Afridi",10,"32.5",1,274,9,30.4444444444444,8.34517766497462,21.8888888888889,76,0,0,"3/34"
"M Deyal",20,"34.3",0,279,9,31,8.08695652173913,23,73,0,0,"2/2"
"C Bosch",14,"33.0",0,337,9,37.4444444444444,10.2121212121212,22,64,0,0,"3/22"
"DR Smith",21,"42.3",0,338,9,37.5555555555556,7.95294117647059,28.3333333333333,96,0,0,"2/22"
"KJ Cottoy",5,"16.0",0,99,8,12.375,6.1875,12,37,1,0,"4/18"
"K Sinclair",8,"25.0",0,135,8,16.875,5.4,18.75,85,0,0,"2/13"
"GC Tonge",7,"18.0",1,147,8,18.375,8.16666666666667,13.5,47,0,0,"3/24"
"J Botha",10,"24.0",0,172,8,21.5,7.16666666666667,18,63,0,0,"2/23"
"JA Sinclair",10,"26.0",0,180,8,22.5,6.92307692307692,19.5,73,0,0,"2/12"
"AR Nedd",10,"33.5",1,204,8,25.5,6.02955665024631,25.375,96,0,0,"2/14"
"PA van Meekeren",8,"29.0",0,230,8,28.75,7.93103448275862,21.75,81,0,0,"2/23"
