"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Athanaze","AD Russell",0,3,1,3,0,0,0,0,0
"A Athanaze","AR Nedd",4,6,0,2,0,0,4,66.6666666666667,Inf
"A Athanaze","AS Joseph",1,2,0,1,0,0,3,50,Inf
"A Athanaze","Ali Khan",5,3,0,1,1,0,10,166.666666666667,Inf
"A Athanaze","BAC Howell",2,2,0,0,0,0,6,100,Inf
"A Athanaze","C Bosch",1,2,0,1,0,0,3,50,Inf
"A Athanaze","CJ Green",4,6,0,2,0,0,4,66.6666666666667,Inf
"A Athanaze","DC Drakes",5,5,1,3,1,0,6,100,5
"A Athanaze","G Motie",6,8,0,2,0,0,4.5,75,Inf
"A Athanaze","GF Linde",6,4,0,0,0,0,9,150,Inf
"A Athanaze","Imad Wasim",23,11,0,4,2,2,12.5454545454545,209.090909090909,Inf
"A Athanaze","Imran Tahir",5,12,1,7,0,0,2.5,41.6666666666667,5
"A Athanaze","Izharulhaq Naveed",15,12,0,5,1,1,7.5,125,Inf
"A Athanaze","JA Sinclair",14,6,0,2,3,0,14,233.333333333333,Inf
"A Athanaze","KMA Paul",1,1,0,0,0,0,6,100,Inf
"A Athanaze","MW Forde",3,8,0,6,0,0,2.25,37.5,Inf
"A Athanaze","Mohammad Amir",19,10,0,2,3,0,11.4,190,Inf
"A Athanaze","NA Gordon",24,14,0,3,2,1,10.2857142857143,171.428571428571,Inf
"A Athanaze","O Thomas",2,4,0,2,0,0,3,50,Inf
"A Athanaze","OF Smith",1,1,0,0,0,0,6,100,Inf
"A Athanaze","R Shepherd",2,3,1,1,0,0,4,66.6666666666667,2
"A Athanaze","RS Primus",0,1,1,1,0,0,0,0,0
"A Athanaze","S Joseph",4,6,0,5,1,0,4,66.6666666666667,Inf
"A Athanaze","SE Rutherford",8,3,0,0,0,1,16,266.666666666667,Inf
"A Athanaze","SP Narine",2,4,1,2,0,0,3,50,2
"A Athanaze","Salman Irshad",6,7,1,1,0,0,5.14285714285714,85.7142857142857,6
"A Athanaze","TK Curran",2,4,0,3,0,0,3,50,Inf
"A Athanaze","Waqar Salamkheil",0,4,0,4,0,0,0,0,NA
"A Bramble","AD Russell",6,9,0,4,0,0,4,66.6666666666667,Inf
"A Bramble","CJ Green",6,10,0,7,1,0,3.6,60,Inf
"A Bramble","CR Brathwaite",7,6,0,0,0,0,7,116.666666666667,Inf
"A Bramble","DE Johnson",0,1,0,1,0,0,0,0,NA
"A Bramble","DJ Bravo",4,4,0,1,0,0,6,100,Inf
"A Bramble","DJG Sammy",1,1,0,0,0,0,6,100,Inf
"A Bramble","FH Edwards",1,4,1,3,0,0,1.5,25,1
"A Bramble","GE Mathurin",3,4,0,2,0,0,4.5,75,Inf
"A Bramble","Imad Wasim",4,8,2,7,1,0,3,50,2
"A Bramble","JE Taylor",7,5,1,2,1,0,8.4,140,7
"A Bramble","JL Jaggesar",1,2,0,1,0,0,3,50,Inf
"A Bramble","KA Pollard",1,2,1,1,0,0,3,50,1
"A Bramble","KOK Williams",7,4,1,2,0,1,10.5,175,7
"A Bramble","M Pretorius",2,4,0,2,0,0,3,50,Inf
"A Bramble","Mujeeb Ur Rahman",3,9,0,7,0,0,2,33.3333333333333,Inf
"A Bramble","NLTC Perera",5,2,0,0,1,0,15,250,Inf
"A Bramble","Naseem Shah",4,3,1,2,1,0,8,133.333333333333,4
"A Bramble","RA Reifer",0,1,0,1,0,0,0,0,NA
"A Bramble","SJ Benn",2,2,1,1,0,0,6,100,2
"A Bramble","SP Narine",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Bramble","SS Cottrell",7,4,0,1,1,0,10.5,175,Inf
"A Bramble","Shakib Al Hasan",2,3,1,1,0,0,4,66.6666666666667,2
"A Bramble","T Shamsi",4,4,1,3,1,0,6,100,4
"A Dananjaya","AS Joseph",1,1,0,0,0,0,6,100,Inf
"A Dananjaya","D Wiese",3,4,1,1,0,0,4.5,75,3
"A Dananjaya","KOK Williams",1,4,1,3,0,0,1.5,25,1
"A Dananjaya","NRJ Young",1,2,1,1,0,0,3,50,1
"A Dananjaya","RS Primus",6,7,0,4,1,0,5.14285714285714,85.7142857142857,Inf
"A Phillip","DC Drakes",2,1,0,0,0,0,12,200,Inf
