"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"BA King",2019-10-06,"Guyana Amazon Warriors","Barbados Tridents",1,132,72,10,11,183.333333333333,TRUE,"Caribbean Premier League",2019,1185867,"Providence Stadium","Guyana","Guyana Amazon Warriors","Barbados Tridents","Guyana Amazon Warriors","bat","BA King","Guyana Amazon Warriors",NA,"30"
"AD Russell",2018-08-10,"Jamaica Tallawahs","Trinbago Knight Riders",2,121,49,6,13,246.938775510204,TRUE,"Caribbean Premier League",2018,1148649,"Queen's Park Oval, Port of Spain","Trinidad","Trinbago Knight Riders","Jamaica Tallawahs","Jamaica Tallawahs","field","AD Russell","Jamaica Tallawahs","4",NA
"F du Plessis",2021-09-04,"St Lucia Kings","St Kitts and Nevis Patriots",1,120,60,13,5,200,TRUE,"Caribbean Premier League",2021,1269714,"Warner Park, Basseterre, St Kitts","Basseterre","St Lucia Kings","St Kitts and Nevis Patriots","St Kitts and Nevis Patriots","field","F du Plessis","St Lucia Kings",NA,"100"
"AD Hales",2023-09-17,"Jamaica Tallawahs","St Lucia Kings",1,119,57,12,7,208.771929824561,TRUE,"Caribbean Premier League",2023,1369586,"Providence Stadium, Guyana","Providence","Jamaica Tallawahs","St Lucia Kings","St Lucia Kings","field","AD Hales","Jamaica Tallawahs",NA,"122"
"CH Gayle",2019-09-10,"Jamaica Tallawahs","St Kitts and Nevis Patriots",1,116,62,7,10,187.096774193548,FALSE,"Caribbean Premier League",2019,1185843,"Warner Park, Basseterre","St Kitts","Jamaica Tallawahs","St Kitts and Nevis Patriots","St Kitts and Nevis Patriots","field","E Lewis","St Kitts and Nevis Patriots","4",NA
"DR Smith",2014-07-23,"Barbados Tridents","St Lucia Zouks",1,110,69,7,8,159.420289855072,TRUE,"Caribbean Premier League",2014,743155,"Kensington Oval, Bridgetown","Barbados","Barbados Tridents","St Lucia Zouks","St Lucia Zouks","field","DR Smith","Barbados Tridents",NA,"29"
"SSJ Brooks",2022-09-28,"Jamaica Tallawahs","Guyana Amazon Warriors",1,109,52,7,8,209.615384615385,TRUE,"Caribbean Premier League",2022,1323176,"Providence Stadium, Guyana","Providence","Jamaica Tallawahs","Guyana Amazon Warriors","Guyana Amazon Warriors","field","SSJ Brooks","Jamaica Tallawahs",NA,"37"
"CH Gayle",2016-07-04,"Jamaica Tallawahs","Trinbago Knight Riders",2,108,54,6,11,200,TRUE,"Caribbean Premier League",2016,1025989,"Queen's Park Oval, Port of Spain","Trinidad","Trinbago Knight Riders","Jamaica Tallawahs","Jamaica Tallawahs","field","CH Gayle","Jamaica Tallawahs","7",NA
"SD Hope",2023-09-17,"Guyana Amazon Warriors","Barbados Royals",1,106,44,9,8,240.909090909091,FALSE,"Caribbean Premier League",2023,1369587,"Providence Stadium, Guyana","Providence","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","SD Hope","Guyana Amazon Warriors",NA,"88"
"MN Samuels",2014-08-07,"Antigua Hawksbills","Guyana Amazon Warriors",2,106,52,10,8,203.846153846154,TRUE,"Caribbean Premier League",2014,743179,"Warner Park, Basseterre","St Kitts","Guyana Amazon Warriors","Antigua Hawksbills","Antigua Hawksbills","field","MJ Guptill","Guyana Amazon Warriors",NA,"19"
"C Hemraj",2021-09-04,"Guyana Amazon Warriors","Barbados Royals",2,105,56,14,5,187.5,TRUE,"Caribbean Premier League",2021,1269715,"Warner Park, Basseterre, St Kitts","Basseterre","Barbados Royals","Guyana Amazon Warriors","Barbados Royals","bat","C Hemraj","Guyana Amazon Warriors","9",NA
