"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Shakib Al Hasan",2013-08-03,"Trinidad & Tobago Red Steel","Barbados Tridents",1,"4.0",1,6,6,1.5,18,"Caribbean Premier League",2013,635219,"Kensington Oval, Bridgetown","Barbados","Trinidad & Tobago Red Steel","Barbados Tridents","Trinidad & Tobago Red Steel","bat","Shakib Al Hasan","Barbados Tridents","4",NA
"Sohail Tanvir",2017-08-29,"Barbados Tridents","Guyana Amazon Warriors",2,"4.0",1,3,5,0.75,22,"Caribbean Premier League",2017,1094696,"Kensington Oval, Bridgetown","Barbados","Guyana Amazon Warriors","Barbados Tridents","Barbados Tridents","field","Sohail Tanvir","Guyana Amazon Warriors",NA,"99"
"Mohammad Nabi",2020-08-27,"St Kitts and Nevis Patriots","St Lucia Zouks",1,"4.0",0,15,5,3.75,15,"Caribbean Premier League",2020,1227879,"Queen's Park Oval, Port of Spain","Trinidad","St Kitts and Nevis Patriots","St Lucia Zouks","St Lucia Zouks","field","Mohammad Nabi","St Lucia Zouks","6",NA
"HR Walsh",2019-09-26,"Trinbago Knight Riders","Barbados Tridents",2,"4.0",0,19,5,4.75,15,"Caribbean Premier League",2019,1185859,"Kensington Oval, Bridgetown","Barbados","Barbados Tridents","Trinbago Knight Riders","Barbados Tridents","bat","JP Duminy","Barbados Tridents",NA,"63"
"RA Reifer",2018-08-12,"Guyana Amazon Warriors","Barbados Tridents",2,"4.0",0,20,5,5,13,"Caribbean Premier League",2018,1148652,"Providence Stadium","Guyana","Barbados Tridents","Guyana Amazon Warriors","Guyana Amazon Warriors","field","RA Reifer","Barbados Tridents",NA,"30"
"I Udana",2021-08-27,"Barbados Royals","Trinbago Knight Riders",1,"4.0",0,21,5,5.25,15,"Caribbean Premier League",2021,1269703,"Warner Park, Basseterre, St Kitts","Basseterre","Barbados Royals","Trinbago Knight Riders","Barbados Royals","bat","I Udana","Trinbago Knight Riders","6",NA
"FH Edwards",2013-08-03,"Barbados Tridents","Trinidad & Tobago Red Steel",2,"4.0",0,22,5,5.5,15,"Caribbean Premier League",2013,635219,"Kensington Oval, Bridgetown","Barbados","Trinidad & Tobago Red Steel","Barbados Tridents","Trinidad & Tobago Red Steel","bat","Shakib Al Hasan","Barbados Tridents","4",NA
"DJ Bravo",2015-07-23,"Jamaica Tallawahs","Trinidad & Tobago Red Steel",2,"4.0",0,23,5,5.75,13,"Caribbean Premier League",2015,857763,"Queen's Park Oval, Port of Spain","Trinidad","Trinidad & Tobago Red Steel","Jamaica Tallawahs","Trinidad & Tobago Red Steel","bat","DM Bravo","Trinidad & Tobago Red Steel",NA,"27"
"D Wiese",2021-09-11,"Barbados Royals","St Lucia Kings",2,"4.0",0,25,5,6.25,12,"Caribbean Premier League",2021,1269724,"Warner Park, Basseterre, St Kitts","Basseterre","St Lucia Kings","Barbados Royals","Barbados Royals","field","D Wiese","St Lucia Kings",NA,"14"
"D Wiese",2015-07-18,"Barbados Tridents","Guyana Amazon Warriors",1,"4.0",0,30,5,7.5,12,"Caribbean Premier League",2015,857757,"Providence Stadium","Guyana","Barbados Tridents","Guyana Amazon Warriors","Barbados Tridents","bat","RR Emrit","Barbados Tridents",NA,"14"
