"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","outcome","method","eliminator"
635215,6,"Barbados Tridents","St Lucia Zouks","male","2013",2013-07-30,"Caribbean Premier League",1,"Kensington Oval, Bridgetown","Barbados","Barbados Tridents","bat","Shoaib Malik","BF Bowden","GO Brathwaite","KA Sisnett","LS Reifer","MJ Procter","Barbados Tridents",17,NA,NA,NA,NA
635216,6,"Guyana Amazon Warriors","Trinidad & Tobago Red Steel","male","2013",2013-07-31,"Caribbean Premier League",2,"Providence Stadium","Guyana","Trinidad & Tobago Red Steel","field","K Santokie","JS Wilson","PJ Nero","Guyanand Sukdeo","C Alfred","HPL Bruce","Guyana Amazon Warriors",19,NA,NA,NA,NA
635217,6,"Barbados Tridents","Antigua Hawksbills","male","2013",2013-08-01,"Caribbean Premier League",3,"Kensington Oval, Bridgetown","Barbados","Barbados Tridents","bat","Shakib Al Hasan","LS Reifer","BF Bowden","KA Sisnett","GO Brathwaite","MJ Procter","Barbados Tridents",12,NA,NA,NA,NA
635218,6,"Jamaica Tallawahs","Guyana Amazon Warriors","male","2013",2013-08-02,"Caribbean Premier League",4,"Providence Stadium","Guyana","Guyana Amazon Warriors","field","LMP Simmons","JS Wilson","PJ Nero","Guyanand Sukdeo","C Alfred","HPL Bruce","Guyana Amazon Warriors",NA,8,NA,NA,NA
635219,6,"Trinidad & Tobago Red Steel","Barbados Tridents","male","2013",2013-08-03,"Caribbean Premier League",5,"Kensington Oval, Bridgetown","Barbados","Trinidad & Tobago Red Steel","bat","Shakib Al Hasan","BF Bowden","GO Brathwaite","S Leacock","LS Reifer","MJ Procter","Barbados Tridents",NA,4,NA,NA,NA
635220,6,"Antigua Hawksbills","Jamaica Tallawahs","male","2013",2013-08-04,"Caribbean Premier League",6,"Providence Stadium","Guyana","Antigua Hawksbills","bat","VD Philander","N Duguid","C Alfred","Guyanand Sukdeo","PJ Nero","HPL Bruce","Jamaica Tallawahs",NA,7,NA,NA,NA
635221,6,"Guyana Amazon Warriors","St Lucia Zouks","male","2013",2013-08-04,"Caribbean Premier League",7,"Providence Stadium","Guyana","St Lucia Zouks","field","Misbah-ul-Haq","JS Wilson","PJ Nero","Guyanand Sukdeo","N Duguid","HPL Bruce","St Lucia Zouks",NA,5,NA,NA,NA
635222,6,"Antigua Hawksbills","St Lucia Zouks","male","2013",2013-08-06,"Caribbean Premier League",8,"Daren Sammy National Cricket Stadium, Gros Islet","St Lucia","St Lucia Zouks","field","MN Samuels","N Duguid","GO Brathwaite","FX Maurice","BF Bowden","MJ Procter","Antigua Hawksbills",33,NA,NA,NA,NA
635223,6,"Jamaica Tallawahs","Trinidad & Tobago Red Steel","male","2013",2013-08-07,"Caribbean Premier League",9,"Queen's Park Oval, Port of Spain","Trinidad","Trinidad & Tobago Red Steel","field","DP Hyatt","PA Gustard","PJ Nero","A Sanawar","JS Wilson","HPL Bruce","Jamaica Tallawahs",5,NA,NA,NA,NA
635225,6,"Trinidad & Tobago Red Steel","Guyana Amazon Warriors","male","2013",2013-08-09,"Caribbean Premier League",11,"Queen's Park Oval, Port of Spain","Trinidad","Trinidad & Tobago Red Steel","bat","KJ O'Brien","JS Wilson","PJ Nero","A Sanawar","PA Gustard","HPL Bruce","Trinidad & Tobago Red Steel",3,NA,NA,NA,NA
