"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Athanaze",2023,"Caribbean Premier League","Barbados Royals",8,165,152,108.552631578947,23.5714285714286,14,5,1,0,1,76
"A Bramble",2016,"Caribbean Premier League","Guyana Amazon Warriors",8,42,44,95.4545454545455,6,3,1,1,0,0,14
"A Bramble",2020,"Caribbean Premier League","Guyana Amazon Warriors",1,7,19,36.8421052631579,7,0,0,0,0,0,7
"A Bramble",2021,"Caribbean Premier League","Guyana Amazon Warriors",3,29,32,90.625,14.5,4,0,1,0,0,14
"A Dananjaya",2022,"Caribbean Premier League","St Kitts and Nevis Patriots",3,12,18,66.6666666666667,4,1,0,0,0,0,10
"A Phillip",2017,"Caribbean Premier League","Trinbago Knight Riders",1,2,2,100,Inf,0,0,1,0,0,2
"A Phillip",2018,"Caribbean Premier League","Trinbago Knight Riders",1,0,1,0,0,0,0,0,0,0,0
"A Phillip",2019,"Caribbean Premier League","Trinbago Knight Riders",1,1,9,11.1111111111111,Inf,0,0,1,0,0,1
"A Phillip",2021,"Caribbean Premier League","Trinbago Knight Riders",1,2,1,200,Inf,0,0,1,0,0,2
"A Phillip",2022,"Caribbean Premier League","Trinbago Knight Riders",2,7,5,140,Inf,0,1,2,0,0,6
"A Zampa",2016,"Caribbean Premier League","Guyana Amazon Warriors",2,2,2,100,2,0,0,1,0,0,2
"A Zampa",2018,"Caribbean Premier League","Jamaica Tallawahs",1,3,4,75,3,0,0,0,0,0,3
"AA Jangoo",2020,"Caribbean Premier League","Trinbago Knight Riders",2,25,31,80.6451612903226,12.5,2,0,0,0,0,19
"AA Jangoo",2022,"Caribbean Premier League","Jamaica Tallawahs",6,93,116,80.1724137931034,15.5,9,3,0,0,0,30
"AA Jangoo",2023,"Caribbean Premier League","Jamaica Tallawahs",4,31,38,81.5789473684211,10.3333333333333,0,3,1,0,0,17
"AB Barath",2013,"Caribbean Premier League","Trinidad & Tobago Red Steel",6,135,148,91.2162162162162,22.5,12,1,0,0,0,38
"AB Fudadin",2015,"Caribbean Premier League","Guyana Amazon Warriors",5,123,123,100,30.75,7,4,1,0,1,54
"AB Fudadin",2017,"Caribbean Premier League","Guyana Amazon Warriors",5,76,67,113.432835820896,25.3333333333333,5,4,2,0,0,29
"AB de Villiers",2016,"Caribbean Premier League","Barbados Tridents",4,171,122,140.16393442623,42.75,18,5,0,0,1,82
"AC Voges",2014,"Caribbean Premier League","Jamaica Tallawahs",10,109,128,85.15625,13.625,5,2,2,0,0,48
"AD Hales",2019,"Caribbean Premier League","Barbados Tridents",12,197,158,124.683544303797,16.4166666666667,21,11,0,0,0,36
"AD Hales",2023,"Caribbean Premier League","Jamaica Tallawahs",7,217,148,146.621621621622,36.1666666666667,26,9,1,1,0,119
"AD Russell",2013,"Caribbean Premier League","Jamaica Tallawahs",9,203,107,189.719626168224,50.75,15,16,5,0,0,47
"AD Russell",2014,"Caribbean Premier League","Jamaica Tallawahs",9,219,109,200.917431192661,36.5,17,16,3,0,2,62
"AD Russell",2015,"Caribbean Premier League","Jamaica Tallawahs",8,139,92,151.086956521739,23.1666666666667,13,7,2,0,0,36
"AD Russell",2016,"Caribbean Premier League","Jamaica Tallawahs",10,286,166,172.289156626506,31.7777777777778,20,23,1,1,0,100
"AD Russell",2018,"Caribbean Premier League","Jamaica Tallawahs",9,163,83,196.385542168675,23.2857142857143,8,16,2,1,0,121
"AD Russell",2019,"Caribbean Premier League","Jamaica Tallawahs",5,99,55,180,19.8,7,9,0,0,0,44
"AD Russell",2020,"Caribbean Premier League","Jamaica Tallawahs",8,222,157,141.40127388535,44.4,19,16,3,0,3,54
"AD Russell",2021,"Caribbean Premier League","Jamaica Tallawahs",10,160,91,175.824175824176,22.8571428571429,11,16,3,0,1,50
"AD Russell",2022,"Caribbean Premier League","Trinbago Knight Riders",9,119,81,146.913580246914,17,9,7,2,0,0,29
"AD Russell",2023,"Caribbean Premier League","Trinbago Knight Riders",10,145,90,161.111111111111,24.1666666666667,7,15,4,0,0,39
"ADS Fletcher",2013,"Caribbean Premier League","St Lucia Zouks",6,224,198,113.131313131313,44.8,12,12,1,0,2,76
"ADS Fletcher",2014,"Caribbean Premier League","St Lucia Zouks",8,190,177,107.344632768362,23.75,12,9,0,0,1,78
"ADS Fletcher",2015,"Caribbean Premier League","St Lucia Zouks",10,369,285,129.473684210526,36.9,30,16,0,0,4,77
"ADS Fletcher",2016,"Caribbean Premier League","St Lucia Zouks",9,263,223,117.937219730942,32.875,17,11,1,0,2,74
"ADS Fletcher",2017,"Caribbean Premier League","St Lucia Stars",10,286,232,123.275862068966,35.75,33,9,2,0,1,84
"ADS Fletcher",2018,"Caribbean Premier League","St Lucia Stars",9,252,208,121.153846153846,31.5,21,13,1,0,1,80
"ADS Fletcher",2019,"Caribbean Premier League","St Lucia Zouks",10,184,159,115.723270440252,20.4444444444444,18,8,1,0,0,47
"ADS Fletcher",2020,"Caribbean Premier League","St Lucia Zouks",11,211,165,127.878787878788,21.1,17,11,1,0,0,46
"ADS Fletcher",2021,"Caribbean Premier League","St Lucia Kings",12,229,190,120.526315789474,20.8181818181818,15,13,1,0,1,81
"ADS Fletcher",2022,"Caribbean Premier League","St Kitts and Nevis Patriots",8,229,216,106.018518518519,32.7142857142857,23,6,1,0,1,81
"ADS Fletcher",2023,"Caribbean Premier League","St Kitts and Nevis Patriots",8,278,193,144.041450777202,39.7142857142857,28,13,1,0,3,93
"AI Ross",2016,"Caribbean Premier League","Jamaica Tallawahs",2,46,43,106.976744186047,46,2,2,1,0,0,23
"AJ Hose",2022,"Caribbean Premier League","St Lucia Kings",4,54,65,83.0769230769231,13.5,4,0,0,0,0,18
"AJ Hosein",2014,"Caribbean Premier League","Barbados Tridents",2,1,8,12.5,Inf,0,0,2,0,0,1
"AJ Hosein",2015,"Caribbean Premier League","Barbados Tridents",2,11,11,100,11,1,0,1,0,0,8
"AJ Hosein",2016,"Caribbean Premier League","Barbados Tridents",3,20,25,80,10,0,0,1,0,0,8
"AJ Hosein",2017,"Caribbean Premier League","Barbados Tridents",6,68,62,109.677419354839,13.6,3,3,1,0,0,22
"AJ Hosein",2020,"Caribbean Premier League","Trinbago Knight Riders",1,12,16,75,12,1,0,0,0,0,12
"AJ Hosein",2021,"Caribbean Premier League","Trinbago Knight Riders",7,63,34,185.294117647059,31.5,2,7,5,0,0,22
"AJ Hosein",2022,"Caribbean Premier League","Trinbago Knight Riders",5,29,48,60.4166666666667,9.66666666666667,2,0,2,0,0,14
"AJ Hosein",2023,"Caribbean Premier League","Trinbago Knight Riders",6,63,59,106.779661016949,15.75,3,3,2,0,0,44
"AM McCarthy",2016,"Caribbean Premier League","Jamaica Tallawahs",2,9,7,128.571428571429,4.5,1,0,0,0,0,9
"AM McCarthy",2017,"Caribbean Premier League","Jamaica Tallawahs",11,292,229,127.510917030568,29.2,17,17,1,0,2,61
"AM McCarthy",2018,"Caribbean Premier League","Jamaica Tallawahs",3,20,26,76.9230769230769,6.66666666666667,2,1,0,0,0,20
"AM McCarthy",2019,"Caribbean Premier League","St Lucia Zouks",3,18,22,81.8181818181818,9,1,0,1,0,0,7
"AM McCarthy",2021,"Caribbean Premier League","St Kitts and Nevis Patriots",2,5,7,71.4285714285714,5,1,0,1,0,0,5
"AMA Dewar",2013,"Caribbean Premier League","Jamaica Tallawahs",1,3,3,100,Inf,0,0,1,0,0,3
"AP Devcich",2016,"Caribbean Premier League","Trinbago Knight Riders",2,32,32,100,16,3,1,0,0,0,25
"AP Devcich",2018,"Caribbean Premier League","St Kitts and Nevis Patriots",9,143,105,136.190476190476,17.875,16,4,1,0,1,50
"AR Nedd",2020,"Caribbean Premier League","Guyana Amazon Warriors",1,1,2,50,1,0,0,0,0,0,1
"AR Nedd",2021,"Caribbean Premier League","Guyana Amazon Warriors",1,1,3,33.3333333333333,Inf,0,0,1,0,0,1
"AR Nurse",2013,"Caribbean Premier League","Barbados Tridents",5,33,35,94.2857142857143,11,3,0,2,0,0,15
"AR Nurse",2014,"Caribbean Premier League","Barbados Tridents",3,8,9,88.8888888888889,Inf,0,0,3,0,0,6
"AR Nurse",2015,"Caribbean Premier League","Barbados Tridents",4,26,20,130,8.66666666666667,2,2,1,0,0,12
"AR Nurse",2016,"Caribbean Premier League","Barbados Tridents",2,11,14,78.5714285714286,5.5,2,0,0,0,0,10
"AR Nurse",2017,"Caribbean Premier League","Trinbago Knight Riders",1,6,5,120,6,1,0,0,0,0,6
"AR Nurse",2018,"Caribbean Premier League","Barbados Tridents",5,42,31,135.483870967742,42,3,2,4,0,0,20
"AR Nurse",2019,"Caribbean Premier League","Barbados Tridents",12,188,132,142.424242424242,31.3333333333333,9,15,6,0,0,40
"AR Nurse",2020,"Caribbean Premier League","Barbados Tridents",9,107,98,109.183673469388,15.2857142857143,6,4,2,0,0,25
"AR Nurse",2021,"Caribbean Premier League","Barbados Royals",5,23,39,58.974358974359,11.5,1,0,3,0,0,8
"AS Joseph",2016,"Caribbean Premier League","St Kitts and Nevis Patriots",3,5,14,35.7142857142857,5,0,0,2,0,0,2
"AS Joseph",2018,"Caribbean Premier League","St Kitts and Nevis Patriots",2,7,9,77.7777777777778,7,1,0,1,0,0,7
"AS Joseph",2019,"Caribbean Premier League","St Kitts and Nevis Patriots",6,44,27,162.962962962963,22,3,2,4,0,0,15
"AS Joseph",2020,"Caribbean Premier League","St Kitts and Nevis Patriots",4,36,35,102.857142857143,18,0,3,2,0,0,21
"AS Joseph",2021,"Caribbean Premier League","St Lucia Kings",3,10,11,90.9090909090909,10,1,0,2,0,0,5
"AS Joseph",2022,"Caribbean Premier League","St Lucia Kings",8,76,54,140.740740740741,15.2,6,5,3,0,0,29
"AS Joseph",2023,"Caribbean Premier League","St Lucia Kings",4,24,26,92.3076923076923,12,2,1,2,0,0,10
"AT Rayudu",2023,"Caribbean Premier League","St Kitts and Nevis Patriots",3,47,40,117.5,15.6666666666667,3,3,0,0,0,32
"AWJ Auguste",2022,"Caribbean Premier League","St Lucia Kings",2,15,21,71.4285714285714,7.5,0,1,0,0,0,11
"Ahmed Shehzad",2013,"Caribbean Premier League","Jamaica Tallawahs",6,79,82,96.3414634146341,13.1666666666667,11,1,0,0,0,28
"Ahmed Shehzad",2016,"Caribbean Premier League","Barbados Tridents",3,36,37,97.2972972972973,12,3,1,0,0,0,15
"Ali Khan",2018,"Caribbean Premier League","Trinbago Knight Riders",1,2,5,40,2,0,0,0,0,0,2
