"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"DJ Bravo","Trinidad & Tobago Red Steel",2015,"Caribbean Premier League",13,"44.4",1,328,28,11.7142857142857,7.34328358208955,9.57142857142857,111,2,1,"5/23"
"HR Walsh","Barbados Tridents",2019,"Caribbean Premier League",9,"33.4",0,279,22,12.6818181818182,8.28712871287129,9.18181818181818,93,1,1,"5/19"
"Fawad Ahmed","Trinbago Knight Riders",2018,"Caribbean Premier League",13,"49.0",0,303,22,13.7727272727273,6.18367346938776,13.3636363636364,145,0,0,"3/13"
"DJ Bravo","Trinbago Knight Riders",2016,"Caribbean Premier League",12,"47.0",0,396,21,18.8571428571429,8.42553191489362,13.4285714285714,96,1,0,"4/13"
"D Pretorius","Guyana Amazon Warriors",2023,"Caribbean Premier League",12,"43.3",0,309,20,15.45,7.10344827586207,13.05,130,1,0,"4/26"
"R Shepherd","Guyana Amazon Warriors",2021,"Caribbean Premier League",10,"34.0",2,258,19,13.5789473684211,7.58823529411765,10.7368421052632,103,0,0,"3/15"
"R Rampaul","Trinbago Knight Riders",2021,"Caribbean Premier League",10,"38.4",0,308,19,16.2105263157895,7.96551724137931,12.2105263157895,107,1,0,"4/29"
"OF Smith","Guyana Amazon Warriors",2021,"Caribbean Premier League",11,"35.3",1,268,18,14.8888888888889,7.54929577464789,11.8333333333333,101,0,0,"3/20"
"AS Joseph","St Lucia Kings",2022,"Caribbean Premier League",10,"40.0",2,270,18,15,6.75,13.3333333333333,117,1,0,"4/17"
"Imran Tahir","Guyana Amazon Warriors",2023,"Caribbean Premier League",12,"44.4",0,278,18,15.4444444444444,6.22388059701493,14.8888888888889,127,0,0,"3/7"
"O Thomas","Jamaica Tallawahs",2018,"Caribbean Premier League",10,"38.0",0,318,18,17.6666666666667,8.36842105263158,12.6666666666667,114,0,0,"3/39"
"JO Holder","Barbados Royals",2022,"Caribbean Premier League",12,"37.0",0,254,17,14.9411764705882,6.86486486486486,13.0588235294118,91,0,0,"3/33"
"SC Kuggeleijn","St Lucia Zouks",2020,"Caribbean Premier League",11,"34.1",1,266,17,15.6470588235294,7.78536585365854,12.0588235294118,102,1,0,"4/33"
"Imad Wasim","Jamaica Tallawahs",2022,"Caribbean Premier League",12,"45.3",3,272,17,16,5.97802197802198,16.0588235294118,126,0,0,"3/14"
"Sohail Tanvir","Guyana Amazon Warriors",2017,"Caribbean Premier League",12,"45.0",1,315,17,18.5294117647059,7,15.8823529411765,127,0,1,"5/3"
"KOK Williams","Jamaica Tallawahs",2016,"Caribbean Premier League",11,"41.0",1,322,17,18.9411764705882,7.85365853658537,14.4705882352941,102,1,0,"4/37"
"Imran Tahir","Guyana Amazon Warriors",2019,"Caribbean Premier League",9,"35.0",1,197,16,12.3125,5.62857142857143,13.125,109,0,0,"3/12"
"Mujeeb Ur Rahman","Jamaica Tallawahs",2020,"Caribbean Premier League",11,"41.0",1,217,16,13.5625,5.29268292682927,15.375,140,0,0,"3/11"
"K Santokie","Guyana Amazon Warriors",2013,"Caribbean Premier League",9,"35.1",0,219,16,13.6875,6.22748815165877,13.1875,101,0,0,"3/19"
"Mohammad Amir","Jamaica Tallawahs",2023,"Caribbean Premier League",10,"32.0",2,220,16,13.75,6.875,12,104,1,0,"4/19"
"Mohammad Amir","Jamaica Tallawahs",2022,"Caribbean Premier League",11,"38.5",1,250,16,15.625,6.43776824034335,14.5625,116,0,0,"3/22"
