"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Campbell",19,162,180,90,10.125,16,0,3,0,0,30
"A Capsey",16,357,269,132.71375464684,23.8,42,7,1,0,2,71
"A Cranstone",17,351,321,109.345794392523,25.0714285714286,41,6,3,0,3,66
"A Glen",8,63,63,100,9,9,0,1,0,0,25
"A Griffiths",12,144,130,110.769230769231,16,7,5,3,0,0,31
"A Hartley",4,7,13,53.8461538461538,3.5,1,0,2,0,0,6
"A Lee",1,5,3,166.666666666667,Inf,1,0,1,0,0,5
"A Shrubsole",2,1,4,25,1,0,0,1,0,0,1
"A Stonehouse",5,10,17,58.8235294117647,5,0,0,3,0,0,7
"A Wellington",1,2,2,100,Inf,0,0,1,0,0,2
"AD Carr",12,165,163,101.226993865031,16.5,15,1,2,0,0,37
"AE Dyson",2,7,13,53.8461538461538,3.5,0,0,0,0,0,7
"AE Jones",12,456,338,134.91124260355,38,60,8,0,0,5,80
"AH Maqsood",4,9,13,69.2307692307692,3,1,0,1,0,0,6
"AJ Freeborn",21,445,430,103.488372093023,22.25,50,3,1,0,2,61
"AJ Macleod",10,197,170,115.882352941176,19.7,28,2,0,0,1,54
"AL MacDonald",3,28,32,87.5,14,3,0,1,0,0,22
"AN Davidson-Richards",17,265,253,104.743083003953,18.9285714285714,23,3,3,0,0,43
"AZ Monaghan",5,36,30,120,12,3,1,2,0,0,30
"B Ellis",11,101,104,97.1153846153846,12.625,13,0,3,0,0,29
"B Harmer",9,124,119,104.201680672269,13.7777777777778,19,2,0,0,0,35
"BA Langston",4,60,61,98.3606557377049,20,6,0,1,0,0,46
"BAM Heath",17,357,296,120.608108108108,23.8,47,6,2,0,3,60
"BF Smith",22,583,409,142.542787286064,26.5,89,12,0,0,3,83
"C Brewer",3,50,50,100,16.6666666666667,7,0,0,0,0,41
"C Pavely",2,7,7,100,7,0,0,1,0,0,4
"C Skelton",1,5,5,100,5,0,0,0,0,0,5
"C Webb",1,27,15,180,Inf,4,0,1,0,0,27
"CAE Hill",7,52,53,98.1132075471698,8.66666666666667,6,0,1,0,0,25
"CAR Cooper",1,18,15,120,18,3,0,0,0,0,18
"CE Dean",9,126,130,96.9230769230769,25.2,12,0,4,0,0,31
"CE Rudd",4,18,20,90,9,1,0,2,0,0,5
"CK Boycott",1,0,3,0,0,0,0,0,0,0,0
"CL Griffith",14,403,381,105.774278215223,28.7857142857143,49,6,0,0,3,65
"CL Tryon",7,95,69,137.68115942029,19,10,2,2,0,0,30
"CM Taylor",1,2,2,100,Inf,0,0,1,0,0,2
"CR Knott",1,6,12,50,6,0,0,0,0,0,6
"D Gregory",3,12,14,85.7142857142857,12,1,0,2,0,0,12
"D Mullan",4,51,72,70.8333333333333,17,5,1,1,0,0,26
"D Perrin",10,185,151,122.516556291391,23.125,28,2,2,0,1,79
"D van Niekerk",6,66,65,101.538461538462,11,13,1,0,0,0,20
"DJS Dottin",8,128,106,120.754716981132,18.2857142857143,12,7,1,0,0,26
"DL Collins",16,131,178,73.5955056179775,13.1,9,0,6,0,0,26
"DN Wyatt",14,543,364,149.175824175824,38.7857142857143,82,7,0,0,4,76
"DR Gibson",18,308,217,141.935483870968,20.5333333333333,44,4,3,0,2,62
"E Anderson",3,14,20,70,7,1,0,1,0,0,8
"E Claridge",8,118,121,97.5206611570248,16.8571428571429,14,0,1,0,0,41
"E Corney",2,63,69,91.304347826087,31.5,7,0,0,0,0,40
