"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"KA Levick",22,"77.0",0,466,38,12.2631578947368,6.05194805194805,12.1578947368421,210,1,2,"5/15"
"LCN Smith",23,"90.4",2,466,31,15.0322580645161,5.13970588235294,17.5483870967742,265,0,0,"3/13"
"BF Smith",20,"68.2",1,426,30,14.2,6.23414634146341,13.6666666666667,155,2,0,"4/14"
"CE Dean",14,"54.5",2,313,27,11.5925925925926,5.70820668693009,12.1851851851852,164,0,1,"5/19"
"GA Elwiss",22,"78.0",0,509,26,19.5769230769231,6.52564102564103,18,166,0,0,"3/16"
"TG Norris",18,"58.1",0,391,24,16.2916666666667,6.72206303724928,14.5416666666667,146,1,0,"4/14"
"DR Gibson",18,"62.0",0,431,21,20.5238095238095,6.95161290322581,17.7142857142857,165,1,0,"4/23"
"EL Arlott",17,"61.3",0,414,20,20.7,6.73170731707317,18.45,160,1,0,"4/23"
"G Potts",12,"43.0",0,308,18,17.1111111111111,7.16279069767442,14.3333333333333,126,1,0,"4/36"
"MK Villiers",15,"51.5",0,386,18,21.4444444444444,7.44694533762058,17.2777777777778,136,0,0,"3/15"
"D Gregory",20,"60.0",0,390,18,21.6666666666667,6.5,20,128,0,0,"3/16"
"N de Klerk",9,"32.3",0,198,17,11.6470588235294,6.09230769230769,11.4705882352941,102,0,0,"3/21"
"EL Lamb",13,"38.0",1,219,17,12.8823529411765,5.76315789473684,13.4117647058824,96,1,0,"4/13"
"A Shrubsole",14,"49.5",0,285,17,16.7647058823529,5.7190635451505,17.5882352941176,147,1,0,"4/18"
"G Scrivens",18,"59.1",0,391,17,23,6.60845070422535,20.8823529411765,143,1,0,"4/33"
"GK Davis",11,"36.0",0,203,16,12.6875,5.63888888888889,13.5,96,1,0,"4/12"
"S Glenn",13,"50.0",2,262,16,16.375,5.24,18.75,138,0,0,"3/17"
"KE Bryce",15,"44.0",1,315,16,19.6875,7.15909090909091,16.5,110,0,0,"2/15"
"GL Adams",16,"51.0",0,327,16,20.4375,6.41176470588235,19.125,118,0,0,"2/9"
"LK Bell",15,"54.0",1,348,16,21.75,6.44444444444444,20.25,178,0,0,"3/12"
"KS Castle",19,"61.1",0,420,16,26.25,6.86648501362398,22.9375,144,0,0,"3/24"
"FMK Morris",16,"50.0",1,326,15,21.7333333333333,6.52,20,131,0,0,"2/16"
"S Munro",17,"44.2",1,331,15,22.0666666666667,7.46616541353383,17.7333333333333,113,0,0,"2/10"
"K Moore",17,"41.0",0,253,14,18.0714285714286,6.17073170731707,17.5714285714286,110,0,0,"3/4"
"ND Dattani",19,"54.0",4,393,14,28.0714285714286,7.27777777777778,23.1428571428571,157,0,0,"2/24"
"IECM Wong",17,"57.5",1,398,14,28.4285714285714,6.88184438040346,24.7857142857143,185,0,0,"2/8"
"JL Gunn",8,"28.3",1,165,13,12.6923076923077,5.78947368421053,13.1538461538462,81,2,0,"4/15"
"HE Jones",13,"41.1",0,227,13,17.4615384615385,5.51417004048583,19,128,0,0,"3/23"
"KL Gordon",16,"61.0",0,379,13,29.1538461538462,6.21311475409836,28.1538461538462,154,0,0,"2/13"
"N Harvey",7,"26.0",0,134,12,11.1666666666667,5.15384615384615,13,65,0,0,"3/13"
"KL Cross",11,"40.4",1,256,12,21.3333333333333,6.29508196721312,20.3333333333333,123,0,0,"2/20"
"HL Baker",17,"54.2",0,396,12,33,7.28834355828221,27.1666666666667,121,0,0,"2/19"
"O Bell",4,"12.1",0,91,11,8.27272727272727,7.47945205479452,6.63636363636364,30,1,0,"4/37"
"S Ecclestone",6,"24.0",0,151,11,13.7272727272727,6.29166666666667,13.0909090909091,69,0,1,"5/15"
"C Nicholas",10,"36.0",1,206,11,18.7272727272727,5.72222222222222,19.6363636363636,110,0,0,"2/17"
"AN Davidson-Richards",15,"38.3",0,305,11,27.7272727272727,7.92207792207792,21,66,0,0,"2/27"
"G Ballinger",18,"50.4",1,372,11,33.8181818181818,7.34210526315789,27.6363636363636,154,0,0,"2/23"
"B Ellis",7,"17.4",0,133,10,13.3,7.52830188679245,10.6,43,1,0,"4/29"
"GE Hall",8,"22.4",0,181,10,18.1,7.98529411764706,13.6,47,0,0,"3/20"
"A Capsey",12,"34.0",0,215,10,21.5,6.32352941176471,20.4,81,0,0,"3/13"
"AL MacDonald",7,"26.0",0,127,9,14.1111111111111,4.88461538461539,17.3333333333333,71,1,0,"4/17"
"CM Taylor",7,"28.0",0,159,9,17.6666666666667,5.67857142857143,18.6666666666667,69,0,0,"3/12"
"FG Kemp",7,"26.0",0,159,9,17.6666666666667,6.11538461538461,17.3333333333333,80,0,0,"2/13"
"P Cleary",7,"25.2",0,170,9,18.8888888888889,6.71052631578947,16.8888888888889,61,0,0,"3/34"
"EA Burns",7,"26.0",0,200,9,22.2222222222222,7.69230769230769,17.3333333333333,52,0,0,"3/26"
"PA Franklin",12,"30.5",0,222,9,24.6666666666667,7.2,20.5555555555556,60,0,0,"2/18"
"LF Higham",16,"41.0",0,253,9,28.1111111111111,6.17073170731707,27.3333333333333,97,0,0,"3/30"
"CL Tryon",7,"26.4",0,195,8,24.375,7.3125,20,58,0,0,"3/30"
"L Filer",10,"25.0",0,204,8,25.5,8.16,18.75,81,0,0,"1/7"
"A Griffiths",13,"33.2",1,245,8,30.625,7.35,25,83,0,0,"2/28"
"FR Davies",12,"36.5",0,245,8,30.625,6.65158371040724,27.625,113,0,0,"2/14"
"A Hartley",13,"40.5",0,248,8,31,6.0734693877551,30.625,120,0,0,"2/17"
"J Gardner",15,"34.0",0,267,8,33.375,7.85294117647059,25.5,71,0,0,"2/23"
"Sophia Smale",13,"43.1",0,299,8,37.375,6.92664092664093,32.375,114,0,0,"2/17"
"EK Marlow",5,"17.0",0,84,7,12,4.94117647058824,14.5714285714286,50,0,0,"2/12"
"BA Langston",4,"13.0",0,95,7,13.5714285714286,7.30769230769231,11.1428571428571,36,0,0,"2/19"
"HJ Armitage",7,"15.0",0,112,7,16,7.46666666666667,12.8571428571429,41,1,0,"4/27"
"LE Scott",7,"23.0",1,147,7,21,6.39130434782609,19.7142857142857,80,0,0,"2/27"
"PC Graham",10,"30.0",1,190,7,27.1428571428571,6.33333333333333,25.7142857142857,92,0,0,"2/20"
"A Glen",9,"23.0",0,203,7,29,8.82608695652174,19.7142857142857,41,0,0,"2/23"
"AH Maqsood",13,"38.3",0,348,7,49.7142857142857,9.03896103896104,33,71,0,0,"2/33"
"NR Sciver-Brunt",4,"13.0",0,118,6,19.6666666666667,9.07692307692308,13,33,0,0,"2/16"
"SB Odedra",6,"20.0",0,126,6,21,6.3,20,54,0,0,"2/14"
"R MacDonald-Gay",8,"22.3",0,161,6,26.8333333333333,7.15555555555556,22.5,53,0,0,"2/19"
"R Slater",9,"25.5",0,178,6,29.6666666666667,6.89032258064516,25.8333333333333,82,0,0,"2/16"
"O Prendergast",7,"24.4",1,181,6,30.1666666666667,7.33783783783784,24.6666666666667,74,0,0,"2/12"
"M Gaur",9,"30.0",1,221,6,36.8333333333333,7.36666666666667,30,89,0,0,"2/27"
"PJ Scholfield",10,"32.0",0,221,6,36.8333333333333,6.90625,32,76,0,0,"3/24"
"E Jones",13,"28.0",0,222,6,37,7.92857142857143,28,75,0,0,"3/14"
"KL George",10,"28.0",0,240,6,40,8.57142857142857,28,73,0,0,"1/18"
"S Turner",7,"14.5",1,96,5,19.2,6.47191011235955,17.8,47,0,0,"2/21"
"KL Coppack",8,"19.0",0,131,5,26.2,6.89473684210526,22.8,60,0,0,"2/10"
"LM Kasperek",6,"17.0",0,133,5,26.6,7.82352941176471,20.4,37,0,0,"2/16"
"L Jackson",11,"21.3",0,162,5,32.4,7.53488372093023,25.8,64,0,0,"2/16"
"E Gray",8,"24.0",0,184,5,36.8,7.66666666666667,28.8,64,0,0,"2/29"
"C Skelton",8,"27.0",0,192,5,38.4,7.11111111111111,32.4,55,0,0,"2/19"
"GM Hennessy",10,"30.0",0,222,5,44.4,7.4,36,60,0,0,"1/7"
"CK Boycott",4,"13.1",0,81,4,20.25,6.15189873417722,19.75,39,0,0,"3/22"
"CAR Cooper",5,"14.0",0,87,4,21.75,6.21428571428571,21,33,0,0,"3/12"
"MLL Taylor",7,"18.4",0,119,4,29.75,6.375,28,50,0,0,"2/12"
"J Groves",7,"18.0",0,131,4,32.75,7.27777777777778,27,38,0,0,"1/14"
"A Wellington",1,"4.0",0,22,3,7.33333333333333,5.5,8,10,0,0,"3/22"
"RA Fackrell",3,"7.1",0,48,3,16,6.69767441860465,14.3333333333333,15,0,0,"2/27"
"NE Farrant",3,"9.1",0,72,3,24,7.85454545454546,18.3333333333333,22,0,0,"2/25"
"LA Parfitt",6,"16.0",0,83,3,27.6666666666667,5.1875,32,49,0,0,"2/15"
"T Graves",7,"13.0",0,92,3,30.6666666666667,7.07692307692308,26,25,0,0,"1/11"
