"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Campbell","A Capsey",5,4,0,0,0,0,7.5,125,Inf
"A Campbell","A Glen",1,2,0,1,0,0,3,50,Inf
"A Campbell","A Griffiths",0,2,1,2,0,0,0,0,0
"A Campbell","AH Maqsood",1,2,0,1,0,0,3,50,Inf
"A Campbell","AN Davidson-Richards",3,4,0,1,0,0,4.5,75,Inf
"A Campbell","BF Smith",10,8,1,3,1,0,7.5,125,10
"A Campbell","C Nicholas",7,7,0,3,1,0,6,100,Inf
"A Campbell","CAR Cooper",2,2,0,0,0,0,6,100,Inf
"A Campbell","CE Dean",0,3,0,3,0,0,0,0,NA
"A Campbell","CL Tryon",2,2,0,0,0,0,6,100,Inf
"A Campbell","D Gregory",1,6,1,5,0,0,1,16.6666666666667,1
"A Campbell","DR Gibson",5,7,1,3,0,0,4.28571428571429,71.4285714285714,5
"A Campbell","E Gray",10,10,1,6,2,0,6,100,10
"A Campbell","EL Lamb",3,9,1,6,0,0,2,33.3333333333333,3
"A Campbell","EM Edgcombe",7,5,0,2,1,0,8.4,140,Inf
"A Campbell","FG Kemp",1,5,0,4,0,0,1.2,20,Inf
"A Campbell","FMK Morris",1,4,0,3,0,0,1.5,25,Inf
"A Campbell","G Scrivens",0,1,1,1,0,0,0,0,0
"A Campbell","GA Elwiss",5,4,0,0,0,0,7.5,125,Inf
"A Campbell","GE Hall",0,1,1,1,0,0,0,0,0
"A Campbell","GL Adams",7,11,2,7,1,0,3.81818181818182,63.6363636363636,3.5
"A Campbell","GM Hennessy",16,13,0,4,1,0,7.38461538461539,123.076923076923,Inf
"A Campbell","J Gardner",2,4,0,2,0,0,3,50,Inf
"A Campbell","K Fraser",5,3,0,1,1,0,10,166.666666666667,Inf
"A Campbell","KL Gordon",1,1,0,0,0,0,6,100,Inf
"A Campbell","KS Castle",13,10,1,3,1,0,7.8,130,13
"A Campbell","L Filer",14,5,0,1,3,0,16.8,280,Inf
"A Campbell","LA Parfitt",7,4,0,1,1,0,10.5,175,Inf
"A Campbell","LF Higham",3,3,0,1,0,0,6,100,Inf
"A Campbell","MK Villiers",0,3,1,3,0,0,0,0,0
"A Campbell","N Holland",3,2,0,0,0,0,9,150,Inf
"A Campbell","N de Klerk",0,1,1,1,0,0,0,0,0
"A Campbell","ND Dattani",3,9,1,6,0,0,2,33.3333333333333,3
"A Campbell","NE Farrant",3,3,0,1,0,0,6,100,Inf
"A Campbell","NR Sciver-Brunt",2,2,0,0,0,0,6,100,Inf
"A Campbell","PA Franklin",0,1,1,1,0,0,0,0,0
"A Campbell","S Butler",6,4,0,1,1,0,9,150,Inf
"A Campbell","S Glenn",1,1,0,0,0,0,6,100,Inf
"A Campbell","Sonali Patel",5,4,0,2,1,0,7.5,125,Inf
"A Campbell","Sophia Smale",0,3,0,3,0,0,0,0,NA
"A Campbell","TG Norris",7,5,0,1,1,0,8.4,140,Inf
"A Capsey","A Glen",19,13,1,4,2,0,8.76923076923077,146.153846153846,19
"A Capsey","AH Maqsood",0,2,2,2,0,0,0,0,0
"A Capsey","AL MacDonald",14,8,0,1,2,0,10.5,175,Inf
"A Capsey","C Nicholas",0,1,1,1,0,0,0,0,0
"A Capsey","C Skelton",0,1,1,1,0,0,0,0,0
"A Capsey","CE Dean",4,4,0,3,1,0,6,100,Inf
"A Capsey","CL Tryon",16,9,0,3,1,1,10.6666666666667,177.777777777778,Inf
"A Capsey","CM Green",9,8,0,2,1,0,6.75,112.5,Inf
"A Capsey","CM Taylor",6,9,0,3,0,0,4,66.6666666666667,Inf
"A Capsey","EL Arlott",19,6,0,1,3,1,19,316.666666666667,Inf
"A Capsey","G Potts",12,9,1,4,2,0,8,133.333333333333,12
"A Capsey","G Scrivens",7,4,1,1,1,0,10.5,175,7
"A Capsey","GA Elwiss",21,15,1,3,3,0,8.4,140,21
"A Capsey","GE Hall",5,9,0,4,0,0,3.33333333333333,55.5555555555556,Inf
"A Capsey","GK Davis",1,4,1,3,0,0,1.5,25,1
"A Capsey","GL Adams",23,12,0,3,3,1,11.5,191.666666666667,Inf
"A Capsey","HJ Armitage",5,2,0,0,1,0,15,250,Inf
"A Capsey","HL Baker",5,5,1,3,1,0,6,100,5
"A Capsey","IECM Wong",2,10,1,8,0,0,1.2,20,2
"A Capsey","J Gardner",2,2,0,0,0,0,6,100,Inf
"A Capsey","JL Gunn",4,7,0,3,0,0,3.42857142857143,57.1428571428571,Inf
"A Capsey","K Fraser",6,3,0,0,1,0,12,200,Inf
"A Capsey","KA Levick",31,16,0,4,3,2,11.625,193.75,Inf
"A Capsey","KE Bryce",6,4,0,0,0,0,9,150,Inf
"A Capsey","KL Gordon",19,10,0,3,2,1,11.4,190,Inf
"A Capsey","KS Castle",13,8,0,4,3,0,9.75,162.5,Inf
"A Capsey","L Filer",10,7,0,3,1,0,8.57142857142857,142.857142857143,Inf
"A Capsey","LCN Smith",7,3,0,0,1,0,14,233.333333333333,Inf
"A Capsey","LE Scott",4,4,0,2,0,0,6,100,Inf
"A Capsey","LF Higham",9,4,1,1,2,0,13.5,225,9
"A Capsey","LK Bell",3,3,0,1,0,0,6,100,Inf
"A Capsey","MK Villiers",16,8,0,3,3,0,12,200,Inf
"A Capsey","O Prendergast",2,7,0,6,0,0,1.71428571428571,28.5714285714286,Inf
"A Capsey","PJ Scholfield",7,8,0,2,0,0,5.25,87.5,Inf
"A Capsey","S Glenn",7,2,0,0,0,1,21,350,Inf
"A Capsey","S Munro",0,3,1,3,0,0,0,0,0
