"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Campbell",2021,"Charlotte Edwards Cup","Northern Diamonds",3,20,21,95.2380952380952,6.66666666666667,3,0,0,0,0,15
"A Campbell",2022,"Charlotte Edwards Cup","Central Sparks",8,74,80,92.5,14.8,6,0,3,0,0,30
"A Campbell",2023,"Charlotte Edwards Cup","Central Sparks",7,60,72,83.3333333333333,8.57142857142857,5,0,0,0,0,20
"A Campbell",2024,"Charlotte Edwards Cup","Central Sparks",1,8,7,114.285714285714,8,2,0,0,0,0,8
"A Capsey",2021,"Charlotte Edwards Cup","South East Stars",6,203,155,130.967741935484,40.6,24,3,1,0,1,61
"A Capsey",2022,"Charlotte Edwards Cup","South East Stars",7,47,41,114.634146341463,6.71428571428571,5,2,0,0,0,19
"A Capsey",2023,"Charlotte Edwards Cup","South East Stars",3,107,73,146.575342465753,35.6666666666667,13,2,0,0,1,71
"A Cranstone",2021,"Charlotte Edwards Cup","South East Stars",5,74,68,108.823529411765,14.8,9,1,0,0,0,35
"A Cranstone",2022,"Charlotte Edwards Cup","South East Stars",7,235,203,115.76354679803,58.75,27,5,3,0,3,66
"A Cranstone",2023,"Charlotte Edwards Cup","South East Stars",4,11,30,36.6666666666667,2.75,1,0,0,0,0,8
"A Cranstone",2024,"Charlotte Edwards Cup","South East Stars",1,31,20,155,31,4,0,0,0,0,31
"A Glen",2022,"Charlotte Edwards Cup","Northern Diamonds",4,39,39,100,9.75,7,0,0,0,0,25
"A Glen",2023,"Charlotte Edwards Cup","Northern Diamonds",4,24,24,100,8,2,0,1,0,0,13
"A Griffiths",2021,"Charlotte Edwards Cup","Western Storm",4,26,31,83.8709677419355,6.5,1,1,0,0,0,11
"A Griffiths",2022,"Charlotte Edwards Cup","Western Storm",3,44,32,137.5,44,0,2,2,0,0,25
"A Griffiths",2023,"Charlotte Edwards Cup","Western Storm",4,55,51,107.843137254902,18.3333333333333,4,2,1,0,0,31
"A Griffiths",2024,"Charlotte Edwards Cup","Western Storm",1,19,16,118.75,19,2,0,0,0,0,19
"A Hartley",2021,"Charlotte Edwards Cup","Thunder",3,7,12,58.3333333333333,3.5,1,0,1,0,0,6
"A Hartley",2022,"Charlotte Edwards Cup","Thunder",1,0,1,0,NA,0,0,1,0,0,0
"A Lee",2024,"Charlotte Edwards Cup","Southern Vipers",1,5,3,166.666666666667,Inf,1,0,1,0,0,5
"A Shrubsole",2022,"Charlotte Edwards Cup","Southern Vipers",1,1,4,25,1,0,0,0,0,0,1
"A Shrubsole",2023,"Charlotte Edwards Cup","Southern Vipers",1,0,0,NA,NA,0,0,1,0,0,0
"A Stonehouse",2021,"Charlotte Edwards Cup","South East Stars",1,1,1,100,Inf,0,0,1,0,0,1
"A Stonehouse",2022,"Charlotte Edwards Cup","South East Stars",3,9,13,69.2307692307692,9,0,0,2,0,0,7
"A Stonehouse",2023,"Charlotte Edwards Cup","South East Stars",1,0,3,0,0,0,0,0,0,0,0
"A Wellington",2024,"Charlotte Edwards Cup","Western Storm",1,2,2,100,Inf,0,0,1,0,0,2
"AD Carr",2021,"Charlotte Edwards Cup","Sunrisers",3,54,49,110.204081632653,27,7,0,1,0,0,25
"AD Carr",2022,"Charlotte Edwards Cup","Sunrisers",2,68,56,121.428571428571,68,5,1,1,0,0,37
"AD Carr",2023,"Charlotte Edwards Cup","Sunrisers",7,43,58,74.1379310344828,6.14285714285714,3,0,0,0,0,12
"AE Dyson",2021,"Charlotte Edwards Cup","Thunder",2,7,13,53.8461538461538,3.5,0,0,0,0,0,7
"AE Jones",2022,"Charlotte Edwards Cup","Central Sparks",8,289,211,136.96682464455,36.125,36,6,0,0,3,80
"AE Jones",2023,"Charlotte Edwards Cup","Central Sparks",4,167,127,131.496062992126,41.75,24,2,0,0,2,55
"AH Maqsood",2022,"Charlotte Edwards Cup","Sunrisers",1,6,5,120,6,1,0,0,0,0,6
"AH Maqsood",2023,"Charlotte Edwards Cup","Sunrisers",3,3,8,37.5,1.5,0,0,1,0,0,2
"AJ Freeborn",2021,"Charlotte Edwards Cup","Lightning",6,161,162,99.3827160493827,26.8333333333333,18,2,0,0,1,61
"AJ Freeborn",2022,"Charlotte Edwards Cup","Central Sparks",8,163,165,98.7878787878788,20.375,15,1,0,0,1,52
"AJ Freeborn",2023,"Charlotte Edwards Cup","Central Sparks",6,108,97,111.340206185567,21.6,14,0,1,0,0,31
"AJ Freeborn",2024,"Charlotte Edwards Cup","Central Sparks",1,13,6,216.666666666667,13,3,0,0,0,0,13
"AJ Macleod",2021,"Charlotte Edwards Cup","Sunrisers",4,55,59,93.2203389830509,13.75,7,1,0,0,0,17
"AJ Macleod",2023,"Charlotte Edwards Cup","Sunrisers",5,88,72,122.222222222222,17.6,15,0,0,0,0,34
"AJ Macleod",2024,"Charlotte Edwards Cup","Sunrisers",1,54,39,138.461538461538,54,6,1,0,0,1,54
"AL MacDonald",2021,"Charlotte Edwards Cup","Northern Diamonds",3,28,32,87.5,14,3,0,1,0,0,22
"AN Davidson-Richards",2021,"Charlotte Edwards Cup","South East Stars",6,78,70,111.428571428571,19.5,3,2,2,0,0,41
"AN Davidson-Richards",2022,"Charlotte Edwards Cup","South East Stars",6,97,97,100,16.1666666666667,11,0,0,0,0,35
"AN Davidson-Richards",2023,"Charlotte Edwards Cup","South East Stars",5,90,86,104.651162790698,22.5,9,1,1,0,0,43
"AZ Monaghan",2021,"Charlotte Edwards Cup","Southern Vipers",2,35,24,145.833333333333,35,3,1,1,0,0,30
"AZ Monaghan",2023,"Charlotte Edwards Cup","Southern Vipers",2,1,5,20,1,0,0,1,0,0,1
"AZ Monaghan",2024,"Charlotte Edwards Cup","Southern Vipers",1,0,1,0,0,0,0,0,0,0,0
"B Ellis",2022,"Charlotte Edwards Cup","Lightning",6,41,45,91.1111111111111,8.2,5,0,1,0,0,19
"B Ellis",2023,"Charlotte Edwards Cup","Central Sparks",5,60,59,101.694915254237,20,8,0,2,0,0,29
"B Harmer",2021,"Charlotte Edwards Cup","Lightning",6,70,68,102.941176470588,11.6666666666667,10,2,0,0,0,34
"B Harmer",2022,"Charlotte Edwards Cup","Lightning",2,42,34,123.529411764706,21,8,0,0,0,0,35
"B Harmer",2023,"Charlotte Edwards Cup","The Blaze",1,12,17,70.5882352941177,12,1,0,0,0,0,12
"BA Langston",2021,"Charlotte Edwards Cup","Northern Diamonds",2,57,54,105.555555555556,57,6,0,1,0,0,46
"BA Langston",2022,"Charlotte Edwards Cup","Northern Diamonds",1,1,4,25,1,0,0,0,0,0,1
"BA Langston",2023,"Charlotte Edwards Cup","Northern Diamonds",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"BAM Heath",2021,"Charlotte Edwards Cup","Northern Diamonds",5,103,98,105.102040816327,25.75,16,0,1,0,1,58
"BAM Heath",2022,"Charlotte Edwards Cup","Northern Diamonds",5,146,125,116.8,29.2,20,0,0,0,2,60
