"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"KA Levick","Northern Diamonds",2022,"Charlotte Edwards Cup",6,"20.0",0,136,15,9.06666666666667,6.8,8,53,1,1,"5/15"
"N de Klerk","The Blaze",2023,"Charlotte Edwards Cup",8,"28.3",0,171,15,11.4,6,11.4,92,0,0,"3/21"
"BF Smith","South East Stars",2021,"Charlotte Edwards Cup",7,"25.5",1,138,14,9.85714285714286,5.34193548387097,11.0714285714286,74,1,0,"4/15"
"JL Gunn","Northern Diamonds",2021,"Charlotte Edwards Cup",8,"28.3",1,165,13,12.6923076923077,5.78947368421053,13.1538461538462,81,2,0,"4/15"
"A Shrubsole","Southern Vipers",2023,"Charlotte Edwards Cup",8,"28.5",0,171,13,13.1538461538462,5.93063583815029,13.3076923076923,89,1,0,"4/18"
"TG Norris","Southern Vipers",2021,"Charlotte Edwards Cup",7,"25.5",0,173,13,13.3076923076923,6.69677419354839,11.9230769230769,65,1,0,"4/14"
"LCN Smith","Southern Vipers",2023,"Charlotte Edwards Cup",9,"36.0",2,183,13,14.0769230769231,5.08333333333333,16.6153846153846,105,0,0,"3/13"
"CE Dean","Southern Vipers",2022,"Charlotte Edwards Cup",5,"20.0",0,99,12,8.25,4.95,10,64,0,0,"3/16"
"N Harvey","Western Storm",2021,"Charlotte Edwards Cup",6,"24.0",0,113,12,9.41666666666667,4.70833333333333,12,64,0,0,"3/13"
"KA Levick","Northern Diamonds",2023,"Charlotte Edwards Cup",7,"23.0",0,144,12,12,6.26086956521739,11.5,67,0,1,"5/19"
"G Potts","Central Sparks",2022,"Charlotte Edwards Cup",7,"26.0",0,202,12,16.8333333333333,7.76923076923077,13,74,1,0,"4/36"
"O Bell","Thunder",2023,"Charlotte Edwards Cup",4,"12.1",0,91,11,8.27272727272727,7.47945205479452,6.63636363636364,30,1,0,"4/37"
"BF Smith","South East Stars",2022,"Charlotte Edwards Cup",7,"23.0",0,146,11,13.2727272727273,6.34782608695652,12.5454545454545,49,1,0,"4/14"
"KA Levick","Northern Diamonds",2021,"Charlotte Edwards Cup",8,"30.0",0,153,10,15.3,5.1,18,84,0,0,"2/19"
"LCN Smith","Northern Diamonds",2021,"Charlotte Edwards Cup",8,"32.0",0,156,10,15.6,4.875,19.2,97,0,0,"2/12"
"MK Villiers","Sunrisers",2023,"Charlotte Edwards Cup",7,"24.5",0,159,10,15.9,6.40268456375839,14.9,70,0,0,"3/15"
"S Glenn","Central Sparks",2022,"Charlotte Edwards Cup",8,"32.0",1,166,10,16.6,5.1875,19.2,89,0,0,"3/17"
"GE Hall","Northern Diamonds",2023,"Charlotte Edwards Cup",7,"20.4",0,170,10,17,8.2258064516129,12.4,42,0,0,"3/20"
"GA Elwiss","Southern Vipers",2021,"Charlotte Edwards Cup",7,"27.0",0,182,10,18.2,6.74074074074074,16.2,63,0,0,"3/16"
"GL Adams","Southern Vipers",2023,"Charlotte Edwards Cup",9,"32.0",0,216,10,21.6,6.75,19.2,72,0,0,"2/20"
"EL Lamb","Thunder",2021,"Charlotte Edwards Cup",4,"13.0",1,66,9,7.33333333333333,5.07692307692308,8.66666666666667,38,1,0,"4/13"
"HE Jones","Thunder",2022,"Charlotte Edwards Cup",6,"19.0",0,117,9,13,6.15789473684211,12.6666666666667,58,0,0,"3/23"
"B Ellis","Central Sparks",2023,"Charlotte Edwards Cup",5,"16.2",0,120,9,13.3333333333333,7.3469387755102,10.8888888888889,40,1,0,"4/29"
"AL MacDonald","Northern Diamonds",2021,"Charlotte Edwards Cup",7,"26.0",0,127,9,14.1111111111111,4.88461538461539,17.3333333333333,71,1,0,"4/17"
"CM Taylor","Southern Vipers",2021,"Charlotte Edwards Cup",7,"28.0",0,159,9,17.6666666666667,5.67857142857143,18.6666666666667,69,0,0,"3/12"
"FG Kemp","Southern Vipers",2022,"Charlotte Edwards Cup",7,"26.0",0,159,9,17.6666666666667,6.11538461538461,17.3333333333333,80,0,0,"2/13"
"TG Norris","Thunder",2023,"Charlotte Edwards Cup",8,"22.4",0,164,9,18.2222222222222,7.23529411764706,15.1111111111111,55,0,0,"2/2"
"EA Burns","Central Sparks",2023,"Charlotte Edwards Cup",7,"26.0",0,200,9,22.2222222222222,7.69230769230769,17.3333333333333,52,0,0,"3/26"
"EL Arlott","Central Sparks",2022,"Charlotte Edwards Cup",8,"32.0",0,211,9,23.4444444444444,6.59375,21.3333333333333,79,0,0,"2/27"
"GK Davis","Central Sparks",2021,"Charlotte Edwards Cup",3,"12.0",0,55,8,6.875,4.58333333333333,9,38,1,0,"4/12"
"K Moore","South East Stars",2022,"Charlotte Edwards Cup",6,"14.0",0,68,8,8.5,4.85714285714286,10.5,48,0,0,"3/4"
"GA Elwiss","Southern Vipers",2022,"Charlotte Edwards Cup",6,"22.0",0,120,8,15,5.45454545454545,16.5,45,0,0,"3/28"
"CE Dean","Southern Vipers",2023,"Charlotte Edwards Cup",5,"20.0",2,123,8,15.375,6.15,15,49,0,0,"3/27"
"GK Davis","Central Sparks",2023,"Charlotte Edwards Cup",7,"21.0",0,126,8,15.75,6,15.75,52,0,0,"3/12"
"LCN Smith","Northern Diamonds",2022,"Charlotte Edwards Cup",6,"22.4",0,127,8,15.875,5.60294117647059,17,63,0,0,"3/18"
"DR Gibson","Western Storm",2023,"Charlotte Edwards Cup",6,"23.0",0,170,8,21.25,7.39130434782609,17.25,58,1,0,"4/23"
"CL Tryon","Northern Diamonds",2023,"Charlotte Edwards Cup",7,"26.4",0,195,8,24.375,7.3125,20,58,0,0,"3/30"
"IECM Wong","Central Sparks",2022,"Charlotte Edwards Cup",8,"30.5",1,199,8,24.875,6.45405405405405,23.125,105,0,0,"2/8"
"GA Elwiss","Southern Vipers",2023,"Charlotte Edwards Cup",9,"29.0",0,207,8,25.875,7.13793103448276,21.75,58,0,0,"2/20"
"EK Marlow","Northern Diamonds",2022,"Charlotte Edwards Cup",5,"17.0",0,84,7,12,4.94117647058824,14.5714285714286,50,0,0,"2/12"
"CE Dean","Southern Vipers",2021,"Charlotte Edwards Cup",4,"14.5",0,91,7,13,6.13483146067416,12.7142857142857,51,0,1,"5/19"
"A Capsey","South East Stars",2021,"Charlotte Edwards Cup",6,"18.0",0,105,7,15,5.83333333333333,15.4285714285714,48,0,0,"3/13"
"D Gregory","South East Stars",2023,"Charlotte Edwards Cup",6,"15.0",0,106,7,15.1428571428571,7.06666666666667,12.8571428571429,36,0,0,"2/14"
"DR Gibson","Western Storm",2021,"Charlotte Edwards Cup",6,"19.0",0,107,7,15.2857142857143,5.63157894736842,16.2857142857143,55,0,0,"2/9"
"KS Castle","Sunrisers",2022,"Charlotte Edwards Cup",6,"20.5",0,118,7,16.8571428571429,5.664,17.8571428571429,54,0,0,"2/14"
