"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"EL Lamb",2021-07-09,"Thunder","Sunrisers",1,111,61,11,3,181.967213114754,TRUE,"Charlotte Edwards Cup",2021,1252419,"Old Trafford, Manchester","Manchester","Thunder","Sunrisers","Sunrisers","field",NA,"Thunder",NA,"71"
"M Kelly",2021-08-25,"Central Sparks","Southern Vipers",2,100,53,18,1,188.679245283019,TRUE,"Charlotte Edwards Cup",2021,1252424,"County Ground, Hove","Brighton","Southern Vipers","Central Sparks","Central Sparks","field",NA,"Central Sparks","6",NA
"L Winfield-Hill",2023-05-19,"Northern Diamonds","Western Storm",1,98,56,21,0,175,FALSE,"Charlotte Edwards Cup",2023,1347462,"Headingley, Leeds","Leeds","Northern Diamonds","Western Storm","Western Storm","field",NA,"Northern Diamonds",NA,"32"
"L Winfield-Hill",2022-05-14,"Northern Diamonds","Lightning",1,96,51,12,4,188.235294117647,FALSE,"Charlotte Edwards Cup",2022,1298054,"Haslegrave Ground, Loughborough","Loughborough","Northern Diamonds","Lightning","Northern Diamonds","bat",NA,"Northern Diamonds",NA,"39"
"NR Sciver-Brunt",2023-05-26,"The Blaze","Central Sparks",1,96,50,15,2,192,TRUE,"Charlotte Edwards Cup",2023,1347471,"Grace Road, Leicester","Leicester","The Blaze","Central Sparks","Central Sparks","field",NA,"The Blaze",NA,"56"
"GL Adams",2021-08-25,"Southern Vipers","Central Sparks",1,88,60,16,0,146.666666666667,TRUE,"Charlotte Edwards Cup",2021,1252424,"County Ground, Hove","Brighton","Southern Vipers","Central Sparks","Central Sparks","field",NA,"Central Sparks","6",NA
"BF Smith",2023-05-23,"South East Stars","Southern Vipers",1,83,47,13,2,176.595744680851,FALSE,"Charlotte Edwards Cup",2023,1347465,"Enborne Lodge, Newbury","Newbury","South East Stars","Southern Vipers","Southern Vipers","field",NA,"Southern Vipers","6",NA
"HJ Armitage",2023-05-26,"Northern Diamonds","South East Stars",2,82,59,11,1,138.983050847458,FALSE,"Charlotte Edwards Cup",2023,1347469,"Kennington Oval, London","London","South East Stars","Northern Diamonds","Northern Diamonds","field",NA,"Northern Diamonds","2",NA
"AE Jones",2022-05-21,"Central Sparks","Sunrisers",1,80,49,6,6,163.265306122449,FALSE,"Charlotte Edwards Cup",2022,1298062,"Edgbaston, Birmingham","Birmingham","Central Sparks","Sunrisers","Sunrisers","field",NA,"Central Sparks",NA,"24"
"J Gardner",2024-05-24,"Sunrisers","Southern Vipers",2,79,61,9,2,129.508196721311,TRUE,"Charlotte Edwards Cup",2024,1410515,"County Ground, Chelmsford","Chelmsford","Southern Vipers","Sunrisers","Sunrisers","field",NA,"Southern Vipers",NA,"19"
