"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"KL Gordon",2024-06-02,"Thunder","The Blaze",1,"4.0",0,12,5,3,14,"Charlotte Edwards Cup",2024,1410525,"Old Trafford, Manchester","Manchester","Thunder","The Blaze","Thunder","bat",NA,"The Blaze","7",NA
"KA Levick",2022-05-21,"Southern Vipers","Northern Diamonds",1,"4.0",0,15,5,3.75,15,"Charlotte Edwards Cup",2022,1298060,"Riverside Ground, Chester-le-Street","Chester-le-Street","Southern Vipers","Northern Diamonds","Southern Vipers","bat",NA,"Southern Vipers",NA,"11"
"S Ecclestone",2022-06-03,"Lightning","Thunder",1,"4.0",0,15,5,3.75,15,"Charlotte Edwards Cup",2022,1298071,"Old Trafford, Manchester","Manchester","Lightning","Thunder","Lightning","bat",NA,"Thunder","5",NA
"CE Dean",2021-06-26,"Central Sparks","Southern Vipers",1,"3.5",0,19,5,4.95652173913043,16,"Charlotte Edwards Cup",2021,1252412,"Edgbaston, Birmingham","Birmingham","Central Sparks","Southern Vipers","Southern Vipers","field",NA,"Southern Vipers","8",NA
"KA Levick",2023-05-28,"Sunrisers","Northern Diamonds",2,"4.0",0,19,5,4.75,14,"Charlotte Edwards Cup",2023,1347474,"Headingley, Leeds","Leeds","Northern Diamonds","Sunrisers","Northern Diamonds","bat",NA,"Northern Diamonds",NA,"35"
"MR Corteen-Coleman",2024-05-31,"Northern Diamonds","South East Stars",1,"3.3",0,19,5,5.42857142857143,10,"Charlotte Edwards Cup",2024,1410522,"Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","South East Stars","Northern Diamonds","bat",NA,"South East Stars","6",NA
"EA Burns",2024-05-23,"The Blaze","Northern Diamonds",1,"4.0",0,25,5,6.25,10,"Charlotte Edwards Cup",2024,1410513,"Trent Bridge, Nottingham","Nottingham","The Blaze","Northern Diamonds","Northern Diamonds","field",NA,"The Blaze",NA,"4"
"E Anderson",2024-05-31,"Sunrisers","Western Storm",2,"2.4",0,9,4,3.375,11,"Charlotte Edwards Cup",2024,1410523,"The Cooper Associates County Ground, Taunton","Taunton","Western Storm","Sunrisers","Sunrisers","field",NA,"Western Storm",NA,"28"
"H Graham",2024-06-07,"Western Storm","The Blaze",1,"3.3",0,10,4,2.85714285714286,13,"Charlotte Edwards Cup",2024,1410529,"Grace Road, Leicester","Leicester","Western Storm","The Blaze","Western Storm","bat",NA,"The Blaze","7",NA
"GK Davis",2021-07-10,"Lightning","Central Sparks",1,"4.0",0,12,4,3,15,"Charlotte Edwards Cup",2021,1252420,"Grace Road, Leicester","Leicester","Lightning","Central Sparks","Lightning","bat",NA,"Central Sparks","6",NA
