"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","winner","winner_wickets","method","outcome","winner_runs","tv_umpire","player_of_match","reserve_umpire","match_number"
1252411,6,"Lightning","South East Stars","female","2021",2021-06-26,"Charlotte Edwards Cup","Trent Bridge, Nottingham","Nottingham","Lightning","bat","BV Taylor","J Naeem","DA Cosker","South East Stars",6,NA,NA,NA,NA,"BF Smith",NA,NA
1252412,6,"Central Sparks","Southern Vipers","female","2021",2021-06-26,"Charlotte Edwards Cup","Edgbaston, Birmingham","Birmingham","Southern Vipers","field","AY Harris","SM Bartlett","S Cummings","Southern Vipers",8,NA,NA,NA,NA,NA,NA,NA
1252413,6,"Thunder","Northern Diamonds","female","2021",2021-06-26,"Charlotte Edwards Cup","Headingley, Leeds","Leeds","Thunder","bat","James Middlebrook","L Nenova","WR Smith","Thunder",NA,NA,NA,12,NA,NA,NA,NA
1252414,6,"Western Storm","Sunrisers","female","2021",2021-06-26,"Charlotte Edwards Cup","The Cooper Associates County Ground, Taunton","Taunton","Sunrisers","field","Mark Newell","Y Dolphin-Cooper","TJ Boon","Sunrisers",7,NA,NA,NA,NA,NA,NA,NA
1252415,6,"Sunrisers","Northern Diamonds","female","2021",2021-07-02,"Charlotte Edwards Cup","County Ground, Chelmsford","Chelmsford","Northern Diamonds","field","J Ibbotson","S McLelland","AJ Swann","Northern Diamonds",8,NA,NA,NA,NA,NA,NA,NA
1252416,6,"Central Sparks","South East Stars","female","2021",2021-07-03,"Charlotte Edwards Cup","St Lawrence Ground, Canterbury","Canterbury","South East Stars","field","SM Bartlett","Tom Lungley","AJ Swann","South East Stars",5,NA,NA,NA,NA,NA,NA,NA
1252417,6,"Southern Vipers","Lightning","female","2021",2021-07-03,"Charlotte Edwards Cup","Arundel Castle Cricket Club Ground","Arundel","Lightning","field","Chris Watts","S McLelland","SG Hinks","Southern Vipers",NA,NA,NA,46,NA,NA,NA,NA
1252418,6,"Thunder","Western Storm","female","2021",2021-07-04,"Charlotte Edwards Cup","Boughton Hall Cricket Club Ground, Chester","Chester","Thunder","bat","AY Harris","J Naeem","WR Smith","Western Storm",9,"D/L",NA,NA,NA,NA,NA,NA
1252419,6,"Thunder","Sunrisers","female","2021",2021-07-09,"Charlotte Edwards Cup","Old Trafford, Manchester","Manchester","Sunrisers","field","J Ibbotson","N Pratt","JJ Whitaker","Thunder",NA,NA,NA,71,NA,NA,NA,NA
1252420,6,"Lightning","Central Sparks","female","2021",2021-07-10,"Charlotte Edwards Cup","Grace Road, Leicester","Leicester","Lightning","bat","James Middlebrook","L Nenova","DW Headley","Central Sparks",6,NA,NA,NA,NA,NA,NA,NA
1252421,6,"South East Stars","Southern Vipers","female","2021",2021-07-10,"Charlotte Edwards Cup","St Lawrence Ground, Canterbury","Canterbury","Southern Vipers","field","J Naeem","Mark Newell","AJ Swann","Southern Vipers",7,NA,NA,NA,NA,NA,NA,NA
1252422,6,"Western Storm","Northern Diamonds","female","2021",2021-07-10,"Charlotte Edwards Cup","The Cooper Associates County Ground, Taunton","Taunton","Northern Diamonds","field","AY Harris","Chris Watts","Aaron Campbell","Northern Diamonds",1,NA,NA,NA,NA,NA,NA,NA
1252423,6,"South East Stars","Lightning","female","2021",2021-08-25,"Charlotte Edwards Cup","Woodbridge Road, Guildford","Guildford","Lightning","field","BV Taylor","J Ibbotson","AJ Swann","South East Stars",NA,NA,NA,28,NA,NA,NA,NA
1252424,6,"Southern Vipers","Central Sparks","female","2021",2021-08-25,"Charlotte Edwards Cup","County Ground, Hove","Brighton","Central Sparks","field","BJ Debenham","J Naeem","DE Malcolm","Central Sparks",6,NA,NA,NA,NA,NA,NA,NA
1252425,6,"Northern Diamonds","Sunrisers","female","2021",2021-08-25,"Charlotte Edwards Cup","Roseworth Terrace, Gosforth","Gosforth","Sunrisers","field","J Pratt","PR Pollard","DW Headley","Northern Diamonds",NA,NA,NA,19,NA,NA,NA,NA
1252426,6,"Thunder","Western Storm","female","2021",2021-08-25,"Charlotte Edwards Cup","Sophia Gardens, Cardiff","Cardiff","Western Storm","field","AY Harris","S Redfern","SG Hinks","Western Storm",7,NA,NA,NA,NA,NA,NA,NA
1252427,6,"Lightning","Central Sparks","female","2021",2021-08-28,"Charlotte Edwards Cup","County Ground, New Road, Worcester","Worcester","Central Sparks","field","J Pratt","PR Pollard","DW Headley","Central Sparks",4,NA,NA,NA,NA,NA,NA,NA
1252428,6,"South East Stars","Southern Vipers","female","2021",2021-08-28,"Charlotte Edwards Cup","The Rose Bowl, Southampton","Southampton","Southern Vipers","field","AY Harris","SM Bartlett","DE Malcolm","South East Stars",NA,NA,NA,20,NA,NA,NA,NA
1252429,6,"Northern Diamonds","Western Storm","female","2021",2021-08-28,"Charlotte Edwards Cup","Riverside Ground, Chester-le-Street","Chester-le-Street","Western Storm","field","J Naeem","N Pratt","TJ Boon","Western Storm",4,NA,NA,NA,NA,NA,NA,NA
