"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",6,57,139,41.0071942446043,9.5,8,0,0,0,0,29
"A Carter",17,178,233,76.3948497854077,14.8333333333333,27,3,5,0,0,39
"A Harinath",44,1449,2984,48.558981233244,34.5,187,4,2,3,7,137
"A Javid",30,426,1311,32.4942791762014,15.2142857142857,46,0,2,0,2,69
"A Kapil",4,33,79,41.7721518987342,8.25,4,0,0,0,0,21
"A Karvelas",19,260,482,53.9419087136929,16.25,28,8,3,0,2,57
"A Lyth",210,7564,14528,52.0649779735683,37.82,1055,52,10,20,35,230
"A Sakande",15,70,168,41.6666666666667,11.6666666666667,8,0,9,0,0,15
"A Shahzad",31,498,1061,46.9368520263902,21.6521739130435,58,5,8,0,1,68
"A Sheikh",10,37,86,43.0232558139535,4.625,6,0,2,0,0,12
"A Virdi",34,152,379,40.1055408970976,9.5,25,1,18,0,0,47
"AAP Atkinson",18,304,550,55.2727272727273,23.3846153846154,42,4,5,0,2,66
"AC Lenham",12,206,541,38.0776340110906,20.6,26,0,2,0,0,48
"AC Thomas",24,243,626,38.8178913738019,15.1875,25,0,8,0,1,54
"AC Voges",28,1241,2356,52.6740237691002,49.64,148,0,3,2,8,160
"ACF Wyatt",5,59,84,70.2380952380952,11.8,9,0,0,0,0,32
"AD Hales",47,2247,3350,67.0746268656716,48.8478260869565,346,13,1,6,8,236
"AD Thomason",23,492,1267,38.8318863456985,23.4285714285714,65,4,2,0,4,90
"AEN Riley",38,293,972,30.1440329218107,14.65,37,0,18,0,0,34
"AF Gleadall",2,29,61,47.5409836065574,29,1,0,1,0,0,27
"AF Milne",8,121,233,51.931330472103,20.1666666666667,19,0,2,0,1,51
"AG Milton",19,267,599,44.5742904841402,15.7058823529412,39,1,2,1,0,104
"AG Prince",39,1667,2790,59.7491039426523,45.0540540540541,189,7,2,4,6,257
"AG Salter",98,1985,4648,42.7065404475043,24.8125,268,19,18,0,8,90
"AG Wakely",101,3063,6090,50.2955665024631,33.6593406593407,396,21,10,6,14,123
"AGH Orr",59,2113,4155,50.8543922984356,37.0701754385965,274,30,2,5,8,198
"AHT Donald",93,2651,3640,72.8296703296703,30.125,350,35,5,1,17,234
"AJ Ball",20,448,916,48.9082969432314,24.8888888888889,67,1,2,0,2,66
"AJ Blake",19,424,752,56.3829787234043,26.5,54,6,3,0,2,89
"AJ Finch",20,823,1104,74.5471014492754,43.3157894736842,86,17,1,2,4,110
"AJ Hall",28,662,1356,48.8200589970501,26.48,84,2,3,0,4,75
"AJ Hickey",6,64,156,41.025641025641,21.3333333333333,6,2,3,0,0,36
"AJ Hodd",53,1160,2155,53.8283062645012,24.6808510638298,153,2,6,0,9,96
"AJ Hose",56,1334,2582,51.6653756777692,24.7037037037037,189,6,2,1,6,111
"AJ Ireland",9,93,189,49.2063492063492,13.2857142857143,8,4,2,0,1,52
"AJ Mellor",14,223,561,39.7504456327986,17.1538461538462,31,0,1,0,0,44
"AJ Robson",98,2723,5406,50.3699593044765,28.6631578947368,392,3,3,2,24,120
"AJA Wheater",121,3276,5661,57.8696343402226,29.5135135135135,421,10,10,4,17,204
