"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"C Rushworth",203,3699.1,850,10738,486,22.0946502057613,2.90281594953818,45.6687242798354,17339,20,25,"9/52"
"JA Porter",194,2965.2,598,9585,416,23.0408653846154,3.23235161870504,42.7692307692308,13534,22,17,"7/41"
"J Leach",194,3267,637,10750,398,27.0100502512563,3.29048056320784,49.251256281407,14849,16,15,"6/44"
"SR Harmer",149,3273.3,869,8828,394,22.4060913705584,2.69680769818237,49.8502538071066,15391,14,32,"9/80"
"BA Raine",196,3527.4,837,10172,389,26.1491002570694,2.88349239346121,54.4113110539846,16512,18,13,"6/27"
"TJ Murtagh",165,3080.5,768,8589,367,23.4032697547684,2.78788206654044,50.3678474114441,14541,17,14,"6/42"
"KHD Barker",197,3256.4,798,9146,365,25.0575342465753,2.80839303991812,53.5342465753425,15453,17,15,"7/46"
"KJ Abbott",153,2515,628,7477,359,20.8272980501393,2.97296222664016,42.033426183844,11819,14,22,"9/40"
"BW Sanderson",158,2916,750,7726,340,22.7235294117647,2.64951989026063,51.4588235294118,13883,18,17,"8/73"
"MG Hogan",168,3070.3,736,8451,340,24.8558823529412,2.75232046897899,54.1852941176471,14373,21,13,"6/43"
"JS Patel",151,3083.1,841,8416,337,24.973293768546,2.72966106276015,54.893175074184,14540,19,17,"8/36"
"TE Bailey",158,2705.1,659,7518,323,23.2755417956656,2.77912636313228,50.250773993808,12765,16,15,"7/37"
"TS Roland-Jones",158,2938.5,618,8977,322,27.8788819875776,3.05461350876198,54.7608695652174,13559,18,14,"7/52"
"JA Brooks",148,2452,467,8979,319,28.1473354231975,3.66190864600326,46.1191222570533,10984,16,15,"6/65"
"C Overton",157,2570.2,594,7770,315,24.6666666666667,3.02295422124238,48.9587301587302,11986,16,12,"7/57"
"DI Stevens",147,2572,676,7118,314,22.6687898089172,2.76749611197512,49.1464968152866,12197,9,21,"8/75"
"CJC Wright",170,2875.3,518,9680,309,31.3268608414239,3.36637106590158,55.8349514563107,12980,10,11,"7/53"
"OE Robinson",117,2074.5,448,6142,300,20.4733333333333,2.96023777010202,41.4966666666667,9575,21,18,"9/78"
"BA Hutton",144,2322.3,498,7539,294,25.6428571428571,3.24607104413348,47.3979591836735,10515,5,16,"8/57"
"L Gregory",159,2366.1,508,7845,292,26.8664383561644,3.31548918785659,48.6198630136986,10993,12,11,"7/84"
"JAR Harris",149,2488.5,390,8972,285,31.480701754386,3.60490189513159,52.3964912280702,10823,17,7,"9/34"
"CN Miles",129,2052.5,351,7570,266,28.4586466165414,3.68758626288869,46.3045112781955,9074,15,14,"6/63"
"LC Norwell",109,1999.4,450,6254,265,23.6,3.12752125354226,45.2754716981132,9232,16,13,"9/62"
"LJ Fletcher",142,2282.1,561,6441,264,24.3977272727273,2.82231797268677,51.8674242424242,10876,11,7,"7/37"
"SJ Cook",116,1765.4,497,4524,257,17.6031128404669,2.5622050217104,41.2217898832685,8501,8,13,"7/23"
"SA Patterson",168,2857.2,862,7185,256,28.06640625,2.51458236117592,66.96875,13913,11,5,"6/40"
"EG Barnard",174,2450.2,528,7955,251,31.6932270916335,3.24649707522786,58.5737051792829,11281,10,5,"6/37"
"BO Coad",110,1878.4,510,5191,246,21.1016260162602,2.76312987934705,45.8211382113821,8978,8,10,"6/25"
"G Onions",107,1886.3,356,6198,243,25.5061728395062,3.28544924463292,46.5802469135802,8524,12,9,"7/68"
"OJ Hannon-Dalby",138,2235.3,581,6362,243,26.1810699588477,2.84589577275777,55.1975308641975,10504,12,9,"7/46"
"RF Higgins",125,2169.5,542,5951,241,24.6929460580913,2.74260695905984,54.0207468879668,10346,14,6,"5/21"
"MJ Leach",113,2237.1,573,5818,236,24.6525423728814,2.60061089175296,56.8771186440678,10502,10,16,"8/85"
"DA Payne",121,2123,443,6332,221,28.6515837104072,2.98257183231277,57.6380090497738,9774,11,3,"6/56"
