"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","outcome","winner","winner_wickets","winner_runs","player_of_match","winner_innings","tv_umpire","toss_uncontested","reserve_umpire","match_number"
692723,6,"Middlesex","Sussex","male","2014",2014-04-06,"LV= County Championship","County Ground, Hove","Brighton","Sussex","field","NL Bainton","NGC Cowley",NA,NA,"Sussex",NA,127,NA,"1",NA,NA,NA,NA
692869,6,"Hampshire","Worcestershire","male","2014",2014-04-06,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Worcestershire","field","AG Wharf","DJ Millns",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692725,6,"Yorkshire","Somerset","male","2014",2014-04-13,"LV= County Championship","County Ground, Taunton","Taunton","Somerset","field","MJ Saggers","NGC Cowley",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692727,6,"Durham","Northamptonshire","male","2014",2014-04-13,"LV= County Championship","County Ground, Northampton","Northampton","Durham","bat","SA Garratt","RT Robinson",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692731,6,"Warwickshire","Sussex","male","2014",2014-04-13,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Warwickshire","bat","MA Gough","NGB Cook",NA,NA,"Sussex",7,NA,NA,NA,NA,NA,NA,NA
692871,6,"Worcestershire","Kent","male","2014",2014-04-13,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat","IJ Gould","SC Gale",NA,NA,"Worcestershire",NA,125,NA,NA,NA,NA,NA,NA
692873,6,"Essex","Derbyshire","male","2014",2014-04-13,"LV= County Championship","County Ground, Chelmsford","Chelmsford","Essex","bat","JH Evans","NJ Llong",NA,NA,"Essex",NA,53,NA,NA,NA,NA,NA,NA
692875,6,"Gloucestershire","Hampshire","male","2014",2014-04-13,"LV= County Championship","County Ground, Bristol","Bristol","Hampshire","field","GD Lloyd","RJ Bailey",NA,NA,"Hampshire",8,NA,NA,NA,NA,NA,NA,NA
692733,6,"Yorkshire","Northamptonshire","male","2014",2014-04-20,"LV= County Championship","Headingley, Leeds","Leeds","Yorkshire","bat","IJ Gould","MR Benson",NA,NA,"Yorkshire",NA,120,NA,"1",NA,NA,NA,NA
692735,6,"Lancashire","Warwickshire","male","2014",2014-04-20,"LV= County Championship","Old Trafford, Manchester","Manchester","Lancashire","bat","AG Wharf","PJ Hartley",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692737,6,"Durham","Somerset","male","2014",2014-04-20,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Somerset","field","DJ Millns","MA Gough",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692877,6,"Glamorgan","Gloucestershire","male","2014",2014-04-20,"LV= County Championship","Sophia Gardens, Cardiff","Cardiff","Gloucestershire","field","MJD Bodenham","NJ Llong",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692881,6,"Hampshire","Derbyshire","male","2014",2014-04-20,"LV= County Championship","County Ground, Derby","Derby","Derbyshire","field","NA Mallender","RT Robinson",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692883,6,"Leicestershire","Kent","male","2014",2014-04-20,"LV= County Championship","St Lawrence Ground, Canterbury","Canterbury","Kent","field","G Sharp","NL Bainton",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692739,6,"Warwickshire","Nottinghamshire","male","2014",2014-04-27,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Nottinghamshire","field","DJ Millns","SA Garratt",NA,NA,"Warwickshire",NA,98,NA,NA,NA,NA,NA,NA
692741,6,"Lancashire","Northamptonshire","male","2014",2014-04-27,"LV= County Championship","County Ground, Northampton","Northampton","Northamptonshire","field","MJ Saggers","RA Kettleborough",NA,NA,"Lancashire",NA,60,NA,NA,NA,NA,NA,NA
692745,6,"Somerset","Sussex","male","2014",2014-04-27,"LV= County Championship","County Ground, Hove","Brighton","Sussex","field","AG Wharf","NJ Llong",NA,NA,"Somerset",NA,11,NA,"1",NA,NA,NA,NA
692885,6,"Derbyshire","Worcestershire","male","2014",2014-04-27,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Derbyshire","bat","G Sharp","NL Bainton",NA,NA,"Worcestershire",NA,64,NA,"1",NA,NA,NA,NA
692887,6,"Leicestershire","Glamorgan","male","2014",2014-04-27,"LV= County Championship","Grace Road, Leicester","Leicester","Glamorgan","field","JH Evans","NGB Cook",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692889,6,"Gloucestershire","Essex","male","2014",2014-04-27,"LV= County Championship","County Ground, Bristol","Bristol","Essex","field","NGC Cowley","SC Gale",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692891,6,"Hampshire","Surrey","male","2014",2014-04-27,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Surrey","field","MR Benson","RJ Evans",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692747,6,"Nottinghamshire","Somerset","male","2014",2014-05-04,"LV= County Championship","County Ground, Taunton","Taunton","Somerset","field","NL Bainton","SJ O'Shaughnessy",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692749,6,"Sussex","Lancashire","male","2014",2014-05-04,"LV= County Championship","Old Trafford, Manchester","Manchester","Sussex","bat","MR Benson","SC Gale",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692753,6,"Middlesex","Warwickshire","male","2014",2014-05-04,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Middlesex","bat","NA Mallender","P Willey",NA,NA,"Warwickshire",NA,47,NA,"1",NA,NA,NA,NA
692893,6,"Worcestershire","Glamorgan","male","2014",2014-05-04,"LV= County Championship","Sophia Gardens, Cardiff","Cardiff","Glamorgan","field","MA Gough","RJ Evans",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692755,6,"Northamptonshire","Nottinghamshire","male","2014",2014-05-11,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Nottinghamshire","field","G Sharp","MA Gough",NA,NA,"Nottinghamshire",NA,10,NA,"1",NA,NA,NA,NA
692759,6,"Sussex","Durham","male","2014",2014-05-11,"LV= County Championship","County Ground, Hove","Brighton","Durham","field","MJ Saggers","RK Illingworth",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692761,6,"Yorkshire","Warwickshire","male","2014",2014-05-11,"LV= County Championship","Headingley, Leeds","Leeds","Warwickshire","field","GD Lloyd","RT Robinson",NA,NA,"Yorkshire",NA,155,NA,"1",NA,NA,NA,NA
692899,6,"Gloucestershire","Surrey","male","2014",2014-05-11,"LV= County Championship","Kennington Oval, London","London","Surrey","field","MJD Bodenham","RJ Bailey",NA,NA,"Surrey",4,NA,NA,NA,NA,NA,NA,NA
692901,6,"Derbyshire","Kent","male","2014",2014-05-11,"LV= County Championship","County Ground, Derby","Derby","Kent","field","P Willey","SA Garratt",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692903,6,"Glamorgan","Hampshire","male","2014",2014-05-11,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Hampshire","field","AG Wharf","SJ O'Shaughnessy",NA,NA,"Hampshire",6,NA,NA,NA,NA,NA,NA,NA
692763,6,"Northamptonshire","Middlesex","male","2014",2014-05-18,"LV= County Championship","County Ground, Northampton","Northampton","Northamptonshire","bat","MJD Bodenham","RA Kettleborough",NA,NA,"Middlesex",NA,84,NA,"1",NA,NA,NA,NA
692905,6,"Worcestershire","Essex","male","2014",2014-05-18,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat","BJ Debenham","NA Mallender",NA,NA,"Worcestershire",NA,72,NA,NA,NA,NA,NA,NA
692907,6,"Hampshire","Leicestershire","male","2014",2014-05-18,"LV= County Championship","Grace Road, Leicester","Leicester","Hampshire","bat","JW Lloyds","SC Gale",NA,NA,"Hampshire",NA,278,NA,NA,NA,NA,NA,NA
692909,6,"Gloucestershire","Kent","male","2014",2014-05-18,"LV= County Championship","County Ground, Bristol","Bristol","Gloucestershire","bat","G Sharp","IJ Gould",NA,NA,"Gloucestershire",NA,290,NA,NA,NA,NA,NA,NA
692765,6,"Durham","Somerset","male","2014",2014-05-19,"LV= County Championship","County Ground, Taunton","Taunton","Durham","bat","GD Lloyd","NGB Cook",NA,NA,"Somerset",7,NA,NA,NA,NA,NA,NA,NA
692767,6,"Nottinghamshire","Durham","male","2014",2014-05-25,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Nottinghamshire","bat","NL Bainton","NA Mallender",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692769,6,"Lancashire","Yorkshire","male","2014",2014-05-25,"LV= County Championship","Headingley, Leeds","Leeds","Yorkshire","field","IJ Gould","P Willey",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
