"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",2021,"County Championship","Glamorgan",6,57,139,41.0071942446043,9.5,8,0,0,0,0,29
"A Carter",2014,"LV= County Championship","Nottinghamshire",3,8,20,40,2.66666666666667,1,0,0,0,0,4
"A Carter",2015,"LV= County Championship","Glamorgan",4,42,51,82.3529411764706,21,8,0,2,0,0,21
"A Carter",2015,"LV= County Championship","Nottinghamshire",2,41,63,65.0793650793651,Inf,7,0,2,0,0,24
"A Carter",2016,"Specsavers County Championship","Derbyshire",4,68,69,98.5507246376812,22.6666666666667,8,3,1,0,0,39
"A Carter",2016,"Specsavers County Championship","Hampshire",2,8,8,100,4,2,0,0,0,0,4
"A Carter",2017,"Specsavers County Championship","Northamptonshire",2,11,22,50,5.5,1,0,0,0,0,8
"A Harinath",2014,"LV= County Championship","Surrey",7,208,533,39.0243902439024,34.6666666666667,19,2,1,0,2,63
"A Harinath",2015,"LV= County Championship","Surrey",11,447,753,59.3625498007968,40.6363636363636,59,0,0,2,1,120
"A Harinath",2016,"Specsavers County Championship","Surrey",21,707,1497,47.2277889111556,35.35,97,1,1,1,4,137
"A Harinath",2017,"Specsavers County Championship","Leicestershire",2,31,75,41.3333333333333,15.5,3,0,0,0,0,26
"A Harinath",2018,"Specsavers County Championship","Surrey",3,56,126,44.4444444444444,18.6666666666667,9,1,0,0,0,48
"A Javid",2014,"LV= County Championship","Warwickshire",10,108,363,29.7520661157025,13.5,8,0,2,0,0,28
"A Javid",2015,"LV= County Championship","Warwickshire",6,64,184,34.7826086956522,10.6666666666667,7,0,0,0,0,27
"A Javid",2017,"Specsavers County Championship","Warwickshire",2,22,88,25,11,1,0,0,0,0,14
"A Javid",2018,"Specsavers County Championship","Leicestershire",6,127,320,39.6875,21.1666666666667,15,0,0,0,1,58
"A Javid",2019,"Specsavers County Championship","Leicestershire",6,105,356,29.4943820224719,17.5,15,0,0,0,1,69
"A Kapil",2014,"LV= County Championship","Surrey",2,12,25,48,6,2,0,0,0,0,10
"A Kapil",2015,"LV= County Championship","Surrey",2,21,54,38.8888888888889,10.5,2,0,0,0,0,21
"A Karvelas",2022,"County Championship","Sussex",4,73,152,48.0263157894737,18.25,8,2,0,0,1,57
"A Karvelas",2023,"County Championship","Sussex",12,78,203,38.423645320197,7.8,8,2,2,0,0,23
"A Karvelas",2024,"County Championship","Sussex",3,109,127,85.8267716535433,54.5,12,4,1,0,1,55
"A Lyth",2014,"LV= County Championship","Yorkshire",19,1046,2038,51.3248282630029,58.1111111111111,141,5,1,4,5,230
"A Lyth",2015,"LV= County Championship","Yorkshire",12,315,656,48.0182926829268,26.25,46,0,0,0,3,67
"A Lyth",2016,"Specsavers County Championship","Yorkshire",30,1133,1993,56.8489713998996,40.4642857142857,142,13,2,4,3,202
"A Lyth",2017,"Specsavers County Championship","Yorkshire",21,521,1078,48.330241187384,26.05,63,5,1,1,2,100
"A Lyth",2018,"Specsavers County Championship","Yorkshire",25,656,1379,47.5707034082669,27.3333333333333,98,1,1,1,2,134
"A Lyth",2019,"Specsavers County Championship","Yorkshire",25,804,1653,48.6388384754991,34.9565217391304,107,12,2,0,7,95
"A Lyth",2021,"County Championship","Yorkshire",22,819,1581,51.8026565464896,39,117,5,1,3,3,153
"A Lyth",2022,"County Championship","Yorkshire",24,790,1849,42.7257977285019,32.9166666666667,114,5,0,2,3,183
"A Lyth",2023,"County Championship","Yorkshire",22,1019,1586,64.249684741488,48.5238095238095,154,4,1,3,5,174
"A Lyth",2024,"County Championship","Yorkshire",10,461,715,64.4755244755245,51.2222222222222,73,2,1,2,2,113
"A Sakande",2017,"Specsavers County Championship","Sussex",2,8,14,57.1428571428571,Inf,1,0,2,0,0,7
"A Sakande",2018,"Specsavers County Championship","Sussex",2,1,9,11.1111111111111,Inf,0,0,2,0,0,1
"A Sakande",2019,"Specsavers County Championship","Sussex",7,38,110,34.5454545454545,9.5,4,0,3,0,0,15
"A Sakande",2021,"County Championship","Leicestershire",4,23,35,65.7142857142857,11.5,3,0,2,0,0,9
"A Shahzad",2014,"LV= County Championship","Nottinghamshire",11,201,359,55.9888579387187,33.5,22,3,5,0,1,68
"A Shahzad",2015,"LV= County Championship","Sussex",10,182,394,46.1928934010152,22.75,24,2,2,0,0,45
"A Shahzad",2016,"Specsavers County Championship","Sussex",8,109,277,39.3501805054152,15.5714285714286,12,0,1,0,0,26
"A Shahzad",2017,"Specsavers County Championship","Sussex",2,6,31,19.3548387096774,3,0,0,0,0,0,5
"A Sheikh",2014,"LV= County Championship","Leicestershire",6,24,41,58.5365853658537,4.8,4,0,1,0,0,12
"A Sheikh",2015,"LV= County Championship","Leicestershire",3,6,29,20.6896551724138,3,1,0,1,0,0,5
"A Sheikh",2017,"Specsavers County Championship","Northamptonshire",1,7,16,43.75,7,1,0,0,0,0,7
"A Virdi",2017,"Specsavers County Championship","Surrey",4,18,44,40.9090909090909,6,4,0,1,0,0,8
"A Virdi",2018,"Specsavers County Championship","Surrey",13,46,80,57.5,6.57142857142857,8,1,6,0,0,21
