"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Austin",3,53,70,75.7142857142857,17.6666666666667,7,0,0,0,0,23
"A Balbirnie",19,812,1049,77.4070543374642,47.7647058823529,91,12,2,2,4,126
"A Cawley",1,3,9,33.3333333333333,3,0,0,0,0,0,3
"A Dennison",7,133,193,68.9119170984456,19,16,0,0,0,1,73
"A McDaid",1,6,9,66.6666666666667,6,0,1,0,0,0,6
"A Rosslee",2,3,22,13.6363636363636,1.5,0,0,0,0,0,2
"A Sidhu",5,13,55,23.6363636363636,3.25,1,0,1,0,0,9
"AD Poynter",2,109,112,97.3214285714286,109,13,2,1,0,2,56
"AI Shields",1,8,8,100,8,2,0,0,0,0,8
"AJ Malan",1,5,14,35.7142857142857,5,0,0,0,0,0,5
"AP Chore",7,256,409,62.5916870415648,36.5714285714286,23,1,0,0,1,65
"AP Gillespie",8,95,180,52.7777777777778,11.875,11,0,0,0,1,54
"AR Frost",7,183,319,57.3667711598746,30.5,18,2,1,0,1,50
"AR McBrine",27,712,1071,66.4799253034547,27.3846153846154,75,11,1,2,2,117
"B Kruger",4,60,72,83.3333333333333,20,5,2,1,0,0,31
"B White",10,61,80,76.25,7.625,4,1,2,0,0,17
"BF Calitz",1,3,9,33.3333333333333,3,0,0,0,0,0,3
"BI Louw",1,16,26,61.5384615384615,16,1,0,0,0,0,16
"BJ McCarthy",12,291,235,123.829787234043,36.375,17,21,4,1,0,110
"C Campher",12,309,362,85.3591160220994,30.9,38,2,2,0,2,98
"C Carmichael",7,221,280,78.9285714285714,36.8333333333333,21,3,1,0,1,62
"C De Freitas",4,135,174,77.5862068965517,33.75,13,0,0,0,2,59
"C Dougherty",6,145,232,62.5,24.1666666666667,14,2,0,0,0,46
"C Hassett",1,9,29,31.0344827586207,9,0,0,0,0,0,9
"C Melly",7,151,210,71.9047619047619,25.1666666666667,16,2,1,0,0,44
"C Olphert",2,10,17,58.8235294117647,10,1,0,1,0,0,7
"C Robertson",2,7,18,38.8888888888889,7,1,0,1,0,0,5
"C Robinson",1,0,0,NA,NA,0,0,1,0,0,0
"CA Young",15,107,137,78.1021897810219,8.23076923076923,11,2,2,0,0,27
"CJB McCullough",3,32,54,59.2592592592593,10.6666666666667,3,1,0,0,0,14
"CMJ McLoughlin-Gavin",5,108,176,61.3636363636364,21.6,12,2,0,0,1,67
"D Barr",7,102,191,53.4031413612565,14.5714285714286,11,0,0,0,0,31
"D Scanlon",6,19,40,47.5,3.8,0,1,1,0,0,11
"DA Rankin",14,244,319,76.4890282131662,17.4285714285714,33,3,0,0,2,84
"DC Delany",9,215,281,76.5124555160142,30.7142857142857,18,3,2,0,1,76
"DI Joyce",4,92,110,83.6363636363636,30.6666666666667,15,0,1,0,0,30
"DJ O'Halloran",1,2,7,28.5714285714286,Inf,0,0,1,0,0,2
"DP Hyatt",3,99,174,56.8965517241379,33,8,1,0,0,1,54
"EC Joyce",3,188,231,81.3852813852814,62.6666666666667,15,2,0,1,0,116
"EJ Richardson",6,32,37,86.4864864864865,8,2,1,2,0,0,13
