"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Austin","F Hand",5,8,0,6,1,0,3.75,62.5,Inf
"A Austin","GH Dockrell",6,7,0,4,1,0,5.14285714285714,85.7142857142857,Inf
"A Austin","GJ Delany",9,11,0,6,1,0,4.90909090909091,81.8181818181818,Inf
"A Austin","GJ McCarter",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Austin","HT Tector",1,4,1,3,0,0,1.5,25,1
"A Austin","J Cameron-Dow",6,5,0,1,0,0,7.2,120,Inf
"A Austin","MR Adair",5,6,0,3,1,0,5,83.3333333333333,Inf
"A Austin","Nathan Smith",3,4,0,2,0,0,4.5,75,Inf
"A Austin","PKD Chase",1,4,1,3,0,0,1.5,25,1
"A Austin","SC Getkate",10,10,0,6,2,0,6,100,Inf
"A Austin","SM Bunting",4,5,1,4,1,0,4.8,80,4
"A Austin","Simi Singh",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Balbirnie","A Sidhu",1,4,0,3,0,0,1.5,25,Inf
"A Balbirnie","AJ Malan",8,13,0,9,1,0,3.69230769230769,61.5384615384615,Inf
"A Balbirnie","AR McBrine",44,60,1,27,2,1,4.4,73.3333333333333,44
"A Balbirnie","B White",18,30,0,16,1,0,3.6,60,Inf
"A Balbirnie","C Campher",1,10,0,9,0,0,0.6,10,Inf
"A Balbirnie","C Olphert",2,6,0,4,0,0,2,33.3333333333333,Inf
"A Balbirnie","CA Young",28,39,0,23,2,1,4.30769230769231,71.7948717948718,Inf
"A Balbirnie","D Scanlon",34,26,0,12,5,1,7.84615384615385,130.769230769231,Inf
"A Balbirnie","DC Delany",13,15,0,7,0,1,5.2,86.6666666666667,Inf
"A Balbirnie","F Hand",14,22,0,15,2,0,3.81818181818182,63.6363636363636,Inf
"A Balbirnie","G Kennedy",31,42,0,16,1,0,4.42857142857143,73.8095238095238,Inf
"A Balbirnie","GE Kidd",1,2,0,1,0,0,3,50,Inf
"A Balbirnie","GI Hume",28,57,1,43,4,0,2.94736842105263,49.1228070175439,28
"A Balbirnie","GJ McCarter",61,99,0,68,8,1,3.6969696969697,61.6161616161616,Inf
"A Balbirnie","GKR McKinley",44,26,0,9,6,1,10.1538461538462,169.230769230769,Inf
"A Balbirnie","HT Tector",34,30,0,13,3,1,6.8,113.333333333333,Inf
"A Balbirnie","J Cameron-Dow",63,63,0,30,7,1,6,100,Inf
"A Balbirnie","J Manley",36,51,0,37,7,0,4.23529411764706,70.5882352941177,Inf
"A Balbirnie","J Mulder",13,18,1,8,0,0,4.33333333333333,72.2222222222222,13
"A Balbirnie","J Thompson",7,13,0,9,1,0,3.23076923076923,53.8461538461538,Inf
"A Balbirnie","JA McCollum",8,13,0,6,0,0,3.69230769230769,61.5384615384615,Inf
"A Balbirnie","L McCarthy",12,17,0,13,1,1,4.23529411764706,70.5882352941177,Inf
"A Balbirnie","LI Georgeson",12,20,1,11,1,0,3.6,60,12
"A Balbirnie","M Frost",18,19,1,8,2,0,5.68421052631579,94.7368421052632,18
"A Balbirnie","MJ Humphreys",7,16,1,9,0,0,2.625,43.75,7
"A Balbirnie","MR Adair",74,98,1,65,13,0,4.53061224489796,75.5102040816327,74
"A Balbirnie","MT Foster",38,40,0,22,4,1,5.7,95,Inf
"A Balbirnie","Nathan Smith",2,2,0,0,0,0,6,100,Inf
"A Balbirnie","R Allen",9,8,0,2,1,0,6.75,112.5,Inf
"A Balbirnie","R MacBeth",1,2,0,1,0,0,3,50,Inf
"A Balbirnie","R Pretorius",34,38,1,22,4,1,5.36842105263158,89.4736842105263,34
"A Balbirnie","SA Britton",10,6,1,2,2,0,10,166.666666666667,10
"A Balbirnie","SC Getkate",64,73,4,42,8,1,5.26027397260274,87.6712328767123,16
"A Balbirnie","SR Thompson",25,25,0,15,5,0,6,100,Inf
"A Balbirnie","SV Lazars",9,21,1,12,0,0,2.57142857142857,42.8571428571429,9
"A Balbirnie","T Mayes",3,6,1,3,0,0,3,50,3
"A Balbirnie","TE Kane",5,19,2,14,0,0,1.57894736842105,26.3157894736842,2.5
"A Cawley","AR McBrine",0,2,0,2,0,0,0,0,NA
"A Cawley","GI Hume",1,5,1,4,0,0,1.2,20,1
"A Cawley","R Allen",2,2,0,0,0,0,6,100,Inf
"A Dennison","AR McBrine",17,28,2,17,1,0,3.64285714285714,60.7142857142857,8.5
"A Dennison","CA Young",8,15,0,12,1,0,3.2,53.3333333333333,Inf
"A Dennison","D Scanlon",14,30,3,24,2,0,2.8,46.6666666666667,4.66666666666667
"A Dennison","EJ Richardson",11,21,0,15,1,0,3.14285714285714,52.3809523809524,Inf
"A Dennison","GH Dockrell",4,8,1,7,1,0,3,50,4
"A Dennison","J Robinson",3,6,0,3,0,0,3,50,Inf
"A Dennison","O Williams",19,21,0,12,3,0,5.42857142857143,90.4761904761905,Inf
"A Dennison","PKD Chase",5,5,1,3,1,0,6,100,5
"A Dennison","R Allen",6,18,0,12,0,0,2,33.3333333333333,Inf
"A Dennison","R MacBeth",4,6,0,3,0,0,4,66.6666666666667,Inf
"A Dennison","SR Thompson",25,21,0,10,4,0,7.14285714285714,119.047619047619,Inf
"A Dennison","SV Lazars",15,10,0,3,2,0,9,150,Inf
"A Dennison","TE Kane",2,4,0,2,0,0,3,50,Inf
"A McDaid","MR Adair",0,4,1,4,0,0,0,0,0
"A McDaid","SC Getkate",6,5,0,4,0,1,7.2,120,Inf
"A Rosslee","L McCarthy",2,8,0,7,0,0,1.5,25,Inf
"A Rosslee","ML Granger",0,3,1,3,0,0,0,0,0
"A Rosslee","MT Foster",0,5,1,5,0,0,0,0,0
"A Rosslee","R Pretorius",0,2,0,2,0,0,0,0,NA
"A Rosslee","T Mayes",1,4,0,3,0,0,1.5,25,Inf
"A Sidhu","B Kruger",3,10,1,8,0,0,1.8,30,3
"A Sidhu","BJ McCarthy",1,6,1,5,0,0,1,16.6666666666667,1
"A Sidhu","GI Hume",1,1,0,0,0,0,6,100,Inf
"A Sidhu","GJ Delany",1,7,0,6,0,0,0.857142857142857,14.2857142857143,Inf
"A Sidhu","J Little",1,8,0,7,0,0,0.75,12.5,Inf
"A Sidhu","J Manley",5,7,0,5,1,0,4.28571428571429,71.4285714285714,Inf
"A Sidhu","L McCarthy",1,10,1,9,0,0,0.6,10,1
"A Sidhu","M Frost",0,6,0,6,0,0,0,0,NA
"AD Poynter","GE Kidd",15,21,0,15,3,0,4.28571428571429,71.4285714285714,Inf
"AD Poynter","GJ McCarter",4,7,0,3,0,0,3.42857142857143,57.1428571428571,Inf
"AD Poynter","J Barnes",16,6,0,1,2,1,16,266.666666666667,Inf
"AD Poynter","Mansoor Amjad",3,6,0,3,0,0,3,50,Inf
"AD Poynter","NG Jones",4,4,0,3,1,0,6,100,Inf
"AD Poynter","PA Eakin",18,18,0,9,3,0,6,100,Inf
"AD Poynter","PS Eaglestone",12,17,0,9,1,0,4.23529411764706,70.5882352941177,Inf
"AD Poynter","S Campbell",13,13,0,8,1,1,6,100,Inf
"AD Poynter","SR Thompson",4,4,0,1,0,0,6,100,Inf
"AD Poynter","W McClintock",20,16,1,4,2,0,7.5,125,20
"AI Shields","CA Young",8,4,0,2,2,0,12,200,Inf
"AI Shields","D Scanlon",0,4,1,4,0,0,0,0,0
"AJ Malan","GH Dockrell",1,5,0,4,0,0,1.2,20,Inf
"AJ Malan","MC Sorensen",2,4,1,3,0,0,3,50,2
"AJ Malan","Simi Singh",2,5,0,3,0,0,2.4,40,Inf
"AP Chore","AR McBrine",20,36,0,17,0,0,3.33333333333333,55.5555555555556,Inf
"AP Chore","B White",4,9,1,6,0,0,2.66666666666667,44.4444444444444,4
"AP Chore","BJ McCarthy",29,39,0,27,5,0,4.46153846153846,74.3589743589744,Inf
"AP Chore","C Campher",9,16,0,13,2,0,3.375,56.25,Inf
"AP Chore","C Olphert",37,42,1,23,2,1,5.28571428571429,88.0952380952381,37
"AP Chore","F Hand",10,18,1,12,1,0,3.33333333333333,55.5555555555556,10
"AP Chore","FH Catherwood",8,9,0,6,1,0,5.33333333333333,88.8888888888889,Inf
"AP Chore","G Kennedy",31,31,0,12,3,0,6,100,Inf
"AP Chore","GI Hume",10,28,1,22,1,0,2.14285714285714,35.7142857142857,10
"AP Chore","GJ Delany",15,15,0,5,1,0,6,100,Inf
"AP Chore","J Little",6,8,1,5,1,0,4.5,75,6
"AP Chore","J Manley",16,23,0,15,2,0,4.17391304347826,69.5652173913043,Inf
"AP Chore","J Mulder",6,8,0,3,0,0,4.5,75,Inf
"AP Chore","J Wilson",0,6,0,6,0,0,0,0,NA
"AP Chore","L McCarthy",9,16,0,9,0,0,3.375,56.25,Inf
"AP Chore","M Frost",14,37,1,27,1,0,2.27027027027027,37.8378378378378,14
"AP Chore","M O'Reilly",1,5,0,4,0,0,1.2,20,Inf
"AP Chore","MJ Humphreys",1,1,0,0,0,0,6,100,Inf
"AP Chore","ML Granger",0,6,0,6,0,0,0,0,NA
"AP Chore","R MacBeth",15,27,0,19,2,0,3.33333333333333,55.5555555555556,Inf
"AP Chore","R Pretorius",4,6,0,5,1,0,4,66.6666666666667,Inf
"AP Chore","T Koen",2,6,1,4,0,0,2,33.3333333333333,2
"AP Chore","TE Kane",2,7,0,5,0,0,1.71428571428571,28.5714285714286,Inf
"AP Chore","TF van Woerkom",7,10,0,4,0,0,4.2,70,Inf
"AP Gillespie","GH Dockrell",2,13,1,11,0,0,0.923076923076923,15.3846153846154,2
"AP Gillespie","GJ Delany",3,8,1,6,0,0,2.25,37.5,3
"AP Gillespie","GJ McCarter",8,17,0,12,1,0,2.82352941176471,47.0588235294118,Inf
"AP Gillespie","HT Tector",10,25,0,19,1,0,2.4,40,Inf
"AP Gillespie","J Cameron-Dow",10,19,0,15,2,0,3.15789473684211,52.6315789473684,Inf
"AP Gillespie","J Manley",0,1,1,1,0,0,0,0,0
"AP Gillespie","J Mulder",17,27,0,15,1,0,3.77777777777778,62.962962962963,Inf
"AP Gillespie","KJ O'Brien",16,6,0,2,4,0,16,266.666666666667,Inf
"AP Gillespie","MC Sorensen",3,3,0,1,0,0,6,100,Inf
"AP Gillespie","MR Adair",8,13,2,8,1,0,3.69230769230769,61.5384615384615,4
"AP Gillespie","PKD Chase",4,15,1,12,0,0,1.6,26.6666666666667,4
"AP Gillespie","SC Getkate",4,8,1,5,0,0,3,50,4
"AP Gillespie","Simi Singh",5,13,1,9,0,0,2.30769230769231,38.4615384615385,5
"AP Gillespie","TE Kane",5,12,0,10,1,0,2.5,41.6666666666667,Inf
"AR Frost","A Sidhu",15,22,0,13,0,1,4.09090909090909,68.1818181818182,Inf
