"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"PJ Moor",2022-05-10,"Munster Reds","Leinster Lightning",2,152,122,16,8,124.590163934426,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2022,1305424,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","Munster Reds","Munster Reds","field","PJ Moor","Munster Reds","5",NA
"Simi Singh",2016-05-30,"Leinster Lightning","North-West Warriors",1,136,135,13,5,100.740740740741,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2016,1002145,"New Strabane Park","Strabane","Leinster Lightning","North-West Warriors","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"141"
"L Tucker",2023-08-14,"Leinster Lightning","North-West Warriors",1,133,93,15,6,143.010752688172,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2023,1375531,"The Hills, Milverton","Milverton","Leinster Lightning","North-West Warriors","North-West Warriors","field","L Tucker","Leinster Lightning",NA,"244"
"LI Georgeson",2021-06-30,"Northern Knights","Munster Reds",2,128,118,11,3,108.474576271186,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2021,1259533,"Civil Service Cricket Club, Stormont, Belfast","Belfast","Munster Reds","Northern Knights","Munster Reds","bat","M Commins","Munster Reds",NA,"9"
"A Balbirnie",2021-05-16,"Leinster Lightning","Northern Knights",1,126,151,15,2,83.4437086092715,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2021,1259526,"The Green, Comber","Comber","Leinster Lightning","Northern Knights","Northern Knights","field","PR Stirling","Northern Knights","5",NA
"A Balbirnie",2019-04-25,"Leinster Lightning","Northern Knights",2,125,126,14,4,99.2063492063492,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2019,1178131,"La Manga Club Top Ground","Murcia","Northern Knights","Leinster Lightning","Northern Knights","bat",NA,"Leinster Lightning","6",NA
"M Commins",2021-06-30,"Munster Reds","Northern Knights",1,125,130,13,2,96.1538461538462,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2021,1259533,"Civil Service Cricket Club, Stormont, Belfast","Belfast","Munster Reds","Northern Knights","Munster Reds","bat","M Commins","Munster Reds",NA,"9"
"Simi Singh",2018-06-04,"Leinster Lightning","Northern Knights",1,121,108,8,8,112.037037037037,TRUE,"Cricket Ireland Inter-Provincial Limited Over Cup",2018,1136920,"The Vineyard, Dublin","Dublin","Leinster Lightning","Northern Knights","Northern Knights","field",NA,"Leinster Lightning",NA,"53"
"AR McBrine",2022-06-02,"North-West Warriors","Northern Knights",1,117,130,15,1,90,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2022,1305430,"Civil Service Cricket Club, Stormont, Belfast","Belfast","North-West Warriors","Northern Knights","Northern Knights","field","AR McBrine","North-West Warriors",NA,"63"
"EC Joyce",2017-06-04,"Leinster Lightning","Northern Knights",1,116,124,8,2,93.5483870967742,FALSE,"Cricket Ireland Inter-Provincial Limited Over Cup",2017,1089607,"Church of Ireland Young Men's Society Cricket Club Ground, Belfast","Belfast","Leinster Lightning","Northern Knights","Leinster Lightning","bat",NA,NA,NA,NA
