"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"G Hoey",2023-09-05,"Northern Knights","Leinster Lightning",2,"7.2",0,26,6,3.54545454545455,22,"Cricket Ireland Inter-Provincial Limited Over Cup",2023,1375535,"Civil Service Cricket Club, Stormont, Belfast","Belfast","Leinster Lightning","Northern Knights","Leinster Lightning","bat","S Lynch","Leinster Lightning",NA,"170"
"BJ McCarthy",2021-05-22,"Munster Reds","Leinster Lightning",2,"9.3",0,39,6,4.10526315789474,41,"Cricket Ireland Inter-Provincial Limited Over Cup",2021,1259530,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","Munster Reds","Munster Reds","field","BJ McCarthy","Leinster Lightning",NA,"93"
"TE Kane",2019-08-20,"Northern Knights","Leinster Lightning",1,"8.2",0,42,6,5.04,35,"Cricket Ireland Inter-Provincial Limited Over Cup",2019,1178135,"Civil Service Cricket Club, Stormont, Belfast","Belfast","Northern Knights","Leinster Lightning","Leinster Lightning","field",NA,"Leinster Lightning","7",NA
"L McCarthy",2023-09-04,"North-West Warriors","Munster Reds",2,"8.0",1,16,5,2,40,"Cricket Ireland Inter-Provincial Limited Over Cup",2023,1375534,"Bready Cricket Club, Magheramason, Bready","Bready","Munster Reds","North-West Warriors","North-West Warriors","field","L McCarthy","Munster Reds",NA,"115"
"GH Dockrell",2018-06-04,"Northern Knights","Leinster Lightning",2,"10.0",2,21,5,2.1,48,"Cricket Ireland Inter-Provincial Limited Over Cup",2018,1136920,"The Vineyard, Dublin","Dublin","Leinster Lightning","Northern Knights","Northern Knights","field",NA,"Leinster Lightning",NA,"53"
"SA Britton",2018-09-09,"Leinster Lightning","North-West Warriors",1,"10.0",2,23,5,2.3,46,"Cricket Ireland Inter-Provincial Limited Over Cup",2018,1136924,"Observatory Lane, Rathmines, Dublin","Dublin","Leinster Lightning","North-West Warriors","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"58"
"GH Dockrell",2022-05-03,"North-West Warriors","Leinster Lightning",1,"10.0",2,24,5,2.4,46,"Cricket Ireland Inter-Provincial Limited Over Cup",2022,1305422,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Leinster Lightning","Leinster Lightning","field","GH Dockrell","Leinster Lightning","7",NA
"HT Tector",2019-04-24,"North-West Warriors","Northern Knights",2,"6.1",0,36,5,5.83783783783784,25,"Cricket Ireland Inter-Provincial Limited Over Cup",2019,1178130,"La Manga Club Top Ground","Murcia","Northern Knights","North-West Warriors","North-West Warriors","field",NA,"Northern Knights",NA,"117"
"M Frost",2022-05-19,"North-West Warriors","Munster Reds",1,"10.0",0,42,5,4.2,36,"Cricket Ireland Inter-Provincial Limited Over Cup",2022,1305427,"Mardyke, Cork","Cork","North-West Warriors","Munster Reds","Munster Reds","field","AR McBrine","North-West Warriors",NA,"145"
"R Wilson",2023-05-18,"Munster Reds","Leinster Lightning",2,"9.0",0,42,5,4.66666666666667,28,"Cricket Ireland Inter-Provincial Limited Over Cup",2023,1375527,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","Munster Reds","Munster Reds","field","TE Kane","Munster Reds","5",NA
"SC Getkate",2017-06-04,"Leinster Lightning","Northern Knights",1,"9.5",0,44,5,4.47457627118644,30,"Cricket Ireland Inter-Provincial Limited Over Cup",2017,1089607,"Church of Ireland Young Men's Society Cricket Club Ground, Belfast","Belfast","Leinster Lightning","Northern Knights","Leinster Lightning","bat",NA,NA,NA,NA
"GH Dockrell",2022-07-04,"Northern Knights","Leinster Lightning",2,"6.5",0,49,5,7.17073170731707,22,"Cricket Ireland Inter-Provincial Limited Over Cup",2022,1305433,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","Northern Knights","Northern Knights","field","BJ McCarthy","Leinster Lightning",NA,"54"
"Simi Singh",2016-05-30,"North-West Warriors","Leinster Lightning",2,"6.3",1,16,4,2.46153846153846,26,"Cricket Ireland Inter-Provincial Limited Over Cup",2016,1002145,"New Strabane Park","Strabane","Leinster Lightning","North-West Warriors","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"141"
"GI Hume",2022-05-12,"Northern Knights","North-West Warriors",1,"10.0",1,18,4,1.8,45,"Cricket Ireland Inter-Provincial Limited Over Cup",2022,1305425,"Bready Cricket Club, Magheramason, Bready","Bready","Northern Knights","North-West Warriors","North-West Warriors","field","R Pretorius","Northern Knights",NA,"12"
"SC Getkate",2019-05-27,"North-West Warriors","Northern Knights",1,"7.0",0,28,4,4,23,"Cricket Ireland Inter-Provincial Limited Over Cup",2019,1178133,"Civil Service Cricket Club, Stormont, Belfast","Belfast","North-West Warriors","Northern Knights","North-West Warriors","bat",NA,"North-West Warriors",NA,"3"
"J Manley",2023-08-17,"Leinster Lightning","Munster Reds",1,"8.0",1,30,4,3.75,33,"Cricket Ireland Inter-Provincial Limited Over Cup",2023,1375533,"Mardyke, Cork","Cork","Leinster Lightning","Munster Reds","Munster Reds","field","TE Kane","Munster Reds","7",NA
"BJ McCarthy",2021-05-01,"North-West Warriors","Leinster Lightning",1,"9.5",2,32,4,3.25423728813559,42,"Cricket Ireland Inter-Provincial Limited Over Cup",2021,1259523,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Leinster Lightning","Leinster Lightning","field",NA,"Leinster Lightning","6",NA
"H Zimmerman",2023-05-15,"Munster Reds","North-West Warriors",1,"10.0",1,36,4,3.6,44,"Cricket Ireland Inter-Provincial Limited Over Cup",2023,1375525,"Mardyke, Cork","Cork","Munster Reds","North-West Warriors","North-West Warriors","field","SC Getkate","North-West Warriors","6",NA
"GH Dockrell",2017-07-02,"North-West Warriors","Leinster Lightning",2,"9.2",0,38,4,4.07142857142857,34,"Cricket Ireland Inter-Provincial Limited Over Cup",2017,1089608,"Bready Cricket Club, Magheramason, Bready","Bready","Leinster Lightning","North-West Warriors","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"27"
"Simi Singh",2023-08-14,"North-West Warriors","Leinster Lightning",2,"6.0",0,39,4,6.5,18,"Cricket Ireland Inter-Provincial Limited Over Cup",2023,1375531,"The Hills, Milverton","Milverton","Leinster Lightning","North-West Warriors","North-West Warriors","field","L Tucker","Leinster Lightning",NA,"244"
"GH Dockrell",2019-05-23,"North-West Warriors","Leinster Lightning",2,"8.0",0,41,4,5.125,30,"Cricket Ireland Inter-Provincial Limited Over Cup",2019,1178132,"Bready Cricket Club, Magheramason, Bready","Bready","Leinster Lightning","North-West Warriors","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"78"
"Simi Singh",2020-09-17,"Northern Knights","Leinster Lightning",2,"8.5",0,42,4,4.75471698113208,30,"Cricket Ireland Inter-Provincial Limited Over Cup",2020,1211206,"The Green, Comber","Comber","Leinster Lightning","Northern Knights","Northern Knights","field",NA,"Leinster Lightning",NA,"91"
"J Manley",2021-05-27,"Northern Knights","Munster Reds",1,"9.5",0,43,4,4.3728813559322,39,"Cricket Ireland Inter-Provincial Limited Over Cup",2021,1259532,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","Munster Reds","Munster Reds","field",NA,NA,NA,NA
