"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"BJ McCarthy","Leinster Lightning",2021,"Cricket Ireland Inter-Provincial Limited Over Cup",6,"48.2",6,214,17,12.5882352941176,4.42758620689655,17.0588235294118,196,1,1,"6/39"
"L McCarthy","Munster Reds",2023,"Cricket Ireland Inter-Provincial Limited Over Cup",6,"50.5",2,247,15,16.4666666666667,4.85901639344262,20.3333333333333,209,1,1,"5/16"
"TF van Woerkom","Northern Knights",2023,"Cricket Ireland Inter-Provincial Limited Over Cup",6,"55.0",2,298,15,19.8666666666667,5.41818181818182,22,179,1,0,"4/63"
"J Manley","Munster Reds",2021,"Cricket Ireland Inter-Provincial Limited Over Cup",6,"43.5",1,223,13,17.1538461538462,5.08745247148289,20.2307692307692,158,1,0,"4/43"
"M Frost","Munster Reds",2022,"Cricket Ireland Inter-Provincial Limited Over Cup",5,"41.0",2,189,12,15.75,4.60975609756098,20.5,141,0,1,"5/42"
"GH Dockrell","Leinster Lightning",2022,"Cricket Ireland Inter-Provincial Limited Over Cup",3,"26.5",2,133,11,12.0909090909091,4.95652173913043,14.6363636363636,101,0,2,"5/24"
"G Hoey","Leinster Lightning",2023,"Cricket Ireland Inter-Provincial Limited Over Cup",6,"34.4",1,178,11,16.1818181818182,5.13461538461539,18.9090909090909,109,0,1,"6/26"
"GH Dockrell","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Limited Over Cup",3,"23.4",1,93,10,9.3,3.92957746478873,14.2,92,1,0,"4/38"
"GI Hume","North-West Warriors",2022,"Cricket Ireland Inter-Provincial Limited Over Cup",4,"38.0",9,94,10,9.4,2.47368421052632,22.8,175,1,0,"4/18"
"GH Dockrell","Leinster Lightning",2018,"Cricket Ireland Inter-Provincial Limited Over Cup",4,"37.0",2,130,10,13,3.51351351351351,22.2,144,0,1,"5/21"
"Simi Singh","Leinster Lightning",2020,"Cricket Ireland Inter-Provincial Limited Over Cup",4,"33.5",1,137,10,13.7,4.04926108374384,20.3,125,1,0,"4/42"
"HT Tector","Northern Knights",2019,"Cricket Ireland Inter-Provincial Limited Over Cup",5,"33.1",1,172,10,17.2,5.18592964824121,19.9,121,0,1,"5/36"
"SC Getkate","Northern Knights",2019,"Cricket Ireland Inter-Provincial Limited Over Cup",6,"37.5",1,206,10,20.6,5.44493392070485,22.7,114,1,0,"4/28"
"J Manley","Munster Reds",2023,"Cricket Ireland Inter-Provincial Limited Over Cup",3,"25.0",6,99,9,11,3.96,16.6666666666667,111,1,0,"4/30"
"MR Adair","Northern Knights",2019,"Cricket Ireland Inter-Provincial Limited Over Cup",5,"41.3",3,198,9,22,4.7710843373494,27.6666666666667,155,0,0,"3/29"
"CA Young","North-West Warriors",2021,"Cricket Ireland Inter-Provincial Limited Over Cup",5,"46.5",6,228,9,25.3333333333333,4.86832740213523,31.2222222222222,172,1,0,"4/55"
