"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",24,781,518,150.772200772201,35.5,88,29,2,0,6,81
"A Cawley",5,28,35,80,14,2,0,3,0,0,19
"A Dennison",6,91,82,110.975609756098,18.2,8,3,1,0,0,35
"A McDaid",1,17,26,65.3846153846154,Inf,0,0,1,0,0,17
"A Rosslee",3,71,65,109.230769230769,23.6666666666667,5,1,0,0,0,45
"A Sheridan",1,17,13,130.769230769231,Inf,2,0,1,0,0,17
"A Sidhu",2,10,17,58.8235294117647,5,1,0,0,0,0,8
"AI Shields",2,29,15,193.333333333333,14.5,5,1,0,0,0,24
"AP Gillespie",10,180,157,114.649681528662,22.5,17,7,2,0,1,80
"AR Frost",9,210,151,139.072847682119,30,23,10,2,0,2,83
"AR McBrine",31,478,403,118.610421836228,20.7826086956522,33,21,8,0,1,52
"ARM Berry",1,24,35,68.5714285714286,24,2,0,0,0,0,24
"Arslan Anwar",1,2,4,50,2,0,0,0,0,0,2
"B Kruger",4,12,22,54.5454545454545,3,1,0,0,0,0,4
"B White",10,31,35,88.5714285714286,10.3333333333333,3,0,7,0,0,12
"BD McDonough",1,2,1,200,Inf,0,0,1,0,0,2
"BF Calitz",2,56,43,130.232558139535,56,6,2,1,0,1,54
"BJ McCarthy",12,115,88,130.681818181818,12.7777777777778,9,5,3,0,0,27
"C Campher",14,165,101,163.366336633663,13.75,16,8,2,0,0,29
"C Carmichael",9,200,145,137.931034482759,33.3333333333333,20,7,3,0,1,74
"C De Freitas",1,31,32,96.875,Inf,2,1,1,0,0,31
"C Dougherty",1,6,19,31.5789473684211,6,1,0,0,0,0,6
"C Egerton",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"C Fletcher",3,45,31,145.161290322581,15,5,2,0,0,0,28
"C Hassett",6,133,127,104.724409448819,22.1666666666667,17,0,0,0,0,49
"C Lewis",1,1,2,50,1,0,0,0,0,0,1
"C Melly",5,68,37,183.783783783784,22.6666666666667,8,3,2,0,0,37
"C Olphert",1,8,13,61.5384615384615,8,1,0,0,0,0,8
"C Robertson",3,10,15,66.6666666666667,10,0,0,2,0,0,5
"CA Young",14,61,73,83.5616438356164,6.1,6,0,4,0,0,17
"CJ van der Walt",1,18,18,100,18,0,1,0,0,0,18
"CJB McCullough",2,19,15,126.666666666667,19,0,2,1,0,0,14
"CMJ McLoughlin-Gavin",2,19,24,79.1666666666667,9.5,3,0,0,0,0,16
"D Barr",1,41,48,85.4166666666667,41,1,0,0,0,0,41
"D Carey",1,2,7,28.5714285714286,Inf,0,0,1,0,0,2
