"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Simi Singh",29,"94.3",0,645,41,15.7317073170732,6.82539682539683,13.8292682926829,233,2,0,"4/18"
"CA Young",26,"84.4",0,759,39,19.4615384615385,8.96456692913386,13.025641025641,221,1,2,"5/15"
"MR Adair",26,"92.1",0,671,36,18.6388888888889,7.28028933092224,15.3611111111111,237,2,0,"4/14"
"SC Getkate",24,"68.2",1,571,33,17.3030303030303,8.35609756097561,12.4242424242424,144,1,1,"5/8"
"AR McBrine",33,"101.0",0,721,32,22.53125,7.13861386138614,18.9375,237,0,0,"3/19"
"J Manley",22,"69.1",1,647,31,20.8709677419355,9.35421686746988,13.3870967741935,183,1,0,"4/23"
"B White",20,"59.4",0,425,30,14.1666666666667,7.12290502793296,11.9333333333333,150,0,1,"5/13"
"BJ McCarthy",19,"69.3",4,568,30,18.9333333333333,8.1726618705036,13.9,193,2,1,"5/3"
"GH Dockrell",29,"84.3",0,636,30,21.2,7.52662721893491,16.9,201,0,0,"3/13"
"F Hand",26,"78.4",0,721,28,25.75,9.16525423728813,16.8571428571429,181,0,0,"3/32"
"GI Hume",23,"81.0",1,607,27,22.4814814814815,7.49382716049383,18,222,0,0,"3/18"
"T Mayes",16,"55.1",0,437,26,16.8076923076923,7.9214501510574,12.7307692307692,135,2,0,"4/28"
"TE Kane",22,"53.5",0,417,25,16.68,7.74613003095975,12.92,133,0,1,"5/22"
"J Little",16,"55.2",0,348,22,15.8181818181818,6.28915662650602,15.0909090909091,167,0,0,"3/8"
"R Pretorius",22,"62.0",1,517,21,24.6190476190476,8.33870967741935,17.7142857142857,156,0,0,"3/14"
"G Kennedy",21,"57.0",1,456,20,22.8,8,17.1,131,0,0,"3/19"
"DC Delany",22,"71.3",1,634,20,31.7,8.86713286713287,21.45,183,0,0,"3/13"
"C Campher",14,"41.1",0,374,19,19.6842105263158,9.08502024291498,13,95,1,0,"4/15"
"G Hoey",16,"52.4",1,456,18,25.3333333333333,8.65822784810127,17.5555555555556,117,0,0,"3/17"
"GJ Delany",16,"42.0",3,271,16,16.9375,6.45238095238095,15.75,118,0,0,"3/8"
"MT Foster",12,"32.2",0,279,16,17.4375,8.62886597938144,12.125,90,1,0,"4/30"
"R MacBeth",22,"61.0",1,529,15,35.2666666666667,8.67213114754098,24.4,161,0,0,"2/18"
"EJ Richardson",10,"30.5",1,249,14,17.7857142857143,8.07567567567568,13.2142857142857,79,1,0,"4/25"
"PKD Chase",12,"38.3",1,249,14,17.7857142857143,6.46753246753247,16.5,115,1,0,"4/11"
