"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Balbirnie","A Cawley",3,3,0,0,0,0,6,100,Inf
"A Balbirnie","AR McBrine",27,25,1,13,4,0,6.48,108,27
"A Balbirnie","B White",30,16,0,5,3,1,11.25,187.5,Inf
"A Balbirnie","C Campher",22,12,2,5,1,2,11,183.333333333333,11
"A Balbirnie","C Lewis",11,5,0,0,2,0,13.2,220,Inf
"A Balbirnie","CA Young",60,39,2,20,6,4,9.23076923076923,153.846153846154,30
"A Balbirnie","D Scanlon",8,7,0,3,1,0,6.85714285714286,114.285714285714,Inf
"A Balbirnie","DC Delany",40,19,0,5,7,0,12.6315789473684,210.526315789474,Inf
"A Balbirnie","EJ Richardson",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Balbirnie","G Kennedy",10,10,1,5,0,1,6,100,10
"A Balbirnie","GE Kidd",23,10,0,1,1,2,13.8,230,Inf
"A Balbirnie","GI Hume",41,24,0,9,7,1,10.25,170.833333333333,Inf
"A Balbirnie","GJ McCarter",23,19,1,8,4,0,7.26315789473684,121.052631578947,23
"A Balbirnie","GR Adair",10,12,1,5,1,0,5,83.3333333333333,10
"A Balbirnie","HT Tector",6,6,0,1,0,0,6,100,Inf
"A Balbirnie","J Barnes",6,5,0,2,1,0,7.2,120,Inf
"A Balbirnie","J Cameron-Dow",14,5,0,2,2,1,16.8,280,Inf
"A Balbirnie","J Manley",18,16,2,9,3,0,6.75,112.5,9
"A Balbirnie","J Mulder",28,26,0,8,2,0,6.46153846153846,107.692307692308,Inf
"A Balbirnie","J Thompson",8,4,1,2,2,0,12,200,8
"A Balbirnie","JJ Garth",8,4,0,2,2,0,12,200,Inf
"A Balbirnie","JTA Benton",19,14,0,4,2,0,8.14285714285714,135.714285714286,Inf
"A Balbirnie","LI Georgeson",5,6,1,1,0,0,5,83.3333333333333,5
"A Balbirnie","M Frost",14,15,1,8,2,0,5.6,93.3333333333333,14
"A Balbirnie","MC Sorensen",19,9,1,4,3,1,12.6666666666667,211.111111111111,19
"A Balbirnie","MJ Humphreys",11,4,0,1,1,1,16.5,275,Inf
"A Balbirnie","MR Adair",54,29,0,7,5,3,11.1724137931034,186.206896551724,Inf
"A Balbirnie","MT Foster",30,12,1,4,4,2,15,250,30
"A Balbirnie","NG Jones",11,7,0,0,1,0,9.42857142857143,157.142857142857,Inf
"A Balbirnie","Nathan Smith",5,4,0,2,1,0,7.5,125,Inf
"A Balbirnie","PR Stirling",5,5,0,3,1,0,6,100,Inf
"A Balbirnie","R MacBeth",17,20,2,11,1,1,5.1,85,8.5
"A Balbirnie","R Pretorius",21,12,0,4,2,1,10.5,175,Inf
"A Balbirnie","SA Britton",18,15,0,9,2,1,7.2,120,Inf
"A Balbirnie","SC Getkate",59,30,1,6,6,3,11.8,196.666666666667,59
"A Balbirnie","SJ MacBeth",1,1,0,0,0,0,6,100,Inf
"A Balbirnie","SR Thompson",9,7,0,2,1,0,7.71428571428571,128.571428571429,Inf
"A Balbirnie","SV Lazars",1,1,0,0,0,0,6,100,Inf
"A Balbirnie","T Anders",13,3,0,0,2,0,26,433.333333333333,Inf
"A Balbirnie","T Koen",2,2,0,1,0,0,6,100,Inf
"A Balbirnie","T Mayes",26,19,2,8,1,2,8.21052631578947,136.842105263158,13
"A Balbirnie","T McKeegan",8,5,0,2,0,1,9.6,160,Inf
"A Balbirnie","TE Kane",22,15,1,7,3,1,8.8,146.666666666667,22
"A Balbirnie","V Chopra",2,2,0,0,0,0,6,100,Inf
"A Balbirnie","Yaqoob Ali",11,11,1,4,1,0,6,100,11
"A Cawley","B White",3,4,0,1,0,0,4.5,75,Inf
"A Cawley","BJ McCarthy",5,2,0,0,1,0,15,250,Inf
"A Cawley","C Campher",2,2,0,0,0,0,6,100,Inf
"A Cawley","C Robinson",7,8,0,2,0,0,5.25,87.5,Inf
"A Cawley","DC Delany",1,1,0,0,0,0,6,100,Inf
"A Cawley","GJ Delany",0,7,1,7,0,0,0,0,0
"A Cawley","GR Adair",1,2,0,1,0,0,3,50,Inf
"A Cawley","LI Georgeson",5,4,1,2,1,0,7.5,125,5
"A Cawley","MR Adair",2,2,0,0,0,0,6,100,Inf
"A Cawley","PKD Chase",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Dennison","AR McBrine",2,5,0,3,0,0,2.4,40,Inf
"A Dennison","CA Young",6,4,0,1,1,0,9,150,Inf
"A Dennison","DC Delany",2,5,0,2,0,0,2.4,40,Inf
"A Dennison","EJ Richardson",3,6,1,3,0,0,3,50,3
"A Dennison","GH Dockrell",3,3,0,1,0,0,6,100,Inf
"A Dennison","J Robinson",9,5,1,1,1,0,10.8,180,9
"A Dennison","J Thompson",6,9,0,6,1,0,4,66.6666666666667,Inf
"A Dennison","JTA Benton",17,7,1,1,2,1,14.5714285714286,242.857142857143,17
"A Dennison","MC Sorensen",11,6,0,3,1,1,11,183.333333333333,Inf
"A Dennison","PKD Chase",11,8,0,3,2,0,8.25,137.5,Inf
"A Dennison","SR Thompson",1,1,0,0,0,0,6,100,Inf
"A Dennison","SV Lazars",3,5,0,2,0,0,3.6,60,Inf
"A Dennison","Simi Singh",11,4,0,0,0,1,16.5,275,Inf
"A Dennison","T Stanton",1,3,1,2,0,0,2,33.3333333333333,1
"A Dennison","TE Kane",0,1,1,1,0,0,0,0,0
"A Dennison","Yaqoob Ali",5,10,0,5,0,0,3,50,Inf
"A McDaid","GJ McCarter",2,1,0,0,0,0,12,200,Inf
"A McDaid","HT Tector",3,8,0,5,0,0,2.25,37.5,Inf
"A McDaid","J Cameron-Dow",4,6,0,2,0,0,4,66.6666666666667,Inf
"A McDaid","J Mulder",2,4,0,2,0,0,3,50,Inf
"A McDaid","MR Adair",5,5,0,1,0,0,6,100,Inf
"A McDaid","SC Getkate",1,2,0,1,0,0,3,50,Inf
"A Rosslee","B Kruger",14,12,0,1,0,0,7,116.666666666667,Inf
"A Rosslee","C Robertson",1,2,0,1,0,0,3,50,Inf
"A Rosslee","J Manley",10,4,0,0,2,0,15,250,Inf
"A Rosslee","J Wilson",1,5,0,4,0,0,1.2,20,Inf
"A Rosslee","L McCarthy",5,5,1,3,1,0,6,100,5
"A Rosslee","ND Laegsgaard",7,8,0,1,0,0,5.25,87.5,Inf
"A Rosslee","R MacBeth",7,5,0,1,1,0,8.4,140,Inf
"A Rosslee","R Pretorius",14,6,0,2,1,1,14,233.333333333333,Inf
"A Rosslee","T Mayes",1,2,1,1,0,0,3,50,1
"A Rosslee","T McKeegan",2,3,1,1,0,0,4,66.6666666666667,2
"A Rosslee","TE Kane",9,13,0,5,0,0,4.15384615384615,69.2307692307692,Inf
"A Sheridan","GE Kidd",2,2,0,0,0,0,6,100,Inf
"A Sheridan","GJ McCarter",5,2,0,0,1,0,15,250,Inf
"A Sheridan","J Mulder",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Sheridan","LT Nelson",6,3,0,0,1,0,12,200,Inf
"A Sheridan","SC Getkate",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Sidhu","C Robertson",2,5,1,4,0,0,2.4,40,2
"A Sidhu","J Wilson",0,1,0,1,0,0,0,0,NA
"A Sidhu","MT Foster",3,5,0,3,0,0,3.6,60,Inf
"A Sidhu","T Mayes",1,1,0,0,0,0,6,100,Inf
"A Sidhu","TF van Woerkom",4,5,1,4,1,0,4.8,80,4
"AI Shields","CA Young",4,1,0,0,1,0,24,400,Inf
"AI Shields","DC Delany",0,1,1,1,0,0,0,0,0
"AI Shields","J Barnes",18,6,0,2,3,1,18,300,Inf
"AI Shields","JTA Benton",2,3,0,1,0,0,4,66.6666666666667,Inf
"AI Shields","MC Sorensen",4,1,0,0,1,0,24,400,Inf
"AI Shields","R Allen",1,3,1,2,0,0,2,33.3333333333333,1
"AP Gillespie","B White",1,2,1,1,0,0,3,50,1
"AP Gillespie","BJ McCarthy",0,2,0,2,0,0,0,0,NA
"AP Gillespie","DC Delany",13,11,0,5,2,0,7.09090909090909,118.181818181818,Inf
"AP Gillespie","EJ Richardson",3,5,1,2,0,0,3.6,60,3
"AP Gillespie","F Hand",17,13,1,6,1,1,7.84615384615385,130.769230769231,17
"AP Gillespie","G Hoey",1,2,0,1,0,0,3,50,Inf
"AP Gillespie","GE Kidd",13,8,2,5,0,2,9.75,162.5,6.5
"AP Gillespie","GH Dockrell",9,3,0,0,0,1,18,300,Inf
"AP Gillespie","GJ McCarter",1,7,0,6,0,0,0.857142857142857,14.2857142857143,Inf
"AP Gillespie","HT Tector",0,1,1,1,0,0,0,0,0
"AP Gillespie","J Barnes",15,9,0,3,3,0,10,166.666666666667,Inf
"AP Gillespie","J Cameron-Dow",4,2,0,1,1,0,12,200,Inf
"AP Gillespie","J Manley",1,2,0,1,0,0,3,50,Inf
