"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"GR Adair",2022-07-27,"Northern Knights","North-West Warriors",2,111,49,12,8,226.530612244898,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2022,1305447,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Northern Knights","North-West Warriors","bat","GR Adair","Northern Knights","4",NA
"M Commins",2022-07-27,"Munster Reds","Leinster Lightning",1,102,61,11,5,167.213114754098,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2022,1305446,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","Leinster Lightning","Leinster Lightning","field","GH Dockrell","Leinster Lightning","5",NA
"PJ Moor",2021-06-25,"Munster Reds","Leinster Lightning",2,95,58,10,4,163.793103448276,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2021,1259542,"Bready Cricket Club, Magheramason, Bready","Bready","Leinster Lightning","Munster Reds","Munster Reds","field","PJ Moor","Munster Reds","7",NA
"TH Tector",2023-08-03,"Leinster Lightning","Northern Knights",2,91,56,15,1,162.5,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2023,1375554,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","Leinster Lightning","Leinster Lightning","field","TH Tector","Leinster Lightning","5",NA
"J Matchett",2022-07-28,"Northern Knights","Munster Reds",1,83,46,7,7,180.434782608696,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2022,1305448,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","Munster Reds","Munster Reds","field","J Matchett","Northern Knights",NA,"99"
"AR Frost",2023-08-03,"Munster Reds","North-West Warriors",1,83,39,10,4,212.820512820513,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2023,1375553,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","North-West Warriors","North-West Warriors","field","AR Frost","Munster Reds",NA,"38"
"KJ O'Brien",2020-08-27,"Leinster Lightning","North-West Warriors",1,82,37,3,8,221.621621621622,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2020,1227505,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","North-West Warriors","North-West Warriors","field",NA,"Leinster Lightning",NA,"24"
"A Balbirnie",2024-05-02,"Leinster Lightning","North-West Warriors",2,81,44,7,6,184.090909090909,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2024,1430831,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Leinster Lightning","North-West Warriors","bat","A Balbirnie","Leinster Lightning","8",NA
"JL Lawlor",2021-06-27,"Northern Knights","Munster Reds",1,81,42,11,4,192.857142857143,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2021,1259546,"Bready Cricket Club, Magheramason, Bready","Bready","Northern Knights","Munster Reds","Munster Reds","field","JL Lawlor","Northern Knights",NA,"23"
"AP Gillespie",2018-07-06,"North-West Warriors","Munster Reds",1,80,55,9,2,145.454545454545,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2018,1136913,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Munster Reds","Munster Reds","field",NA,"Munster Reds","6",NA
"GJ Thompson",2018-07-08,"Northern Knights","North-West Warriors",1,80,44,7,5,181.818181818182,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2018,1136917,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","North-West Warriors","Northern Knights","bat",NA,"Northern Knights",NA,"49"
"JA McCollum",2020-09-01,"Northern Knights","North-West Warriors",2,79,53,9,2,149.056603773585,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2020,1227507,"The Green, Comber","Comber","North-West Warriors","Northern Knights","North-West Warriors","bat",NA,"Northern Knights","8",NA
"NA Rock",2023-06-06,"Northern Knights","Leinster Lightning",1,79,26,8,6,303.846153846154,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2023,1375538,"Mardyke, Cork","Cork","Northern Knights","Leinster Lightning","Leinster Lightning","field","NA Rock","Northern Knights",NA,"73"
"L Tucker",2022-07-28,"Leinster Lightning","North-West Warriors",1,77,33,7,5,233.333333333333,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2022,1305449,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","North-West Warriors","North-West Warriors","field","L Tucker","Leinster Lightning",NA,"128"
"PR Stirling",2024-05-02,"Northern Knights","Munster Reds",1,76,49,8,4,155.102040816327,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2024,1430830,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","Munster Reds","Munster Reds","field","MR Adair","Northern Knights",NA,"99"
"J Anderson",2018-07-07,"Leinster Lightning","North-West Warriors",1,76,41,4,5,185.365853658537,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2018,1136916,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","North-West Warriors","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"41"
"ST Doheny",2022-05-27,"North-West Warriors","Northern Knights",2,74,49,5,5,151.020408163265,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2022,1305434,"The Green, Comber","Comber","Northern Knights","North-West Warriors","North-West Warriors","field","ST Doheny","North-West Warriors","7",NA
"Jake Egan",2024-05-28,"Northern Knights","Munster Reds",1,74,48,5,5,154.166666666667,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2024,1430837,"Civil Service Cricket Club, Stormont, Belfast","Belfast","Northern Knights","Munster Reds","Munster Reds","field",NA,NA,NA,NA
"C Carmichael",2024-05-03,"Northern Knights","Leinster Lightning",1,74,44,7,3,168.181818181818,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2024,1430833,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","Leinster Lightning","Leinster Lightning","field","TH Tector","Leinster Lightning","5",NA
"PJ Moor",2022-07-29,"Munster Reds","North-West Warriors",2,74,30,3,8,246.666666666667,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2022,1305450,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Munster Reds","North-West Warriors","bat","DC Delany","Munster Reds","6",NA
"A Balbirnie",2018-07-06,"Leinster Lightning","Northern Knights",1,72,48,8,2,150,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2018,1136914,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","Northern Knights","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"27"
"J Wilson",2022-05-29,"North-West Warriors","Munster Reds",2,72,46,6,4,156.521739130435,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2022,1305438,"The Green, Comber","Comber","Munster Reds","North-West Warriors","North-West Warriors","field","GJ Delany","Munster Reds",NA,"100"
"A Balbirnie",2017-06-09,"Leinster Lightning","Northern Knights",2,71,44,5,3,161.363636363636,TRUE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2017,1089613,"Merrion Cricket Club Ground, Dublin","Dublin","Northern Knights","Leinster Lightning","Northern Knights","bat",NA,"Leinster Lightning","7",NA
"NJ McGuire",2022-07-27,"North-West Warriors","Northern Knights",1,71,35,7,5,202.857142857143,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2022,1305447,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Northern Knights","North-West Warriors","bat","GR Adair","Northern Knights","4",NA
"Simi Singh",2018-07-06,"Leinster Lightning","Northern Knights",1,69,36,5,4,191.666666666667,FALSE,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2018,1136914,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","Northern Knights","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"27"
