"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"BJ McCarthy",2024-05-01,"Munster Reds","Leinster Lightning",1,"4.0",2,3,5,0.75,21,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2024,1430828,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","Leinster Lightning","Leinster Lightning","field","BJ McCarthy","Leinster Lightning","6",NA
"SC Getkate",2019-06-22,"North-West Warriors","Northern Knights",1,"3.2",0,8,5,2.4,14,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2019,1178138,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Northern Knights","North-West Warriors","bat",NA,"Northern Knights","7",NA
"B White",2021-06-20,"Munster Reds","Northern Knights",1,"4.0",0,13,5,3.25,14,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2021,1259540,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","Northern Knights","Munster Reds","bat","B White","Northern Knights","5",NA
"MJ Humphreys",2023-08-01,"North-West Warriors","Northern Knights",1,"4.0",0,13,5,3.25,12,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2023,1375550,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","Northern Knights","Northern Knights","field","MJ Humphreys","Northern Knights","5",NA
"CA Young",2017-06-16,"Northern Knights","North-West Warriors",1,"3.2",0,15,5,4.5,11,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2017,1089616,"New Strabane Park","Strabane","Northern Knights","North-West Warriors","Northern Knights","bat",NA,"North-West Warriors","3",NA
"CA Young",2017-07-21,"Leinster Lightning","North-West Warriors",1,"3.3",0,22,5,6.28571428571429,12,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2017,1089619,"Merrion Cricket Club Ground, Dublin","Dublin","Leinster Lightning","North-West Warriors","Leinster Lightning","bat",NA,"North-West Warriors","7",NA
"TE Kane",2018-07-06,"Northern Knights","Leinster Lightning",2,"3.0",0,22,5,7.33333333333333,9,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2018,1136914,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","Northern Knights","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"27"
"PKD Chase",2017-06-23,"Northern Knights","Leinster Lightning",2,"4.0",0,11,4,2.75,15,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2017,1089617,"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast","Belfast","Leinster Lightning","Northern Knights","Leinster Lightning","bat",NA,"Leinster Lightning",NA,"8"
"BJ McCarthy",2023-06-07,"North-West Warriors","Leinster Lightning",1,"4.0",1,12,4,3,18,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2023,1375539,"Mardyke, Cork","Cork","North-West Warriors","Leinster Lightning","Leinster Lightning","field","SC Getkate","North-West Warriors",NA,"81"
"MR Adair",2020-09-01,"North-West Warriors","Northern Knights",1,"4.0",0,14,4,3.5,15,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2020,1227507,"The Green, Comber","Comber","North-West Warriors","Northern Knights","North-West Warriors","bat",NA,"Northern Knights","8",NA
