"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","winner","winner_wickets","winner_runs","reserve_umpire","method","outcome"
1002157,6,"North-West Warriors","Northern Knights","male","2016",2016-05-27,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"The Green, Comber","Comber","North-West Warriors","bat",NA,"RRG Blair","MT Ross",NA,"North-West Warriors",NA,12,"Jonathan Kennedy",NA,NA
1089611,6,"Leinster Lightning","North-West Warriors","male","2017",2017-05-26,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"Bready Cricket Club, Magheramason, Bready","Bready","Leinster Lightning","bat",NA,"G McCrea","R Black",NA,"Leinster Lightning",NA,56,"H Bingham",NA,NA
1089613,6,"Northern Knights","Leinster Lightning","male","2017",2017-06-09,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"Merrion Cricket Club Ground, Dublin","Dublin","Northern Knights","bat",NA,"AA Baig","PA Reynolds",NA,"Leinster Lightning",7,NA,"AJ Neill",NA,NA
1089616,6,"Northern Knights","North-West Warriors","male","2017",2017-06-16,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"New Strabane Park","Strabane","Northern Knights","bat",NA,"N Dunn","R Black",NA,"North-West Warriors",3,NA,"G McCrea",NA,NA
1089617,6,"Leinster Lightning","Northern Knights","male","2017",2017-06-23,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast","Belfast","Leinster Lightning","bat",NA,"RRG Blair","MT Ross",NA,"Leinster Lightning",NA,8,"H Bingham",NA,NA
1089618,6,"North-West Warriors","Munster Reds","male","2017",2017-06-23,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"Woodvale Road, Eglinton","Eglinton","Munster Reds","field",NA,"N Dunn","R Black",NA,"North-West Warriors",NA,25,"Jareth McCready",NA,NA
1089619,6,"Leinster Lightning","North-West Warriors","male","2017",2017-07-21,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"Merrion Cricket Club Ground, Dublin","Dublin","Leinster Lightning","bat",NA,"AA Baig","GH Black",NA,"North-West Warriors",7,NA,"S Wood",NA,NA
1089621,6,"North-West Warriors","Northern Knights","male","2017",2017-08-11,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"Church of Ireland Young Men's Society Cricket Club Ground, Belfast","Belfast","North-West Warriors","bat",NA,"H Bingham","M Hawthorne",NA,"Northern Knights",6,NA,"Jonathan Kennedy",NA,NA
1089622,6,"Munster Reds","Leinster Lightning","male","2017",2017-08-11,"Cricket Ireland Inter-Provincial Twenty20 Trophy",NA,"Mardyke, Cork","Cork","Munster Reds","bat",NA,"PA Reynolds","S Wood",NA,"Leinster Lightning",5,NA,"G O'Sullivan",NA,NA
1136913,6,"North-West Warriors","Munster Reds","male","2018",2018-07-06,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","field",NA,"PA Reynolds","S Wood",NA,"Munster Reds",6,NA,"SA Richardson",NA,NA
1136914,6,"Leinster Lightning","Northern Knights","male","2018",2018-07-06,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","bat",NA,"PA Reynolds","SA Richardson",NA,"Leinster Lightning",NA,27,"S Wood",NA,NA
