"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",3,117,80,146.25,58.5,12,4,1,0,1,71
"A Balbirnie",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",3,154,108,142.592592592593,51.3333333333333,18,3,0,0,2,72
"A Balbirnie",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",2,61,35,174.285714285714,30.5,6,3,0,0,0,44
"A Balbirnie",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",6,116,91,127.472527472527,19.3333333333333,18,0,0,0,0,42
"A Balbirnie",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",7,212,135,157.037037037037,30.2857142857143,25,10,0,0,2,58
"A Balbirnie",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",3,121,69,175.36231884058,60.5,9,9,1,0,1,81
"A Cawley",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",2,4,12,33.3333333333333,4,0,0,1,0,0,3
"A Cawley",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",3,24,23,104.347826086957,24,2,0,2,0,0,19
"A Dennison",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Northern Knights",3,27,34,79.4117647058823,9,3,0,0,0,0,25
"A Dennison",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Northern Knights",3,64,48,133.333333333333,32,5,3,1,0,0,35
"A McDaid",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",1,17,26,65.3846153846154,Inf,0,0,1,0,0,17
"A Rosslee",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",3,71,65,109.230769230769,23.6666666666667,5,1,0,0,0,45
"A Sheridan",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",1,17,13,130.769230769231,Inf,2,0,1,0,0,17
"A Sidhu",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",2,10,17,58.8235294117647,5,1,0,0,0,0,8
"AI Shields",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Northern Knights",2,29,15,193.333333333333,14.5,5,1,0,0,0,24
"AP Gillespie",2016,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",1,1,3,33.3333333333333,Inf,0,0,1,0,0,1
"AP Gillespie",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",2,18,19,94.7368421052632,9,0,2,0,0,0,14
"AP Gillespie",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",3,118,85,138.823529411765,59,12,4,1,0,1,80
"AP Gillespie",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",1,9,8,112.5,9,2,0,0,0,0,9
"AP Gillespie",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",3,34,42,80.9523809523809,11.3333333333333,3,1,0,0,0,15
"AR Frost",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",2,18,20,90,18,0,1,1,0,0,9
"AR Frost",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",4,163,92,177.173913043478,54.3333333333333,19,8,1,0,2,83
"AR Frost",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",3,29,39,74.3589743589744,9.66666666666667,4,1,0,0,0,12
"AR McBrine",2016,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",1,11,10,110,11,0,1,0,0,0,11
"AR McBrine",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",5,96,69,139.130434782609,48,11,4,3,0,1,52
"AR McBrine",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",3,69,55,125.454545454545,34.5,5,3,1,0,0,37
"AR McBrine",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",1,8,11,72.7272727272727,8,0,0,0,0,0,8
"AR McBrine",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",3,25,33,75.7575757575758,8.33333333333333,3,0,0,0,0,22
"AR McBrine",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",6,109,96,113.541666666667,21.8,4,7,1,0,0,41
"AR McBrine",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",7,122,77,158.441558441558,30.5,10,6,3,0,0,39
"AR McBrine",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",2,7,10,70,3.5,0,0,0,0,0,6
"AR McBrine",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy","North-West Warriors",3,31,42,73.8095238095238,10.3333333333333,0,0,0,0,0,17
"ARM Berry",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Northern Knights",1,24,35,68.5714285714286,24,2,0,0,0,0,24
"Arslan Anwar",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",1,2,4,50,2,0,0,0,0,0,2
"B Kruger",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",1,3,5,60,3,0,0,0,0,0,3
"B Kruger",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",3,9,17,52.9411764705882,3,1,0,0,0,0,4
"B White",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Northern Knights",2,13,9,144.444444444444,Inf,2,0,2,0,0,12
"B White",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Northern Knights",4,4,7,57.1428571428571,2,0,0,2,0,0,2
"B White",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",2,8,12,66.6666666666667,8,1,0,1,0,0,4
"B White",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",2,6,7,85.7142857142857,Inf,0,0,2,0,0,5
"BD McDonough",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",1,2,1,200,Inf,0,0,1,0,0,2
"BF Calitz",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Munster Reds",1,54,41,131.707317073171,Inf,6,2,1,0,1,54
"BF Calitz",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Northern Knights",1,2,2,100,2,0,0,0,0,0,2
"BJ McCarthy",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",5,49,42,116.666666666667,12.25,3,2,1,0,0,24
"BJ McCarthy",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy","Leinster Lightning",4,29,24,120.833333333333,9.66666666666667,4,0,1,0,0,12
