"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"B White","Northern Knights",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"24.0",0,170,17,10,7.08333333333333,8.47058823529412,64,0,1,"5/13"
"CA Young","North-West Warriors",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"24.0",0,174,12,14.5,7.25,12,70,0,0,"3/22"
"C Campher","Munster Reds",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"23.1",0,223,12,18.5833333333333,9.62589928057554,11.5833333333333,56,0,0,"3/33"
"CA Young","North-West Warriors",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"10.5",0,74,11,6.72727272727273,6.83076923076923,5.90909090909091,31,0,2,"5/15"
"SC Getkate","Northern Knights",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"10.2",0,78,11,7.09090909090909,7.54838709677419,5.63636363636364,27,1,1,"5/8"
"J Little","Leinster Lightning",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"26.0",0,143,11,13,5.5,14.1818181818182,78,0,0,"3/8"
"G Hoey","Leinster Lightning",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"18.5",0,171,11,15.5454545454545,9.07964601769912,10.2727272727273,43,0,0,"3/17"
"MR Adair","Northern Knights",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"23.2",0,183,11,16.6363636363636,7.84285714285714,12.7272727272727,68,0,0,"3/15"
"Simi Singh","Leinster Lightning",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"25.3",0,205,11,18.6363636363636,8.03921568627451,13.9090909090909,57,1,0,"4/21"
"T McKeegan","North-West Warriors",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"12.5",0,91,10,9.1,7.09090909090909,7.7,38,1,0,"4/24"
"C Robertson","North-West Warriors",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"21.4",0,116,10,11.6,5.35384615384615,13,66,1,0,"4/20"
"T Mayes","Northern Knights",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"15.1",0,126,10,12.6,8.30769230769231,9.1,34,1,0,"4/28"
"GJ Delany","Munster Reds",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"23.0",1,140,10,14,6.08695652173913,13.8,60,0,0,"3/10"
"J Manley","Munster Reds",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"27.1",1,252,10,25.2,9.2760736196319,16.3,71,0,0,"3/34"
"BJ McCarthy","Leinster Lightning",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"12.0",2,79,9,8.77777777777778,6.58333333333333,8,42,0,1,"5/3"
"G Kennedy","North-West Warriors",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"19.0",0,136,9,15.1111111111111,7.15789473684211,12.6666666666667,48,0,0,"3/19"
"J Manley","Munster Reds",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"12.3",0,136,9,15.1111111111111,10.88,8.33333333333333,31,0,0,"3/12"
"Simi Singh","Leinster Lightning",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"23.0",0,159,9,17.6666666666667,6.91304347826087,15.3333333333333,48,0,0,"3/31"
"BJ McCarthy","Leinster Lightning",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"21.5",1,179,9,19.8888888888889,8.19847328244275,14.5555555555556,58,0,0,"3/20"
"DC Delany","Munster Reds",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"22.3",1,184,9,20.4444444444444,8.17777777777778,15,61,0,0,"3/13"
"Simi Singh","Leinster Lightning",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"13.0",0,53,8,6.625,4.07692307692308,9.75,44,0,0,"3/11"
"AR McBrine","North-West Warriors",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"14.0",0,80,8,10,5.71428571428571,10.5,41,0,0,"3/19"
"B White","Munster Reds",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"13.0",0,87,8,10.875,6.69230769230769,9.75,31,0,0,"3/27"
"MJ Humphreys","Northern Knights",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"13.0",0,96,8,12,7.38461538461539,9.75,26,0,1,"5/13"
"T Mayes","Northern Knights",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"17.0",0,135,8,16.875,7.94117647058824,12.75,45,1,0,"4/28"
"AR McBrine","North-West Warriors",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"28.0",0,177,8,22.125,6.32142857142857,21,67,0,0,"3/19"
"F Hand","Munster Reds",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"21.4",0,191,8,23.875,8.81538461538461,16.25,55,0,0,"2/26"
"AR McBrine","North-West Warriors",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"24.4",0,193,8,24.125,7.82432432432432,18.5,50,0,0,"2/22"
"GI Hume","North-West Warriors",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"30.1",0,220,8,27.5,7.29281767955801,22.625,78,0,0,"2/30"
"BJ McCarthy","Leinster Lightning",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"23.4",0,234,8,29.25,9.88732394366197,17.75,52,1,0,"4/18"
"GI Hume","North-West Warriors",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"26.0",0,242,8,30.25,9.30769230769231,19.5,67,0,0,"3/29"
"CA Young","North-West Warriors",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"10.0",0,66,7,9.42857142857143,6.6,8.57142857142857,35,1,0,"4/26"
"J Manley","Northern Knights",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"12.3",0,105,7,15,8.4,10.7142857142857,41,1,0,"4/23"
"J Little","Leinster Lightning",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"17.0",0,108,7,15.4285714285714,6.35294117647059,14.5714285714286,53,0,0,"3/12"
"EJ Richardson","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"16.1",1,111,7,15.8571428571429,6.8659793814433,13.8571428571429,52,0,0,"3/11"
"MT Foster","Northern Knights",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"13.3",0,114,7,16.2857142857143,8.44444444444444,11.5714285714286,42,1,0,"4/30"
"R Pretorius","Northern Knights",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"13.0",0,139,7,19.8571428571429,10.6923076923077,11.1428571428571,34,0,0,"3/31"
"T Mayes","Northern Knights",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"21.0",0,159,7,22.7142857142857,7.57142857142857,18,50,0,0,"3/29"
"MR Adair","Northern Knights",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"22.0",0,161,7,23,7.31818181818182,18.8571428571429,46,0,0,"2/34"
"DJ O'Halloran","Leinster Lightning",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"19.0",0,165,7,23.5714285714286,8.68421052631579,16.2857142857143,39,0,0,"2/20"
"M Frost","Munster Reds",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"26.0",0,188,7,26.8571428571429,7.23076923076923,22.2857142857143,63,0,0,"2/14"
"Simi Singh","Leinster Lightning",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"8.0",0,43,6,7.16666666666667,5.375,8,22,1,0,"4/18"
"TE Kane","Leinster Lightning",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"10.0",0,61,6,10.1666666666667,6.1,10,26,0,0,"2/20"
"TE Kane","Leinster Lightning",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"7.0",0,66,6,11,9.42857142857143,7,18,0,1,"5/22"
"Yaqoob Ali","Munster Reds",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"12.0",0,70,6,11.6666666666667,5.83333333333333,12,28,0,0,"2/12"
"MR Adair","Northern Knights",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"11.0",0,72,6,12,6.54545454545455,11,33,1,0,"4/22"
"MT Foster","Northern Knights",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"10.5",0,76,6,12.6666666666667,7.01538461538462,10.8333333333333,31,0,0,"3/21"
"SC Getkate","Northern Knights",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"11.0",0,85,6,14.1666666666667,7.72727272727273,11,25,0,0,"3/28"
"Simi Singh","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"14.0",0,88,6,14.6666666666667,6.28571428571429,14,39,0,0,"3/19"
"TF van Woerkom","Northern Knights",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"12.2",0,94,6,15.6666666666667,7.62162162162162,12.3333333333333,34,0,0,"3/27"
"SC Getkate","Northern Knights",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"15.0",1,113,6,18.8333333333333,7.53333333333333,15,32,0,0,"2/21"
"C Olphert","North-West Warriors",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"15.0",1,115,6,19.1666666666667,7.66666666666667,15,41,0,0,"2/23"
"TE Kane","Munster Reds",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"15.0",0,137,6,22.8333333333333,9.13333333333333,15,32,0,0,"2/6"
"GH Dockrell","Leinster Lightning",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"18.3",0,142,6,23.6666666666667,7.67567567567568,18.5,47,0,0,"2/7"
"F Hand","Leinster Lightning",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"15.0",0,143,6,23.8333333333333,9.53333333333333,15,35,0,0,"3/32"
"L McCarthy","Munster Reds",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"18.0",1,164,6,27.3333333333333,9.11111111111111,18,58,0,0,"2/23"
"GH Dockrell","Leinster Lightning",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"18.0",0,174,6,29,9.66666666666667,18,33,0,0,"3/13"
"F Hand","Munster Reds",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"18.0",0,180,6,30,10,18,39,0,0,"2/12"
"G Kennedy","North-West Warriors",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"18.0",0,188,6,31.3333333333333,10.4444444444444,18,26,0,0,"3/30"
"GH Dockrell","Leinster Lightning",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"6.0",0,29,5,5.8,4.83333333333333,7.2,19,0,0,"3/21"
"C Campher","Munster Reds",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"8.0",0,52,5,10.4,6.5,9.6,19,1,0,"4/15"
"C Olphert","North-West Warriors",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"8.0",0,53,5,10.6,6.625,9.6,24,0,0,"3/27"
"GI Hume","North-West Warriors",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"9.0",0,56,5,11.2,6.22222222222222,10.8,24,0,0,"3/18"
"PKD Chase","Leinster Lightning",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"12.3",0,57,5,11.4,4.56,15,41,0,0,"2/19"
"LI Georgeson","Northern Knights",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"8.0",0,62,5,12.4,7.75,9.6,16,0,0,"2/8"
"KJ O'Brien","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"10.0",0,72,5,14.4,7.2,12,25,0,0,"2/14"
"GH Dockrell","Leinster Lightning",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"11.0",0,78,5,15.6,7.09090909090909,13.2,20,0,0,"2/22"
"GE Kidd","Northern Knights",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"14.0",0,104,5,20.8,7.42857142857143,16.8,30,0,0,"2/19"
"M Ford","Munster Reds",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"17.0",0,105,5,21,6.17647058823529,20.4,45,0,0,"2/25"
"R Pretorius","Northern Knights",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"17.0",0,137,5,27.4,8.05882352941176,20.4,40,0,0,"3/14"
"A Cawley","Munster Reds",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"23.0",0,178,5,35.6,7.73913043478261,27.6,66,0,0,"2/15"
"GI Hume","North-West Warriors",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"8.0",1,25,4,6.25,3.125,12,32,0,0,"2/9"
"GJ McCarter","Northern Knights",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"8.0",0,30,4,7.5,3.75,12,24,0,0,"2/13"
"D Scanlon","North-West Warriors",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"4.5",0,39,4,9.75,8.06896551724138,7.25,12,0,0,"3/19"
"HT Tector","Munster Reds",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"6.0",0,39,4,9.75,6.5,9,16,1,0,"4/21"
"GH Dockrell","Leinster Lightning",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"7.0",0,42,4,10.5,6,10.5,23,0,0,"2/12"
"J Cameron-Dow","Northern Knights",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"8.0",0,50,4,12.5,6.25,12,19,0,0,"3/12"
"MC Sorensen","Munster Reds",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"8.0",0,60,4,15,7.5,12,19,0,0,"2/28"
"EJ Richardson","Leinster Lightning",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"7.4",0,62,4,15.5,8.08695652173913,11.5,14,1,0,"4/25"
"SV Lazars","North-West Warriors",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"11.0",0,62,4,15.5,5.63636363636364,16.5,29,0,0,"2/27"
"DC Delany","Munster Reds",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"8.0",0,63,4,15.75,7.875,12,23,0,0,"2/30"
"MR Adair","Northern Knights",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"10.0",0,64,4,16,6.4,15,29,0,0,"2/13"
"G Kennedy","North-West Warriors",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"12.0",0,68,4,17,5.66666666666667,18,36,0,0,"2/20"
"PKD Chase","Leinster Lightning",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"7.0",0,68,4,17,9.71428571428571,10.5,18,0,0,"3/36"
"R Allen","North-West Warriors",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"10.1",0,71,4,17.75,6.98360655737705,15.25,28,0,0,"3/19"
"BJ McCarthy","Leinster Lightning",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"12.0",1,76,4,19,6.33333333333333,18,41,1,0,"4/12"
"GH Dockrell","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"14.0",0,76,4,19,5.42857142857143,21,44,0,0,"3/20"
"J Thompson","North-West Warriors",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"10.0",0,76,4,19,7.6,15,27,0,0,"2/19"
"MR Adair","Northern Knights",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"11.5",0,83,4,20.75,7.01408450704225,17.75,32,1,0,"4/14"
"PKD Chase","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"13.0",1,86,4,21.5,6.61538461538461,19.5,40,1,0,"4/11"
"SR Thompson","North-West Warriors",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"13.0",0,92,4,23,7.07692307692308,19.5,38,0,0,"2/26"
"R MacBeth","North-West Warriors",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"15.0",0,99,4,24.75,6.6,22.5,38,0,0,"2/24"
"F Hand","Leinster Lightning",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"12.0",0,100,4,25,8.33333333333333,18,32,0,0,"2/48"
"R Pretorius","Northern Knights",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"13.0",0,113,4,28.25,8.69230769230769,19.5,24,0,0,"2/29"
"SR Thompson","North-West Warriors",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"11.0",0,114,4,28.5,10.3636363636364,16.5,16,0,0,"2/41"
"B White","Northern Knights",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"13.4",0,115,4,28.75,8.41463414634146,20.5,33,0,0,"2/25"
"MJ Humphreys","Northern Knights",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"16.0",1,139,4,34.75,8.6875,24,42,0,0,"2/26"
"J Manley","Munster Reds",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"16.0",0,143,4,35.75,8.9375,24,36,0,0,"2/17"
"SJ Harbinson","Leinster Lightning",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"14.1",0,150,4,37.5,10.5882352941176,21.25,33,0,0,"2/21"
"CA Young","North-West Warriors",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"13.0",0,154,4,38.5,11.8461538461538,19.5,22,0,0,"2/39"
"R MacBeth","North-West Warriors",2023,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"18.0",0,160,4,40,8.88888888888889,27,49,0,0,"2/18"
"R MacBeth","North-West Warriors",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"17.0",1,172,4,43,10.1176470588235,25.5,45,0,0,"2/18"
"M Frost","Munster Reds",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"22.0",0,177,4,44.25,8.04545454545454,33,41,0,0,"2/38"
"GJ Delany","Leinster Lightning",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"4.0",1,8,3,2.66666666666667,2,8,19,0,0,"3/8"
"J Little","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"3.2",0,17,3,5.66666666666667,5.1,6.66666666666667,12,0,0,"3/17"
"SC Getkate","Northern Knights",2016,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"4.0",0,22,3,7.33333333333333,5.5,8,10,0,0,"3/22"
"D Lues","Leinster Lightning",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"3.0",0,24,3,8,8,6,9,0,0,"3/24"
"SJ MacBeth","North-West Warriors",2022,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"2.5",0,32,3,10.6666666666667,11.2941176470588,5.66666666666667,4,0,0,"3/24"
"TE Kane","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"8.0",0,37,3,12.3333333333333,4.625,16,26,0,0,"2/16"
"AR Frost","Munster Reds",2021,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"5.0",0,44,3,14.6666666666667,8.8,10,10,0,0,"2/15"
"JTA Benton","Munster Reds",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"8.0",0,45,3,15,5.625,16,21,0,0,"3/23"
"Yaqoob Ali","Munster Reds",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"8.0",0,49,3,16.3333333333333,6.125,16,27,0,0,"3/25"
"RN Gamble","Leinster Lightning",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"7.0",0,53,3,17.6666666666667,7.57142857142857,14,20,0,0,"2/20"
"J Mulder","Northern Knights",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"7.4",0,56,3,18.6666666666667,7.30434782608696,15.3333333333333,19,0,0,"2/25"
"TE Kane","Leinster Lightning",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"6.0",0,56,3,18.6666666666667,9.33333333333333,12,15,0,0,"2/21"
"J Mulder","Northern Knights",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"10.0",0,61,3,20.3333333333333,6.1,20,23,0,0,"3/18"
"GJ McCarter","Northern Knights",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"11.0",1,69,3,23,6.27272727272727,22,35,0,0,"2/35"
"R Pretorius","Northern Knights",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"12.0",1,75,3,25,6.25,24,37,0,0,"1/9"
"EJ Richardson","Munster Reds",2019,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"7.0",0,76,3,25.3333333333333,10.8571428571429,14,13,0,0,"3/38"
"J Mulder","Northern Knights",2020,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"12.0",0,78,3,26,6.5,24,24,0,0,"1/24"
"G Hoey","Leinster Lightning",2024,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"12.0",0,82,3,27.3333333333333,6.83333333333333,24,24,0,0,"1/24"
"SA Britton","North-West Warriors",2017,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"13.0",0,82,3,27.3333333333333,6.30769230769231,26,41,0,0,"2/24"
"JTA Benton","Munster Reds",2018,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"12.0",0,86,3,28.6666666666667,7.16666666666667,24,23,0,0,"2/34"
