"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Dowse",1,2,4,50,2,0,0,0,0,0,2
"A Gurung",2,1,2,50,1,0,0,1,0,0,1
"A Khaka",5,12,22,54.5454545454545,6,1,0,3,0,0,6
"A Wellington",3,14,12,116.666666666667,7,1,1,1,0,0,9
"AC Jayangani",14,594,429,138.461538461538,49.5,67,32,2,1,3,107
"AI Chudasama",2,22,31,70.9677419354839,11,2,0,0,0,0,20
"AM Zepeda",1,6,13,46.1538461538462,6,0,0,0,0,0,6
"Aliya Riaz",7,80,88,90.9090909090909,20,6,1,3,0,0,20
"B Cooper",1,32,23,139.130434782609,Inf,2,1,1,0,0,32
"B de Leede",9,135,149,90.6040268456376,15,19,0,0,0,0,45
"Bismah Maroof",13,189,225,84,21,15,1,4,0,1,66
"C Raack",2,32,31,103.225806451613,16,4,0,0,0,0,18
"C Sutthiruang",5,22,31,70.9677419354839,7.33333333333333,1,0,2,0,0,12
"CJM Lovino",1,1,5,20,1,0,0,0,0,0,1
"CM Gough",5,38,50,76,9.5,2,2,1,0,0,21
"Chan Ka Man",1,0,0,NA,NA,0,0,1,0,0,0
"Chaya Mughal",1,8,10,80,Inf,0,0,1,0,0,8
"D Saxena",1,3,7,42.8571428571429,3,0,0,0,0,0,3
"D van Niekerk",4,52,36,144.444444444444,13,5,3,0,0,0,28
"DJS Dottin",11,490,320,153.125,54.4444444444444,46,32,2,1,4,111
"DN Wyatt",13,358,235,152.340425531915,32.5454545454545,36,19,2,0,3,83
"Diana Baig",5,9,14,64.2857142857143,4.5,0,0,3,0,0,4
"E Johnston",6,101,75,134.666666666667,16.8333333333333,11,4,0,0,0,40
"EA Burns",6,54,57,94.7368421052632,9,8,0,0,0,0,21
"EJ Villani",5,164,134,122.388059701493,54.6666666666667,22,2,2,0,2,71
"ER Oza",8,56,73,76.7123287671233,8,5,1,1,0,0,25
"FO Kibasu",1,0,2,0,0,0,0,0,0,0,0
"Fatima Sana",6,102,92,110.869565217391,25.5,12,2,2,0,0,45
"G Kodali",4,4,10,40,2,0,0,2,0,0,3
"G Redmayne",3,161,146,110.27397260274,80.5,21,0,1,0,1,80
"G Shukla",2,3,9,33.3333333333333,3,0,0,1,0,0,2
"GC Bhogle",3,51,44,115.909090909091,25.5,7,1,1,0,0,25
"GH Lewis",9,160,170,94.1176470588235,20,18,4,1,0,1,62
"GK Diviya",1,6,15,40,6,0,0,0,0,0,6
"GM Harris",3,61,40,152.5,20.3333333333333,6,4,0,0,0,31
"H Ishimwe",1,6,8,75,6,1,0,0,0,0,6
"HC Knight",6,133,98,135.714285714286,26.6,19,0,1,0,0,36
"HK Matthews",9,321,196,163.775510204082,35.6666666666667,31,17,0,1,2,123
"Iqra Sahar",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"J Allen",1,33,41,80.4878048780488,Inf,3,0,1,0,0,33
"JL Aras",3,2,6,33.3333333333333,2,0,0,2,0,0,1
"JM Kerr",1,4,5,80,4,0,0,0,0,0,4
"Jahanara Alam",5,19,24,79.1666666666667,4.75,1,1,1,0,0,14
"K Arua",2,9,12,75,9,1,0,1,0,0,7
"KA Tomlinson",6,142,148,95.945945945946,23.6666666666667,15,3,0,0,1,65
"KDU Prabodhani",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"KE Bryce",7,161,106,151.88679245283,32.2,18,5,2,0,1,52
"KH Sciver-Brunt",4,102,71,143.661971830986,34,6,8,1,0,0,47
"KJ Garth",3,13,17,76.4705882352941,4.33333333333333,0,1,0,0,0,11
"KJ Martin",3,26,29,89.6551724137931,8.66666666666667,3,0,0,0,0,22
"KK Gill",2,18,28,64.2857142857143,18,1,0,1,0,0,15
"KKN Egodage",12,194,250,77.6,16.1666666666667,22,3,0,0,0,43
"KM Mack",4,50,63,79.3650793650794,12.5,5,0,0,0,0,21
"KY Chan",6,67,81,82.7160493827161,11.1666666666667,5,3,0,0,0,32
"L Cardoso",4,0,19,0,0,0,0,0,0,0,0
"L Winfield-Hill",7,213,132,161.363636363636,35.5,26,11,1,1,1,120
"L Wolvaardt",13,308,259,118.918918918919,25.6666666666667,40,2,1,0,2,65
"M Gaur",5,24,23,104.347826086957,6,1,1,1,0,0,18
"M Hill",9,131,129,101.550387596899,26.2,9,3,4,0,0,38
"M Kapp",6,103,71,145.070422535211,25.75,8,4,2,0,1,67
"M Martinez",2,8,14,57.1428571428571,Inf,0,0,2,0,0,7
"M Musonda",5,44,67,65.6716417910448,11,4,0,1,0,0,18
"M Wai Siu",2,4,8,50,4,0,0,1,0,0,3
"M du Preez",10,178,153,116.339869281046,35.6,21,3,5,0,1,75
"MBA Lamplough",2,11,20,55,5.5,1,0,0,0,0,11
"Maryam Omar",5,38,50,76,19,4,0,3,0,0,26
"Mas Elysa",2,9,15,60,9,0,0,1,0,0,5
"N Boochatham",5,20,27,74.0740740740741,6.66666666666667,3,0,2,0,0,7
"N Chaiwai",4,18,28,64.2857142857143,4.5,2,0,0,0,0,8
"N Chantam",12,275,290,94.8275862068966,25,33,5,1,0,1,72
"N Koncharoenkai",7,52,47,110.63829787234,17.3333333333333,5,0,4,0,0,17
"NE Farrant",8,110,104,105.769230769231,18.3333333333333,10,3,2,0,0,36
"NH Patel",5,29,43,67.4418604651163,5.8,3,0,0,0,0,15
"NJ Carey",14,378,221,171.0407239819,42,48,13,5,0,4,84
"NT Miles",6,60,79,75.9493670886076,15,7,0,2,0,0,40
"Nigar Sultana",5,62,56,110.714285714286,12.4,5,2,0,0,0,40
"P Litchfield",7,169,128,132.03125,24.1428571428571,30,2,0,0,1,77
"RC Belbashi",2,45,34,132.352941176471,45,3,2,1,0,0,32
"RMAM Avery",6,29,62,46.7741935483871,5.8,1,0,1,0,0,17
"Ruchitha Venkatesh",2,9,8,112.5,9,1,0,1,0,0,9
"Rumana Ahmed",7,108,75,144,54,15,2,5,0,0,37
"S Ecclestone",6,83,55,150.909090909091,41.5,5,6,4,0,0,29
"S Ismail",8,64,52,123.076923076923,9.14285714285714,6,2,1,0,0,26
