"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Ecclestone",7,"24.5",0,130,17,7.64705882352941,5.23489932885906,8.76470588235294,78,0,1,"5/8"
"AC Jayangani",14,"48.0",1,333,16,20.8125,6.9375,18,111,1,0,"4/17"
"KE Bryce",10,"36.3",0,260,15,17.3333333333333,7.12328767123288,14.6,100,0,0,"3/16"
"SIR Dunkley",12,"36.4",0,262,14,18.7142857142857,7.14545454545455,15.7142857142857,101,0,0,"3/16"
"Rumana Ahmed",12,"42.0",2,269,14,19.2142857142857,6.40476190476191,18,112,0,0,"3/22"
"A Khaka",14,"50.0",3,309,14,22.0714285714286,6.18,21.4285714285714,155,1,1,"5/9"
"S Tippoch",11,"41.0",1,295,13,22.6923076923077,7.19512195121951,18.9230769230769,109,0,0,"3/13"
"WA Duraisingam",13,"40.0",0,297,12,24.75,7.425,20,88,0,0,"3/8"
"TG Norris",13,"48.0",2,371,12,30.9166666666667,7.72916666666667,24,136,0,0,"2/17"
"C Sutthiruang",10,"30.0",0,200,11,18.1818181818182,6.66666666666667,16.3636363636364,92,0,0,"3/22"
"M Kapp",7,"26.0",0,127,10,12.7,4.88461538461539,15.6,85,0,0,"3/4"
"HK Matthews",9,"33.0",0,211,10,21.1,6.39393939393939,19.8,102,0,0,"2/5"
"Sana Mir",8,"21.0",1,133,9,14.7777777777778,6.33333333333333,14,51,1,0,"4/15"
"M Hill",8,"20.0",0,160,9,17.7777777777778,8,13.3333333333333,51,0,0,"3/11"
"S Ismail",10,"34.0",3,168,9,18.6666666666667,4.94117647058824,22.6666666666667,128,0,0,"3/20"
"Diana Baig",12,"36.0",0,267,9,29.6666666666667,7.41666666666667,24,111,0,0,"2/15"
"S Miyaji",6,"18.0",1,98,8,12.25,5.44444444444444,13.5,55,1,0,"4/18"
"RC Belbashi",6,"19.0",1,120,8,15,6.31578947368421,14.25,51,0,1,"5/11"
"SR Magar",10,"28.0",0,211,8,26.375,7.53571428571429,21,66,0,0,"3/17"
"Fatima Sana",13,"46.2",0,385,8,48.125,8.30935251798561,34.75,122,0,0,"2/55"
"GM Harris",4,"15.0",0,104,7,14.8571428571429,6.93333333333333,12.8571428571429,42,0,1,"5/22"
"JM Kerr",5,"17.4",0,114,7,16.2857142857143,6.45283018867925,15.1428571428571,45,0,0,"3/11"
"M Gaur",7,"27.2",3,129,7,18.4285714285714,4.71951219512195,23.4285714285714,108,0,0,"2/12"
"A Wellington",6,"22.0",0,136,7,19.4285714285714,6.18181818181818,18.8571428571429,68,0,0,"3/27"
"G Kodali",7,"18.0",0,124,6,20.6666666666667,6.88888888888889,18,46,0,0,"2/10"
"L Cardoso",7,"18.3",1,143,6,23.8333333333333,7.72972972972973,18.5,60,0,0,"2/14"
"NJ Carey",8,"20.0",0,150,6,25,7.5,20,54,0,0,"2/30"
"NE Farrant",9,"24.0",0,182,6,30.3333333333333,7.58333333333333,24,63,0,0,"3/11"
"ER Oza",10,"33.0",0,189,6,31.5,5.72727272727273,33,91,0,0,"1/13"
"A Gurung",12,"39.0",1,312,6,52,8,39,98,0,0,"2/26"
"KH Sciver-Brunt",4,"10.0",0,61,5,12.2,6.1,12,37,0,0,"2/8"
"JL Aras",3,"8.0",0,78,5,15.6,9.75,9.6,19,1,0,"4/32"
"NH Patel",5,"13.0",0,89,5,17.8,6.84615384615385,15.6,33,0,0,"2/22"
"KKN Egodage",6,"14.0",0,97,5,19.4,6.92857142857143,16.8,33,0,0,"3/17"
"G Shukla",8,"17.1",0,130,5,26,7.57281553398058,20.6,36,0,0,"2/32"
"Aliya Riaz",8,"21.5",0,157,5,31.4,7.19083969465649,26.2,57,0,0,"2/15"
"SS Connell",9,"29.0",1,169,5,33.8,5.82758620689655,34.8,93,0,0,"2/16"
"DJS Dottin",11,"30.4",0,209,5,41.8,6.81521739130435,36.8,90,0,0,"2/9"
"H Ishimwe",4,"16.0",0,85,4,21.25,5.3125,24,48,0,0,"2/27"
"K Arua",5,"11.0",0,94,4,23.5,8.54545454545454,16.5,26,0,0,"2/10"
"N Boochatham",9,"19.1",0,128,4,32,6.67826086956522,28.75,45,0,0,"2/5"
"S Luus",12,"33.0",0,271,4,67.75,8.21212121212121,49.5,71,0,0,"2/38"
"Yasmeen Khan",5,"7.0",0,56,3,18.6666666666667,8,14,18,0,0,"2/9"
"Ruchitha Venkatesh",4,"9.5",0,70,3,23.3333333333333,7.11864406779661,19.6666666666667,27,0,0,"2/21"
"Chan Ka Man",7,"16.0",0,109,3,36.3333333333333,6.8125,32,27,0,0,"2/15"
"KY Chan",10,"22.4",0,152,3,50.6666666666667,6.70588235294118,45.3333333333333,51,0,0,"1/13"
"Jahanara Alam",14,"47.0",1,390,3,130,8.29787234042553,94,125,0,0,"1/23"
"J Allen",2,"3.0",0,27,2,13.5,9,9,6,0,0,"2/10"
"C Raack",3,"7.0",1,58,2,29,8.28571428571429,21,18,0,0,"1/16"
"GC Bhogle",3,"6.0",0,80,2,40,13.3333333333333,18,11,0,0,"1/14"
"Chaya Mughal",4,"12.0",0,88,2,44,7.33333333333333,36,26,0,0,"2/13"
"SR Taylor",6,"16.0",0,100,2,50,6.25,48,44,0,0,"1/18"
"EA Burns",6,"13.0",0,107,2,53.5,8.23076923076923,39,30,0,0,"1/16"
"KDU Prabodhani",5,"17.1",0,138,2,69,8.03883495145631,51.5,36,0,0,"2/17"
"AI Chudasama",1,"3.0",0,15,1,15,5,18,10,0,0,"1/15"
"AM Zepeda",1,"2.0",0,22,1,22,11,12,3,0,0,"1/22"
"N Chantam",1,"2.0",0,22,1,22,11,12,6,0,0,"1/22"
"S Jimmy",1,"2.0",0,24,1,24,12,12,1,0,0,"1/24"
"CM Gough",3,"3.0",0,28,1,28,9.33333333333333,18,7,0,0,"1/10"
"GK Diviya",4,"7.0",0,55,1,55,7.85714285714286,42,8,0,0,"1/8"
"HC Knight",4,"10.0",0,68,1,68,6.8,60,22,0,0,"1/8"
"FO Kibasu",3,"9.0",0,72,1,72,8,54,18,0,0,"1/18"
"M Martinez",4,"9.0",0,81,1,81,9,54,20,0,0,"1/25"
"MBA Lamplough",3,"12.0",0,82,1,82,6.83333333333333,72,22,0,0,"1/30"
"SW Bates",4,"10.0",0,96,1,96,9.6,60,16,0,0,"1/20"
"KJ Garth",4,"15.0",0,100,1,100,6.66666666666667,90,41,0,0,"1/31"
"D Saxena",1,"1.0",0,5,0,Inf,5,Inf,1,0,0,"0/5"
"Mas Elysa",1,"1.0",0,10,0,Inf,10,Inf,2,0,0,"0/10"
"DN Wyatt",1,"1.0",0,16,0,Inf,16,Inf,1,0,0,"0/16"
"KK Gill",2,"2.0",0,16,0,Inf,8,Inf,4,0,0,"0/3"
"M Wai Siu",2,"3.0",0,18,0,Inf,6,Inf,7,0,0,"0/8"
"Maryam Omar",2,"2.0",0,23,0,Inf,11.5,Inf,2,0,0,"0/10"
"M Musonda",1,"0.4",0,24,0,Inf,36,Inf,0,0,0,"0/24"
"YS To",2,"2.3",0,33,0,Inf,13.2,Inf,3,0,0,"0/14"
"SFM Devine",4,"7.0",0,39,0,Inf,5.57142857142857,Inf,19,0,0,"0/5"
"S Solman",3,"6.0",0,52,0,Inf,8.66666666666667,Inf,11,0,0,"0/8"
"Iqra Sahar",4,"6.0",0,63,0,Inf,10.5,Inf,9,0,0,"0/8"
"M Bibi",2,"5.0",0,65,0,Inf,13,Inf,6,0,0,"0/20"
