"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Dowse","AC Jayangani",2,4,1,3,0,0,3,50,2
"A Gurung","Chaya Mughal",0,1,1,1,0,0,0,0,0
"A Gurung","J Allen",1,1,0,0,0,0,6,100,Inf
"A Khaka","EA Burns",2,2,0,0,0,0,6,100,Inf
"A Khaka","Fatima Sana",5,3,1,1,1,0,10,166.666666666667,5
"A Khaka","JM Kerr",0,2,1,2,0,0,0,0,0
"A Khaka","KE Bryce",1,2,0,1,0,0,3,50,Inf
"A Khaka","Rumana Ahmed",1,2,0,1,0,0,3,50,Inf
"A Khaka","S Ismail",1,2,0,1,0,0,3,50,Inf
"A Khaka","S Tippoch",1,2,0,1,0,0,3,50,Inf
"A Khaka","Sana Mir",1,1,0,0,0,0,6,100,Inf
"A Khaka","TG Norris",0,6,0,6,0,0,0,0,NA
"A Wellington","KKN Egodage",5,3,0,1,1,0,10,166.666666666667,Inf
"A Wellington","N Boochatham",7,2,0,0,0,1,21,350,Inf
"A Wellington","NH Patel",2,3,1,2,0,0,4,66.6666666666667,2
"A Wellington","Rumana Ahmed",0,4,1,4,0,0,0,0,0
"AC Jayangani","A Khaka",20,17,0,9,4,0,7.05882352941176,117.647058823529,Inf
"AC Jayangani","Aliya Riaz",4,1,0,0,1,0,24,400,Inf
"AC Jayangani","C Raack",16,6,0,3,1,2,16,266.666666666667,Inf
"AC Jayangani","C Sutthiruang",14,21,2,18,2,1,4,66.6666666666667,7
"AC Jayangani","Chan Ka Man",6,5,0,2,1,0,7.2,120,Inf
"AC Jayangani","Chaya Mughal",9,7,0,2,1,0,7.71428571428571,128.571428571429,Inf
"AC Jayangani","DJS Dottin",18,11,0,4,2,1,9.81818181818182,163.636363636364,Inf
"AC Jayangani","Diana Baig",20,14,0,7,1,2,8.57142857142857,142.857142857143,Inf
"AC Jayangani","EA Burns",21,6,0,1,2,2,21,350,Inf
"AC Jayangani","ER Oza",9,7,0,3,0,1,7.71428571428571,128.571428571429,Inf
"AC Jayangani","Fatima Sana",39,26,0,10,4,2,9,150,Inf
"AC Jayangani","G Kodali",11,3,0,0,1,1,22,366.666666666667,Inf
"AC Jayangani","GK Diviya",5,5,0,0,0,0,6,100,Inf
"AC Jayangani","GM Harris",5,6,0,4,1,0,5,83.3333333333333,Inf
"AC Jayangani","H Ishimwe",5,3,0,1,1,0,10,166.666666666667,Inf
"AC Jayangani","HC Knight",2,2,0,0,0,0,6,100,Inf
"AC Jayangani","HK Matthews",6,7,1,4,1,0,5.14285714285714,85.7142857142857,6
"AC Jayangani","JL Aras",1,2,0,1,0,0,3,50,Inf
"AC Jayangani","JM Kerr",23,12,0,4,3,1,11.5,191.666666666667,Inf
"AC Jayangani","KDU Prabodhani",25,13,0,4,5,0,11.5384615384615,192.307692307692,Inf
"AC Jayangani","KE Bryce",34,18,1,7,3,2,11.3333333333333,188.888888888889,34
"AC Jayangani","KH Sciver-Brunt",13,11,0,7,1,1,7.09090909090909,118.181818181818,Inf
"AC Jayangani","KJ Garth",1,7,0,6,0,0,0.857142857142857,14.2857142857143,Inf
"AC Jayangani","KKN Egodage",2,2,0,0,0,0,6,100,Inf
"AC Jayangani","KY Chan",10,5,0,1,2,0,12,200,Inf
"AC Jayangani","L Cardoso",2,7,1,5,0,0,1.71428571428571,28.5714285714286,2
"AC Jayangani","M Gaur",13,12,0,9,0,2,6.5,108.333333333333,Inf
"AC Jayangani","N Boochatham",18,18,0,10,3,0,6,100,Inf
"AC Jayangani","NE Farrant",13,5,0,2,0,2,15.6,260,Inf
"AC Jayangani","NH Patel",0,2,1,2,0,0,0,0,0
"AC Jayangani","NJ Carey",13,12,0,8,1,1,6.5,108.333333333333,Inf
"AC Jayangani","RC Belbashi",13,8,1,3,1,1,9.75,162.5,13
"AC Jayangani","Rumana Ahmed",32,20,0,10,5,1,9.6,160,Inf
"AC Jayangani","S Ecclestone",35,21,2,10,6,1,10,166.666666666667,17.5
"AC Jayangani","S Ismail",16,21,0,16,2,1,4.57142857142857,76.1904761904762,Inf
"AC Jayangani","SIR Dunkley",21,13,0,6,1,2,9.69230769230769,161.538461538462,Inf
"AC Jayangani","SR Taylor",6,8,1,5,1,0,4.5,75,6
"AC Jayangani","SS Connell",28,18,0,7,5,0,9.33333333333333,155.555555555556,Inf
"AC Jayangani","Sana Mir",3,7,1,4,0,0,2.57142857142857,42.8571428571429,3
"AC Jayangani","TG Norris",51,35,0,20,4,4,8.74285714285714,145.714285714286,Inf
"AC Jayangani","YS To",11,5,0,2,1,1,13.2,220,Inf
"AI Chudasama","A Khaka",5,4,0,2,1,0,7.5,125,Inf
"AI Chudasama","GC Bhogle",2,4,0,2,0,0,3,50,Inf
"AI Chudasama","KK Gill",1,2,0,1,0,0,3,50,Inf
"AI Chudasama","L Cardoso",1,2,1,1,0,0,3,50,1
"AI Chudasama","M Gaur",2,4,0,2,0,0,3,50,Inf
"AI Chudasama","NH Patel",2,2,0,0,0,0,6,100,Inf
"AI Chudasama","NJ Carey",7,5,0,1,1,0,8.4,140,Inf
"AI Chudasama","S Miyaji",2,8,1,6,0,0,1.5,25,2
"AM Zepeda","A Khaka",2,3,0,1,0,0,4,66.6666666666667,Inf
"AM Zepeda","M Gaur",2,3,0,1,0,0,4,66.6666666666667,Inf
"AM Zepeda","S Miyaji",2,6,0,4,0,0,2,33.3333333333333,Inf
"AM Zepeda","SIR Dunkley",0,1,1,1,0,0,0,0,0
"Aliya Riaz","A Gurung",1,1,0,0,0,0,6,100,Inf
"Aliya Riaz","EA Burns",5,6,0,1,0,0,5,83.3333333333333,Inf
"Aliya Riaz","Fatima Sana",2,3,0,1,0,0,4,66.6666666666667,Inf
"Aliya Riaz","G Kodali",9,10,0,5,1,0,5.4,90,Inf
"Aliya Riaz","GK Diviya",1,1,0,0,0,0,6,100,Inf
"Aliya Riaz","H Ishimwe",9,5,1,2,2,0,10.8,180,9
"Aliya Riaz","Jahanara Alam",2,3,0,1,0,0,4,66.6666666666667,Inf
"Aliya Riaz","KJ Garth",4,7,0,3,0,0,3.42857142857143,57.1428571428571,Inf
"Aliya Riaz","KY Chan",2,2,0,0,0,0,6,100,Inf
"Aliya Riaz","L Cardoso",1,2,0,1,0,0,3,50,Inf
"Aliya Riaz","M Kapp",1,4,0,3,0,0,1.5,25,Inf
"Aliya Riaz","NE Farrant",18,17,1,8,1,1,6.35294117647059,105.882352941176,18
"Aliya Riaz","Rumana Ahmed",2,2,0,0,0,0,6,100,Inf
"Aliya Riaz","S Ismail",7,8,0,1,0,0,5.25,87.5,Inf
"Aliya Riaz","S Tippoch",0,4,1,4,0,0,0,0,0
"Aliya Riaz","SIR Dunkley",0,1,1,1,0,0,0,0,0
"Aliya Riaz","Sana Mir",4,5,0,1,0,0,4.8,80,Inf
"Aliya Riaz","TG Norris",12,7,0,1,2,0,10.2857142857143,171.428571428571,Inf
"B Cooper","DJS Dottin",2,2,0,0,0,0,6,100,Inf
"B Cooper","Fatima Sana",1,1,0,0,0,0,6,100,Inf
"B Cooper","H Ishimwe",6,6,0,3,1,0,6,100,Inf
"B Cooper","HC Knight",2,2,0,0,0,0,6,100,Inf
"B Cooper","Ruchitha Venkatesh",8,5,0,1,1,0,9.6,160,Inf
"B Cooper","Rumana Ahmed",3,3,0,1,0,0,6,100,Inf
"B Cooper","TG Norris",10,4,0,0,0,1,15,250,Inf
"B de Leede","A Gurung",3,8,0,5,0,0,2.25,37.5,Inf
"B de Leede","A Khaka",0,5,2,5,0,0,0,0,0
"B de Leede","A Wellington",4,9,0,5,0,0,2.66666666666667,44.4444444444444,Inf
"B de Leede","AC Jayangani",1,2,0,1,0,0,3,50,Inf
"B de Leede","C Sutthiruang",15,7,0,2,3,0,12.8571428571429,214.285714285714,Inf
"B de Leede","DJS Dottin",1,3,0,2,0,0,2,33.3333333333333,Inf
"B de Leede","Diana Baig",5,5,0,3,1,0,6,100,Inf
